taxon	group	level
Mammal#class	Mammal#class	class
Elephantidae#family	Mammal#class	class
African_elephant#genus	Mammal#class	class
Animal#kingdom	Animal#kingdom	kingdom
African_Bush_Elephant#species	Mammal#class	class
Amazonian_Manatee#species	Mammal#class	class
American_crocodile#species	Reptile#class	class
American_Mink#species	Carnivora#order	order
Barn_Owl#species	Bird#class	class
Bearded_Reedling#species	Passerine#order	order
Bombus_terrestris#species	Hymenoptera#order	order
Brown_rat#species	Rodent#order	order
Buff-necked_Ibis#species	Bird#class	class
Capybara#species	Rodent#order	order
Common_Crane#species	Bird#class	class
Common_Cuckoo#species	Bird#class	class
Common_frog#species	Amphibian#class	class
Common_Kestrel#species	Bird#class	class
Common_Moorhen#species	Bird#class	class
Common_Pheasant#species	Bird#class	class
Common_Ringed_Plover#species	Charadriiformes#order	order
Common_Toad#species	Amphibian#class	class
Cougar#species	Carnivora#order	order
Eleonoras_Falcon#species	Bird#class	class
Eunectes_notaeus#species	Snake#suborder	suborder
Eurasian_Beaver#species	Rodent#order	order
Eurasian_Coot#species	Bird#class	class
Eurasian_Reed_Warbler#species	Passerine#order	order
European_Polecat#species	Carnivora#order	order
Fallow_Deer#species	Even-toed_ungulate#order	order
Giant_Otter#species	Carnivora#order	order
Golden_Eagle#species	Accipitridae#family	family
Grasshopper_Warbler#species	Passerine#order	order
Grass_Snake#species	Snake#suborder	suborder
Great_Northern_Loon#species	Bird#class	class
Harriss_Hawk#species	Accipitridae#family	family
Hen_Harrier#species	Accipitridae#family	family
Highland_midge#species	Insect#class	class
Little_Egret#species	Bird#class	class
Little_Ringed_Plover#species	Charadriiformes#order	order
Mallard#species	Bird#class	class
Marsh_Frog#species	Amphibian#class	class
Merlin_bird#species	Bird#class	class
Mute_Swan#species	Bird#class	class
Myodes_glareolus#species	Rodent#order	order
Natterjack_Toad#species	Amphibian#class	class
Norfolk_Hawker#species	Insect#class	class
North_American_River_Otter#species	Carnivora#order	order
Northern_Lapwing#species	Charadriiformes#order	order
Old_World_Swallowtail#species	Lepidoptera#order	order
Osprey#species	Bird#class	class
Python_molurus#species	Snake#suborder	suborder
Raccoon#species	Carnivora#order	order
Red-crowned_Crane#species	Bird#class	class
Sedge_Warbler#species	Passerine#order	order
Shoebill#species	Bird#class	class
Siberian_Crane#species	Bird#class	class
Siberian_salamander#species	Amphibian#class	class
Sika_Deer#species	Even-toed_ungulate#order	order
Skylark#species	Passerine#order	order
Smoky_Jungle_Frog#species	Amphibian#class	class
Snow_Goose#species	Bird#class	class
Snowy_Owl#species	Bird#class	class
