rel_role	token_id	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89
free_topic	Act-681d_118_Acanthopteri-3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.427	0.0	0.0	0.0	0.0	0.0	0.101	0.0	0.0	0.0	0.0	0.0	0.0	0.617	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.0	-0.609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.072	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
free_topic	Act-681d_125_gobies-6	0.382	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.342	0.0	0.0	0.0	-0.009	0.424	0.0	0.0	-0.124	0.0	0.0	0.0	-0.677	0.252	0.109	-0.236	0.0	-0.109	0.0	0.0	0.0	0.392	0.073	-0.259	0.0	-0.369	0.0	-1.214	0.0	-1.215	0.0	0.0	0.0	0.0	0.0	0.0	0.56	-0.043	0.15	0.0	0.208	0.0	0.0	0.0	0.0	0.0	0.047	-0.061	-0.817	0.0	0.0	0.0	0.0	0.0	-0.349	-0.302	-0.537	-0.168	0.0	0.0	0.396	0.0	0.389	0.0	0.0	-0.223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.702	-0.133	-0.491	0.0	0.0	0.0
free_topic	Act-681d_126_seahorses-5	0.0	0.0	0.328	0.0	0.0	0.0	-0.087	-1.633	0.0	0.065	0.0	0.0	0.0	0.0	0.0	-0.577	0.946	-0.126	-0.061	-0.122	0.0	-0.615	0.134	0.0	-0.817	0.0	-0.003	0.031	-0.38	0.08	0.465	0.0	0.0	0.0	0.029	-0.145	0.669	0.0	0.0	0.019	0.0	0.0	-0.133	-1.578	0.0	0.0	-0.213	-0.148	-0.401	0.434	0.0	0.0	0.0	0.0	0.0	-0.259	0.192	-0.109	-0.534	-0.215	0.189	0.0	0.0	-0.098	-0.195	-0.924	0.0	-0.402	0.0	-0.491	0.595	-0.565	0.0	0.0	0.389	0.0	0.0	0.0	-0.861	0.0	-0.243	0.0	0.0	-0.414	0.049	0.0	0.0	-0.643	0.0	0.0
free_topic	Act-681d_131_billfishes-16	0.737	0.0	-0.514	0.0	0.0	0.0	0.0	0.0	0.147	0.0	0.0	0.0	0.197	0.582	0.0	-0.299	-0.003	0.266	-0.007	-0.746	-1.239	0.547	0.201	-0.084	0.0	0.0	0.0	0.0	0.0	0.084	-0.033	0.069	0.0	0.201	0.0	-1.205	0.0	-0.734	0.0	0.0	0.0	0.203	0.335	0.0	1.003	0.218	-0.279	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.117	0.0	-0.326	0.0	0.0	0.0	-0.243	0.0	-0.248	0.0	-0.301	0.15	0.0	0.0	1.049	0.0	0.225	0.0	-0.035	-0.186	-0.187	0.0	0.0	0.0	-0.077	0.0	0.0	0.0	0.0	0.0	-0.276	0.0	0.0	0.0	0.0	0.0
free_topic	Act-681d_137_Beloniformes-2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029	0.0	0.0	0.174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.608	0.0	-0.145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.434	0.0	0.0	-0.052	0.0	0.0	0.0	0.0	0.0	0.0	-0.622	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
free_topic	Act2dba_15_fishes-10	0.685	0.0	0.0	0.0	0.0	-1.127	-0.417	0.0	0.244	0.0	0.308	-0.523	-0.52	0.0	0.0	-0.051	0.0	0.0	0.0	0.0	0.0	-0.692	-0.539	-0.244	0.0	0.0	0.383	0.0	0.0	-0.204	0.138	0.0	0.16	0.0	0.0	0.0	0.0	-0.051	0.0	-0.014	-0.064	-0.268	0.0	-0.41	0.0	0.0	0.0	-0.461	-0.061	-0.075	-0.349	0.0	0.0	0.29	0.074	0.0	-0.028	-0.901	0.0	0.0	0.0	-0.236	-0.399	0.261	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.545	0.0	0.0	0.0	-0.593	0.0	-0.006	-0.698	0.0	0.351	-0.044	-0.392	0.0	0.0	0.0	0.0	0.0	0.0	0.0
free_topic	Afr-2fe6_55_catfish-3	0.47	0.0	0.0	0.0	0.0	-0.203	0.0	0.0	0.644	0.0	0.0	0.0	-0.247	-0.518	0.0	-0.721	0.0	0.223	0.216	0.041	0.0	0.021	0.0	0.0	0.529	-0.109	0.0	-0.149	0.0	0.392	-0.124	0.168	0.0	0.239	0.0	0.0	0.0	0.0	-0.384	-0.169	0.148	0.064	0.0	0.0	-0.465	0.163	0.0	-0.353	0.0	-0.388	0.0	0.0	0.0	-0.28	-0.113	-0.061	-0.643	0.0	0.0	-0.692	0.0	0.0	-0.541	-0.533	-0.061	0.0	0.0	0.0	0.0	-0.479	-0.791	0.479	0.0	-0.55	0.0	0.0	0.0	0.0	0.0	-0.796	0.0	0.0	0.0	-0.53	0.033	-0.133	-0.491	0.0	0.052	0.0
free_topic	Afr-2fe6_55_characins-29	-0.506	-0.119	-0.075	0.0	0.41	-0.987	-0.048	-0.067	-0.417	-0.888	-1.154	-0.16	-1.523	0.0	0.412	0.052	-0.006	-0.183	0.041	-0.26	-0.388	0.0	0.0	-0.29	-0.713	0.033	-0.246	-0.196	0.108	-0.113	0.0	0.0	0.0	0.334	-0.873	-0.109	-0.008	-0.41	0.0	-0.694	-0.48	-0.459	0.141	-0.006	0.235	0.0	-0.473	0.471	0.0	-0.28	0.0	0.066	0.176	-0.429	-0.006	-0.607	0.0	-0.83	0.0	0.0	-0.501	0.064	-0.255	0.0	0.0	-1.232	0.0	0.222	0.0	0.337	-0.721	-0.347	-0.284	0.0	0.0	0.112	-0.115	0.263	0.0	-0.137	0.0	-0.012	0.0	-1.45	-0.358	0.0	-0.054	-0.561	-0.277	0.0
free_topic	Afr-f1c4_70_herrings-33	-0.663	0.0	0.147	-0.05	-0.382	0.0	-0.306	0.0	-0.482	-0.417	0.0	-0.128	-0.272	-0.844	0.148	0.0	0.0	0.0	-2.391	0.0	-0.751	0.0	0.0	-0.88	0.0	0.0	0.0	0.0	-0.505	-0.852	0.258	-0.857	-0.679	0.493	0.0	0.0	-0.475	0.0	0.0	-0.226	0.952	0.0	0.0	0.0	0.0	0.0	0.0	-0.31	0.0	-0.656	0.0	0.242	0.0	0.0	0.08	-0.319	0.0	-0.353	-0.433	0.381	0.061	-0.06	0.02	0.09	0.257	-0.045	0.0	-0.845	-0.968	0.0	-0.664	-0.443	0.257	-0.348	0.0	-0.965	0.0	0.0	0.661	-0.066	-0.997	-0.356	-1.014	0.0	0.0	0.0	0.0	0.0	-0.354	0.0
free_topic	Ama-5ad6_80_Arapaima-23	0.466	0.0	0.296	0.0	-0.189	-0.152	0.0	0.0	0.0	-0.57	0.0	0.282	0.0	-0.103	0.0	0.176	0.0	0.058	0.352	-0.232	0.115	-0.668	-0.566	0.083	0.0	0.0	0.268	0.0	0.0	-0.739	0.0	-0.048	-0.046	0.0	0.0	0.0	0.0	0.0	-0.135	-0.25	-0.564	-0.347	0.0	0.0	0.0	0.0	0.0	0.037	-0.297	0.0	-0.286	0.0	-0.469	-0.568	-0.154	0.0	-0.766	-0.696	0.0	0.0	0.0	-0.253	0.0	0.0	-0.48	0.0	0.0	0.0	0.0	-1.121	0.0	-0.237	0.0	0.259	0.0	-0.309	0.0	-0.006	0.0	0.0	-0.99	0.0	-0.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0
