rel_role	token_id	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89
free_topic	Acc-0f45_132_amphibians-3	-0.166	0.0	0.0	0.0	0.0	-0.293	0.0	0.0	-0.079	0.057	-0.958	-0.081	0.469	0.0	0.625	0.0	-0.694	0.0	0.183	0.0	-0.115	-0.392	-0.48	0.0	-0.267	-0.109	0.0	0.0	0.0	0.392	0.064	-0.346	-0.093	0.23	0.106	0.0	0.0	0.0	0.0	0.156	0.0	0.0	0.0	0.0	0.0	-0.151	0.0	-0.353	0.0	0.0	0.539	0.142	-0.198	-0.156	0.0	-0.061	-0.643	-0.633	0.0	-0.033	0.0	0.0	-0.431	-0.302	-0.746	0.0	0.0	-0.526	0.0	0.0	-0.319	0.665	0.0	-0.501	0.052	0.0	0.0	-0.347	-0.162	-0.396	0.0	-0.141	-0.327	0.27	-0.547	-0.575	-0.491	0.0	0.0	0.213
free_topic	Add-f0f0_109_salamander-11	0.0	0.0	0.003	0.329	0.109	0.0	0.29	-0.455	0.0	0.0	0.0	-0.495	-0.052	-0.534	-0.315	0.0	0.0	0.094	0.0	-0.006	-0.106	0.0	0.0	-0.5	-0.805	-0.51	0.0	-0.717	-0.198	0.289	-0.282	0.0	-0.334	-1.524	0.19	0.091	0.215	0.0	-0.046	0.0	0.408	0.0	0.296	-0.299	0.137	-1.096	0.0	-0.871	0.549	-0.694	0.0	-0.678	-0.699	0.0	-0.397	0.0	-0.638	-0.748	-0.026	-0.461	-0.34	-0.173	-1.72	0.0	0.0	0.0	0.012	-0.246	-0.38	0.0	0.0	-0.293	0.107	-0.001	0.255	-0.347	0.0	0.0	0.261	0.558	0.071	-0.375	0.0	-0.304	-0.54	0.0	0.502	0.0	-0.006	0.0
free_topic	Add-f0f0_10_amphibians-12	0.142	0.438	0.0	0.168	0.0	0.0	0.0	0.0	-0.778	0.0	-0.264	0.0	0.0	-0.305	0.0	-0.512	0.0	0.754	0.088	-1.365	-0.438	0.0	0.0	-0.511	0.0	-0.109	0.0	0.0	0.0	0.203	0.137	-0.259	0.0	-0.398	0.0	-0.035	0.0	-0.572	-0.754	0.0	0.0	0.374	0.0	-0.283	-0.085	-0.233	-0.16	0.0	0.0	-0.15	0.107	-0.71	-0.027	0.0	-0.178	-0.714	-0.643	-0.597	0.0	0.0	-0.316	0.0	-0.057	-0.302	-1.28	0.0	-0.444	0.0	0.0	0.0	-0.364	0.0	0.196	-0.625	0.056	0.0	-0.553	0.0	-1.03	0.0	0.0	0.447	0.0	0.0	0.0	-0.133	-0.491	0.0	-0.131	-0.488
free_topic	Add-f0f0_111_salamanders-6	0.0	0.045	0.438	-0.498	0.487	0.38	-0.7	0.111	0.0	-0.12	0.0	0.0	-0.388	0.0	-0.158	0.0	-0.009	-0.509	0.393	0.0	-0.263	0.0	0.0	-0.5	0.08	0.0	-0.204	0.0	-0.491	0.0	0.0	-0.106	0.0	-0.844	0.412	0.0	-0.009	0.246	-0.7	-0.346	-0.447	0.0	0.0	0.0	-0.114	-0.093	-0.609	0.0	-0.315	-0.126	-0.413	-1.113	0.0	0.0	-0.059	-0.549	-1.122	0.225	-0.037	-0.437	-0.102	-0.541	-0.578	-0.256	-0.529	0.0	0.0	-0.536	-0.345	0.255	0.0	-0.553	-0.097	-0.001	0.0	0.378	0.0	-0.391	-0.334	0.0	0.0	0.0	0.0	-0.213	-0.93	-0.751	0.0	-1.07	-0.544	0.0
free_topic	Aes-3859_41_amphibians-5	0.087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.038	0.0	0.0	0.0	0.0	0.586	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.132	0.0	0.0	-0.109	0.0	0.0	0.0	0.392	0.036	-0.259	0.0	0.175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.253	0.0	0.0	0.349	0.0	0.0	0.0	0.0	0.0	0.0	-0.061	-0.707	0.0	0.0	0.0	0.0	0.0	0.267	-0.302	-0.799	0.241	0.0	0.0	0.0	0.0	-0.516	0.0	0.0	-0.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.434	-0.133	-0.491	0.0	0.0	0.0
free_topic	Aes-3859_43_amphibians-2	0.0	-0.323	0.521	-1.847	-1.017	0.0	-1.423	-0.556	0.0	-0.036	0.0	0.0	-0.229	-0.671	0.0	0.0	0.0	-0.633	-0.333	-0.352	-1.378	0.045	0.111	0.0	-0.338	-0.818	-0.475	-0.19	-0.317	0.0	0.0	-0.28	-0.113	-1.448	-0.357	0.392	0.518	-0.218	0.366	0.094	0.58	-0.099	0.0	-0.809	-0.989	0.0	-1.101	-0.403	-0.714	0.0	0.0	-1.027	-1.045	0.0	0.308	-1.377	-0.838	0.0	0.0	-0.125	0.475	-0.294	-0.501	-0.366	0.0	-0.158	0.0	0.0	-0.204	-0.006	0.3	-0.087	0.0	-0.528	-0.101	-0.798	-0.229	0.194	-0.363	0.0	-0.702	0.0	0.0	-0.109	-0.061	0.081	0.351	-0.73	-0.646	0.0
free_topic	Aes-3859_43_toad-7	0.0	-0.363	0.107	0.0	0.549	-0.363	-0.133	-1.603	0.082	0.0	-0.7	0.0	0.0	-0.534	0.0	0.0	0.045	-0.629	-0.438	-0.395	0.0	-0.584	-0.182	-0.977	-0.135	-0.631	0.0	0.017	0.0	0.059	0.0	-0.143	-0.35	-0.7	0.0	0.0	-0.411	0.57	0.084	0.0	0.298	-0.101	-0.563	-1.028	0.024	-0.299	0.392	0.0	0.0	0.0	0.0	0.0	-0.05	-0.662	-0.205	-0.322	-0.112	0.0	-0.118	-0.411	0.045	-0.259	-0.681	-0.254	0.0	0.0	-0.343	0.0	-0.845	0.0	0.0	-0.47	0.0	0.172	-0.485	-0.493	0.0	0.0	-0.564	-0.72	-0.272	0.0	0.0	0.0	-0.812	0.0	0.397	0.0	-0.006	-0.456
free_topic	Afr-7a1b_122_frogs-21	0.31	-0.859	-0.461	0.0	-1.141	0.0	0.0	0.0	-2.179	0.0	0.533	0.0	0.0	0.0	0.026	-2.36	0.0	1.399	0.491	-4.425	0.0	0.0	0.0	-0.551	0.0	0.0	0.0	0.0	0.0	0.0	-0.511	-0.315	0.392	0.303	0.0	0.069	0.0	-0.384	-0.133	0.0	0.19	-0.157	-0.085	0.0	0.0	-0.506	-0.343	-0.818	-0.091	-1.296	-0.523	0.405	0.0	0.0	-0.124	0.0	-0.553	0.0	0.0	0.0	-1.209	0.0	-1.029	-0.266	-0.506	-1.718	-0.684	0.157	0.0	-1.015	0.0	-0.392	1.431	-0.842	-0.148	0.0	0.0	0.0	-1.953	-0.824	0.0	-0.197	0.0	0.434	-0.563	0.0	0.449	0.0	0.0	1.451
free_topic	Afr1d9f_33_amphibians-12	0.0	0.0	0.393	0.0	-0.822	0.0	-0.711	-0.171	-1.006	-0.327	0.0	0.0	0.0	-0.819	-0.23	0.0	0.0	-0.424	0.315	0.722	-0.351	-0.5	0.0	0.0	-0.201	-0.394	0.0	-0.215	0.0	0.0	-0.979	-1.321	-0.638	0.167	-0.296	-0.252	0.183	-1.173	0.0	-0.639	-0.328	0.0	0.324	-1.045	0.0	0.0	0.392	-0.51	0.0	0.281	-0.516	-0.287	-0.175	0.0	-0.124	-1.49	0.052	0.627	-0.198	0.349	0.142	-0.259	0.0	0.487	0.744	-0.305	-1.185	0.013	-0.517	-0.254	-0.231	-0.251	0.052	0.0	-0.338	-0.018	0.0	0.0	-0.061	0.548	0.0	0.258	-0.827	0.264	-0.245	0.0	-0.445	0.0	-0.48	-0.433
free_topic	Aga-5c3b_47_Amphibians-3	0.058	0.0	0.0	0.07	0.0	0.0	0.0	0.0	-0.126	0.0	-0.561	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.223	-0.109	0.0	0.0	0.0	0.392	0.064	-0.259	-0.51	0.1	0.12	0.0	0.0	0.0	-0.554	-0.318	0.0	0.0	0.393	0.0	0.0	-0.151	-0.185	0.0	0.0	0.0	0.0	0.716	-0.625	0.0	0.0	-0.304	-0.643	0.0	0.002	0.0	0.0	0.0	0.342	-0.844	-0.746	0.116	0.0	0.0	0.0	0.022	0.0	0.0	0.0	-0.476	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.757	0.0	-0.133	-0.491	0.403	-0.137	0.0
