rel_role	token_id	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89
free_topic	Acc24bb_3_wings-5	0.0	-0.271	-0.1	0.0	0.0	0.0	-0.133	-1.229	0.138	0.0	0.019	0.0	0.0	0.0	-0.443	-0.604	0.0	-0.745	-0.955	-0.184	0.0	0.0	0.0	-0.117	0.296	-1.43	0.486	0.402	0.0	0.0	-0.84	0.44	-1.201	-0.302	-0.293	0.0	0.0	0.234	0.0	-0.872	0.44	0.0	-0.363	-0.353	0.0	0.0	-0.723	-0.346	0.0	-0.758	0.227	-0.173	0.0	0.0	0.0	-0.145	-0.727	0.0	0.092	0.083	0.241	-0.114	0.041	-0.635	0.0	0.0	-0.43	-1.169	0.0	-0.124	0.0	-0.246	0.416	0.0	0.0	0.0	0.0	0.0	-0.354	-0.315	0.0	0.0	0.0	0.085	-0.109	0.0	0.054	0.348	-0.168	0.05
free_topic	Add-f0f0_108_spiders-16	-0.015	-0.319	-0.529	-0.28	-0.306	0.0	0.0	-0.015	-0.284	0.0	0.0	-0.168	0.0	-0.589	0.0	-0.448	-0.03	-0.47	-0.649	-0.969	0.0	0.0	0.137	0.0	0.0	0.252	0.0	-0.64	-0.421	0.747	-0.455	-0.259	0.41	-0.939	0.0	0.0	-0.325	0.0	-0.601	0.0	0.0	-1.65	0.289	0.142	0.0	-0.236	-0.058	0.0	-0.296	0.0	0.0	-0.159	-0.233	-0.553	-0.274	-0.83	-0.444	-0.513	0.0	0.0	-0.225	-0.384	-0.138	-0.302	-0.762	0.0	-0.067	0.0	0.0	-0.731	0.0	0.0	-0.044	-0.179	-0.942	0.0	0.0	-0.022	-0.012	0.0	0.355	0.0	0.0	0.0	0.0	-0.133	-0.247	0.0	0.0	0.0
free_topic	Add-f0f0_10_spiders-19	0.017	0.0	0.447	0.0	-0.511	0.0	-0.32	-0.068	0.013	-0.364	0.0	0.0	-0.259	-0.097	0.0	0.0	0.0	-0.436	-0.11	-0.485	0.0	-0.312	0.0	0.0	-0.356	0.0	-0.109	-1.073	-0.151	0.423	-0.976	0.0	-0.479	0.136	0.0	0.0	0.088	-0.226	0.0	0.0	0.0	0.0	0.0	-1.731	-0.135	-0.582	0.349	0.0	0.142	-0.464	0.0	0.107	-0.061	0.0	-1.891	-0.526	0.0	-0.133	-0.485	-0.052	-0.14	-0.259	0.0	-0.731	0.338	-0.572	-0.892	0.0	-0.739	-0.345	-0.731	-0.438	0.0	-0.7	0.392	0.168	0.0	0.0	-0.209	-0.108	0.0	-0.401	-0.549	0.0	-0.109	0.0	0.0	0.0	0.0	0.0
free_topic	Aeg-b853_46_spiders-9	-0.395	0.0	-0.168	0.168	0.0	0.0	0.0	-0.41	-0.129	0.0	0.0	0.0	0.0	0.0	0.0	0.352	0.168	-0.134	-1.196	0.0	-0.438	-0.046	0.0	-0.459	-0.685	-0.308	-0.239	0.0	0.0	0.203	-0.148	-0.754	0.0	-0.651	0.0	0.0	0.0	0.0	-0.446	0.0	0.0	0.0	0.0	-0.283	0.0	-0.152	0.0	0.0	0.0	-0.15	-0.006	0.0	-0.027	0.0	0.0	-0.061	-0.643	-0.597	0.0	0.0	0.0	-0.359	-0.189	-0.302	-0.887	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.339	-0.412	0.0	0.0	-0.553	-0.48	-0.359	0.0	0.0	0.447	0.0	0.0	-0.347	-0.133	-0.491	0.568	0.0	0.0
free_topic	Aes-3859_29_Arthropoda-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.009	0.0	0.0	0.229	-0.556	0.0	0.0	0.285	0.0	0.306	0.0	0.0	0.0	0.0	0.253	0.0	0.196	0.0	0.0	0.0	0.0	0.0	0.0	-0.249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027	0.0	0.0	0.0	0.0	-0.639	0.0	0.0	0.0	0.0	0.252	0.0	-0.558	0.0	0.091	0.0	0.0	0.0	0.0	0.0	0.274	0.0	0.0	0.0	0.0	-0.614	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
free_topic	Aes-55d6_46_spiders-8	0.313	0.0	0.0	0.41	-0.574	-0.655	0.532	-0.294	0.0	0.08	0.0	-0.557	0.0	0.0	0.041	-0.364	-1.142	-0.133	0.0	0.64	-0.037	0.0	0.17	-0.512	0.0	-0.752	0.0	-0.689	-0.672	-0.506	-0.9	0.0	-0.333	0.0	-0.694	-0.583	-0.27	0.242	-0.443	-0.107	0.076	0.323	0.052	0.0	-0.868	0.288	0.0	0.0	0.0	0.45	0.0	-0.958	0.104	-0.512	0.186	-0.276	0.0	-0.338	0.0	0.0	0.0	0.0	0.399	-0.483	0.0	-0.826	-0.527	-0.212	0.0	-0.377	0.0	0.352	-0.893	-0.224	0.0	0.0	0.0	0.0	0.133	-0.202	0.09	0.0	0.0	0.0	0.0	-0.046	0.0	-0.34	0.0	-0.375
free_topic	Aes-55d6_47_spiders-18	-0.394	-0.008	0.447	-0.199	-0.511	0.067	0.0	-0.103	0.0	-1.617	-0.302	-0.512	0.0	-0.404	-0.17	0.0	-0.724	0.321	0.0	0.0	0.0	-0.48	-0.642	0.328	-1.162	0.352	0.0	-0.199	0.0	-0.072	0.0	0.107	0.0	0.0	0.0	-0.243	0.0	-0.785	-0.648	0.0	0.0	-0.36	0.0	-1.361	-1.132	-0.09	-0.295	0.114	0.269	-0.622	-0.262	0.423	-0.347	-0.289	0.0	-0.162	0.0	0.446	0.0	-0.136	0.0	0.0	0.357	0.0	0.0	-0.359	0.0	-0.896	-0.647	0.352	0.0	-0.076	-0.702	-0.858	0.0	0.168	0.028	0.304	0.0	0.0	0.0	0.0	-0.046	0.0	0.0	-0.039	-0.239	-0.411	0.0	0.266
free_topic	Ama-5544_113_Spiders-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
free_topic	Ama-5544_13_spider-2	0.009	0.045	0.656	0.019	0.0	0.065	-0.597	-0.566	0.352	-0.157	0.0	-0.391	0.0	-0.534	0.0	0.0	0.0	-0.184	0.149	0.0	0.0	0.0	0.0	0.0	-0.184	0.0	-0.25	0.0	0.0	-0.347	-0.607	0.712	-0.357	-0.801	0.0	0.0	-0.404	-0.355	0.0	0.421	0.298	0.0	0.0	0.143	-0.316	0.052	-0.561	0.0	0.0	0.0	0.0	-0.118	-0.05	0.0	-0.198	-0.037	0.087	0.0	-0.062	-0.519	0.79	-0.064	-0.581	0.0	0.0	0.0	-0.169	-0.156	-0.38	0.0	0.0	-1.467	-0.292	0.0	-0.046	0.0	0.0	0.042	0.0	0.0	-0.48	0.0	0.0	0.0	0.0	-0.532	-0.18	-0.76	-0.006	0.0
free_topic	Ama-5544_16_weaver-37	0.0	0.308	0.0	-0.551	0.0	0.0	0.0	-0.566	0.0	0.497	0.0	-0.392	0.0	-0.732	0.0	0.0	0.625	-1.069	0.0	0.0	-0.353	0.0	-0.196	0.0	0.0	0.0	0.0	0.469	0.516	0.657	0.322	-0.41	0.0	-0.398	0.0	-0.523	0.15	-0.123	0.0	0.0	0.298	0.0	0.0	0.0	-0.605	0.0	-0.287	-0.348	0.0	0.0	0.0	-0.555	-0.05	0.0	-0.158	0.0	-0.337	-0.248	-0.192	0.0	-0.295	0.0	-0.115	-0.051	-0.274	-0.325	0.183	0.0	-0.928	0.0	0.0	-1.528	0.0	-0.147	0.0	0.0	-0.3	0.0	0.0	0.0	-0.099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.006	0.0
free_topic	Amaf4d6_1_spiders-12	0.206	-0.409	0.0	-0.592	0.267	-0.918	-0.317	-1.106	-0.198	-0.204	0.0	-0.315	-0.279	0.0	-0.551	0.423	0.25	0.0	-0.377	0.111	-1.018	0.09	-0.034	0.318	-0.706	-0.629	0.0	-0.021	-0.757	0.0	0.0	-0.348	-0.473	0.0	0.0	-0.48	-0.152	-0.178	0.0	-0.094	0.089	0.0	0.001	0.0	-0.3	-0.263	-0.729	0.554	-0.369	0.0	-0.734	-0.249	-0.327	-0.646	-0.278	-0.578	-1.186	0.0	0.0	0.201	-0.7	0.0	0.361	-0.459	-0.264	-0.136	0.039	-0.622	-1.134	-0.336	-0.29	0.561	0.0	-1.08	0.347	0.396	0.335	-0.321	0.0	-0.051	0.0	0.214	-0.698	-0.319	-0.692	0.0	0.0	-0.422	-1.39	-0.694
free_topic	Amaf4d6_2_spider-3	0.274	0.0	0.0	0.0	0.0	-0.255	-0.02	0.0	0.0	0.0	-0.193	0.0	0.0	0.0	0.0	0.0	0.415	0.425	0.0	0.0	0.0	-0.101	-1.341	0.0	0.596	-0.105	-0.121	0.0	0.0	0.31	-0.327	-0.682	0.0	-0.646	0.0	0.0	-0.262	0.0	0.347	0.299	-0.264	0.0	0.0	-0.004	0.0	-0.71	0.0	-0.236	0.0	0.0	0.0	0.0	0.0	-0.542	-0.248	0.0	0.236	-0.507	0.0	0.0	0.0	-0.779	0.0	0.0	-0.618	-0.171	0.0	-0.036	-0.435	0.0	0.0	-0.019	0.0	-0.06	-0.364	0.0	0.0	0.0	-0.079	0.0	-0.488	0.0	0.0	0.0	0.0	-0.319	0.0	0.0	0.0	0.0
free_topic	Amaf4d6_3_spiders-5	-0.665	-0.217	0.354	0.0	0.0	-0.201	-0.019	-0.575	0.0	-0.709	-0.469	-0.18	-0.582	0.0	0.0	0.052	0.0	-0.197	0.066	-0.284	-0.689	0.0	-1.1	-0.41	-0.579	-0.061	0.0	-0.318	0.0	0.0	-0.704	0.607	-0.689	-0.095	-0.598	-0.209	0.0	-0.469	-0.054	-0.654	-0.48	-0.313	0.0	-0.006	0.089	0.0	-0.732	0.458	-0.784	0.0	0.193	-0.998	-0.451	0.0	0.0	0.0	0.0	0.0	0.0	-0.106	-0.618	0.077	0.0	0.0	-0.538	-0.179	-0.115	-0.201	0.0	0.522	-0.442	-0.347	0.0	-0.184	0.0	0.0	0.218	0.019	0.0	0.0	0.0	-0.63	0.0	-0.954	0.0	-0.253	0.352	-0.403	-0.747	-0.604
free_topic	Amaf4d6_3_weaver-4	0.0	-0.063	0.0	0.0	0.0	-0.617	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.469	0.0	-0.195	0.0	0.0	-0.837	-0.917	0.0	0.0	0.0	0.0	0.0	0.0	-0.168	-0.473	-0.621	0.0	0.0	0.0	0.0	0.0	0.0	-0.207	0.0	-0.011	0.0	0.0	0.0	-0.456	0.0	0.0	-0.233	0.09	0.0	0.497	0.0	0.052	0.0	0.214	0.0	0.088	-0.115	0.0	0.0	0.0	-0.396	0.0	0.0	0.0	0.0	-0.006	-0.443	0.0	-0.189	0.0	-0.221	0.0	0.0	0.432	0.0	0.0	-0.008	0.0	0.0	-0.248	-0.666	0.0	0.0	-0.48	-0.347	0.0	0.0	-1.3	-0.699
free_topic	Amaf4d6_4_spiders-18	-0.754	-1.001	0.0	0.0	0.41	-0.246	-0.147	-0.24	0.214	-0.596	-0.815	-0.317	-0.976	-0.783	0.486	0.052	0.0	0.0	-0.203	-0.046	-0.94	0.0	0.0	-0.712	-0.446	-0.239	0.0	-0.041	0.0	-1.014	-0.215	0.0	-0.053	-0.929	0.0	0.0	0.0	-0.591	0.0	-0.426	-0.277	-0.585	0.0	-0.157	0.0	0.0	0.0	0.317	0.0	-0.427	0.0	0.0	-0.036	0.0	0.0	0.0	0.0	0.0	0.0	-0.725	-0.387	-0.658	-0.428	-0.506	0.0	-0.227	0.0	0.083	-0.266	0.38	-0.287	-0.149	0.0	-0.342	0.0	-0.151	0.0	0.0	-0.661	0.0	0.0	-0.342	0.0	-0.042	0.0	0.0	0.352	0.0	-0.359	0.0
free_topic	Amb-b5dc_25_spiders-14	0.0	0.0	0.393	-0.316	-0.388	0.0	-0.447	0.425	-0.483	-0.858	0.0	0.0	0.0	-0.207	0.0	0.0	0.0	-0.559	0.0	0.0	-0.41	-0.33	-0.727	0.0	-0.061	0.621	-0.39	0.0	0.109	0.0	-1.671	-0.564	-0.492	0.622	0.279	0.0	-0.129	0.0	-0.051	0.0	-0.261	0.0	0.0	0.0	-0.094	0.0	0.455	0.0	0.0	-0.344	-0.257	0.091	-0.311	0.0	-0.621	-1.032	0.0	0.0	-0.473	-0.086	-0.183	0.0	-0.243	0.136	0.338	-0.534	0.103	-0.354	-0.448	0.0	-0.293	-0.542	-0.166	0.0	0.0	-0.018	0.168	0.178	0.144	0.159	0.0	0.0	0.27	0.24	0.0	0.0	0.0	0.0	0.0	0.0
free_topic	Amb-b5dc_29_spider-2	0.0	0.0	-0.8	0.0	0.0	-0.427	0.0	0.04	-0.555	-0.388	0.0	-0.496	0.0	-0.534	-0.277	0.0	-0.404	0.0	0.0	-0.126	0.0	0.0	0.15	0.0	0.0	0.0	0.0	-0.354	-0.452	0.0	0.0	0.0	0.0	-0.398	0.278	0.0	0.0	0.0	0.0	-0.064	0.148	0.0	0.0	0.0	-1.058	0.0	-0.459	0.0	-0.41	0.0	0.0	0.108	-0.05	0.052	0.0	-0.484	-1.581	0.0	0.0	-0.171	-0.35	0.0	0.0	0.0	0.0	-0.567	0.0	-0.495	-0.38	0.0	0.0	-0.588	0.0	0.0	0.0	0.14	-0.007	-0.39	0.0	-0.333	0.0	0.118	0.0	-0.323	0.0	0.0	-0.424	0.118	-0.006	0.0
free_topic	Amb-b5dc_30_spider-3	-0.4	0.0	-0.031	0.015	-0.006	-0.326	-0.452	-0.488	0.0	-0.572	-0.392	0.0	0.0	-0.534	-0.015	0.0	-0.016	-0.991	0.0	0.0	-0.006	0.0	0.0	-0.569	0.0	-0.061	0.277	0.0	-0.716	-0.244	0.0	-0.338	0.0	-0.398	0.0	0.0	-0.388	0.0	0.0	0.333	0.206	0.0	-0.183	0.0	-0.606	-0.121	-0.764	0.0	-0.862	0.559	-0.483	-0.221	-0.347	0.0	0.0	-0.211	-0.361	0.631	0.0	-0.108	-0.154	0.0	-0.551	-0.231	-0.41	-0.071	0.296	-0.694	-1.029	0.0	0.0	-0.789	-1.101	0.0	0.0	0.282	0.0	-0.697	-0.347	0.0	0.0	0.0	-0.523	-0.767	-0.223	-0.354	0.0	-0.198	-0.006	0.0
free_topic	Ambee78_13_spider-11	-0.156	0.146	-0.382	-0.033	-0.227	-0.547	-0.655	-0.708	0.359	0.526	-0.199	0.107	0.0	-0.334	0.0	0.021	-0.07	-0.062	0.0	-0.184	-0.205	0.0	0.0	0.328	-0.018	0.0	0.0	0.145	0.0	0.057	-1.046	0.0	-0.036	-0.063	-0.223	-0.305	-0.167	0.0	0.0	0.011	0.353	-0.33	0.0	0.269	0.0	0.0	0.126	-0.399	0.0	0.121	0.998	-0.346	-0.098	0.0	-0.148	-0.376	-1.069	-0.095	0.0	0.068	-0.209	-0.712	0.0	0.364	0.0	-0.216	0.0	0.759	-0.624	-0.625	0.0	-0.144	-0.25	-0.361	-0.331	-0.023	-0.162	0.0	0.0	0.0	0.0	0.0	0.0	-0.099	-0.395	0.0	0.0	0.0	-0.373	-0.085
free_topic	Ambee78_14_spider-4	-0.777	0.337	0.753	0.0	-0.393	-0.547	0.0	0.0	0.285	-0.889	0.0	0.0	0.0	-0.17	0.135	0.021	0.0	-0.117	0.0	0.0	0.0	0.0	0.0	0.039	0.0	0.0	0.0	0.665	0.0	0.057	0.0	0.0	-0.191	0.0	0.0	0.0	-0.136	0.0	0.0	0.0	-0.231	-0.124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.121	0.592	0.0	0.0	0.0	-0.396	-0.376	-0.68	0.0	0.0	0.0	-0.294	0.0	0.0	0.0	0.0	-0.216	0.0	0.0	-0.582	0.0	0.0	-0.144	0.0	0.0	0.083	0.193	-0.162	0.0	0.0	0.478	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.122	0.437
free_topic	Ambee78_15_spider-4	0.0	0.0	-0.124	0.0	0.0	0.0	0.0	0.0	0.0	0.437	0.0	0.0	0.0	0.0	0.0	0.285	0.0	0.0	0.0	-0.205	0.0	-0.032	-0.842	0.0	0.0	0.0	0.0	0.0	0.432	-0.59	0.0	-0.381	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.52	-0.776	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.122	0.0	0.0	0.0	0.0	0.0	-0.454	0.0	0.359	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	-0.209	0.0	-0.294	0.0	0.0	0.107	0.0	0.0	0.0	-0.564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
free_topic	Ame-fe9c_114_arachnids-46	0.48	-0.122	-0.572	0.184	-1.038	0.0	0.0	0.0	-0.764	0.584	0.078	-0.061	0.094	0.0	-0.156	-5.32	-0.369	1.183	0.24	-11.916	0.0	0.0	0.0	0.0	-0.359	0.0	-0.592	0.0	-0.919	0.0	-0.865	0.0	0.784	-0.521	0.0	0.0	0.0	0.0	-0.832	0.0	-2.025	0.0	-0.024	-0.092	-0.062	-0.012	-0.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.135	-0.859	0.0	-0.384	0.0	0.0	-3.966	0.0	0.24	0.0	-0.599	-1.543	-0.481	-0.282	0.0	-1.285	0.0	0.0	-0.483	-0.247	-1.694	-1.158	0.0	0.0	-3.105	-0.286	0.0	-0.865	-0.353	1.174	-0.146	0.0	0.0	0.0	0.0	-0.315
free_topic	Amp-436a_289_arthropod-14	0.211	0.0	0.0	0.0	0.0	-0.605	-0.564	0.0	0.055	0.0	0.308	-0.523	-0.098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.134	-0.721	-0.68	0.0	0.0	-0.371	0.0	0.0	0.033	-0.648	0.0	-0.006	0.0	0.0	0.0	0.0	-0.051	0.0	-0.014	0.041	-0.083	0.0	0.0	0.0	0.0	0.0	0.09	-0.061	-0.304	-0.479	0.0	0.0	-0.189	-0.388	0.0	0.347	-0.901	0.0	0.0	0.0	-0.236	-0.515	-0.355	0.0	0.0	0.0	0.0	-0.93	0.0	0.0	-0.113	0.0	0.0	0.0	-0.685	0.0	-0.006	-0.575	0.0	-0.419	-0.312	0.0	0.0	-0.167	0.0	0.0	0.0	0.0	0.0
