rel_role	token_id	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89
free_topic	Acc-0f45_121_bat-11	-0.027	0.0	0.0	-1.199	0.0	-0.707	-0.006	0.0	0.0	-0.581	0.0	0.0	0.0	0.0	0.159	-0.051	0.0	0.142	0.0	0.0	-0.015	0.166	-0.844	0.0	0.0	-0.219	-0.336	0.0	0.0	-0.088	0.111	0.0	-0.87	0.0	0.035	0.0	0.079	0.0	0.0	0.0	0.499	-0.484	0.386	-0.402	0.0	-0.095	0.0	-1.991	0.0	-0.465	-0.642	0.0	0.0	0.0	-0.4	0.233	0.526	0.0	0.0	0.0	0.0	-0.5	0.0	-0.093	0.0	0.0	0.088	0.0	0.0	0.056	-0.41	-0.036	0.0	0.0	0.576	0.0	0.0	0.0	-0.061	0.0	-0.613	0.0	-0.392	0.0	0.0	0.0	0.0	-0.33	0.0	0.0
free_topic	Acc-0f45_121_bats-24	0.0	0.008	0.564	0.0	-0.403	-0.621	-0.008	0.0	0.0	-0.666	0.0	0.502	0.0	0.06	-0.115	0.0	0.0	0.396	0.0	0.0	0.0	0.0	-0.569	0.0	-0.428	0.0	0.0	0.0	-0.201	0.0	-0.578	-0.309	-0.227	0.0	0.0	0.083	0.0	-0.662	0.0	0.0	0.05	-0.162	0.0	-0.508	-0.878	0.0	0.155	0.0	0.0	-0.184	0.239	-0.204	0.0	0.0	0.0	-0.394	0.0	0.0	0.0	-0.191	0.0	0.0	0.05	0.0	0.0	-0.306	0.0	-0.334	-0.634	0.114	-0.032	-0.462	0.0	0.0	0.0	-0.106	0.0	0.443	0.0	0.0	-0.308	0.0	0.0	0.201	0.0	-0.561	0.0	-0.35	0.0	-0.039
free_topic	Ace6f0f_10_bats-5	0.0	0.0	0.44	0.0	-0.635	0.0	0.0	0.0	-0.375	-0.111	0.0	0.0	0.0	-0.609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.239	0.0	0.0	0.0	0.0	0.0	0.0	-0.445	0.0	0.524	0.0	0.0	0.222	-0.548	0.0	0.0	0.0	0.0	0.519	0.0	0.0	0.0	0.0	0.0	0.0	-0.29	0.0	-0.181	-0.269	0.0	0.0	-1.18	0.0	0.0	0.0	0.0	0.022	0.0	0.0	0.032	0.0	-0.257	0.0	0.0	-0.561	0.0	0.016	-0.246	-0.131	0.0	0.0	0.296	0.0	0.0	0.0	-0.398	0.0	0.0	0.216	0.0	-0.343	0.0	0.0	0.0	0.0	0.0
free_topic	Ada-40f7_40_bats-7	0.0	0.0	0.515	-0.123	-0.107	0.051	0.0	0.0	0.0	-0.17	-1.235	0.0	0.0	0.0	-0.219	0.544	0.0	0.0	-0.453	0.0	0.0	0.469	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.633	0.0	0.0	0.106	0.0	0.0	0.0	-0.018	0.0	0.183	0.0	0.0	0.0	0.0	-0.85	0.0	0.0	0.0	-0.287	-0.013	-0.013	0.0	-0.676	-0.375	-0.075	-0.88	0.052	0.0	-0.307	-0.48	0.0	-0.06	-0.16	0.328	0.0	-0.339	0.0	-0.605	-0.138	0.0	0.0	-0.339	0.0	0.0	0.0	-0.328	0.0	0.0	0.0	0.0	0.0	0.266	-0.006	-0.198	0.0	0.142	0.0	0.0	0.0	-0.089
free_topic	Ada-8b4f_112_bat-22	0.0	-0.152	-0.879	0.0	0.131	0.0	0.0	-1.399	0.42	0.0	0.453	0.0	-0.358	-0.716	0.0	0.515	-0.384	-0.199	-0.066	0.0	0.0	-0.159	1.103	-0.307	-0.016	-0.853	0.0	0.221	0.0	-0.251	0.367	0.0	-0.271	-0.398	0.807	-1.191	-0.532	-0.202	-0.9	-0.084	0.298	0.0	-0.398	-1.273	0.0	0.0	-0.555	-1.171	-0.528	-0.019	0.373	-0.407	-0.262	0.0	-1.516	-0.193	0.157	0.0	-0.318	-0.401	-0.715	0.716	-0.424	-0.278	0.0	-0.246	-0.312	0.087	-0.38	-0.388	0.131	-0.307	-1.076	0.017	-0.397	-0.364	-1.397	0.018	0.0	0.0	-0.51	-0.225	0.0	0.019	-1.324	0.0	0.0	0.0	-0.038	0.0
free_topic	Ada-8b4f_112_bat-27	0.0	0.324	-0.199	0.0	0.131	0.0	0.0	-0.249	0.42	0.0	0.453	-0.41	-0.354	-0.181	0.0	0.515	-0.776	-0.879	-0.066	0.0	0.0	-0.013	0.408	-0.368	-0.016	-0.352	0.0	0.0	0.0	-0.251	0.177	0.0	0.371	0.0	0.807	-1.191	-1.083	-0.202	-0.693	-0.084	0.0	0.0	-0.398	-1.273	0.0	0.0	-0.762	-1.171	0.019	-0.019	0.374	-0.39	-0.212	0.0	-1.325	-0.193	0.157	0.0	-0.318	-0.256	-1.237	0.571	-0.424	-0.278	0.0	-0.252	-0.312	0.087	0.0	-0.388	0.131	-0.307	-1.076	0.017	-0.397	-0.364	-1.083	0.018	0.0	0.0	-0.51	-0.225	0.0	-0.528	-1.017	0.0	0.0	0.0	0.0	0.0
free_topic	Ada-8b4f_112_bat-33	0.231	0.0	0.0	-0.859	0.131	-0.339	-0.372	-0.883	-0.546	0.029	0.0	-0.289	0.0	-0.534	-0.043	-0.264	0.0	-0.535	-0.049	0.515	-0.077	0.321	0.0	-0.307	0.0	-0.122	0.0	0.0	-0.759	0.392	-0.574	0.167	0.408	-0.704	-0.352	0.0	-0.062	0.0	0.0	0.0	0.298	0.0	-0.364	0.0	-0.132	0.495	-0.313	0.0	-0.45	0.0	0.401	-0.22	-0.561	-0.006	0.02	-0.061	-1.376	-0.307	0.0	-0.42	-0.138	-0.087	0.087	-0.302	-0.595	-0.277	0.0	-0.193	-0.363	0.581	0.22	0.33	-0.152	-0.779	-0.112	0.0	-1.143	0.0	-0.65	0.336	-0.071	0.0	0.0	-0.478	-1.156	-0.591	-0.598	-0.283	-0.006	0.0
free_topic	Ada-8b4f_112_bats-11	-1.154	-1.382	0.515	-0.535	0.832	0.56	-0.061	0.029	0.366	-0.374	-0.04	-0.785	-1.25	-1.077	-1.622	0.0	0.0	0.0	0.0	0.0	0.0	0.079	-0.147	0.095	-0.21	0.0	-1.244	0.248	-0.084	-0.451	-1.081	-0.117	1.201	-0.247	-0.019	-1.027	-0.936	-0.461	0.0	0.617	0.0	-1.119	-0.091	0.0	-0.225	-0.223	-0.624	-0.184	0.379	-1.311	-0.087	-0.498	0.0	-2.091	0.296	-0.903	-0.656	-0.507	-0.046	-0.752	0.12	0.0	0.626	0.0	-0.313	0.069	-1.789	-2.501	-0.384	-0.137	-0.432	-1.328	0.0	0.017	-0.462	-0.462	-0.001	0.0	-0.212	-0.256	-0.641	-0.084	-0.006	-0.376	-0.759	-0.908	0.0	0.716	-0.503	0.566
free_topic	Afr-3b7b_190_bat-9	0.0	0.0	0.0	0.0	-0.184	0.0	0.0	0.135	0.0	0.0	0.0	0.0	0.168	0.0	0.0	0.0	0.0	0.0	0.0	0.233	0.0	-0.138	-0.397	0.0	0.0	0.0	0.0	0.0	0.49	-0.058	-0.486	0.0	-0.511	0.0	0.0	0.0	0.0	-0.457	-0.029	0.306	0.41	-0.068	0.0	0.0	0.0	0.0	0.0	0.447	0.0	0.0	0.0	0.0	0.044	0.0	-0.449	-0.438	0.538	0.0	0.0	0.0	0.0	0.0	-0.455	0.0	-0.613	-0.08	0.0	0.0	0.0	0.0	0.0	-0.461	0.0	-0.336	0.0	0.0	0.0	0.0	0.0	0.0	0.075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.168	0.0
free_topic	Afr-7a1b_122_bats-18	0.31	-1.197	-0.461	0.0	-1.409	0.0	0.0	0.0	-2.765	0.0	0.533	0.0	0.0	0.0	0.026	-2.404	0.0	1.317	0.491	-4.516	0.0	0.0	0.0	-0.551	0.0	0.0	0.0	0.0	0.0	0.0	-0.511	-0.315	0.392	0.303	0.0	0.069	0.0	-0.384	-0.133	0.0	0.19	-0.426	-0.085	0.0	0.0	-0.506	-0.248	-0.818	-0.091	-1.743	-0.523	0.405	0.0	0.0	-0.124	0.0	-0.553	0.0	0.0	0.0	-1.432	0.0	-1.029	-0.266	-0.506	-1.854	-0.684	0.157	0.0	-1.295	0.0	-0.392	1.122	-0.842	-0.226	0.0	0.0	0.0	-1.904	-0.824	0.0	-0.197	0.0	0.434	-0.563	0.0	0.449	0.0	0.0	1.769
