rel_role	token_id	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89
free_topic	Ado-9717_49_sheep-5	0.0	0.0	0.0	0.0	-0.328	0.0	0.0	-0.262	0.0	0.0	0.0	0.043	0.168	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.202	-0.962	0.0	0.0	0.0	0.0	0.0	-0.028	-0.212	-0.866	0.0	-0.511	0.0	0.0	0.0	0.0	-0.251	-0.142	-0.129	-0.179	-0.544	0.0	0.0	0.0	0.0	-0.571	0.447	0.0	0.0	0.0	0.0	-0.104	0.0	-0.321	-0.438	0.111	0.0	0.0	0.0	0.0	0.0	-0.4	0.0	-0.603	-0.09	0.0	0.0	0.0	0.0	-0.478	0.078	0.0	0.152	0.0	0.0	0.0	0.0	0.0	0.0	-0.514	0.406	-0.404	0.0	0.0	0.0	0.0	0.0	-0.168	0.0
free_topic	Afr-0045_160_Bongo-7	0.0	0.052	0.829	0.0	0.0	0.116	-0.393	0.612	0.0	0.0	-0.529	-0.215	-0.073	-0.392	0.0	0.0	-0.84	-0.021	-0.307	-0.922	0.089	0.0	0.0	1.359	0.0	0.0	-0.666	0.0	1.108	-0.138	0.0	0.0	0.492	0.0	-0.018	-0.272	0.0	0.297	0.0	0.498	-0.551	0.0	-0.814	-0.517	0.255	0.275	0.206	-1.036	0.0	-0.428	-0.613	-0.947	0.0	0.128	-0.006	-0.091	-0.045	0.696	0.0	-0.223	0.0	-0.155	0.393	-0.485	0.058	0.0	0.0	0.188	0.212	0.0	-0.19	-0.166	0.0	0.0	-0.574	0.0	0.0	-0.269	0.0	0.0	-0.07	0.0	-0.051	0.0	0.481	0.0	-0.572	0.653	0.0	-1.074
free_topic	Afr-0045_46_cows-10	0.517	0.0	0.0	0.0	0.0	-0.054	0.0	0.214	-0.161	0.0	0.0	0.0	-0.335	0.0	0.027	-0.588	0.0	0.0	0.0	0.0	0.0	-0.36	-0.279	-0.533	0.0	0.0	0.042	0.0	0.0	0.183	-0.534	0.0	0.027	0.0	0.0	0.0	0.0	0.0	0.0	-0.014	-0.383	0.005	0.0	0.0	0.0	0.0	0.0	-0.309	0.0	-0.161	-0.588	-0.335	0.0	-0.204	-0.262	0.0	0.58	-0.901	0.0	0.0	0.0	-0.236	-0.722	-0.149	0.0	0.0	0.0	0.0	-0.161	0.0	0.0	0.215	0.0	0.0	0.0	-0.399	-0.534	0.0	-0.266	0.0	-0.401	-0.12	0.0	0.0	0.0	0.0	0.0	-0.161	0.0	0.0
free_topic	Afr-0045_60_cows-21	0.581	0.0	0.0	-0.636	0.604	-0.306	0.232	0.769	-0.49	-0.408	0.0	-0.061	0.0	0.0	-0.043	-0.595	0.0	-0.89	-1.139	0.33	-0.165	0.0	0.43	0.046	0.0	-0.184	0.0	0.0	0.232	-0.391	-0.558	-0.186	0.157	-0.101	-0.724	0.0	0.603	0.0	0.0	0.545	-0.001	0.0	-0.862	0.0	-0.631	-0.156	0.071	-0.343	-0.45	0.0	0.211	-0.299	-0.511	-0.006	-0.333	-0.551	-0.022	-0.324	0.0	0.476	0.207	0.176	-0.113	0.254	-0.476	-0.136	0.0	-0.318	0.121	0.785	0.212	0.33	-1.647	-2.518	0.092	-0.523	-1.049	0.0	-0.98	0.063	0.139	0.0	0.0	-1.021	-0.568	-0.351	-0.668	0.0	0.0	-0.315
free_topic	Afr-324e_104_Cows-1	0.0	0.28	0.0	0.0	-0.615	0.0	0.0	-0.696	0.0	-0.134	-0.371	-0.569	0.0	0.0	0.0	0.0	-0.748	0.0	-0.381	0.0	-0.203	0.0	0.0	0.0	0.0	0.0	0.0	-0.448	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.246	0.0	0.096	0.0	0.136	0.167	0.0	0.0	0.0	-0.671	-0.324	0.0	0.0	0.0	-0.06	0.0	0.0	-0.157	0.302	-0.418	0.0	0.0	-0.36	0.0	0.0	-0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.483	0.0	0.001	0.0	0.0	0.0	0.0	-0.355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.105	0.0
free_topic	Afr-324e_113_buffaloes-2	0.322	0.0	0.0	-0.294	-0.475	0.0	0.0	-0.302	-0.172	-0.199	0.0	0.0	0.0	0.0	-0.117	0.434	0.0	-0.102	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.081	0.0	-0.491	0.0	-0.334	-0.147	0.233	0.0	0.0	0.0	0.0	0.0	0.0	-0.485	0.521	-0.534	-0.127	0.0	0.0	-0.605	-0.426	-0.418	0.0	0.0	0.865	0.137	0.0	-0.464	0.144	0.0	-0.501	0.0	0.0	-0.074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.305	-0.109	0.0	-0.304	-0.171	0.0	-0.133	0.356	-0.273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.274	-0.646	0.0	0.0	0.0	0.0	0.0
free_topic	Afr-324e_115_cow-6	0.032	0.0	0.0	0.0	-0.406	-0.66	-0.293	-0.402	0.0	0.123	-0.231	0.0	-0.162	-0.649	0.378	-0.619	-0.481	-0.806	-0.051	-0.04	-0.958	0.0	0.134	-0.145	0.0	-0.581	-0.438	-1.518	-0.129	0.0	-0.813	0.0	0.0	-0.495	-0.599	0.0	-1.132	0.874	-0.477	-0.363	0.353	0.0	-0.841	-0.828	-0.249	0.0	0.0	0.0	-1.653	-0.559	0.0	0.0	-0.558	-1.261	0.0	0.281	0.124	0.0	-0.497	-0.583	0.0	0.019	0.26	0.0	0.376	-0.414	0.0	-0.519	-0.239	0.0	-0.559	0.0	-0.332	0.036	0.0	0.0	0.0	0.0	0.0	-0.196	0.386	0.571	0.0	-0.345	0.096	0.0	0.153	0.0	-0.192	-0.239
free_topic	Afr-354e_10_buffalo-11	0.0	0.0	0.611	-0.302	-0.55	0.0	0.0	-1.301	-0.051	-1.094	0.014	0.0	0.0	-0.731	0.0	0.0	0.0	-0.199	0.0	0.0	0.0	-0.061	-0.133	-0.465	0.0	0.317	-0.256	0.093	0.0	0.0	-0.729	0.433	-0.874	-0.473	0.0	0.0	-0.841	0.0	0.0	-0.407	0.415	0.0	0.0	-0.061	-0.051	0.0	-0.95	0.0	-0.491	-0.07	0.157	-0.652	-0.601	0.0	-0.508	-0.223	-0.029	-0.493	-0.461	0.023	-0.073	-0.392	0.0	0.392	0.048	-0.697	-0.061	-0.568	-0.53	0.207	-0.006	-1.078	-0.057	-1.174	0.0	-0.018	-0.643	0.0	-0.366	0.0	0.0	0.0	-0.405	-0.329	-0.393	0.0	0.0	0.881	-0.794	0.0
free_topic	Afr-354e_11_buffalo-3	0.0	0.0	0.0	0.0	0.0	-1.679	0.0	0.0	0.0	-0.174	0.0	0.0	0.0	0.0	-0.66	0.0	-0.416	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.011	-0.427	0.0	0.0	0.0	0.0	-0.089	0.0	0.0	0.0	0.121	0.0	0.345	0.0	0.0	0.0	0.0	0.0	0.0	-0.622	0.0	0.102	0.0	0.0	-0.134	0.0	0.0	0.0	-0.505	-0.737	0.0	0.0	-0.57	-0.612	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.451	0.0	-0.344	0.0	0.0	0.0	0.035	0.559	-0.067	0.0	-0.402	0.0	-0.228	0.0	-0.092	0.0	-0.535	0.0	-0.127	-0.049	0.0
free_topic	Afr-354e_1_buffalo-3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.305	0.0	0.0	0.0	0.141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.504	0.148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.713	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
