relation	btoken	rtoken	btag	bloc	rtag	rloc	rdist	bterm	rterm	tagscore
location	Afr-354e_14_buffalo-3	Afr-354e_14_rainforests-33	Afr-354e_14_buffalo-3_1442	14	Afr-354e_14_rainforests-33_3811	14	0	African buffalo	rainforest	100.0
location	Wat-9861_99_buffalo-6	Wat-9861_99_swamp-18	Wat-9861_99_buffalo-6_3920	99	Wat-9861_99_swamp-18_3808	99	0	water buffalo	swamp	100.0
location	Wat-9861_243_buffalo-20	Wat-9861_243_swamp-16	Wat-9861_243_buffalo-20_3920	243	Wat-9861_243_swamp-16_3808	243	0	water buffalo	swamp	100.0
location	Wat-9861_84_buffalo-27	Wat-9861_84_Swamp-1	Wat-9861_84_buffalo-27_3920	84	Wat-9861_84_Swamp-1_39	84	0	water buffalo	Swamp	100.0
location	Wat-9861_84_buffalo-5	Wat-9861_84_Swamp-1	Wat-9861_84_buffalo-5_3920	84	Wat-9861_84_Swamp-1_39	84	0	water buffalo	Swamp	100.0
location	Bov-d455_252_springbok-19	Bov-d455_252_deserts-24	Bov-d455_252_springbok-19_5514	252	Bov-d455_252_deserts-24_3805	252	0	springbok	desert	100.0
location	Bov-d455_252_bongo-26	Bov-d455_252_rainforests-5	Bov-d455_252_bongo-26_4714	252	Bov-d455_252_rainforests-5_3811	252	0	bongo	rainforest	100.0
location	Cou-56f5_112_sheep-23	Cou-56f5_112_mountain-19	Cou-56f5_112_sheep-23_4675	112	Cou-56f5_112_mountain-19_4527	112	0	bighorn sheep	mountains	100.0
location	Big-0af3_40_sheep-4	Big-0af3_40_desert-20	Big-0af3_40_sheep-4_4675	40	Big-0af3_40_desert-20_3805	40	0	bighorn sheep	desert	100.0
location	Big-0af3_30_sheep-33	Big-0af3_30_desert-43	Big-0af3_30_sheep-33_4675	30	Big-0af3_30_desert-43_3805	30	0	bighorn sheep	desert	100.0
location	Big-0af3_40_sheep-22	Big-0af3_40_desert-20	Big-0af3_40_sheep-22_4675	40	Big-0af3_40_desert-20_3805	40	0	bighorn sheep	desert	100.0
location	Big-0af3_40_sheep-13	Big-0af3_40_desert-20	Big-0af3_40_sheep-13_4675	40	Big-0af3_40_desert-20_3805	40	0	bighorn sheep	desert	100.0
location	Big-0af3_32_sheep-4	Big-0af3_32_Mountains-17	Big-0af3_32_sheep-4_4675	32	Big-0af3_32_Mountains-17_1366	32	0	bighorn sheep	Mountains	100.0
location	Bha-2df5_5_bharal-11	Bha-2df5_5_Mountains-3	Bha-2df5_5_bharal-11_4674	5	Bha-2df5_5_Mountains-3_1366	5	0	bharal	Mountains	100.0
location	Bha-2df5_5_bharals-18	Bha-2df5_5_Mountains-3	Bha-2df5_5_bharals-18_4674	5	Bha-2df5_5_Mountains-3_1366	5	0	bharal	Mountains	100.0
location	Afr-354e_14_buffalo-3	Afr-354e_14_rainforests-7	Afr-354e_14_buffalo-3_1442	14	Afr-354e_14_rainforests-7_3811	14	0	African buffalo	rainforest	100.0
location	Nub-af58_131_ibex-2	Nub-af58_131_desert-5	Nub-af58_131_ibex-2_2935	131	Nub-af58_131_desert-5_34	131	0	Nubian ibex	Desert	100.0
location	Nub-af58_2_ibex-3	Nub-af58_2_desert-10	Nub-af58_2_ibex-3_2935	2	Nub-af58_2_desert-10_34	2	0	Nubian ibex	Desert	100.0
location	Nub-af58_134_ibex-2	Nub-af58_134_desert-10	Nub-af58_134_ibex-2_2935	134	Nub-af58_134_desert-10_34	134	0	Nubian ibex	Desert	100.0
location	Wat-9861_99_buffalos-21	Wat-9861_99_swamp-18	Wat-9861_99_buffalos-21_3920	99	Wat-9861_99_swamp-18_3808	99	0	water buffalo	swamp	100.0
location	Wal-cefe_10_ibex-9	Wal-cefe_10_mountain-13	Wal-cefe_10_ibex-9_3621	10	Wal-cefe_10_mountain-13_4527	10	0	Walia ibex	mountains	100.0
location	Wat-9861_81_buffalo-8	Wat-9861_81_swamp-4	Wat-9861_81_buffalo-8_3920	81	Wat-9861_81_swamp-4_3808	81	0	water buffalo	swamp	100.0
location	Wat-9861_88_buffalo-16	Wat-9861_88_swamp-15	Wat-9861_88_buffalo-16_3920	88	Wat-9861_88_swamp-15_3808	88	0	water buffalo	swamp	100.0
location	Wat-9861_88_buffalo-8	Wat-9861_88_swamp-15	Wat-9861_88_buffalo-8_3920	88	Wat-9861_88_swamp-15_3808	88	0	water buffalo	swamp	100.0
location	Wat-9861_20_buffalos-18	Wat-9861_20_swamp-14	Wat-9861_20_buffalos-18_3920	20	Wat-9861_20_swamp-14_3808	20	0	water buffalo	swamp	100.0
location	Wat-9861_20_buffalos-18	Wat-9861_20_swamp-38	Wat-9861_20_buffalos-18_3920	20	Wat-9861_20_swamp-38_3808	20	0	water buffalo	swamp	100.0
location	Wat-9861_249_buffalo-23	Wat-9861_249_swamp-19	Wat-9861_249_buffalo-23_3920	249	Wat-9861_249_swamp-19_3808	249	0	water buffalo	swamp	100.0
location	Wat-9861_91_buffalo-16	Wat-9861_91_swamp-32	Wat-9861_91_buffalo-16_3920	91	Wat-9861_91_swamp-32_3808	91	0	water buffalo	swamp	100.0
location	Wat-9861_211_buffalo-15	Wat-9861_211_swamp-7	Wat-9861_211_buffalo-15_3920	211	Wat-9861_211_swamp-7_3808	211	0	water buffalo	swamp	100.0
location	Wat-9861_251_buffalo-15	Wat-9861_251_swamp-11	Wat-9861_251_buffalo-15_3920	251	Wat-9861_251_swamp-11_3808	251	0	water buffalo	swamp	100.0
location	Argaf7f_1_sheep-2	Argaf7f_1_mountains-9	Argaf7f_1_sheep-2_1563	1	Argaf7f_1_mountains-9_4527	1	0	Argali sheep	mountains	100.0
location	Wil-28c2_15_buffalo-14	Wil-28c2_15_swamp-38	Wil-28c2_15_buffalo-14_3920	15	Wil-28c2_15_swamp-38_3808	15	0	water buffalo	swamp	100.0
location	Wat-9861_20_bubalis-29	Wat-9861_20_swamp-38	Wat-9861_20_bubalis-29_280	20	Wat-9861_20_swamp-38_3808	20	0	Bubalus bubalis	swamp	87.0
location	Wat-9861_20_bubalis-45	Wat-9861_20_swamp-38	Wat-9861_20_bubalis-45_280	20	Wat-9861_20_swamp-38_3808	20	0	Bubalus bubalis	swamp	87.0
location	Wat-9861_20_bubalis-28	Wat-9861_20_swamp-38	Wat-9861_20_bubalis-28_280	20	Wat-9861_20_swamp-38_3808	20	0	Bubalus bubalis	swamp	87.0
location	Wat-9861_20_bubalis-28	Wat-9861_20_swamp-14	Wat-9861_20_bubalis-28_280	20	Wat-9861_20_swamp-14_3808	20	0	Bubalus bubalis	swamp	87.0
location	Wat-9861_20_bubalis-45	Wat-9861_20_swamp-14	Wat-9861_20_bubalis-45_280	20	Wat-9861_20_swamp-14_3808	20	0	Bubalus bubalis	swamp	87.0
location	Wat-9861_20_bubalis-29	Wat-9861_20_swamp-14	Wat-9861_20_bubalis-29_280	20	Wat-9861_20_swamp-14_3808	20	0	Bubalus bubalis	swamp	87.0
location	Arg-817f_2_sheep-18	Arg-817f_2_Mountains-36	Arg-817f_2_sheep-18_1565	2	Arg-817f_2_Mountains-36_1366	2	0	Mountain sheep	Mountains	83.0
location	Wat-9861_40_buffalo-11	Wat-9861_40_swamp-2	Wat-9861_40_buffalo-11_3922	40	Wat-9861_40_swamp-2_3808	40	0	swamp buffalo	swamp	83.0
location	Arg-817f_2_sheep-13	Arg-817f_2_Mountains-36	Arg-817f_2_sheep-13_1565	2	Arg-817f_2_Mountains-36_1366	2	0	Mountain sheep	Mountains	83.0
location	Arg-817f_2_sheep-13	Arg-817f_2_mountain-12	Arg-817f_2_sheep-13_1674	2	Arg-817f_2_mountain-12_4527	2	0	Mountain sheep	mountains	83.0
location	Big-0af3_9_sheep-24	Big-0af3_9_mountain-9	Big-0af3_9_sheep-24_1674	9	Big-0af3_9_mountain-9_4527	9	0	Mountain sheep	mountains	83.0
location	Dal-d353_109_sheep-2	Dal-d353_109_Mountain-1	Dal-d353_109_sheep-2_1674	109	Dal-d353_109_Mountain-1_4527	109	0	Mountain sheep	mountains	83.0
location	Big-0af3_9_sheep-10	Big-0af3_9_mountain-9	Big-0af3_9_sheep-10_1565	9	Big-0af3_9_mountain-9_4527	9	0	Mountain sheep	mountains	83.0
location	Arg-817f_2_sheep-18	Arg-817f_2_mountain-12	Arg-817f_2_sheep-18_1674	2	Arg-817f_2_mountain-12_4527	2	0	Mountain sheep	mountains	83.0
location	Wat-9861_8_buffalo-3	Wat-9861_8_swamp-18	Wat-9861_8_buffalo-3_3921	8	Wat-9861_8_swamp-18_3808	8	0	river buffalo	swamp	83.0
