rel_role	token_id	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89
free_topic	Adé-beeb_151_orcas-4	0.449	0.0	0.0	0.0	0.0	-0.141	0.0	0.0	-0.779	-0.57	0.895	0.0	0.0	0.0	-0.488	-0.409	0.0	0.033	0.686	-0.146	0.0	0.0	0.0	0.0	0.0	-0.109	0.0	0.0	0.0	0.278	0.175	-0.259	0.0	-0.179	0.0	-0.06	0.0	0.0	-0.491	0.0	0.0	0.0	-0.156	0.0	0.0	-0.221	0.391	-0.146	0.0	-0.423	0.0	0.0	0.0	-0.488	-0.168	-0.614	-0.975	0.0	-0.173	0.0	0.257	0.0	-0.778	-0.419	-0.455	0.472	-0.288	0.0	-0.357	0.0	0.0	0.0	0.0	0.107	0.0	0.0	-0.572	0.0	0.0	-0.365	0.0	0.0	0.0	0.0	0.606	-0.133	-0.491	-0.238	0.0	0.0
free_topic	Alb-2c7c_119_whales-43	-0.445	-0.336	0.292	0.0	-0.329	0.0	-0.263	-0.155	-0.46	-0.184	0.0	0.0	-0.331	-0.376	0.049	-0.341	-0.262	0.223	0.0	0.0	0.0	0.249	0.0	-0.236	-0.638	0.0	-0.109	-0.458	-0.42	0.225	-0.432	0.0	-0.523	-0.023	0.0	-0.071	-0.549	-0.799	0.0	0.0	0.0	0.0	0.0	0.147	-1.418	-1.157	0.222	0.0	0.356	0.053	-0.474	1.142	-0.061	0.0	-2.292	-0.223	-0.673	-0.133	-0.474	0.0	-0.438	0.0	-0.297	-1.015	0.308	-0.697	0.062	-0.399	-0.627	-0.315	-0.4	-1.061	0.0	-0.684	0.441	-0.018	0.42	0.698	0.281	0.0	0.049	-0.311	0.763	-0.419	-0.762	0.0	0.451	0.0	0.002	0.0
free_topic	Alb-2c7c_119_whales-46	0.0	0.0	0.0	0.0	0.0	0.0	-0.105	-0.155	0.0	-0.519	-0.195	0.0	0.0	-0.595	0.0	0.0	-0.38	-0.258	-0.919	-0.193	0.0	0.0	0.324	0.0	-0.442	0.0	-0.176	0.287	-0.008	0.392	-0.123	-0.127	-0.765	0.0	0.27	0.072	0.0	0.0	-0.274	-0.661	-0.319	-0.068	-0.826	-1.857	0.0	0.0	0.0	-0.877	0.0	-0.366	0.0	0.0	0.14	0.0	-0.392	0.0	-0.071	0.0	-0.247	0.655	-0.51	0.0	-0.241	-0.196	0.0	-0.179	0.0	-0.061	-0.125	0.377	-0.551	-0.336	0.0	0.0	-0.07	0.0	0.0	0.223	0.002	0.0	0.025	0.0	-0.006	-0.345	-0.018	0.0	0.274	-0.679	0.0	0.0
free_topic	Alb-2c7c_119_whales-49	0.392	0.0	-0.565	0.116	0.825	-0.171	0.0	-0.169	-0.519	0.351	0.0	0.0	0.0	0.722	0.0	-0.336	0.0	0.0	0.0	-0.577	0.0	0.27	0.241	-0.163	0.0	0.0	0.0	0.0	0.0	0.0	0.249	-0.053	0.0	-0.576	-0.223	-0.179	-0.252	-1.205	0.0	0.0	-0.542	0.0	0.0	0.0	0.0	-0.951	-0.138	0.0	0.048	0.0	0.0	0.058	0.0	0.0	-0.153	0.0	-0.077	-0.018	0.0	0.0	0.0	0.0	-0.071	0.0	-0.336	-0.502	0.379	0.0	0.0	0.0	-0.604	0.0	0.0	-0.489	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.824	0.0	-0.414	0.0	0.0	0.0
free_topic	Alb-2c7c_119_whales-54	0.524	-0.061	0.165	-1.311	-0.894	-0.515	0.0	0.386	-0.842	-0.371	0.0	-0.519	0.0	-0.453	0.0	-0.595	0.0	-0.04	-0.415	-0.548	-0.263	0.0	-0.339	0.0	0.0	-0.411	0.0	0.0	0.008	0.692	-1.175	-0.259	0.456	-0.31	-1.307	0.0	0.0	0.0	-1.204	-0.341	0.05	0.0	-0.984	-0.6	-0.189	-0.14	-0.326	-0.828	0.123	0.42	0.759	-0.357	0.0	0.0	-0.396	-0.538	-0.958	-0.215	0.494	0.446	0.439	-0.43	-0.308	-1.619	-0.4	-0.549	-0.437	0.025	0.0	-0.643	-0.06	-1.058	-0.876	0.334	-0.577	0.0	0.0	-0.288	-0.194	0.356	0.225	0.0	0.0	-0.374	0.223	-0.133	-0.491	0.114	0.049	0.0
free_topic	Ama-9e7a_102_dolphin-3	0.0	0.0	0.676	0.0	-0.407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.198	0.0	0.0	0.0	0.0	0.0	-0.103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.188	0.0	0.0	-0.082	0.0	0.0	-0.24	0.0	0.0	0.0	-0.477	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
free_topic	Ama-9e7a_116_dolphin-3	0.0	0.0	0.676	0.0	-0.407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.198	0.0	0.0	0.0	0.0	0.0	-0.103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.188	0.0	0.0	-0.082	0.0	0.0	-0.24	0.0	0.0	0.0	-0.477	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
free_topic	Ama-9e7a_128_dolphin-3	0.0	-0.711	0.676	0.0	-0.368	0.0	-1.439	0.0	0.0	0.0	0.0	0.0	0.167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.371	0.0	0.0	0.0	0.0	0.0	-0.632	0.0	0.0	0.0	-0.259	0.0	-0.013	0.0	0.392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.087	0.0	0.0	0.0	0.0	-0.198	0.0	0.0	0.0	0.0	0.0	-0.103	0.289	0.0	0.0	0.0	0.0	0.0	-0.101	0.0	0.0	0.188	0.0	0.0	-0.082	0.0	0.0	-0.24	0.0	-0.133	-0.064	-0.477	0.0	0.454	0.601	0.0	-0.597	0.0	0.0	-0.109	0.0	0.0	0.518	0.0	0.0	0.0
free_topic	Ama-9e7a_129_dolphin-7	0.0	0.0	0.147	-0.48	-1.176	0.0	0.249	-0.566	-0.006	-0.245	-0.347	0.0	0.0	-0.764	0.0	0.0	-0.535	0.039	-0.057	0.0	0.0	0.015	0.0	-0.313	0.0	-0.522	0.0	-0.207	-0.106	-0.737	0.0	-0.006	-0.523	-0.355	0.0	0.332	0.184	0.0	0.0	0.14	-0.457	0.0	0.0	0.0	-0.051	0.0	0.0	0.0	-0.204	-0.07	0.0	-0.2	-0.05	0.0	-0.551	-0.223	0.0	0.0	-0.41	0.0	0.246	0.0	-0.375	0.256	0.308	-0.39	-0.397	0.0	-1.065	0.049	0.0	-0.542	0.0	-0.261	-0.397	-0.018	-0.392	0.0	0.698	-0.41	0.0	0.0	-0.158	0.0	0.0	0.352	-0.694	0.0	0.019	-0.123
free_topic	Ama551e_3_dolphin-10	0.197	0.116	0.733	-0.11	0.609	-0.2	-1.227	-0.566	0.352	0.022	-0.055	0.0	0.0	-0.534	0.0	-1.694	0.0	-0.318	-0.284	0.245	-0.523	0.0	0.0	0.0	-0.07	-0.855	-0.343	0.0	-0.41	-0.347	-0.006	0.481	-0.06	-1.35	0.0	0.0	-0.378	-0.261	0.0	0.271	-0.034	0.0	-0.16	0.0	-0.026	0.052	-0.668	0.0	-1.482	0.0	0.0	0.081	-0.05	0.0	0.109	0.042	-0.321	0.0	-0.204	-0.48	0.408	-0.547	-0.67	0.0	0.0	0.0	-0.684	-0.145	-0.38	-0.324	0.0	-0.947	-0.449	0.0	-0.046	0.046	0.451	-0.427	0.0	0.0	-0.528	0.0	0.0	0.0	-0.061	0.079	-0.35	-0.891	-0.006	0.0
free_topic	Amb-6ad0_14_Ambulocetidae-1	0.0	0.0	0.0	0.0	0.088	0.0	-0.452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.526	0.0	0.0	0.0	0.0	0.0	0.238	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.511	0.0	0.0	0.0	0.292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.199	0.0	0.0	0.0
free_topic	Amb-94f9_104_Basilosaurus-11	0.134	0.0	0.0	-0.018	-0.553	0.0	0.0	0.0	-0.452	-0.086	0.0	0.0	0.0	0.0	0.071	0.0	0.0	0.0	0.0	0.0	-0.519	0.341	0.0	-0.625	0.0	0.034	0.0	0.0	0.0	0.392	0.308	-0.259	0.0	-0.016	0.0	0.0	0.0	-0.091	-0.603	-0.23	0.0	0.0	0.0	0.0	-0.516	-0.11	-0.45	0.0	0.0	0.291	0.0	0.0	0.0	-0.128	0.0	0.136	-0.643	0.0	0.0	0.0	-0.632	0.0	-0.248	-0.302	-0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.538	-0.63	0.0	0.0	0.0	-0.305	0.0	-0.517	0.393	0.0	-0.511	0.0	-0.133	-0.491	0.0	0.0	-0.289
free_topic	Amb-94f9_114_Ambulocetus-1	0.0	0.0	-0.822	0.0	0.149	0.0	-0.594	0.0	0.0	0.188	0.0	-0.113	0.0	0.0	0.089	-0.4	0.0	-0.252	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.3	0.0	0.0	-0.48	0.0	0.0	-0.191	0.0	0.0	0.0	-0.254	0.0	0.024	0.0	0.0	0.0	0.0	0.0	0.0	-0.013	-0.751	0.0	-0.102	0.0	0.0	0.0	0.0	0.0	0.0	0.069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.171	0.0	0.59	0.0	0.0	0.0	0.254	-0.138	0.0	0.0	0.0	0.0	-0.355	0.0	0.285	0.0	0.0	0.0
free_topic	Amb-94f9_158_Ambulocetus-1	0.0	0.0	-0.695	0.0	0.149	0.0	-0.594	0.0	0.0	0.009	0.0	-0.064	0.0	0.0	0.232	-0.563	0.0	-0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.3	0.0	0.0	-0.49	0.0	0.0	-0.191	0.0	0.0	0.0	-0.464	0.0	-0.074	0.0	0.0	0.0	0.0	0.0	0.0	-0.308	-0.551	0.0	-0.162	0.0	0.0	0.0	0.0	0.0	0.0	0.069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.082	0.0	0.59	0.0	0.0	0.0	0.254	-0.386	0.0	0.0	0.0	0.0	-0.302	0.0	0.285	0.0	0.0	0.0
