rel_role	token_id	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89
free_topic	Adé-beeb_152_gulls-2	0.0	-0.313	-0.053	0.0	0.0	0.0	-0.133	-0.643	0.0	0.0	0.0	0.0	0.162	0.0	0.677	0.0	0.0	-0.529	-0.395	-0.035	-0.304	0.0	-0.173	-0.438	-0.494	-0.263	0.0	-0.379	0.0	-0.607	-0.488	0.168	-0.963	-0.302	0.0	0.0	-0.012	0.447	0.0	-0.462	0.0	-0.45	-1.049	-0.691	-0.306	-0.799	0.438	0.0	0.0	0.197	-0.191	-0.851	-0.168	0.0	0.0	-0.043	0.0	0.0	0.668	-0.067	0.0	-0.259	-0.363	-0.412	-0.162	0.0	-0.538	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.326	0.0	0.0	-0.275	0.051	0.0	0.0	0.0	-0.331	-0.109	-0.06	0.01	0.0	0.0	-0.105
free_topic	Afr-f1c4_111_gulls-5	0.0	0.0	0.413	0.0	0.433	-0.214	-0.889	-0.762	0.0	0.025	-0.488	0.081	0.0	0.0	0.287	-0.685	0.0	-0.701	-2.34	0.945	-0.162	0.044	0.269	-0.263	-0.142	-0.608	0.088	-0.057	-0.855	-0.057	-0.424	0.0	0.0	-0.945	0.0	0.0	-0.146	-0.213	0.125	-0.243	-0.359	0.0	0.0	-2.651	-0.061	0.254	0.392	-0.285	0.0	0.0	-1.062	0.0	0.0	0.0	-0.496	-0.135	-0.562	0.0	-0.397	1.62	-0.148	-0.092	-0.684	0.01	-0.157	-0.618	-0.971	0.0	-0.882	-0.341	0.0	-0.069	-0.41	-0.353	-0.06	0.417	-0.304	-0.455	-0.057	-0.332	-1.082	0.0	0.0	0.067	-0.732	0.0	-0.053	-0.325	-0.092	0.063
free_topic	Alb-2c7c_72_gull-30	0.0	-0.042	0.393	0.0	-1.184	0.077	-0.43	0.006	-0.271	-0.37	-0.656	0.0	0.0	-0.252	-0.445	-0.672	0.0	0.0	-0.32	0.0	-0.485	-1.117	-0.213	0.13	-0.167	0.0	0.085	0.0	0.02	0.0	-1.212	-0.302	0.068	-0.27	-0.62	0.376	0.123	0.0	-0.296	-0.102	-0.493	0.0	0.0	0.0	0.0	-0.135	-0.163	-0.443	0.0	-0.07	-0.7	-0.338	-0.124	0.331	0.052	-1.078	0.0	-0.48	0.352	0.0	-0.811	-0.32	-0.186	-0.956	0.0	-0.945	0.0	0.232	-0.792	-0.485	0.298	-0.66	-0.18	0.0	0.042	-0.018	-0.429	0.0	0.255	0.258	0.0	0.0	-0.85	0.109	0.0	0.0	0.0	0.0	-0.539	-0.436
free_topic	Ame-86f0_114_seagulls-12	0.0	0.0	0.089	0.0	-0.74	0.0	-0.035	-0.299	-0.643	-0.327	0.0	0.0	0.0	-0.163	0.0	0.0	0.0	-0.132	-0.474	0.076	0.0	-0.179	-0.037	0.0	0.0	0.0	-0.073	-0.381	0.0	0.0	-0.641	-0.512	-0.064	0.167	0.0	0.0	0.183	0.0	0.0	0.0	-0.599	0.0	-0.091	-0.638	0.0	0.0	1.044	0.0	0.0	-0.045	0.0	-0.287	-0.097	0.0	0.0	-1.297	-0.408	0.0	-0.365	0.396	0.142	-0.259	0.0	0.276	0.0	-0.453	-0.491	0.0	-0.967	0.0	-0.14	-0.293	0.845	0.0	0.0	-0.155	-0.283	0.0	-0.073	-0.335	0.0	0.0	-0.353	0.0	-0.109	0.0	0.0	0.0	0.0	0.0
free_topic	Ame-86f0_132_gulls-27	-0.538	-0.445	0.564	-0.234	0.362	-0.552	-0.006	-0.48	-0.389	-1.037	0.0	-0.037	-0.841	0.0	0.0	0.052	0.0	-0.198	-0.074	-0.001	-0.381	0.0	0.0	0.028	-0.497	0.02	0.0	-0.235	0.0	-0.424	0.0	0.0	-0.151	-0.101	-0.306	-0.418	-0.208	-0.548	0.0	-0.694	-0.48	0.0	0.0	-0.006	0.446	0.0	0.0	-0.267	0.0	0.103	0.0	-0.776	-0.403	0.0	0.0	0.052	0.0	0.0	0.0	0.0	-0.114	-0.925	0.0	-0.876	0.024	-0.029	0.0	-0.727	0.0	0.542	-0.619	-0.347	0.0	0.0	1.08	-0.058	-0.212	0.0	-0.397	0.583	0.0	0.0	0.0	0.0	0.0	-0.925	0.352	-0.239	0.0	0.0
free_topic	Ana-90b0_39_gulls-24	0.0	-0.451	0.393	0.015	-0.803	0.0	-0.32	-0.068	-0.006	-0.201	0.0	0.109	0.0	-1.389	0.0	-0.412	0.0	-0.165	-0.461	0.185	0.128	-0.312	-0.432	0.0	0.0	0.0	-0.494	0.134	0.0	0.0	-0.588	0.0	-0.739	0.074	0.0	0.0	-0.219	0.0	0.023	0.0	0.0	0.0	0.0	-0.825	-0.051	0.0	0.392	-0.534	0.0	-0.07	0.0	-0.201	0.152	0.0	-0.551	-0.587	0.0	0.0	-1.017	0.169	-0.254	-0.259	0.0	0.0	0.308	-0.697	-0.553	0.0	-0.432	0.0	0.0	-0.925	-0.425	0.0	0.0	-0.018	0.051	0.0	-0.061	-0.108	0.0	0.0	-0.466	0.0	-0.109	0.0	0.0	0.0	0.0	0.0
free_topic	Ani-2170_344_gulls-28	0.516	-0.061	-0.584	-0.207	-0.302	0.0	0.0	0.037	-0.084	0.0	0.0	-0.205	0.0	0.0	0.0	-0.516	0.0	2.167	0.0	-2.29	-0.324	0.501	0.0	-1.074	0.0	0.0	0.0	0.0	0.0	-0.198	-0.316	0.0	0.392	-0.158	0.0	0.0	0.0	0.0	-0.276	0.0	-1.095	0.0	-0.996	-0.185	0.359	-0.347	-1.016	0.0	0.0	-0.466	-0.54	0.0	-0.319	0.0	-0.109	0.0	-0.286	-0.159	0.0	0.0	-0.459	0.0	-0.576	0.0	-0.528	-0.368	0.0	0.115	0.0	-0.643	0.0	0.0	0.675	-0.095	0.417	0.0	-0.689	0.0	-2.012	-0.058	0.0	-0.225	-0.806	0.538	0.0	0.0	0.0	-0.256	-0.476	0.0
free_topic	Ani-57f1_24_gull-4	0.092	-0.36	0.439	-1.096	-0.121	-0.442	-0.551	-0.367	0.0	-0.038	-0.096	-0.889	0.0	-0.468	0.0	-0.697	-0.857	-0.706	-0.433	-0.49	-2.021	0.0	0.0	-0.224	-1.117	-0.272	-0.979	-2.022	-1.729	0.0	0.0	0.204	0.0	-0.752	-0.26	0.296	-0.167	-0.134	0.221	-0.197	0.298	0.389	0.296	0.0	-0.501	-0.173	-0.484	0.0	-0.299	-0.465	-0.045	-0.039	-0.431	-0.548	0.11	-1.206	-1.591	0.0	0.274	-0.46	0.422	-0.793	-0.511	0.0	0.0	0.0	-0.508	0.0	-1.162	-0.006	0.0	-0.051	0.0	-0.049	-0.551	0.293	0.618	0.203	0.0	0.01	0.0	0.115	0.0	-0.232	-0.644	0.066	0.0	-0.883	-1.128	-0.29
free_topic	Ani-57f1_25_gull-20	0.0	0.032	0.753	0.0	0.618	-0.436	-0.382	-0.524	0.0	0.051	-0.49	0.0	-0.145	-0.702	-0.438	-0.278	-0.07	-0.514	0.0	-0.602	-0.425	0.0	0.0	0.009	-0.018	0.0	0.0	0.293	0.0	-0.333	-0.542	0.0	-0.558	0.068	-0.223	-0.305	-0.172	-0.523	0.168	-0.407	0.298	-0.511	0.0	-0.528	-0.392	0.0	0.0	-0.494	-0.006	0.121	0.0	-0.051	-0.05	0.0	-1.455	-0.509	-0.385	-0.055	0.0	-0.162	0.0	-1.019	0.0	0.147	0.0	-0.216	-0.359	0.447	-0.765	-0.625	0.0	-0.144	0.308	-0.602	-0.662	0.193	0.203	0.0	0.0	0.0	0.0	-0.221	0.0	0.0	-0.909	0.0	0.0	0.0	-0.006	0.0
free_topic	Ani-66e9_299_gulls-15	0.0	-0.208	0.393	0.0	-0.029	0.412	-0.187	0.455	-0.128	-0.815	-0.283	0.0	0.0	-0.44	0.0	-0.103	0.0	0.0	0.0	0.0	0.0	-0.312	-0.572	-0.263	0.0	0.0	0.0	0.0	0.0	-0.238	-0.588	-0.215	-0.631	1.236	0.0	0.0	0.664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.094	-0.502	-0.028	-0.406	-0.609	0.254	0.0	-0.118	-0.474	0.0	-1.149	-1.099	-0.206	0.0	-0.473	0.0	0.042	0.0	0.423	0.108	0.338	-0.534	-0.148	0.0	-0.278	0.0	-0.912	-0.542	-1.679	-0.05	0.0	-0.018	0.0	0.0	0.0	0.026	-0.183	0.0	-0.225	0.126	-0.623	0.0	0.0	0.0	0.0	0.0
