relation	btoken	rtoken	btag	bloc	rtag	rloc	rdist	bterm	rterm	tagscore
location	Atl-79fc_107_puffin-7	Atl-79fc_107_ocean-19	Atl-79fc_107_puffin-7_4634	107	Atl-79fc_107_ocean-19_4530	107	0	puffin	open ocean	100.0
location	Bur-dc3c_212_curlew-43	Bur-dc3c_212_heathlands-9	Bur-dc3c_212_curlew-43_4925	212	Bur-dc3c_212_heathlands-9_4518	212	0	stone curlew	heathland	100.0
location	Atl-79fc_278_puffin-4	Atl-79fc_278_ocean-11	Atl-79fc_278_puffin-4_4634	278	Atl-79fc_278_ocean-11_4530	278	0	puffin	open ocean	100.0
location	Atl-79fc_16_puffin-18	Atl-79fc_16_ocean-9	Atl-79fc_16_puffin-18_4634	16	Atl-79fc_16_ocean-9_4530	16	0	puffin	open ocean	100.0
location	Gre-0f9b_52_gull-6	Gre-0f9b_52_estuaries-22	Gre-0f9b_52_gull-6_5043	52	Gre-0f9b_52_estuaries-22_4517	52	0	great black-backed gull	estuaries	100.0
location	Pie-a5d9_26_avocets-32	Pie-a5d9_26_water-22	Pie-a5d9_26_avocets-32_5345	26	Pie-a5d9_26_water-22_4512	26	0	avocet	brackish water	100.0
location	Pie-a5d9_26_avocets-32	Pie-a5d9_26_water-7	Pie-a5d9_26_avocets-32_5345	26	Pie-a5d9_26_water-7_4512	26	0	avocet	brackish water	100.0
location	Oys-0cbb_26_oystercatchers-37	Oys-0cbb_26_estuaries-17	Oys-0cbb_26_oystercatchers-37_4920	26	Oys-0cbb_26_estuaries-17_4517	26	0	oystercatcher	estuaries	100.0
location	Gre-0f9b_52_gull-6	Gre-0f9b_52_wetland-28	Gre-0f9b_52_gull-6_5043	52	Gre-0f9b_52_wetland-28_4542	52	0	great black-backed gull	wetlands	100.0
location	Red-d827_2_knot-3	Red-d827_2_tundra-19	Red-d827_2_knot-3_5402	2	Red-d827_2_tundra-19_4539	2	0	knot	tundra	100.0
location	Red-d827_135_knots-2	Red-d827_135_tundra-18	Red-d827_135_knots-2_5402	135	Red-d827_135_tundra-18_4539	135	0	knot	tundra	100.0
location	Oys-0cbb_26_oystercatchers-5	Oys-0cbb_26_estuaries-17	Oys-0cbb_26_oystercatchers-5_4920	26	Oys-0cbb_26_estuaries-17_4517	26	0	oystercatcher	estuaries	100.0
