rel_role	token_id	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89
free_topic	Aca-0b77_13_Acacia-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
free_topic	Aca-0b77_16_Acacia-14	-0.432	-0.69	0.0	0.0	-0.762	0.0	0.0	-0.272	0.0	0.0	0.284	-0.358	0.0	0.0	0.0	0.0	0.18	0.0	0.048	0.0	0.0	0.0	0.349	0.691	0.0	-0.519	0.0	-0.155	0.0	0.0	0.0	0.0	0.574	-0.45	0.0	-0.369	-0.365	0.091	-0.61	-0.211	0.0	0.0	0.0	0.0	0.0	-0.617	0.0	0.0	0.0	0.0	0.0	-0.028	0.0	-0.495	0.139	0.0	-0.01	0.0	0.254	0.0	0.0	0.051	0.0	0.0	0.0	0.0	0.0	0.366	0.0	0.0	0.112	0.0	0.0	-0.384	-0.177	0.0	0.0	-0.54	0.0	0.0	0.0	0.0	0.0	-0.127	0.111	-0.162	0.0	0.0	0.0	0.0
free_topic	Aca-0b77_16_Acacia-21	0.001	-0.014	0.0	0.0	-0.545	-0.546	0.321	0.0	0.0	0.112	-0.011	-0.205	-0.557	0.0	0.0	0.0	-0.071	0.0	0.0	0.0	0.0	0.0	0.731	-0.723	0.18	0.0	-1.876	-0.54	0.0	-0.126	0.0	0.0	-0.251	0.057	-0.801	0.503	0.415	0.153	-0.287	0.143	0.0	0.0	0.0	0.0	0.051	0.0	-0.322	-0.34	-0.127	0.0	0.0	-0.585	0.0	0.469	0.142	-0.608	-0.281	-0.278	-1.316	0.0	-0.873	0.158	0.614	0.0	-0.173	0.0	-0.126	-1.025	-0.211	0.0	0.0	0.431	0.0	0.221	0.098	-0.49	-0.353	0.0	0.546	0.0	-0.249	0.0	0.884	0.089	-0.015	0.0	0.574	0.132	-0.088	0.0
free_topic	Aca-0b77_17_Acacia-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
free_topic	Aca-0b77_19_Acacia-2	0.497	0.0	0.0	-0.61	0.0	-0.176	-0.046	0.0	0.0	0.0	0.0	-0.704	0.0	0.0	0.0	-0.347	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.344	0.352	0.0	-0.349	0.0	0.0	-0.14	-0.655	0.0	-0.195	-0.283	0.052	0.0	0.13	0.0	0.0	0.0	0.0	-0.015	-0.212	-0.38	-0.356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.063	0.0	0.0	0.0	-0.142	0.0	0.377	0.0	0.0	0.052	-0.48	-0.198	0.0	0.0	0.0	0.0	-0.572	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.374	0.0	-0.694
free_topic	Aca0c5a_12_acacia-12	0.089	0.0	0.0	0.0	0.311	-0.705	0.0	-0.168	-0.133	0.0	-0.084	-0.359	0.0	-0.202	0.0	0.168	-0.523	0.73	0.003	-0.353	0.0	-0.304	-0.701	0.0	0.178	0.0	-0.694	0.0	0.0	-0.335	0.0	0.0	-0.013	-0.514	-0.051	0.0	-0.162	-0.506	-0.603	0.0	-0.215	0.06	-0.061	0.0	0.0	-0.511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.578	-0.339	-0.35	0.708	-0.368	-0.032	-0.018	0.0	-0.452	0.0	0.0	0.0	-0.551	-0.488	0.0	0.308	0.0	-0.144	-0.471	-0.621	0.0	-0.298	0.0	-0.247	-0.643	0.0	0.0	-0.271	0.0	-0.467	0.0	0.0	-0.446	0.0	0.0	0.043	0.447
free_topic	Aca0c5a_12_acacias-7	0.178	0.0	-0.438	0.0	0.0	0.0	-0.061	-0.302	0.0	-0.174	0.0	-0.471	-0.244	-0.353	0.0	0.095	-0.041	0.0	-0.016	0.0	-0.387	-0.359	0.0	-0.215	0.013	-0.487	0.0	-0.523	-1.127	-0.427	0.168	-0.084	-0.162	0.0	0.177	-0.008	0.198	-0.409	0.0	-0.708	0.0	0.127	0.0	0.0	0.0	0.29	-0.622	0.155	0.0	-0.591	-0.616	-1.151	0.0	-0.567	0.0	0.233	-0.702	-0.172	0.0	-0.178	-0.512	-0.006	-0.392	0.0	0.0	0.0	-0.491	0.064	0.615	-0.271	-0.452	-0.405	-0.41	-0.215	-0.884	0.314	-0.332	-0.792	0.0	0.0	0.0	0.0	0.308	-0.4	-0.056	0.0	0.0	0.0	0.0	-0.368
free_topic	Aca0c5a_15_acacia-13	0.589	0.0	0.347	0.0	-0.557	-0.406	0.0	0.0	0.0	0.084	0.0	0.145	0.0	-0.29	0.0	0.0	0.0	0.206	0.352	-0.193	0.115	-0.707	-0.648	0.083	0.0	0.0	-0.207	0.0	0.0	-0.306	0.0	0.0	-0.046	0.0	0.0	0.0	0.0	0.0	-0.364	-0.082	-0.192	-0.347	0.0	0.0	0.0	0.0	0.0	-0.149	0.0	0.0	-0.319	0.0	-0.469	-0.35	-0.003	0.0	-0.603	-1.778	0.0	0.0	0.0	-0.615	0.0	0.0	-0.48	0.0	0.0	0.0	0.0	-1.121	0.0	-0.389	0.0	0.548	0.0	-0.309	0.0	-0.006	0.0	0.0	-0.474	0.0	-0.253	0.0	0.0	0.0	0.0	0.0	0.0	0.0
free_topic	Ace-0af3_105_sycamore-3	0.0	-0.118	0.314	-0.149	0.0	-0.259	0.0	-0.566	0.352	0.571	0.172	0.0	0.0	-0.534	-0.051	0.0	0.0	0.069	-0.196	0.039	0.0	0.0	0.0	-0.542	-0.309	0.0	0.266	0.0	0.0	-0.347	-0.006	0.271	-0.271	-0.906	0.0	0.0	0.37	0.0	0.0	0.81	0.298	0.0	0.0	0.0	-0.128	0.052	-0.814	-0.435	0.076	0.006	0.0	0.034	-0.36	0.0	-0.198	-0.06	-0.036	0.0	-0.615	0.0	0.443	-0.847	-0.428	-0.234	0.272	0.0	0.0	-0.548	-0.38	0.0	0.0	-0.867	-0.65	-0.315	-0.046	0.0	0.0	-0.377	0.0	0.0	-0.48	0.0	0.0	0.0	0.0	0.132	-0.227	-0.469	-0.006	-0.753
free_topic	Ace-58de_9_Aceraceae-1	0.0	0.0	0.0	0.0	0.043	0.0	-0.459	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.216	0.0	0.0	0.0	0.0	0.0	-0.273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.411	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.318	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.618	0.0	0.0	0.0
free_topic	Ace6f0f_1_Sycamore-7	0.685	0.0	0.0	0.0	0.0	-1.127	-0.417	0.0	0.244	0.0	0.308	-0.523	-0.52	0.0	0.0	-0.051	0.0	0.0	0.0	0.0	0.0	-0.327	-0.633	-0.244	0.0	0.0	0.383	0.0	0.0	-0.287	0.138	0.0	0.16	0.0	0.0	0.0	0.0	-0.051	0.0	-0.014	0.142	-0.268	0.0	-0.41	0.0	0.0	0.0	-0.461	-0.061	-0.075	-0.349	0.0	0.0	0.29	-0.353	0.0	0.469	-0.901	0.0	0.0	0.0	-0.236	-0.399	0.261	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.491	0.0	0.0	0.0	-0.593	0.0	-0.006	-0.698	0.0	0.106	-0.044	-0.392	0.0	0.0	0.0	0.0	0.0	0.0	0.0
free_topic	Ace6f0f_9_sycamore-5	0.304	0.0	0.0	0.0	0.0	-0.468	-0.183	0.0	0.0	0.0	-0.066	0.0	0.0	0.0	0.0	-0.094	0.0	-0.501	0.0	0.0	0.0	-0.337	-0.666	-0.769	0.263	-0.196	-0.022	0.0	0.0	-0.279	0.0	0.0	0.458	0.0	0.0	0.0	0.0	0.0	0.0	-0.014	-0.269	-0.328	0.0	0.312	0.0	0.0	-0.497	-0.531	0.0	0.0	0.0	0.0	0.0	-0.341	-0.526	0.0	0.318	-0.901	0.0	0.0	0.0	-0.236	-0.344	-0.382	0.0	0.0	0.0	-0.174	0.0	0.0	0.0	0.069	0.0	0.0	0.0	0.0	0.0	0.0	-0.439	0.0	-0.447	-0.18	-0.228	0.0	-0.273	0.0	0.0	0.0	0.0	0.0
free_topic	Acr-39bb_23_tree-9	0.0	0.0	0.524	0.0	0.0	0.0	0.0	0.0	0.0	-0.951	0.0	0.0	0.0	0.445	-0.149	0.173	2.75	0.176	1.059	0.0	0.0	-0.655	-0.528	-0.241	0.0	-2.297	0.0	0.0	0.0	-1.035	-0.141	0.277	-0.528	0.0	0.0	0.0	0.159	0.0	0.0	0.788	0.692	0.0	0.0	0.0	0.0	-1.429	0.115	0.479	0.078	-0.222	0.0	0.0	-0.306	0.0	0.282	0.0	0.516	0.0	-0.462	0.0	0.0	0.0	0.0	0.0	-2.476	0.0	0.0	0.0	0.0	0.0	0.0	-0.514	-0.02	0.082	0.0	0.0	0.162	0.0	0.0	0.0	-0.127	0.0	0.0	0.0	0.0	0.0	-0.399	0.0	0.0	0.0
free_topic	Act-681d_42_mangrove-2	0.132	0.0	0.0	0.0	0.311	-1.228	-0.006	0.0	0.0	-1.269	0.184	0.0	0.0	-0.202	0.0	-0.051	-0.414	0.0	0.0	-0.353	0.0	-0.125	-0.694	0.0	0.018	0.086	-0.228	0.0	0.0	-0.186	0.0	0.0	0.0	-0.72	-0.094	0.0	0.035	-0.058	-0.021	0.0	0.114	0.0	0.0	-0.41	0.0	0.0	0.0	-0.551	0.0	0.0	0.0	0.0	0.119	0.0	-0.315	-0.613	0.262	0.0	0.0	-0.473	0.272	-0.464	0.0	-0.913	0.026	-0.621	-0.488	0.0	0.813	0.0	-0.544	-0.875	0.0	0.0	-0.295	0.0	0.0	0.0	-0.472	0.0	0.109	0.0	-0.392	0.0	0.0	-0.655	0.0	0.0	-0.007	0.0
free_topic	Act-681d_43_mangrove-22	0.0	-0.153	0.564	0.0	-0.316	-0.85	-0.516	0.148	0.0	-0.384	0.0	0.0	0.0	-1.798	0.0	-0.314	0.0	0.0	0.0	0.0	0.393	-0.714	-0.356	-0.018	0.0	-0.223	-0.579	0.0	0.0	-0.305	-0.864	0.0	-0.725	-0.132	0.0	-0.072	0.048	0.0	0.372	-0.16	-0.103	0.0	-0.017	0.0	0.0	0.0	0.0	-0.656	0.0	-0.184	0.0	-0.298	-0.05	-0.625	0.0	-1.33	0.0	0.0	-0.483	0.0	-0.219	0.0	0.0	0.0	-0.07	-0.306	0.0	0.0	-0.75	0.0	0.0	-0.778	-0.36	0.0	0.0	-0.106	-0.016	0.0	0.0	0.075	0.0	0.0	-0.005	0.278	0.0	0.0	0.0	0.0	-0.006	0.0
free_topic	Ada-40f7_102_Adansonia-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
