relation	btoken	rtoken	btag	bloc	rtag	rloc	rdist	bterm	rterm	tagscore
adaptation	Orn-f740_60_Ornithischia-30	Orn-f740_60_herbivorous-6	Orn-f740_60_Ornithischia-30_2959	60	Orn-f740_60_herbivorous-6_3784	60	0	Ornithischia	herbivorous	100.0
adaptation	Her-8d89_33_ornithischia-5	Her-8d89_33_herbivorous-9	Her-8d89_33_ornithischia-5_5286	33	Her-8d89_33_herbivorous-9_3784	33	0	ornithischia	herbivorous	100.0
adaptation	Tri-1ad8_196_Triceratops-1	Tri-1ad8_196_herbivorous-3	Tri-1ad8_196_Triceratops-1_3562	196	Tri-1ad8_196_herbivorous-3_3784	196	0	Triceratops	herbivorous	100.0
adaptation	Din-756f_350_Argentinosaurus-21	Din-756f_350_herbivorous-5	Din-756f_350_Argentinosaurus-21_1566	350	Din-756f_350_herbivorous-5_3784	350	0	Argentinosaurus	herbivorous	100.0
adaptation	Rha-19f8_2_dinosaurs-9	Rha-19f8_2_herbivorous-6	Rha-19f8_2_dinosaurs-9_4549	2	Rha-19f8_2_herbivorous-6_3784	2	0	ornithopod dinosaurs	herbivorous	100.0
adaptation	Mut-8383_2_dinosaur-9	Mut-8383_2_herbivorous-6	Mut-8383_2_dinosaur-9_4549	2	Mut-8383_2_herbivorous-6_3784	2	0	ornithopod dinosaurs	herbivorous	100.0
adaptation	Orn-f740_2_Ornithischia-1	Orn-f740_2_herbivorous-10	Orn-f740_2_Ornithischia-1_2959	2	Orn-f740_2_herbivorous-10_3784	2	0	Ornithischia	herbivorous	100.0
adaptation	Ste-56e3_367_Stegosaurus-15	Ste-56e3_367_herbivorous-27	Ste-56e3_367_Stegosaurus-15_3420	367	Ste-56e3_367_herbivorous-27_3784	367	0	Stegosaurus	herbivorous	100.0
adaptation	Cer-8d54_2_Ceratopsia-1	Cer-8d54_2_herbivorous-18	Cer-8d54_2_Ceratopsia-1_1383	2	Cer-8d54_2_herbivorous-18_3784	2	0	Ceratopsia	herbivorous	100.0
adaptation	Sau-6bc5_2_Sauropodomorpha-1	Sau-6bc5_2_herbivorous-35	Sau-6bc5_2_Sauropodomorpha-1_3282	2	Sau-6bc5_2_herbivorous-35_3784	2	0	Sauropodomorpha	herbivorous	100.0
adaptation	Din-756f_350_Diplodocus-67	Din-756f_350_herbivorous-5	Din-756f_350_Diplodocus-67_2042	350	Din-756f_350_herbivorous-5_3784	350	0	Diplodocus	herbivorous	100.0
adaptation	Pre-0725_280_ankylosaurs-12	Pre-0725_280_herbivorous-4	Pre-0725_280_ankylosaurs-12_4601	280	Pre-0725_280_herbivorous-4_3784	280	0	ankylosaurs	herbivorous	100.0
adaptation	Igu-76d2_288_Iguanodon-8	Igu-76d2_288_herbivorous-17	Igu-76d2_288_Iguanodon-8_2577	288	Igu-76d2_288_herbivorous-17_3784	288	0	Iguanodons	herbivorous	100.0
adaptation	Lea-dca1_2_Leaellynasaura-1	Lea-dca1_2_herbivorous-15	Lea-dca1_2_Leaellynasaura-1_2677	2	Lea-dca1_2_herbivorous-15_3784	2	0	Leaellynasaura	herbivorous	100.0
adaptation	Apa-3e1a_2_Apatosaurus-1	Apa-3e1a_2_herbivorous-14	Apa-3e1a_2_Apatosaurus-1_1526	2	Apa-3e1a_2_herbivorous-14_3784	2	0	Apatosaurus	herbivorous	100.0
adaptation	Bro-f1dc_2_dinosaur-33	Bro-f1dc_2_herbivorous-31	Bro-f1dc_2_dinosaur-33_4551	2	Bro-f1dc_2_herbivorous-31_3784	2	0	sauropod dinosaurs	herbivorous	100.0
adaptation	Apa-3e1a_2_dinosaur-16	Apa-3e1a_2_herbivorous-14	Apa-3e1a_2_dinosaur-16_4551	2	Apa-3e1a_2_herbivorous-14_3784	2	0	sauropod dinosaurs	herbivorous	100.0
adaptation	Orn-f740_61_Ornithopoda-19	Orn-f740_61_herbivorous-16	Orn-f740_61_Ornithopoda-19_1390	61	Orn-f740_61_herbivorous-16_3784	61	0	Ornithopoda	herbivorous	100.0
adaptation	Mut-8383_2_Muttaburrasaurus-1	Mut-8383_2_herbivorous-6	Mut-8383_2_Muttaburrasaurus-1_2879	2	Mut-8383_2_herbivorous-6_3784	2	0	Muttaburrasaurus	herbivorous	100.0
adaptation	Ank-02ea_2_Ornithischia-11	Ank-02ea_2_herbivorous-6	Ank-02ea_2_Ornithischia-11_2959	2	Ank-02ea_2_herbivorous-6_3784	2	0	Ornithischia	herbivorous	100.0
adaptation	Orn-f740_101_Ornithischia-6	Orn-f740_101_herbivorous-9	Orn-f740_101_Ornithischia-6_2959	101	Orn-f740_101_herbivorous-9_3784	101	0	Ornithischia	herbivorous	100.0
adaptation	Ank-02ea_2_Ankylosauria-1	Ank-02ea_2_herbivorous-6	Ank-02ea_2_Ankylosauria-1_1510	2	Ank-02ea_2_herbivorous-6_3784	2	0	Ankylosauria	herbivorous	87.0
adaptation	Rha-19f8_48_hadrosaurs-59	Rha-19f8_48_herbivorous-11	Rha-19f8_48_hadrosaurs-59_5073	48	Rha-19f8_48_herbivorous-11_3784	48	0	hadrosaurs	herbivorous	83.0
