rel_role	token_id	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89
free_topic	Aar-5e58_154_warthogs-27	0.297	-0.435	0.0	0.0	-0.39	0.0	0.0	0.0	-0.816	0.719	0.0	0.0	-0.366	0.0	0.0	-0.241	0.0	0.741	0.0	-0.577	0.0	0.18	0.0	0.0	-0.335	-0.109	0.0	0.0	0.0	0.392	0.042	-0.259	0.0	0.149	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.405	0.0	0.0	-0.155	-0.278	-0.192	0.0	0.0	0.185	0.0	0.0	0.0	0.0	0.0	-0.061	-0.643	0.0	0.0	0.0	-0.352	0.0	-0.206	-0.302	-1.121	-0.018	0.0	0.0	0.0	-0.37	0.0	0.0	-0.191	-0.014	0.159	-0.762	0.0	0.0	0.041	0.0	0.0	0.008	0.0	0.0	0.0	-0.133	-0.491	0.067	0.0	-0.124
free_topic	Aes-55d6_20_deer-17	0.0	0.311	0.753	0.0	-0.393	-0.582	0.0	-0.325	-0.199	-0.249	-0.29	0.0	0.0	-0.726	-0.341	-0.417	-0.309	0.139	0.0	-0.476	0.0	0.0	0.0	0.443	0.083	0.132	0.0	0.018	0.0	-0.168	-0.428	0.0	-0.475	-0.495	-0.162	-0.469	-0.254	-0.523	0.296	-0.218	-0.433	-0.635	0.0	0.133	-0.392	0.0	-0.068	0.0	-0.006	0.01	0.0	-0.051	-0.098	0.0	-0.421	-0.117	0.0	0.0	0.0	-0.293	0.0	-1.39	0.0	0.049	0.0	-0.216	-0.257	0.44	-0.624	-0.508	0.277	-0.268	0.163	0.0	0.0	0.193	0.061	0.0	0.0	0.0	0.526	0.0	0.0	-0.363	0.0	0.0	0.0	-0.655	-0.59	0.0
free_topic	Afr-3b7b_180_warthogs-15	0.0	0.0	0.32	0.0	-1.244	0.0	0.0	0.0	-0.034	-0.134	0.0	0.0	0.0	-0.826	0.0	0.0	0.0	0.393	0.281	0.0	0.0	0.0	0.0	-0.218	0.0	0.0	0.0	0.0	0.0	-0.625	-0.07	-0.782	0.0	-0.333	-0.301	0.0	-0.267	-0.223	0.0	0.194	0.0	0.0	0.0	-0.04	0.0	0.0	0.0	0.0	0.0	-0.56	-0.23	0.033	0.0	0.0	0.0	-1.026	-0.305	0.0	0.0	0.0	0.041	-0.542	0.0	0.481	0.0	-0.112	0.0	0.0	-0.657	0.0	0.141	-0.19	-0.206	0.58	-0.621	-0.502	0.0	0.0	-0.731	0.375	0.0	0.0	-0.388	0.0	0.0	0.0	0.0	0.0	-0.203	0.0
free_topic	Afr0164_17_Giraffe-22	-0.014	0.0	0.0	0.0	-0.546	0.0	0.0	0.0	-0.344	0.0	0.0	0.0	0.0	-0.224	0.0	0.0	-0.255	0.0	-0.023	-0.448	0.0	0.0	0.0	0.0	0.0	-0.105	0.0	0.0	0.069	0.0	-0.023	0.0	0.0	-0.783	0.0	0.0	0.0	0.563	0.0	0.0	0.0	0.0	-0.1	0.0	0.0	0.168	0.442	0.0	0.265	0.038	-0.071	0.645	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.328	-0.406	0.0	0.468	0.0	-0.583	0.0	0.0	0.0	0.475	0.0	0.596	0.0	0.0	-0.353	0.0	0.0	0.0	0.0	0.0	0.219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
free_topic	Afr0164_17_giraffe-24	0.0	-0.669	-0.189	0.0	0.397	0.0	0.0	-0.023	-0.544	-0.519	-0.949	0.0	0.192	-1.034	0.0	0.0	-0.023	0.0	-0.582	-0.021	-0.624	0.103	0.322	0.227	0.161	0.0	0.265	0.0	-0.116	0.048	0.457	-0.075	-0.922	0.0	0.0	0.83	0.409	-0.173	-0.274	-0.453	-0.319	0.0	-0.125	-0.204	0.0	0.0	-0.701	-0.069	0.0	0.0	0.0	-0.252	-1.032	-0.937	-0.646	0.0	-0.942	0.0	-0.422	0.0	-0.586	-0.228	-0.054	-0.314	-0.041	-0.196	0.0	-0.789	0.432	-0.432	-0.734	-0.079	0.028	-0.758	-1.185	0.0	0.0	0.307	-0.205	0.0	0.475	0.228	-0.006	-0.267	-0.373	0.0	0.274	-0.034	0.0	0.0
free_topic	All-1529_72_boar-9	-0.782	0.0	0.393	0.0	-0.625	0.0	0.0	0.0	-0.183	-0.168	0.0	0.0	0.0	-0.191	0.0	0.0	0.0	0.0	0.352	0.0	0.0	0.0	0.0	0.0	0.0	-0.32	0.0	-0.855	0.0	0.0	-0.236	0.0	-1.011	0.63	-0.41	0.0	-0.112	-0.046	0.0	0.0	-0.415	-0.005	0.066	-0.191	-0.094	0.0	0.0	-0.012	0.0	-0.07	0.0	-0.164	0.0	0.0	-0.621	-0.223	0.0	0.323	-0.672	0.0	-0.437	0.0	0.0	0.0	0.205	-0.574	-0.591	0.245	-0.546	0.0	0.0	-0.548	0.0	0.0	-0.835	0.173	0.0	-0.229	0.0	0.0	-0.049	0.0	-0.11	0.0	0.0	0.0	0.0	0.0	-0.48	-0.312
free_topic	Amb-94f9_56_ungulates-14	0.0	0.052	-0.006	0.0	-0.003	0.146	-1.666	0.138	0.0	0.0	-0.648	-0.327	0.0	-0.204	0.0	0.0	0.433	-0.367	0.0	0.0	0.0	0.0	-0.052	-0.679	-0.051	-0.135	0.0	-0.593	0.214	-0.277	-0.199	0.015	-0.027	0.245	-0.621	0.0	0.262	0.094	0.0	-0.339	-0.555	0.0	-0.318	0.0	-1.063	-0.939	0.265	-0.562	0.037	0.0	-0.282	-0.322	-0.212	-0.271	0.501	-0.198	-1.057	0.0	-0.622	-0.476	-0.593	0.0	0.045	-0.404	0.033	-0.315	0.0	-0.592	0.0	0.0	0.0	-0.3	0.0	-0.353	-1.526	-0.274	0.0	0.0	0.091	0.0	-0.492	0.0	-0.563	-0.274	-0.665	0.088	0.142	0.0	0.0	0.0
free_topic	Ame-35ae_268_deer-4	0.0	0.0	0.447	-0.48	-0.141	0.0	0.0	0.181	0.0	-0.012	-0.347	0.0	0.0	0.02	0.0	0.0	0.0	-0.074	0.0	0.0	-0.029	-0.155	0.0	-0.071	0.0	0.0	0.0	-0.512	-0.046	0.0	0.0	-0.462	0.0	0.42	0.0	0.16	0.134	-0.068	0.0	0.578	-0.554	0.0	0.0	0.0	-0.457	0.0	0.0	0.0	0.0	-0.368	0.0	0.266	0.0	0.0	-0.29	0.071	-0.343	0.0	0.0	0.0	0.248	0.0	0.0	0.0	0.0	-0.543	0.0	0.0	-0.807	0.0	0.0	-0.438	0.0	-0.687	-0.165	0.168	0.0	0.0	0.0	0.0	0.0	0.0	0.216	-0.192	-0.393	0.352	-0.694	0.0	0.0	0.673
free_topic	Ame-35ae_271_caribou-14	-0.351	-0.106	0.42	0.0	-0.262	-0.429	0.0	-0.287	0.4	0.167	0.0	-0.694	0.0	-0.191	-0.258	-0.118	0.737	0.0	0.0	-0.694	0.0	0.0	-0.33	0.0	0.0	0.0	-0.173	0.346	0.0	0.0	0.0	-0.459	0.352	0.0	0.0	-0.3	-0.218	-0.396	0.039	-0.674	-0.832	-0.085	-0.968	0.043	-0.518	0.0	0.0	-0.8	-0.27	-0.453	0.216	0.0	0.19	-0.48	0.0	-0.435	0.0	-0.189	0.0	0.0	-0.144	0.0	-0.508	0.0	0.0	-0.367	0.0	-0.378	-0.854	0.0	0.558	-0.256	-0.105	0.0	0.0	-0.05	0.153	0.0	0.0	-0.671	-0.802	0.0	0.0	-0.223	0.167	0.0	0.0	0.0	0.0	-0.449
free_topic	Ame-35ae_274_deer-3	0.0	-0.484	0.0	0.0	0.0	-0.612	-0.183	0.0	0.0	-0.274	0.0	0.0	0.0	0.0	0.0	-0.443	-0.552	0.0	0.448	0.0	0.113	-0.177	-0.246	0.0	0.0	-0.397	-0.023	0.0	0.0	-0.277	-0.097	0.291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.092	-0.558	0.0	-0.473	-0.046	-0.609	0.0	-0.83	-0.135	0.0	0.0	0.0	0.052	0.0	-0.642	0.0	0.505	0.0	0.0	0.0	0.0	-0.497	0.0	0.0	-0.367	0.0	-0.006	0.091	-0.196	0.0	0.0	0.133	0.0	0.0	0.527	0.0	0.0	-0.386	0.257	0.0	-0.052	0.0	-0.228	0.0	-0.801	-0.347	0.0	0.0	0.0	-0.694
