relation	btoken	rtoken	btag	bloc	rtag	rloc	rdist	bterm	rterm	tagscore
location	Ani-ab87_79_locust-7	Ani-ab87_79_desert-6	Ani-ab87_79_locust-7_4859	79	Ani-ab87_79_desert-6_3805	79	0	desert locust	desert	100.0
location	Nom-aef8_117_locust-14	Nom-aef8_117_desert-13	Nom-aef8_117_locust-14_4859	117	Nom-aef8_117_desert-13_3805	117	0	desert locust	desert	100.0
location	Des-78ef_194_locust-19	Des-78ef_194_desert-18	Des-78ef_194_locust-19_4859	194	Des-78ef_194_desert-18_3805	194	0	desert locust	desert	100.0
location	Des94f5_4_locust-3	Des94f5_4_desert-2	Des94f5_4_locust-3_4859	4	Des94f5_4_desert-2_3805	4	0	desert locust	desert	100.0
location	Des-78ef_283_locust-7	Des-78ef_283_desert-6	Des-78ef_283_locust-7_4859	283	Des-78ef_283_desert-6_34	283	0	desert locust	Desert	100.0
location	Sch-31f7_3_locust-9	Sch-31f7_3_desert-8	Sch-31f7_3_locust-9_4859	3	Sch-31f7_3_desert-8_34	3	0	desert locust	Desert	100.0
location	Swa-27b4_247_locust-16	Swa-27b4_247_desert-15	Swa-27b4_247_locust-16_4859	247	Swa-27b4_247_desert-15_34	247	0	desert locust	Desert	100.0
location	Des-78ef_116_locust-3	Des-78ef_116_desert-2	Des-78ef_116_locust-3_4859	116	Des-78ef_116_desert-2_34	116	0	desert locust	Desert	100.0
location	Des-78ef_230_locust-2	Des-78ef_230_Desert-1	Des-78ef_230_locust-2_4859	230	Des-78ef_230_Desert-1_34	230	0	desert locust	Desert	100.0
location	Des-78ef_223_locust-2	Des-78ef_223_Desert-1	Des-78ef_223_locust-2_4859	223	Des-78ef_223_Desert-1_34	223	0	desert locust	Desert	100.0
location	Des-78ef_258_locust-5	Des-78ef_258_desert-4	Des-78ef_258_locust-5_4859	258	Des-78ef_258_desert-4_34	258	0	desert locust	Desert	100.0
location	Des-78ef_253_locust-5	Des-78ef_253_desert-4	Des-78ef_253_locust-5_4859	253	Des-78ef_253_desert-4_34	253	0	desert locust	Desert	100.0
location	Des-78ef_249_locust-6	Des-78ef_249_desert-5	Des-78ef_249_locust-6_4859	249	Des-78ef_249_desert-5_34	249	0	desert locust	Desert	100.0
location	Des-78ef_231_locust-2	Des-78ef_231_Desert-1	Des-78ef_231_locust-2_4859	231	Des-78ef_231_Desert-1_34	231	0	desert locust	Desert	100.0
location	Des-78ef_281_locust-7	Des-78ef_281_desert-6	Des-78ef_281_locust-7_4859	281	Des-78ef_281_desert-6_34	281	0	desert locust	Desert	100.0
location	Des-78ef_219_locust-2	Des-78ef_219_Desert-1	Des-78ef_219_locust-2_4859	219	Des-78ef_219_Desert-1_34	219	0	desert locust	Desert	100.0
location	Des-78ef_244_locust-5	Des-78ef_244_desert-4	Des-78ef_244_locust-5_4859	244	Des-78ef_244_desert-4_34	244	0	desert locust	Desert	100.0
location	Des-78ef_215_locust-2	Des-78ef_215_Desert-1	Des-78ef_215_locust-2_4859	215	Des-78ef_215_Desert-1_34	215	0	desert locust	Desert	100.0
location	Des-78ef_2_locust-3	Des-78ef_2_desert-2	Des-78ef_2_locust-3_4859	2	Des-78ef_2_desert-2_34	2	0	desert locust	Desert	100.0
location	Des-78ef_30_locust-2	Des-78ef_30_Desert-1	Des-78ef_30_locust-2_4859	30	Des-78ef_30_Desert-1_34	30	0	desert locust	Desert	100.0
location	Des-78ef_94_locust-15	Des-78ef_94_desert-14	Des-78ef_94_locust-15_4859	94	Des-78ef_94_desert-14_34	94	0	desert locust	Desert	100.0
location	Des-78ef_90_locust-2	Des-78ef_90_Desert-1	Des-78ef_90_locust-2_4859	90	Des-78ef_90_Desert-1_34	90	0	desert locust	Desert	100.0
location	Des-78ef_87_locust-8	Des-78ef_87_desert-7	Des-78ef_87_locust-8_4859	87	Des-78ef_87_desert-7_34	87	0	desert locust	Desert	100.0
location	Des-78ef_81_locust-2	Des-78ef_81_Desert-1	Des-78ef_81_locust-2_4859	81	Des-78ef_81_Desert-1_34	81	0	desert locust	Desert	100.0
location	Des-78ef_52_locust-2	Des-78ef_52_Desert-1	Des-78ef_52_locust-2_4859	52	Des-78ef_52_Desert-1_34	52	0	desert locust	Desert	100.0
location	Des-78ef_45_locust-11	Des-78ef_45_desert-10	Des-78ef_45_locust-11_4859	45	Des-78ef_45_desert-10_34	45	0	desert locust	Desert	100.0
location	Des-78ef_334_locust-2	Des-78ef_334_Desert-1	Des-78ef_334_locust-2_4859	334	Des-78ef_334_Desert-1_34	334	0	desert locust	Desert	100.0
location	Des-78ef_31_locust-6	Des-78ef_31_desert-5	Des-78ef_31_locust-6_4859	31	Des-78ef_31_desert-5_34	31	0	desert locust	Desert	100.0
location	Des-78ef_19_locust-2	Des-78ef_19_Desert-1	Des-78ef_19_locust-2_4859	19	Des-78ef_19_Desert-1_3805	19	0	desert locust	desert	100.0
location	Sch-31f7_3_locust-25	Sch-31f7_3_desert-8	Sch-31f7_3_locust-25_4859	3	Sch-31f7_3_desert-8_3805	3	0	desert locust	desert	100.0
location	Des-78ef_214_locust-7	Des-78ef_214_desert-6	Des-78ef_214_locust-7_4859	214	Des-78ef_214_desert-6_3805	214	0	desert locust	desert	100.0
location	Des-78ef_159_locust-2	Des-78ef_159_Desert-1	Des-78ef_159_locust-2_4859	159	Des-78ef_159_Desert-1_3805	159	0	desert locust	desert	100.0
location	Des-78ef_158_locust-22	Des-78ef_158_desert-10	Des-78ef_158_locust-22_4859	158	Des-78ef_158_desert-10_3805	158	0	desert locust	desert	100.0
location	Des-78ef_158_locust-11	Des-78ef_158_desert-21	Des-78ef_158_locust-11_4859	158	Des-78ef_158_desert-21_3805	158	0	desert locust	desert	100.0
location	Des-78ef_158_locust-11	Des-78ef_158_desert-10	Des-78ef_158_locust-11_4859	158	Des-78ef_158_desert-10_3805	158	0	desert locust	desert	100.0
location	Des-78ef_152_locust-2	Des-78ef_152_Desert-1	Des-78ef_152_locust-2_4859	152	Des-78ef_152_Desert-1_3805	152	0	desert locust	desert	100.0
location	Des-78ef_151_locust-10	Des-78ef_151_desert-9	Des-78ef_151_locust-10_4859	151	Des-78ef_151_desert-9_3805	151	0	desert locust	desert	100.0
location	Des-78ef_150_locust-2	Des-78ef_150_Desert-1	Des-78ef_150_locust-2_4859	150	Des-78ef_150_Desert-1_3805	150	0	desert locust	desert	100.0
location	Des-78ef_121_locust-2	Des-78ef_121_Desert-1	Des-78ef_121_locust-2_4859	121	Des-78ef_121_Desert-1_3805	121	0	desert locust	desert	100.0
location	Des-78ef_156_locust-2	Des-78ef_156_Desert-1	Des-78ef_156_locust-2_4859	156	Des-78ef_156_Desert-1_3805	156	0	desert locust	desert	100.0
location	Des-78ef_161_locust-17	Des-78ef_161_desert-16	Des-78ef_161_locust-17_4859	161	Des-78ef_161_desert-16_3805	161	0	desert locust	desert	100.0
location	Des-78ef_168_locust-2	Des-78ef_168_Desert-1	Des-78ef_168_locust-2_4859	168	Des-78ef_168_Desert-1_3805	168	0	desert locust	desert	100.0
location	Des-78ef_212_locust-2	Des-78ef_212_Desert-1	Des-78ef_212_locust-2_4859	212	Des-78ef_212_Desert-1_3805	212	0	desert locust	desert	100.0
location	Des-78ef_206_locust-2	Des-78ef_206_Desert-1	Des-78ef_206_locust-2_4859	206	Des-78ef_206_Desert-1_3805	206	0	desert locust	desert	100.0
location	Des-78ef_158_locust-22	Des-78ef_158_desert-21	Des-78ef_158_locust-22_4859	158	Des-78ef_158_desert-21_3805	158	0	desert locust	desert	100.0
location	Des-78ef_1_locust-2	Des-78ef_1_Desert-1	Des-78ef_1_locust-2_4859	1	Des-78ef_1_Desert-1_3805	1	0	desert locust	desert	100.0
