rel_role	token_id	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89
free_topic	Ada-8b4f_26_cone-6	0.0	0.0	0.0	0.0	-0.142	0.0	0.0	-0.125	0.0	0.0	0.0	0.0	0.086	0.0	-0.473	0.0	0.0	0.0	0.0	-0.386	0.0	-0.678	-0.419	0.0	0.0	0.0	0.0	0.0	-0.277	0.045	-0.766	0.0	-1.206	0.338	0.0	0.0	0.0	-0.482	-0.444	0.005	-0.073	-0.122	0.0	0.0	0.0	0.0	0.0	0.434	0.0	0.0	0.0	0.0	-0.563	0.0	-0.658	-0.378	-0.193	0.0	0.0	0.0	-0.228	0.0	-0.44	0.0	-0.289	-0.588	0.0	0.0	0.0	0.0	0.0	-0.532	-0.183	-0.428	0.0	0.0	0.0	0.0	0.0	0.0	-0.027	0.0	0.0	0.0	0.0	0.0	-0.094	0.0	-0.178	0.0
free_topic	Adé-beeb_88_cephalopods-49	0.297	-0.69	0.0	-0.836	-1.891	-0.905	-0.229	-0.244	-1.997	-0.386	-1.066	-0.453	0.193	-0.455	0.71	-3.655	0.0	1.31	-0.392	-5.402	-0.433	-0.784	-0.641	-0.721	0.0	-1.011	-0.53	-0.667	0.0	0.087	-1.822	0.343	-0.298	-0.584	-0.746	0.154	-0.477	-0.711	-0.913	0.0	-0.383	-0.597	-0.04	0.0	-0.802	-0.759	0.449	0.0	-0.45	-1.285	0.314	-0.449	-0.511	-1.147	-0.698	-0.513	0.0	-0.27	0.0	-0.158	-3.211	0.308	-0.702	-0.434	-0.412	-1.313	-0.036	-0.128	0.0	-1.081	0.052	-0.578	-0.548	-1.47	0.255	-0.653	0.0	0.0	-2.39	-0.146	0.0	-0.609	0.0	-1.11	0.144	0.328	0.118	0.0	-1.148	-0.122
free_topic	Aes-3859_21_Mollusca-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
free_topic	Afr-f1c4_70_squids-52	-0.076	-0.266	0.292	-0.284	-0.521	0.779	0.14	-0.643	0.482	-1.574	0.0	0.0	-0.124	-0.182	-0.697	0.0	0.0	-0.436	-0.064	-0.491	-0.76	0.0	0.0	-1.217	-0.434	-0.795	-0.109	-0.935	0.08	0.0	-0.135	0.0	-0.447	-0.278	-0.567	-0.713	0.135	0.217	-0.106	0.0	0.0	0.0	-0.657	-0.802	0.0	-0.005	0.479	0.111	0.0	-0.918	-0.477	-0.258	0.15	0.0	-0.643	-1.089	-0.129	-0.133	0.073	-1.218	0.0	-0.259	-0.493	-3.082	-0.324	-0.112	-1.076	-0.643	-0.909	-0.355	-0.029	-0.197	0.0	-0.594	0.143	-0.78	0.0	0.381	-0.792	0.41	0.0	0.0	0.332	0.0	-0.109	0.0	-1.23	0.0	0.0	0.0
free_topic	Afr-f1c4_7_squid-14	0.176	-0.109	-0.402	0.168	0.0	0.0	0.0	-0.411	-0.221	-0.254	0.0	0.0	0.0	0.0	0.0	-0.215	0.083	-0.129	0.0	0.0	-0.438	0.0	0.533	-0.511	-0.918	-0.109	0.392	0.0	0.0	0.203	-0.048	-0.623	0.0	-0.924	0.0	0.0	0.0	0.0	-0.446	0.0	-0.23	-0.643	0.0	-0.283	0.0	-0.246	0.0	0.0	0.068	-0.15	-0.573	0.0	-0.409	0.0	0.0	-0.061	-0.643	-0.73	0.0	0.0	0.0	-0.284	-0.17	-0.302	-0.83	0.0	-0.491	0.0	0.0	0.0	0.0	0.0	0.0	-0.766	0.0	0.0	-0.553	0.0	-0.359	0.0	0.0	0.447	0.0	0.0	-0.061	-0.133	-0.491	0.0	0.0	0.0
free_topic	Alb-2c7c_113_cephalopods-6	-0.007	-0.116	-0.161	-0.741	-0.112	-0.059	-0.371	-1.678	-0.044	0.464	-0.3	-0.637	-0.874	-0.746	-0.245	-0.828	0.0	-1.318	-0.482	-1.552	0.0	0.0	-0.708	-0.711	-0.801	-0.495	-0.511	-1.701	-0.735	-0.087	-0.834	-0.031	0.247	-0.936	-0.98	-0.348	-0.315	0.0	-0.433	-0.077	0.0	-0.363	-0.693	-3.396	0.0	0.352	0.709	-0.2	0.0	-0.694	0.0	0.0	-1.588	0.0	0.259	0.0	0.0	-0.284	-0.25	0.919	-0.786	-1.099	-0.356	-0.092	0.367	0.0	-0.774	-0.218	-0.231	-0.047	-0.641	0.0	0.216	0.0	0.0	-0.426	0.0	0.0	0.106	-0.403	0.0	-0.151	0.086	0.0	-0.109	-0.787	-0.272	0.0	-0.222	0.676
free_topic	Alb-2c7c_116_squid-27	0.0	0.183	0.447	0.0	-0.511	0.0	0.0	0.0	-0.614	-0.226	0.0	0.0	0.0	-0.49	0.0	0.0	0.0	0.0	-0.424	-0.385	0.0	-0.353	0.0	0.0	0.0	0.0	0.0	0.0	-0.203	-0.058	0.0	-0.201	-0.523	0.259	0.0	-0.633	-0.021	0.0	-0.638	0.0	0.0	0.0	0.0	0.0	-0.051	0.0	-0.284	-0.732	0.0	-0.615	0.0	-0.151	0.0	-0.221	-0.551	-0.389	0.176	-0.327	-0.41	0.0	0.41	0.0	-0.008	0.723	0.308	-0.82	-0.061	0.064	-0.868	0.0	-0.501	-0.438	0.049	0.0	0.0	0.168	0.0	0.0	0.0	-0.442	0.0	0.0	-0.356	0.0	0.106	0.0	-0.83	-0.497	0.002	0.0
free_topic	Alb-2c7c_118_squid-53	-0.867	-0.7	0.157	-0.015	0.102	-1.012	-0.503	0.0	0.352	-0.379	-0.29	0.0	-0.635	0.38	0.0	-0.022	0.469	-0.449	0.0	0.275	-0.115	-0.734	0.076	0.264	-0.07	-1.062	0.0	-0.36	0.059	-0.387	-0.674	0.0	-0.615	0.093	0.0	0.0	0.0	0.0	0.0	0.324	0.0	-0.428	0.0	0.0	0.0	0.052	-0.624	0.789	-0.223	-0.305	-0.151	-1.045	0.0	0.0	-0.198	0.338	-0.39	0.0	0.0	-0.442	-0.002	0.0	-0.149	0.0	0.0	0.0	0.106	-1.034	0.314	0.0	0.0	-1.069	-0.312	-1.107	-0.258	0.0	-0.453	0.0	-0.244	0.0	-0.396	0.0	0.0	-0.654	-0.489	-0.611	-0.171	-0.204	0.0	0.037
free_topic	Alb-2c7c_119_squid-6	0.0	0.0	0.393	-0.48	-1.235	-0.416	0.0	-0.24	-0.006	-0.121	-0.282	0.0	0.0	-1.549	0.0	0.007	0.0	-0.32	-0.272	0.0	0.0	-0.342	0.0	-0.134	0.0	-0.407	0.0	0.002	-0.046	0.101	-0.528	-0.38	-0.903	-0.274	0.0	0.144	0.107	0.0	0.0	0.025	-0.514	0.0	0.0	0.0	-0.051	-0.738	-0.113	0.0	0.0	-0.07	0.368	-0.23	-0.036	0.0	-0.551	-0.223	0.0	0.0	-0.589	-0.518	-0.315	0.0	0.29	0.0	0.308	-0.906	-0.061	0.0	-0.955	0.0	0.0	-0.542	0.0	0.0	-0.447	-0.018	-0.225	0.0	0.0	-0.465	0.0	0.0	0.091	-0.146	-0.365	0.352	-0.307	0.0	0.526	0.0
free_topic	Alb-2c7c_120_squid-26	0.138	-0.5	-0.274	0.084	-1.154	0.0	-0.896	0.302	-0.422	-1.128	-0.127	0.0	0.0	-0.223	-0.403	0.0	0.0	0.0	0.0	0.0	0.0	-0.501	0.111	0.216	0.0	0.0	0.072	0.0	0.0	-0.158	-0.784	-0.946	-0.032	0.469	0.0	0.0	0.265	-0.277	0.0	0.0	-0.549	0.0	0.0	-0.478	0.0	0.246	0.184	-0.584	-0.296	-0.988	0.0	-0.287	0.0	0.0	0.125	-1.323	-0.323	0.0	-0.37	0.0	0.142	0.123	0.269	0.228	0.0	-0.305	-0.2	0.0	-0.517	0.0	-0.582	-0.542	-0.281	0.0	-0.52	-0.687	0.0	0.0	0.0	-0.005	0.0	0.0	-0.353	0.376	0.0	0.0	-0.027	-1.14	-0.262	0.0
