relation	btoken	rtoken	btag	bloc	rtag	rloc	rdist	bterm	rterm	tagscore
location	Acr-39bb_10_Acrocephalus-88	Acr-39bb_10_Marsh-79	Acr-39bb_10_Acrocephalus-88_876	10	Acr-39bb_10_Marsh-79_36	10	0	Acrocephalus	Marsh	100.0
location	Acr-6263_4_warbler-17	Acr-6263_4_marsh-16	Acr-6263_4_warbler-17_3852	4	Acr-6263_4_marsh-16_3807	4	0	reed warbler	marsh	100.0
location	Acr-39bb_10_warbler-86	Acr-39bb_10_Marsh-79	Acr-39bb_10_warbler-86_3852	10	Acr-39bb_10_Marsh-79_36	10	0	reed warbler	Marsh	100.0
location	Acr-39bb_10_warbler-80	Acr-39bb_10_Marsh-79	Acr-39bb_10_warbler-80_3852	10	Acr-39bb_10_Marsh-79_36	10	0	reed warbler	Marsh	100.0
location	Acr-39bb_10_warbler-7	Acr-39bb_10_Marsh-79	Acr-39bb_10_warbler-7_3852	10	Acr-39bb_10_Marsh-79_36	10	0	reed warbler	Marsh	100.0
location	Acr-39bb_10_warbler-56	Acr-39bb_10_Marsh-79	Acr-39bb_10_warbler-56_3852	10	Acr-39bb_10_Marsh-79_36	10	0	reed warbler	Marsh	100.0
location	Acr-39bb_10_warbler-44	Acr-39bb_10_Marsh-79	Acr-39bb_10_warbler-44_3852	10	Acr-39bb_10_Marsh-79_36	10	0	reed warbler	Marsh	100.0
location	Acr-39bb_10_warbler-112	Acr-39bb_10_Marsh-79	Acr-39bb_10_warbler-112_3852	10	Acr-39bb_10_Marsh-79_36	10	0	reed warbler	Marsh	100.0
location	Acr-39bb_10_warbler-31	Acr-39bb_10_Marsh-79	Acr-39bb_10_warbler-31_3852	10	Acr-39bb_10_Marsh-79_36	10	0	reed warbler	Marsh	100.0
location	Acr-39bb_10_warbler-2	Acr-39bb_10_Marsh-79	Acr-39bb_10_warbler-2_3852	10	Acr-39bb_10_Marsh-79_36	10	0	reed warbler	Marsh	100.0
location	Acr-39bb_10_warbler-26	Acr-39bb_10_Marsh-79	Acr-39bb_10_warbler-26_3852	10	Acr-39bb_10_Marsh-79_36	10	0	reed warbler	Marsh	100.0
location	Cor-270b_255_Corvidae-23	Cor-270b_255_rainforest-10	Cor-270b_255_Corvidae-23_547	255	Cor-270b_255_rainforest-10_3811	255	0	Corvidae	rainforest	100.0
location	Acr-39bb_10_warbler-12	Acr-39bb_10_Marsh-79	Acr-39bb_10_warbler-12_3852	10	Acr-39bb_10_Marsh-79_36	10	0	reed warbler	Marsh	100.0
location	Acr-39bb_10_warbler-118	Acr-39bb_10_Marsh-79	Acr-39bb_10_warbler-118_3852	10	Acr-39bb_10_Marsh-79_36	10	0	reed warbler	Marsh	100.0
location	Acr3c8f_2_warblers-4	Acr3c8f_2_Marsh-1	Acr3c8f_2_warblers-4_3852	2	Acr3c8f_2_Marsh-1_36	2	0	reed warbler	Marsh	100.0
