rel_role	token_id	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89
free_topic	Aar-5e58_49_plants-23	0.0	-0.341	0.499	-0.103	-2.448	-0.665	0.166	-1.249	-0.228	-0.252	0.443	-0.189	-0.12	-0.156	-0.651	0.0	-0.428	0.11	-0.181	-0.723	0.175	0.103	-0.266	-0.352	-0.161	-0.906	0.0	-0.099	0.475	-0.452	-0.218	0.485	0.0	-0.522	-0.515	-0.081	0.121	0.0	0.0	-0.305	0.113	-0.166	0.0	-1.747	-0.962	0.0	-0.081	-0.234	0.0	-0.995	-0.469	0.263	0.0	0.0	0.0	-0.293	-0.358	0.087	-0.269	0.398	-0.12	-0.66	0.095	-0.186	0.251	-0.275	-0.491	0.401	-1.196	0.335	0.0	-0.755	-0.283	-0.315	-0.688	0.54	0.0	0.0	-0.061	-0.497	0.0	0.0	-0.414	0.0	-0.109	0.271	0.0	0.0	0.129	0.0
free_topic	Abs-0ba8_10_plants-14	-0.457	0.0	-0.185	0.21	0.0	-0.056	-0.836	-0.229	0.0	-0.821	0.0	-0.315	0.0	0.0	0.109	0.0	-0.372	-1.071	0.0	0.0	-0.604	0.0	0.0	-0.782	0.0	0.0	0.111	0.0	-0.885	-0.27	-0.481	-0.626	-0.91	0.0	0.0	0.0	0.0	-0.443	0.0	-0.067	-0.891	0.0	0.234	0.0	-0.415	-0.136	-0.728	0.0	-0.177	0.691	0.327	-0.875	0.19	0.0	0.0	-0.389	-0.533	0.444	-0.013	-0.228	-0.112	0.0	-0.143	-0.674	0.0	-0.509	-0.116	0.0	-0.989	0.0	0.0	-1.79	-0.478	0.0	0.0	0.177	0.0	-0.449	0.0	0.0	0.0	0.0	0.0	-1.354	0.0	-0.468	0.0	-0.47	-0.512	0.0
free_topic	Abs-0ba8_10_plants-3	0.0	-0.064	0.691	-0.891	-0.688	-0.223	0.0	0.0	0.0	-0.168	0.19	-0.315	0.0	0.0	-0.182	0.0	-0.193	-1.719	-0.386	0.098	-0.794	0.0	0.0	0.0	-0.346	-0.447	-0.275	-0.286	-0.468	0.0	-1.566	0.458	-0.243	-0.601	-0.364	0.0	-0.218	-0.065	-0.179	-0.314	0.0	-0.182	0.234	0.0	-0.626	0.0	-0.693	-0.369	0.0	0.0	0.623	-0.839	-0.511	0.126	0.0	-1.366	-1.389	0.0	0.0	-0.4	0.442	-0.981	-0.37	0.0	0.0	-0.396	-0.858	0.0	-0.284	-0.47	0.305	-0.399	-0.493	0.0	-0.782	0.177	-0.163	-0.384	0.0	0.0	0.0	0.0	0.0	-1.252	0.0	0.109	0.0	-1.045	-1.067	0.0
free_topic	Abs-0ba8_11_plant-11	-0.457	0.0	-0.024	0.21	-0.424	-0.865	0.0	-0.373	0.052	-0.286	0.0	0.0	0.0	-0.649	0.099	0.0	0.221	-0.672	-0.123	0.008	-0.723	-0.642	0.0	-0.85	0.052	-0.359	0.105	-0.31	0.0	-0.753	-0.558	0.0	0.0	-0.975	0.0	0.0	0.202	-0.101	-0.058	0.397	0.046	0.0	0.0	0.0	-0.488	-0.163	-0.708	0.0	-0.041	0.0	0.0	-0.404	-0.779	0.0	-0.386	-1.147	-1.055	0.406	0.0	0.016	0.131	-0.982	0.301	-0.29	-0.036	0.0	-0.211	-0.071	-0.863	-0.545	0.114	-0.973	-1.226	0.0	-0.404	0.0	-0.029	-0.134	0.0	0.0	-0.19	0.0	0.0	-0.34	0.0	0.0	0.0	0.0	-0.564	0.0
free_topic	Abs-0ba8_12_plant-28	-0.205	-0.151	0.438	-0.051	-0.673	0.377	0.0	-0.463	0.0	-0.914	0.0	-0.444	-0.035	-0.717	-0.414	-0.163	-0.576	-0.669	0.0	-0.094	0.0	0.0	0.162	0.0	-0.642	0.0	0.005	0.0	0.0	-0.731	-0.394	-0.445	0.0	-0.398	0.22	-0.2	0.0	-0.117	-0.162	-0.438	0.298	-0.189	-0.529	-0.517	-0.432	-1.683	0.0	-0.592	-0.404	-0.309	-0.556	0.448	-0.05	-0.359	0.0	-0.629	-0.41	-0.19	-0.219	0.0	0.55	0.0	0.529	-0.551	-0.006	-0.469	-1.012	-0.426	0.47	0.0	0.0	-0.827	-0.155	-0.205	0.0	-0.303	0.0	0.299	0.0	0.0	-0.414	-0.453	0.0	0.0	-0.354	0.0	0.0	0.0	0.043	0.388
free_topic	Abs-0ba8_12_plant-8	0.0	0.279	0.0	0.0	-0.941	-0.06	-0.799	-0.857	0.0	-0.311	-1.043	-0.117	-1.121	-0.649	0.443	0.0	-0.738	-0.477	-0.346	-0.382	-0.215	0.0	0.0	0.0	-0.309	-0.285	-0.198	-0.296	-0.493	0.0	0.016	0.0	-0.012	-0.495	-0.623	0.0	0.197	-0.071	0.269	0.01	0.353	0.049	0.049	-0.223	0.0	0.0	-0.611	-0.005	0.0	0.0	0.0	0.387	-0.618	0.0	-0.225	-0.818	-1.277	-0.954	-0.103	-0.562	-0.136	0.0	-0.14	-0.069	0.0	-0.469	0.0	-0.677	-0.076	0.0	0.0	-0.42	-0.312	0.275	0.0	0.261	0.147	-0.345	0.078	0.0	0.0	0.0	0.0	-0.148	0.0	0.083	0.0	-0.51	-0.414	0.0
free_topic	Abs2465_6_plants-17	-0.424	-0.138	-0.354	-0.844	0.0	-0.084	-0.439	-0.704	0.0	-0.359	-0.96	0.0	0.11	0.0	0.0	0.0	-0.56	-0.503	-0.942	-0.395	0.0	0.0	-0.193	0.0	-0.395	0.0	-0.464	0.0	0.391	0.349	-0.438	0.366	0.0	-0.459	-0.118	0.0	0.0	0.0	-0.18	-0.138	0.0	0.197	0.0	-0.51	-0.467	0.0	-0.472	0.0	0.0	0.0	0.0	-0.032	-0.008	0.0	0.0	0.0	-0.585	0.0	0.308	-0.418	0.515	-0.669	-1.428	0.0	0.0	-0.504	0.0	-0.172	0.0	0.0	0.0	-0.163	-0.548	-0.404	0.0	0.0	0.0	0.397	0.047	0.0	-0.41	-0.392	-0.006	0.0	0.0	-0.027	0.0	-0.339	-0.33	0.0
free_topic	Abs2465_7_plants-17	-0.319	0.045	0.28	0.102	0.0	-0.548	-0.604	-0.148	0.0	-0.388	0.0	-0.315	0.0	0.0	0.0	0.0	-0.707	0.208	0.0	0.0	-0.604	-0.434	0.0	-0.975	-0.184	0.0	-0.416	0.0	-0.887	-0.345	-0.53	-0.416	-0.351	-0.403	0.0	0.0	0.0	0.0	0.0	0.05	0.265	0.0	0.234	-0.218	-0.396	0.0	-0.385	0.0	0.121	0.0	0.295	-0.772	-0.096	0.0	0.0	-0.479	-0.739	0.13	0.0	-0.277	0.488	-0.715	-0.432	-0.49	0.0	0.0	0.165	0.0	-0.777	0.0	0.0	-1.039	-0.873	0.0	0.0	0.018	0.0	-0.12	0.037	0.49	0.0	0.0	0.0	-1.61	0.0	-0.132	0.0	-0.306	-0.512	-0.492
free_topic	Aca-0b77_22_plant-17	0.0	0.0	0.0	0.0	0.0	-0.523	-0.006	-0.551	-0.366	-0.464	0.0	0.0	0.0	0.0	0.0	-0.051	0.0	-0.075	0.0	-0.013	0.0	-0.382	-1.097	0.0	-0.122	-0.01	0.0	0.0	0.0	-0.36	0.0	0.0	-0.043	0.0	0.0	0.0	0.0	0.423	0.0	0.0	-1.074	0.0	-0.223	-0.516	0.0	0.0	0.0	-0.944	0.0	0.383	-0.254	-0.668	0.0	-0.434	-0.853	0.0	0.261	0.0	0.0	0.368	0.0	0.0	0.0	0.0	0.0	-0.093	0.0	-0.008	-0.395	0.0	0.0	0.471	0.0	0.0	0.0	0.0	-0.262	0.0	-0.406	0.0	0.536	0.0	-0.392	0.0	0.0	0.156	0.0	0.0	0.0	0.0
free_topic	Aca-0b77_3_plant-8	0.515	0.0	0.0	0.0	0.0	-0.674	-0.354	0.0	-0.379	0.0	0.338	-0.414	-0.299	0.0	0.022	-0.185	0.0	0.0	-0.137	0.0	0.0	-0.327	-0.695	-0.351	0.542	-0.428	0.058	0.0	0.0	-0.287	0.157	0.0	0.205	-0.318	0.0	0.0	0.0	-0.094	0.0	-0.014	0.142	-0.091	0.0	-0.59	0.716	0.0	0.0	0.09	0.103	0.208	-0.636	0.0	0.0	-0.372	-0.437	0.0	0.469	-0.901	0.0	0.0	0.0	-0.236	-0.822	-0.071	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.183	0.0	0.0	0.0	-0.456	0.0	-0.183	-0.601	0.0	0.106	0.228	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.243
