rel_role	token_id	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89
free_topic	Aar-5e58_103_humans-2	0.0	0.0	-0.063	-0.031	-0.103	-0.86	0.296	-0.412	0.0	-0.028	-0.267	0.0	0.0	-1.469	0.0	-0.396	0.0	0.0	0.0	0.0	0.0	0.0	-0.094	0.0	-0.29	0.0	0.412	0.0	0.0	0.345	0.0	0.0	0.0	-0.75	0.0	0.0	0.0	0.0	0.0	0.855	0.324	0.0	0.0	0.0	0.0	-0.226	-0.936	0.0	-0.293	-0.257	0.0	-0.402	-0.129	0.0	0.0	0.138	-0.049	0.0	0.0	-0.409	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.204	0.0	-0.306	-0.359	0.0	-0.06	0.0	0.0	-0.107	0.0	0.0	0.0	0.0	0.0	0.0	-0.246	-0.012	-0.635	-0.055	0.0	0.013	0.057
free_topic	Aar-5e58_190_people-7	0.0	-0.678	0.393	0.0	0.042	0.0	-0.206	-0.053	0.11	0.06	0.0	0.0	0.0	-0.232	0.0	0.0	0.108	0.0	0.0	0.0	0.0	-0.312	-0.61	-0.149	0.0	0.0	-0.473	0.352	0.0	0.205	-0.588	0.393	-0.903	0.074	-0.347	0.0	-0.247	0.0	0.0	-0.263	0.298	-0.543	0.109	0.0	-0.051	0.0	-0.558	0.281	0.0	-0.07	-0.684	-0.509	-0.05	0.0	-0.525	-1.025	-0.343	0.0	-0.41	0.0	-0.571	0.187	0.0	-0.48	0.308	-0.697	-0.061	-1.358	-0.841	-0.566	0.0	-1.083	-0.215	-0.027	-0.026	-0.018	0.052	0.0	-0.223	-0.262	0.0	-0.694	0.052	0.0	-0.37	0.0	0.0	0.759	-0.006	0.0
free_topic	Aar-5e58_191_humans-12	0.0	-0.756	0.332	0.0	-0.381	-0.609	-0.167	0.571	0.0	-0.833	-0.146	0.0	-0.259	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.4	-0.038	0.0	0.0	-0.442	-0.109	-0.491	0.0	-0.359	-0.862	-0.482	-0.605	0.324	0.0	0.0	-0.07	0.0	0.0	0.0	0.0	0.0	-0.293	0.0	0.0	-0.305	-0.218	0.156	0.0	-0.247	0.0	0.332	-0.061	0.0	-0.643	-0.537	0.0	-0.133	0.0	0.0	-0.123	0.0	0.406	0.0	0.0	-0.55	0.094	0.323	-1.423	0.0	-0.024	-0.955	-0.6	0.0	0.392	0.086	0.0	0.0	0.0	-0.162	0.0	0.0	-0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0
free_topic	Aarec7c_5_men-22	0.0	0.0	0.297	0.338	-0.449	0.0	0.0	0.001	0.0	-0.89	-0.482	0.2	0.0	0.0	-0.477	0.0	0.0	-0.165	-0.473	-0.316	-0.357	-0.414	-0.228	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.504	0.0	-0.412	-0.012	0.0	0.0	-0.353	-0.792	0.0	0.0	0.103	-0.094	-0.057	0.0	-0.547	0.0	0.16	0.0	-0.344	-0.252	0.526	-0.533	0.0	-0.621	0.0	-0.109	0.0	0.0	-0.68	-0.849	0.0	0.0	0.312	0.0	0.0	-0.98	0.0	-0.982	0.062	0.0	0.0	-0.445	0.0	-0.183	0.0	-0.418	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.056	0.0	0.0	0.0	0.0	0.0	-0.3
free_topic	Aca-0b77_74_people-12	0.0	-0.099	0.226	0.165	0.0	-0.363	0.0	-0.566	0.0	-0.322	-0.641	0.0	0.0	-0.534	0.208	0.0	-0.172	-0.074	0.0	-0.111	-0.006	0.0	0.0	-0.124	-0.184	-0.061	-0.285	0.0	-0.468	0.0	0.0	-0.106	0.0	-0.595	0.0	0.0	0.0	-0.348	0.0	0.017	0.298	0.0	0.0	0.0	-0.419	0.0	-0.736	0.0	0.0	0.0	0.0	0.252	-0.05	0.0	0.0	-0.167	-0.126	0.0	0.0	-0.28	0.878	-0.761	-1.129	-0.051	-0.161	0.308	0.0	0.0	-0.38	0.652	0.0	-0.172	0.0	0.0	0.0	0.498	0.0	-0.316	0.0	0.0	0.0	0.0	-0.523	-0.526	0.0	-0.228	0.0	-0.397	0.454	-0.787
free_topic	Aca-6068_45_human-9	0.516	0.0	-0.469	-0.019	0.0	0.0	0.0	0.0	0.0	-0.001	-0.421	0.0	0.0	-0.315	0.443	0.0	0.0	-0.009	0.0	-0.38	0.0	0.0	-0.162	0.0	-0.614	0.0	0.364	0.395	0.0	0.0	-0.254	-0.552	0.0	0.0	-0.488	0.0	0.0	0.0	0.0	0.0	0.0	-0.666	0.0	0.028	-0.899	0.0	0.0	0.0	0.0	0.083	0.364	0.246	0.0	0.0	-0.028	-0.33	0.0	-0.428	0.0	0.0	0.0	-0.044	0.0	0.0	-0.508	0.0	-0.529	0.433	-0.443	0.0	0.0	0.0	0.0	0.0	-0.436	0.0	-0.255	0.0	0.0	0.0	0.0	0.0	-0.366	0.0	0.0	0.0	0.0	0.0	0.0	0.0
free_topic	Aca0c5a_3_people-13	0.0	0.0	0.0	0.0	-0.392	0.153	0.207	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.064	-0.583	0.438	0.0	0.644	0.0	-0.506	0.0	0.0	-0.083	0.0	-0.658	-0.326	-0.483	0.0	0.332	-0.337	0.0	0.0	-0.307	0.138	0.0	-0.65	-0.661	-0.699	-0.409	0.412	0.508	0.0	0.0	-1.096	0.0	0.187	0.664	0.372	-0.286	-0.686	-0.296	0.0	0.254	-0.366	0.287	-0.064	0.0	-0.354	-0.829	0.0	0.0	0.116	0.0	0.0	-0.35	0.035	-0.337	0.0	-0.57	-0.066	0.096	-0.324	-0.6	0.0	0.14	0.0	-0.447	-0.427	0.0	0.0	0.0	0.0	0.228	0.0	0.0	0.0	-0.916	-0.007	0.037
free_topic	Acc-0f45_87_human-47	0.0	0.0	0.393	0.458	-1.193	0.0	0.0	-0.325	0.202	-0.288	0.0	0.0	0.0	-0.959	0.0	0.0	0.0	-0.428	0.369	0.0	0.0	0.0	0.0	-0.173	0.0	-0.586	0.0	0.0	0.0	0.0	-0.624	-0.732	-0.601	-0.928	0.109	0.0	-0.932	0.0	0.0	0.05	0.353	0.0	0.0	-0.598	-0.051	0.0	-0.058	-0.324	0.0	-0.102	-0.412	0.034	-0.098	0.0	-0.551	-1.382	0.0	0.269	-0.41	0.3	0.122	0.0	0.0	0.262	0.308	-0.697	-0.061	0.0	-1.315	0.0	0.624	-0.756	0.042	-0.021	-0.273	-0.018	0.0	0.0	0.0	-0.126	0.0	0.0	-0.164	-0.102	0.0	0.0	0.0	0.0	-0.026	0.0
free_topic	Ace-0af3_178_people-13	0.0	-0.517	0.886	0.0	-0.389	0.262	-0.212	-0.122	0.0	-0.656	-0.216	0.564	-0.427	-0.769	-1.154	0.921	-0.697	-1.056	0.0	-0.618	0.0	-0.551	-1.003	0.0	-1.011	-0.357	-0.182	0.0	-0.406	-0.789	0.0	0.0	-0.006	-0.397	0.196	-0.231	0.14	-0.417	-0.092	0.0	-0.327	0.067	-0.205	0.0	-0.399	-0.35	-0.795	-0.193	-0.212	-0.354	-0.006	0.654	-0.385	-0.057	-0.148	-0.809	0.329	0.0	0.0	0.045	-0.112	0.0	0.023	0.0	0.031	-0.678	-0.742	-0.219	0.05	0.0	-0.223	-0.573	-0.872	-1.142	-0.496	-0.285	-0.468	-0.247	0.0	0.0	-1.152	-0.265	0.0	0.0	-1.512	0.0	0.0	0.0	-0.1	0.483
free_topic	Ace-0af3_179_people-5	0.22	-0.168	0.318	-0.892	-0.767	0.0	-0.551	-0.604	-0.131	-0.319	0.0	0.0	0.0	0.227	-0.129	0.435	-0.524	-0.431	-0.424	-0.355	-0.715	0.0	-0.183	-0.345	-0.745	-0.524	-0.121	0.0	-2.056	0.0	0.0	-0.153	0.0	-0.511	-0.378	0.0	-0.087	0.0	0.0	-1.715	0.032	0.201	-0.368	0.0	-0.337	-0.122	-0.303	-0.961	0.0	-0.551	-0.667	0.544	0.0	-0.53	0.247	-0.582	-1.948	0.423	0.0	0.208	0.393	-0.586	-0.438	0.0	0.168	0.254	-0.051	0.017	-0.274	-0.154	-0.784	-0.407	0.0	-0.266	0.73	-0.419	-0.311	-0.135	0.0	0.0	0.0	0.0	-0.496	-0.357	-0.263	-0.279	0.0	-0.782	-0.499	0.0
