relation	btoken	rtoken	btag	bloc	rtag	rloc	rdist	bterm	rterm	tagscore
location	Sia-9432_15_crocodiles-2	Sia-9432_15_rivers-16	Sia-9432_15_crocodiles-2_3322	15	Sia-9432_15_rivers-16_4533	15	0	Siamese crocodile	rivers and streams	100.0
location	Cro-9102_255_crocodile-19	Cro-9102_255_estuaries-35	Cro-9102_255_crocodile-19_53	255	Cro-9102_255_estuaries-35_4517	255	0	American crocodile	estuaries	100.0
location	Amee210_1_crocodiles-2	Amee210_1_wetlands-20	Amee210_1_crocodiles-2_53	1	Amee210_1_wetlands-20_4542	1	0	American crocodile	wetlands	100.0
location	Cro-9102_255_crocodile-15	Cro-9102_255_swamps-38	Cro-9102_255_crocodile-15_53	255	Cro-9102_255_swamps-38_3808	255	0	American crocodile	swamp	100.0
location	Cro-9102_255_crocodile-19	Cro-9102_255_swamps-38	Cro-9102_255_crocodile-19_53	255	Cro-9102_255_swamps-38_3808	255	0	American crocodile	swamp	100.0
location	Tur-06de_56_turtles-2	Tur-06de_56_ocean-17	Tur-06de_56_turtles-2_4188	56	Tur-06de_56_ocean-17_4530	56	0	sea turtles	open ocean	100.0
location	Gre-8842_71_turtles-4	Gre-8842_71_ocean-17	Gre-8842_71_turtles-4_4188	71	Gre-8842_71_ocean-17_4530	71	0	sea turtles	open ocean	100.0
location	Sia-9432_15_crocodiles-2	Sia-9432_15_swamps-28	Sia-9432_15_crocodiles-2_3322	15	Sia-9432_15_swamps-28_3808	15	0	Siamese crocodile	swamp	100.0
location	Bra-fdd7_40_crocodile-19	Bra-fdd7_40_mangroves-8	Bra-fdd7_40_crocodile-19_53	40	Bra-fdd7_40_mangroves-8_4524	40	0	American crocodile	mangroves	100.0
location	Cro-9102_255_crocodile-15	Cro-9102_255_mangrove-37	Cro-9102_255_crocodile-15_53	255	Cro-9102_255_mangrove-37_4524	255	0	American crocodile	mangroves	100.0
location	Cro-9102_255_crocodile-19	Cro-9102_255_mangrove-37	Cro-9102_255_crocodile-19_53	255	Cro-9102_255_mangrove-37_4524	255	0	American crocodile	mangroves	100.0
location	Spe-51aa_125_caiman-14	Spe-51aa_125_rainforest-10	Spe-51aa_125_caiman-14_4269	125	Spe-51aa_125_rainforest-10_3811	125	0	caiman	rainforest	100.0
location	Spe-51aa_125_caiman-3	Spe-51aa_125_rainforest-10	Spe-51aa_125_caiman-3_4269	125	Spe-51aa_125_rainforest-10_3811	125	0	caiman	rainforest	100.0
location	Bra-fdd7_40_crocodile-16	Bra-fdd7_40_mangroves-8	Bra-fdd7_40_crocodile-16_53	40	Bra-fdd7_40_mangroves-8_4524	40	0	American crocodile	mangroves	100.0
location	Cro-9102_255_crocodile-15	Cro-9102_255_estuaries-35	Cro-9102_255_crocodile-15_53	255	Cro-9102_255_estuaries-35_4517	255	0	American crocodile	estuaries	100.0
location	Cro-0859_362_crocodile-17	Cro-0859_362_estuary-10	Cro-0859_362_crocodile-17_4303	362	Cro-0859_362_estuary-10_4517	362	0	crocodiles	estuaries	100.0
location	Yac-9d0f_5_caiman-5	Yac-9d0f_5_wetlands-12	Yac-9d0f_5_caiman-5_4269	5	Yac-9d0f_5_wetlands-12_4542	5	0	caiman	wetlands	100.0
location	Ame-fe9c_87_crocodile-18	Ame-fe9c_87_waters-24	Ame-fe9c_87_crocodile-18_53	87	Ame-fe9c_87_waters-24_4512	87	0	American crocodile	brackish water	100.0
location	Wet-a585_154_crocodile-3	Wet-a585_154_estuaries-5	Wet-a585_154_crocodile-3_4303	154	Wet-a585_154_estuaries-5_4517	154	0	crocodiles	estuaries	100.0
location	Ame-fe9c_87_crocodiles-35	Ame-fe9c_87_waters-24	Ame-fe9c_87_crocodiles-35_53	87	Ame-fe9c_87_waters-24_4512	87	0	American crocodile	brackish water	100.0
location	Nil-600c_155_crocodiles-2	Nil-600c_155_estuaries-34	Nil-600c_155_crocodiles-2_4303	155	Nil-600c_155_estuaries-34_4517	155	0	crocodiles	estuaries	100.0
