relation	btoken	rtoken	btag	bloc	rtag	rloc	rdist	bterm	rterm	tagscore
adaptation	All-7078_15_Allosaurus-12	All-7078_15_predator-6	All-7078_15_Allosaurus-12_1471	15	All-7078_15_predator-6_359	15	0	Allosaurus	Predator	100.0
adaptation	Spi-06e4_272_Spinosaurus-13	Spi-06e4_272_predators-11	Spi-06e4_272_Spinosaurus-13_3401	272	Spi-06e4_272_predators-11_359	272	0	Spinosaurus 	Predator	100.0
adaptation	Dro-42ae_142_Sinornithosaurus-39	Dro-42ae_142_predators-36	Dro-42ae_142_Sinornithosaurus-39_3327	142	Dro-42ae_142_predators-36_3977	142	0	Sinornithosaurus	predator	100.0
adaptation	Dro-42ae_142_Sinornithosaurus-12	Dro-42ae_142_predators-36	Dro-42ae_142_Sinornithosaurus-12_3327	142	Dro-42ae_142_predators-36_3977	142	0	Sinornithosaurus	predator	100.0
adaptation	Spi-4527_11_Spinosaurus-3	Spi-4527_11_predator-31	Spi-4527_11_Spinosaurus-3_3401	11	Spi-4527_11_predator-31_359	11	0	Spinosaurus 	Predator	100.0
adaptation	Spi-4527_47_Spinosaurus-6	Spi-4527_47_predator-45	Spi-4527_47_Spinosaurus-6_3401	47	Spi-4527_47_predator-45_359	47	0	Spinosaurus 	Predator	100.0
adaptation	Spi-06e4_194_Spinosaurus-5	Spi-06e4_194_predator-10	Spi-06e4_194_Spinosaurus-5_3401	194	Spi-06e4_194_predator-10_359	194	0	Spinosaurus 	Predator	100.0
adaptation	Spi-06e4_199_Spinosaurus-35	Spi-06e4_199_predator-45	Spi-06e4_199_Spinosaurus-35_3401	199	Spi-06e4_199_predator-45_359	199	0	Spinosaurus 	Predator	100.0
adaptation	Spi-06e4_205_Spinosaurus-4	Spi-06e4_205_predators-19	Spi-06e4_205_Spinosaurus-4_3401	205	Spi-06e4_205_predators-19_359	205	0	Spinosaurus 	Predator	100.0
adaptation	Spi-06e4_223_Spinosaurus-19	Spi-06e4_223_predator-34	Spi-06e4_223_Spinosaurus-19_3401	223	Spi-06e4_223_predator-34_359	223	0	Spinosaurus 	Predator	100.0
adaptation	Spi-06e4_210_Spinosaurus-11	Spi-06e4_210_predators-22	Spi-06e4_210_Spinosaurus-11_3401	210	Spi-06e4_210_predators-22_359	210	0	Spinosaurus 	Predator	100.0
adaptation	The55b7_6_Spinosaurus-26	The55b7_6_carnivorous-19	The55b7_6_Spinosaurus-26_3401	6	The55b7_6_carnivorous-19_3948	6	0	Spinosaurus 	carnivorous	100.0
adaptation	Not-3583_67_Nothronychus-32	Not-3583_67_herbivorous-11	Not-3583_67_Nothronychus-32_2933	67	Not-3583_67_herbivorous-11_3784	67	0	Nothronychus	herbivorous	100.0
adaptation	Not-3583_7_Nothronychus-1	Not-3583_7_herbivorous-4	Not-3583_7_Nothronychus-1_2933	7	Not-3583_7_herbivorous-4_3784	7	0	Nothronychus	herbivorous	100.0
adaptation	Das-ed91_11_Daspletosaurus-6	Das-ed91_11_predator-4	Das-ed91_11_Daspletosaurus-6_2025	11	Das-ed91_11_predator-4_359	11	0	Daspletosaurus	Predator	100.0
