s	p	o
Animal_cognition#adaptation	rdf:type	wo:AnimalIntelligence
Animal_migration#adaptation	rdf:type	wo:SurvivalStrategy
Cooperative_breeding#adaptation	rdf:type	wo:ReproductionStrategy
Coprophagia#adaptation	rdf:type	wo:FeedingHabit
Dominance_hierarchy#adaptation	rdf:type	wo:SocialBehaviour
Hearing_sense#adaptation	rdf:type	wo:CommunicationAdaptation
Herbivore#adaptation	rdf:type	wo:FeedingHabit
Maternal_effect#adaptation	rdf:type	wo:LifeCycle
Nomad#adaptation	rdf:type	wo:BehaviouralPattern
Polygyny#adaptation	rdf:type	wo:ReproductionStrategy
Precocial#adaptation	rdf:type	wo:ReproductionStrategy
Presociality#adaptation	rdf:type	wo:SocialBehaviour
Seed_dispersal#adaptation	rdf:type	wo:EcosystemRole
Semiochemical#adaptation	rdf:type	wo:CommunicationAdaptation
Sexual_dimorphism#adaptation	rdf:type	wo:MorphologyAdaptation
Thermophile#adaptation	rdf:type	wo:ExtremesAdaptation
Tool_use_by_animals#adaptation	rdf:type	wo:AnimalIntelligence
Visual_perception#adaptation	rdf:type	wo:CommunicationAdaptation
Vivipary#adaptation	rdf:type	wo:ReproductionStrategy
Mammal#class	rdf:type	wo:Class
Afrotropic_ecozone#ecozone	rdf:type	wo:Ecozone
Australasia_ecozone#ecozone	rdf:type	wo:Ecozone
Indomalaya_ecozone#ecozone	rdf:type	wo:Ecozone
Nearctic_ecozone#ecozone	rdf:type	wo:Ecozone
Neotropic_ecozone#ecozone	rdf:type	wo:Ecozone
Oceania_ecozone#ecozone	rdf:type	wo:Ecozone
Palearctic_ecozone#ecozone	rdf:type	wo:Ecozone
Elephantidae#family	rdf:type	wo:Family
African_elephant#genus	rdf:type	wo:Genus
African_elephant#genus	wo:species	African_Bush_Elephant#species
African_elephant#genus	wo:species	African_Forest_Elephant#species
Deserts_and_xeric_shrublands#habitat	rdf:type	wo:TerrestrialHabitat
Flooded_grasslands_and_savannas#habitat	rdf:type	wo:TerrestrialHabitat
Marsh#habitat	rdf:type	wo:FreshwaterHabitat
Marsh#habitat	wo:ecozone	Afrotropic_ecozone#ecozone
Marsh#habitat	wo:ecozone	Australasia_ecozone#ecozone
Marsh#habitat	wo:ecozone	Indomalaya_ecozone#ecozone
Marsh#habitat	wo:ecozone	Nearctic_ecozone#ecozone
Marsh#habitat	wo:ecozone	Neotropic_ecozone#ecozone
Marsh#habitat	wo:ecozone	Oceania_ecozone#ecozone
Marsh#habitat	wo:ecozone	Palearctic_ecozone#ecozone
Mediterranean_forests_woodlands_and_scrub#habitat	rdf:type	wo:TerrestrialHabitat
Montane_grasslands_and_shrublands#habitat	rdf:type	wo:TerrestrialHabitat
Swamp#habitat	rdf:type	wo:FreshwaterHabitat
Tropical_and_subtropical_dry_broadleaf_forests#habitat	rdf:type	wo:TerrestrialHabitat
Tropical_and_subtropical_grasslands_savannas_and_shrublands#habitat	rdf:type	wo:TerrestrialHabitat
Tropical_and_subtropical_moist_broadleaf_forests#habitat	rdf:type	wo:TerrestrialHabitat
Animal#kingdom	rdf:type	wo:Kingdom
African_Bush_Elephant#species	rdf:type	wo:Species
African_Bush_Elephant#species	wo:adaptation	Animal_cognition#adaptation
African_Bush_Elephant#species	wo:adaptation	Animal_migration#adaptation
African_Bush_Elephant#species	wo:adaptation	Cooperative_breeding#adaptation
African_Bush_Elephant#species	wo:adaptation	Coprophagia#adaptation
African_Bush_Elephant#species	wo:adaptation	Dominance_hierarchy#adaptation
African_Bush_Elephant#species	wo:adaptation	Hearing_sense#adaptation
African_Bush_Elephant#species	wo:adaptation	Herbivore#adaptation
African_Bush_Elephant#species	wo:adaptation	Maternal_effect#adaptation
African_Bush_Elephant#species	wo:adaptation	Nomad#adaptation
African_Bush_Elephant#species	wo:adaptation	Polygyny#adaptation
African_Bush_Elephant#species	wo:adaptation	Precocial#adaptation
African_Bush_Elephant#species	wo:adaptation	Presociality#adaptation
African_Bush_Elephant#species	wo:adaptation	Seed_dispersal#adaptation
African_Bush_Elephant#species	wo:adaptation	Semiochemical#adaptation
African_Bush_Elephant#species	wo:adaptation	Sexual_dimorphism#adaptation
African_Bush_Elephant#species	wo:adaptation	Thermophile#adaptation
African_Bush_Elephant#species	wo:adaptation	Tool_use_by_animals#adaptation
