feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
conj<conj> buzzard,0.949,0.0,0.577,0.134,9,Accipitridae__family,adaptation_topic
conj<conj> bobcat,0.943,0.0,0.577,0.134,3,Accipitridae__family,adaptation_topic
conj<conj> goshawk,0.943,0.0,0.577,0.134,6,Accipitridae__family,adaptation_topic
conj<conj> predator,0.941,0.0,0.577,0.134,3,Accipitridae__family,adaptation_topic
conj<conj> falcon,0.941,0.0,0.577,0.134,10,Accipitridae__family,adaptation_topic
conj<conj> hawk,0.936,0.001,0.577,0.134,8,Accipitridae__family,adaptation_topic
conj<conj> ...,0.934,0.001,0.027,0.949,47,Accipitridae__family,adaptation_topic
conj<conj> bird,0.927,0.001,0.327,0.429,6,Accipitridae__family,adaptation_topic
conj<conj> jaeger,0.922,0.001,0.577,0.134,3,Accipitridae__family,adaptation_topic
conj>amod> ...,0.919,0.001,0.709,0.049,12,Accipitridae__family,adaptation_topic
conj> eagle,0.919,0.001,0.907,0.002,11,Accipitridae__family,adaptation_topic
nsubj:pass<conj> ...,0.911,0.002,0.764,0.027,5,Accipitridae__family,adaptation_topic
appos<appos> Buteo,0.91,0.002,0.577,0.134,3,Accipitridae__family,adaptation_topic
conj>amod> northern,0.909,0.002,0.756,0.03,2,Accipitridae__family,adaptation_topic
conj> goshawk,0.905,0.002,0.756,0.03,2,Accipitridae__family,adaptation_topic
nsubj:pass<advmod> also,0.896,0.003,0.577,0.134,2,Accipitridae__family,adaptation_topic
conj<conj> owl,0.886,0.003,0.109,0.797,9,Accipitridae__family,adaptation_topic
nsubj:pass<advmod> ...,0.882,0.004,0.577,0.134,10,Accipitridae__family,adaptation_topic
appos<conj<appos> eagle,0.879,0.004,0.577,0.134,3,Accipitridae__family,adaptation_topic
case> as,0.875,0.004,0.756,0.03,2,Accipitridae__family,adaptation_topic
appos<appos> eagle,0.868,0.005,0.577,0.134,6,Accipitridae__family,adaptation_topic
nmod< ...,0.867,0.005,0.464,0.247,23,Accipitridae__family,adaptation_topic
conj>amod> bald,0.864,0.006,0.756,0.03,2,Accipitridae__family,adaptation_topic
nmod< predator,0.852,0.007,0.764,0.027,8,Accipitridae__family,adaptation_topic
nsubj:pass<advmod> sometimes,0.851,0.007,0.577,0.134,2,Accipitridae__family,adaptation_topic
nsubj<nmod>case> in,0.849,0.008,0.756,0.03,2,Accipitridae__family,adaptation_topic
appos<appos>compound> ...,0.848,0.008,0.577,0.134,2,Accipitridae__family,adaptation_topic
nsubj:pass<conj> do,0.841,0.009,0.577,0.134,2,Accipitridae__family,adaptation_topic
compound<conj<conj> buzzard,0.838,0.009,0.577,0.134,4,Accipitridae__family,adaptation_topic
conj<appos>flat> coronatus,0.837,0.01,0.577,0.134,3,Accipitridae__family,adaptation_topic
nsubj<nmod>case> ...,0.832,0.01,0.764,0.027,3,Accipitridae__family,adaptation_topic
appos<appos> cherrug,0.827,0.011,0.577,0.134,3,Accipitridae__family,adaptation_topic
nsubj<nmod> young,0.821,0.012,0.756,0.03,2,Accipitridae__family,adaptation_topic
compound<conj<conj> ...,0.821,0.013,0.577,0.134,12,Accipitridae__family,adaptation_topic
compound<conj<conj> harrier,0.808,0.015,0.577,0.134,2,Accipitridae__family,adaptation_topic
compound<conj<conj> falcon,0.807,0.015,0.577,0.134,3,Accipitridae__family,adaptation_topic
appos<appos>compound> Falco,0.806,0.016,0.577,0.134,3,Accipitridae__family,adaptation_topic
nsubj<obj>det> the,0.803,0.016,0.764,0.027,3,Accipitridae__family,adaptation_topic
conj>appos> ...,0.802,0.017,0.674,0.067,4,Accipitridae__family,adaptation_topic
obl<parataxis>obl> ...,-0.792,0.019,-0.577,0.134,3,Accipitridae__family,adaptation_topic
nmod< population,0.792,0.019,0.577,0.134,2,Accipitridae__family,adaptation_topic
conj> ...,0.791,0.019,0.723,0.043,17,Accipitridae__family,adaptation_topic
nsubj:pass<obl>case> by,0.79,0.02,0.577,0.134,4,Accipitridae__family,adaptation_topic
nmod< bird,0.79,0.02,0.577,0.134,2,Accipitridae__family,adaptation_topic
case> include,0.787,0.02,0.764,0.027,3,Accipitridae__family,adaptation_topic
appos<appos> ...,0.786,0.021,0.756,0.03,8,Accipitridae__family,adaptation_topic
nmod>case> on,-0.775,0.024,-0.756,0.03,2,Accipitridae__family,adaptation_topic
appos<conj>case> in,0.769,0.026,0.577,0.134,3,Accipitridae__family,adaptation_topic
nsubj<nmod> ...,0.768,0.026,0.464,0.247,15,Accipitridae__family,adaptation_topic
nsubj:pass<appos>amod> ...,-0.767,0.026,-0.577,0.134,3,Accipitridae__family,adaptation_topic
nmod<amod> ...,0.766,0.027,0.546,0.162,18,Accipitridae__family,adaptation_topic
conj> falcon,0.765,0.027,0.577,0.134,2,Accipitridae__family,adaptation_topic
conj<obl>case> ...,-0.765,0.027,-0.577,0.134,2,Accipitridae__family,adaptation_topic
compound<conj<appos> eagle,0.761,0.028,0.577,0.134,3,Accipitridae__family,adaptation_topic
nsubj<obj> ...,0.759,0.029,0.6,0.116,9,Accipitridae__family,adaptation_topic
nsubj:pass<conj>cc> ...,0.757,0.03,0.733,0.039,3,Accipitridae__family,adaptation_topic
conj<conj> eagle,0.754,0.031,0.355,0.389,15,Accipitridae__family,adaptation_topic
nsubj:pass<obl>case> ...,0.752,0.031,0.577,0.134,7,Accipitridae__family,adaptation_topic
conj>compound> ...,0.748,0.033,0.536,0.171,7,Accipitridae__family,adaptation_topic
conj> hawk,0.748,0.033,0.577,0.134,2,Accipitridae__family,adaptation_topic
appos<conj> case,0.746,0.034,0.577,0.134,3,Accipitridae__family,adaptation_topic
nsubj<nmod> bird,0.746,0.034,0.756,0.03,2,Accipitridae__family,adaptation_topic
conj> bear,0.745,0.034,0.577,0.134,2,Accipitridae__family,adaptation_topic
case> ...,0.745,0.034,0.627,0.096,8,Accipitridae__family,adaptation_topic
nmod< those,0.743,0.035,0.577,0.134,2,Accipitridae__family,adaptation_topic
case> such,0.743,0.035,0.464,0.247,9,Accipitridae__family,adaptation_topic
compound<conj<nmod> ...,-0.741,0.035,-0.577,0.134,1,Accipitridae__family,adaptation_topic
conj<appos> Stephanoaetus,0.741,0.036,0.577,0.134,3,Accipitridae__family,adaptation_topic
conj<appos> Aquila,0.738,0.037,0.577,0.134,3,Accipitridae__family,adaptation_topic
