feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
nsubj:pass<obl>case> after,0.957,0.0,0.577,0.134,2,Accipitridae__family,free_topic
compound<cc> and,0.946,0.0,0.764,0.027,3,Accipitridae__family,free_topic
conj<conj> fox,0.943,0.0,0.764,0.027,7,Accipitridae__family,free_topic
compound<appos<conj> ...,0.941,0.0,0.764,0.027,10,Accipitridae__family,free_topic
conj<conj> baboon,0.935,0.001,0.577,0.134,2,Accipitridae__family,free_topic
compound<appos<conj> harrier,0.93,0.001,0.764,0.027,3,Accipitridae__family,free_topic
nsubj:pass<obl> ...,0.93,0.001,0.577,0.134,21,Accipitridae__family,free_topic
nsubj:pass<advmod> ...,0.929,0.001,0.577,0.134,6,Accipitridae__family,free_topic
compound<appos<conj> hawk,0.924,0.001,0.764,0.027,3,Accipitridae__family,free_topic
conj<conj> vulture,0.924,0.001,0.577,0.134,3,Accipitridae__family,free_topic
compound<appos<conj> eagle,0.924,0.001,0.764,0.027,11,Accipitridae__family,free_topic
conj<conj> ...,0.921,0.001,0.436,0.28,39,Accipitridae__family,free_topic
conj<conj> jackal,0.915,0.001,0.577,0.134,2,Accipitridae__family,free_topic
conj<conj> hawk,0.913,0.002,0.577,0.134,7,Accipitridae__family,free_topic
conj<conj> bear,0.913,0.002,0.577,0.134,2,Accipitridae__family,free_topic
conj<conj> know,0.911,0.002,0.577,0.134,2,Accipitridae__family,free_topic
conj<conj> owl,0.9,0.002,0.655,0.078,4,Accipitridae__family,free_topic
appos<conj<appos> wolf,0.891,0.003,0.577,0.134,2,Accipitridae__family,free_topic
obl<obl>det> the,-0.889,0.003,-0.577,0.134,2,Accipitridae__family,free_topic
nsubj<conj>amod> ...,0.887,0.003,0.577,0.134,3,Accipitridae__family,free_topic
acl:relcl> ...,0.886,0.003,0.674,0.067,4,Accipitridae__family,free_topic
nmod<nsubj< ...,0.872,0.005,0.577,0.134,6,Accipitridae__family,free_topic
conj<obj< ...,0.865,0.005,0.577,0.134,1,Accipitridae__family,free_topic
appos>appos>flat> goshawk,-0.863,0.006,-0.577,0.134,2,Accipitridae__family,free_topic
appos<nmod>case> of,-0.859,0.006,-0.77,0.025,4,Accipitridae__family,free_topic
nsubj:pass<obl>case> by,0.856,0.007,0.577,0.134,2,Accipitridae__family,free_topic
conj<conj> hyena,0.855,0.007,0.436,0.28,3,Accipitridae__family,free_topic
conj<conj> eagle,0.854,0.007,0.655,0.078,11,Accipitridae__family,free_topic
appos>appos>flat> ...,-0.849,0.008,-0.577,0.134,1,Accipitridae__family,free_topic
conj> hawk,0.848,0.008,0.577,0.134,3,Accipitridae__family,free_topic
nmod<obl<nsubj> ...,0.847,0.008,0.577,0.134,4,Accipitridae__family,free_topic
appos<conj>compound> ...,0.842,0.009,0.764,0.027,3,Accipitridae__family,free_topic
conj> owl,0.831,0.011,0.577,0.134,2,Accipitridae__family,free_topic
nmod>case> ...,0.826,0.012,0.577,0.134,5,Accipitridae__family,free_topic
compound<appos<amod> bald,0.825,0.012,0.764,0.027,3,Accipitridae__family,free_topic
conj<case> by,0.824,0.012,0.866,0.005,7,Accipitridae__family,free_topic
nmod<nsubj< be,0.82,0.013,0.577,0.134,4,Accipitridae__family,free_topic
conj>compound> ...,0.819,0.013,0.577,0.134,6,Accipitridae__family,free_topic
conj>amod> other,0.819,0.013,0.577,0.134,2,Accipitridae__family,free_topic
conj<nmod<conj> ...,0.818,0.013,0.577,0.134,6,Accipitridae__family,free_topic
appos>compound> ...,0.818,0.013,0.766,0.027,8,Accipitridae__family,free_topic
appos<conj<conj> ...,0.814,0.014,0.546,0.162,6,Accipitridae__family,free_topic
appos<conj<conj> fox,0.813,0.014,0.577,0.134,2,Accipitridae__family,free_topic
conj> Accipiter,0.812,0.014,0.577,0.134,2,Accipitridae__family,free_topic
acl>obl>case> in,-0.809,0.015,-0.577,0.134,2,Accipitridae__family,free_topic
conj> buzzard,0.805,0.016,0.577,0.134,2,Accipitridae__family,free_topic
conj<obl<advmod> ...,0.804,0.016,0.577,0.134,2,Accipitridae__family,free_topic
conj<obl<advmod> sometimes,0.804,0.016,0.577,0.134,2,Accipitridae__family,free_topic
nmod<appos> ...,-0.804,0.016,-0.764,0.027,3,Accipitridae__family,free_topic
case> such,0.803,0.016,0.764,0.027,6,Accipitridae__family,free_topic
conj> ...,0.801,0.017,0.218,0.604,22,Accipitridae__family,free_topic
nsubj:pass<obl>case> in,0.8,0.017,0.577,0.134,8,Accipitridae__family,free_topic
appos<nmod< ...,0.796,0.018,0.385,0.346,5,Accipitridae__family,free_topic
compound<nsubj<mark> ...,-0.795,0.018,-0.577,0.134,1,Accipitridae__family,free_topic
nsubj< bird,0.795,0.018,0.756,0.03,2,Accipitridae__family,free_topic
compound<appos<conj> buzzard,0.795,0.018,0.756,0.03,2,Accipitridae__family,free_topic
compound<appos<nsubj< ...,-0.793,0.019,-0.577,0.134,5,Accipitridae__family,free_topic
nsubj<nmod>det> the,0.792,0.019,0.733,0.039,3,Accipitridae__family,free_topic
