feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
conj>amod> open,0.957,0.0,0.577,0.134,2,Accipitridae__family,location_comment
conj<conj> fynbo,0.888,0.003,0.577,0.134,2,Accipitridae__family,location_comment
conj>amod> ...,0.884,0.004,0.218,0.604,5,Accipitridae__family,location_comment
compound<conj<conj> kite,0.852,0.007,0.577,0.134,2,Accipitridae__family,location_comment
nmod<appos<amod> ...,0.849,0.008,0.733,0.039,3,Accipitridae__family,location_comment
nmod>case> in,0.823,0.012,0.655,0.078,4,Accipitridae__family,location_comment
compound<conj<conj> ...,0.822,0.012,0.619,0.102,7,Accipitridae__family,location_comment
nmod> Ethiopia,0.815,0.014,0.577,0.134,2,Accipitridae__family,location_comment
nmod>case> of,0.815,0.014,0.655,0.078,4,Accipitridae__family,location_comment
compound<conj<conj> eagle,0.813,0.014,0.577,0.134,2,Accipitridae__family,location_comment
conj> prairy,0.811,0.014,0.577,0.134,2,Accipitridae__family,location_comment
compound<appos>compound> c.,0.806,0.016,0.756,0.03,9,Accipitridae__family,location_comment
conj> ...,0.8,0.017,0.655,0.078,5,Accipitridae__family,location_comment
compound<conj<conj> buzzard,0.796,0.018,0.577,0.134,2,Accipitridae__family,location_comment
compound<conj<conj> harrier,0.794,0.019,0.577,0.134,8,Accipitridae__family,location_comment
conj> marsh,0.794,0.019,0.577,0.134,2,Accipitridae__family,location_comment
nmod>case> ...,0.776,0.023,0.577,0.134,1,Accipitridae__family,location_comment
conj<conj> ...,0.773,0.024,0.409,0.314,16,Accipitridae__family,location_comment
conj<conj> marsh,0.771,0.025,0.577,0.134,2,Accipitridae__family,location_comment
compound<conj<conj> maillardi,0.766,0.027,0.577,0.134,2,Accipitridae__family,location_comment
compound<appos>compound> ...,0.764,0.027,0.825,0.012,5,Accipitridae__family,location_comment
conj>cc> and,0.762,0.028,0.674,0.067,7,Accipitridae__family,location_comment
nmod< foothill,0.749,0.033,0.756,0.03,2,Accipitridae__family,location_comment
compound<nsubj<advmod> ...,-0.747,0.033,-0.764,0.027,4,Accipitridae__family,location_comment
nmod> ...,0.736,0.037,0.546,0.162,13,Accipitridae__family,location_comment
nmod>conj>amod> northern,0.732,0.039,0.577,0.134,2,Accipitridae__family,location_comment
nmod>amod> ...,0.719,0.044,0.577,0.134,3,Accipitridae__family,location_comment
conj<conj> coastline,0.709,0.049,0.577,0.134,2,Accipitridae__family,location_comment
obl<nsubj:pass>det> ...,0.707,0.05,0.436,0.28,3,Accipitridae__family,location_comment
nmod>amod> southern,0.699,0.054,0.577,0.134,2,Accipitridae__family,location_comment
conj<obl<advmod> ...,-0.693,0.057,-0.436,0.28,3,Accipitridae__family,location_comment
conj>amod> coastal,0.687,0.06,0.63,0.094,2,Accipitridae__family,location_comment
nmod>conj>amod> ...,0.686,0.06,0.577,0.134,1,Accipitridae__family,location_comment
nmod>case> from,0.683,0.062,0.63,0.094,2,Accipitridae__family,location_comment
nmod< ...,0.678,0.065,0.481,0.227,7,Accipitridae__family,location_comment
nmod>case> like,0.671,0.068,0.756,0.03,2,Accipitridae__family,location_comment
nmod<nmod<case> ...,0.671,0.068,0.63,0.094,2,Accipitridae__family,location_comment
compound<appos> ...,0.668,0.07,0.809,0.015,5,Accipitridae__family,location_comment
compound<nmod>amod> ...,0.663,0.073,0.577,0.134,4,Accipitridae__family,location_comment
compound<conj>cc> or,-0.661,0.074,-0.733,0.039,4,Accipitridae__family,location_comment
obl<obl>case> in,0.654,0.078,0.504,0.203,2,Accipitridae__family,location_comment
conj<obl>nmod> ...,0.654,0.078,0.577,0.134,3,Accipitridae__family,location_comment
nmod>case> to,0.649,0.082,0.504,0.203,2,Accipitridae__family,location_comment
compound<nsubj<amod> ...,-0.644,0.085,-0.733,0.039,5,Accipitridae__family,location_comment
obl<obl>amod> ...,0.64,0.088,0.63,0.094,4,Accipitridae__family,location_comment
case> from,0.632,0.092,0.481,0.227,4,Accipitridae__family,location_comment
compound<appos> Circus,0.631,0.094,0.825,0.012,4,Accipitridae__family,location_comment
conj<nmod<compound> ...,-0.63,0.094,-0.577,0.134,1,Accipitridae__family,location_comment
nmod<amod> open,0.609,0.109,0.577,0.134,2,Accipitridae__family,location_comment
conj> swamp,0.606,0.111,0.436,0.28,3,Accipitridae__family,location_comment
compound<nsubj:pass< ...,-0.604,0.113,-0.592,0.122,6,Accipitridae__family,location_comment
nmod<det> the,0.602,0.114,0.546,0.162,4,Accipitridae__family,location_comment
case> such,0.601,0.115,0.412,0.31,2,Accipitridae__family,location_comment
compound<obl< know,-0.594,0.12,-0.577,0.134,2,Accipitridae__family,location_comment
conj> grassland,0.593,0.121,0.63,0.094,2,Accipitridae__family,location_comment
compound<nmod<amod> ...,-0.585,0.128,-0.577,0.134,3,Accipitridae__family,location_comment
conj> area,0.581,0.131,0.63,0.094,2,Accipitridae__family,location_comment
obl<nsubj> ...,0.577,0.135,0.784,0.021,5,Accipitridae__family,location_comment
nmod<case> of,0.571,0.139,0.577,0.134,3,Accipitridae__family,location_comment
compound<appos> maillardi,0.57,0.14,0.504,0.203,2,Accipitridae__family,location_comment
compound<appos> harrier,0.563,0.146,0.577,0.134,2,Accipitridae__family,location_comment
nmod<amod> ...,0.563,0.147,0.577,0.134,2,Accipitridae__family,location_comment
amod> arctic,0.561,0.148,0.63,0.094,2,Accipitridae__family,location_comment
nmod<nmod< ...,0.551,0.156,0.546,0.162,4,Accipitridae__family,location_comment
conj<nsubj> ...,0.551,0.157,0.577,0.134,1,Accipitridae__family,location_comment
obl<nsubj:pass> ...,0.55,0.158,0.481,0.227,4,Accipitridae__family,location_comment
compound<conj<nmod> ...,0.547,0.161,0.412,0.31,4,Accipitridae__family,location_comment
cc> and,0.545,0.162,0.764,0.027,12,Accipitridae__family,location_comment
obl<obl>case> by,0.539,0.168,0.577,0.134,2,Accipitridae__family,location_comment
conj<nmod<compound> generalist,0.533,0.174,0.577,0.134,2,Accipitridae__family,location_comment
compound<appos> spilonotus,0.53,0.177,0.646,0.083,4,Accipitridae__family,location_comment
conj<nmod<det> ...,-0.512,0.195,-0.412,0.31,1,Accipitridae__family,location_comment
compound<nsubj<conj> ...,-0.508,0.199,-0.412,0.31,2,Accipitridae__family,location_comment
compound<conj<appos> harrier,0.497,0.21,0.546,0.162,3,Accipitridae__family,location_comment
obl<conj> ...,0.496,0.212,0.412,0.31,3,Accipitridae__family,location_comment
compound<obl< ...,-0.495,0.212,-0.733,0.039,3,Accipitridae__family,location_comment
compound<conj<amod> ...,0.488,0.22,0.44,0.275,4,Accipitridae__family,location_comment
compound<nmod>case> of,0.487,0.221,0.296,0.476,4,Accipitridae__family,location_comment
