feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
conj<appos> approximan,0.958,0.0,0.756,0.03,2,Accipitridae__family,location_topic
appos<appos> spilonotus,0.954,0.0,0.577,0.134,2,Accipitridae__family,location_topic
appos<appos> harrier,0.946,0.0,0.577,0.134,2,Accipitridae__family,location_topic
appos<nmod>amod> Ocean,0.945,0.0,0.577,0.134,2,Accipitridae__family,location_topic
conj>amod> Madagascar,0.944,0.0,0.756,0.03,2,Accipitridae__family,location_topic
appos<nmod>amod> western,0.939,0.001,0.577,0.134,2,Accipitridae__family,location_topic
appos<nmod>amod> indian,0.935,0.001,0.577,0.134,2,Accipitridae__family,location_topic
appos<nmod>amod> eastern,0.926,0.001,0.577,0.134,2,Accipitridae__family,location_topic
conj>appos> maillardi,0.92,0.001,0.756,0.03,2,Accipitridae__family,location_topic
nsubj:pass<obl>case> by,0.907,0.002,0.577,0.134,2,Accipitridae__family,location_topic
conj<appos> harrier,0.9,0.002,0.764,0.027,3,Accipitridae__family,location_topic
conj<appos> aeruginosus,0.9,0.002,0.764,0.027,7,Accipitridae__family,location_topic
conj<conj> harrier,0.9,0.002,0.577,0.134,20,Accipitridae__family,location_topic
nmod>nmod> ...,0.898,0.002,0.577,0.134,3,Accipitridae__family,location_topic
conj<conj> maillardi,0.893,0.003,0.577,0.134,5,Accipitridae__family,location_topic
conj<appos> ...,0.893,0.003,0.733,0.039,10,Accipitridae__family,location_topic
conj<list<appos> ...,0.886,0.003,0.577,0.134,3,Accipitridae__family,location_topic
appos<advmod> generally,0.885,0.004,0.756,0.03,2,Accipitridae__family,location_topic
nsubj:pass<advmod> ...,0.882,0.004,0.436,0.28,8,Accipitridae__family,location_topic
conj<conj> kite,0.881,0.004,0.577,0.134,2,Accipitridae__family,location_topic
appos<nsubj> ...,0.878,0.004,0.764,0.027,3,Accipitridae__family,location_topic
appos<conj<appos> ...,0.874,0.005,0.577,0.134,3,Accipitridae__family,location_topic
conj> harrier,0.872,0.005,0.577,0.134,8,Accipitridae__family,location_topic
nmod>compound> ...,0.865,0.006,0.577,0.134,3,Accipitridae__family,location_topic
nsubj:pass<obl> ...,0.864,0.006,0.577,0.134,15,Accipitridae__family,location_topic
appos<conj>amod> ...,0.862,0.006,0.655,0.078,3,Accipitridae__family,location_topic
appos<conj>amod> great,0.849,0.008,0.577,0.134,2,Accipitridae__family,location_topic
nsubj:pass<obl>case> from,0.849,0.008,0.577,0.134,3,Accipitridae__family,location_topic
conj<conj> buzzard,0.839,0.009,0.577,0.134,2,Accipitridae__family,location_topic
nsubj:pass<obl>case> ...,0.839,0.009,0.577,0.134,5,Accipitridae__family,location_topic
appos<nmod>case> of,0.838,0.009,0.577,0.134,6,Accipitridae__family,location_topic
nsubj:pass<obl>case> in,0.83,0.011,0.577,0.134,5,Accipitridae__family,location_topic
conj<conj> eagle,0.828,0.011,0.577,0.134,2,Accipitridae__family,location_topic
nmod>nmod>case> of,0.826,0.011,0.577,0.134,2,Accipitridae__family,location_topic
appos<appos>compound> c.,0.825,0.012,0.577,0.134,4,Accipitridae__family,location_topic
appos<conj<conj> buzzard,0.818,0.013,0.577,0.134,2,Accipitridae__family,location_topic
appos<appos> approximan,0.816,0.013,0.577,0.134,2,Accipitridae__family,location_topic
obj<nsubj>amod> ...,0.814,0.014,0.577,0.134,4,Accipitridae__family,location_topic
compound<nmod<conj> factsheet,0.813,0.014,0.577,0.134,2,Accipitridae__family,location_topic
appos<conj<conj> eagle,0.813,0.014,0.577,0.134,2,Accipitridae__family,location_topic
appos<appos<advmod> generally,0.812,0.014,0.577,0.134,2,Accipitridae__family,location_topic
appos<conj<conj> kite,0.811,0.014,0.577,0.134,2,Accipitridae__family,location_topic
conj<conj>appos> ...,0.806,0.016,0.756,0.03,4,Accipitridae__family,location_topic
appos<conj<conj> ...,0.806,0.016,0.577,0.134,2,Accipitridae__family,location_topic
appos<conj>det> the,0.8,0.017,0.577,0.134,4,Accipitridae__family,location_topic
nmod>amod> ...,0.799,0.017,0.518,0.188,7,Accipitridae__family,location_topic
det> ...,-0.797,0.018,-0.577,0.134,1,Accipitridae__family,location_topic
nsubj> ...,0.769,0.026,0.577,0.134,1,Accipitridae__family,location_topic
appos<conj> Wallacea,0.768,0.026,0.577,0.134,2,Accipitridae__family,location_topic
nsubj:pass<aux:pass> be,0.765,0.027,0.109,0.797,12,Accipitridae__family,location_topic
nmod>nmod>case> ...,0.757,0.03,0.577,0.134,1,Accipitridae__family,location_topic
nmod>case> of,0.752,0.032,0.577,0.134,3,Accipitridae__family,location_topic
conj>cc> and,0.752,0.032,0.702,0.052,8,Accipitridae__family,location_topic
conj<conj>appos> maillardi,0.747,0.033,0.577,0.134,4,Accipitridae__family,location_topic
appos>compound> ...,0.746,0.034,0.866,0.005,5,Accipitridae__family,location_topic
nsubj<amod> ...,0.743,0.035,0.577,0.134,7,Accipitridae__family,location_topic
conj<conj>appos> spilonotus,0.737,0.037,0.577,0.134,4,Accipitridae__family,location_topic
nsubj:pass<aux:pass> ...,0.731,0.039,0.577,0.134,1,Accipitridae__family,location_topic
conj<appos>compound> ...,0.727,0.041,0.733,0.039,5,Accipitridae__family,location_topic
nsubj:pass<obl>amod> ...,0.722,0.043,0.577,0.134,10,Accipitridae__family,location_topic
conj>compound> marsh,0.722,0.043,0.764,0.027,4,Accipitridae__family,location_topic
compound>amod> african,-0.721,0.044,-0.63,0.094,2,Accipitridae__family,location_topic
nsubj<obj>amod> ...,0.72,0.044,0.327,0.429,5,Accipitridae__family,location_topic
conj<conj>compound> c.,0.716,0.046,0.577,0.134,5,Accipitridae__family,location_topic
appos> chrysaeto,0.714,0.046,0.577,0.134,2,Accipitridae__family,location_topic
conj>appos>compound> c.,0.711,0.048,0.764,0.027,3,Accipitridae__family,location_topic
conj<appos>compound> Circus,0.704,0.051,0.577,0.134,3,Accipitridae__family,location_topic
appos<list>appos> ...,0.703,0.052,0.577,0.134,4,Accipitridae__family,location_topic
conj>det> the,0.703,0.052,0.674,0.067,4,Accipitridae__family,location_topic
conj<appos>nummod> ...,0.702,0.052,0.577,0.134,3,Accipitridae__family,location_topic
nsubj:pass< ...,0.701,0.052,0.164,0.699,9,Accipitridae__family,location_topic
nsubj:pass< find,0.697,0.055,0.577,0.134,2,Accipitridae__family,location_topic
conj<appos>conj> spilothorax,0.696,0.055,0.577,0.134,5,Accipitridae__family,location_topic
appos> ranivorus,0.692,0.057,0.577,0.134,2,Accipitridae__family,location_topic
nmod<det> ...,-0.685,0.061,-0.577,0.134,1,Accipitridae__family,location_topic
appos<conj>appos> maillardi,0.679,0.064,0.577,0.134,2,Accipitridae__family,location_topic
nsubj<advmod> often,0.677,0.065,0.577,0.134,2,Accipitridae__family,location_topic
compound<nmod<conj> Gerd-Michael,0.67,0.069,0.577,0.134,2,Accipitridae__family,location_topic
conj<compound> marsh,0.667,0.071,0.764,0.027,7,Accipitridae__family,location_topic
appos<appos>compound> ...,0.667,0.071,0.577,0.134,2,Accipitridae__family,location_topic
appos> aeruginosus,0.666,0.072,0.464,0.247,6,Accipitridae__family,location_topic
acl> ...,-0.657,0.077,-0.577,0.134,3,Accipitridae__family,location_topic
conj<conj>compound> Papuan,0.655,0.078,0.577,0.134,4,Accipitridae__family,location_topic
nsubj<advmod> ...,0.655,0.078,0.577,0.134,8,Accipitridae__family,location_topic
conj<appos> spilothorax,0.65,0.081,0.577,0.134,5,Accipitridae__family,location_topic
conj<conj>amod> common,-0.641,0.087,-0.378,0.356,2,Accipitridae__family,location_topic
nsubj<advmod> also,0.64,0.087,0.577,0.134,2,Accipitridae__family,location_topic
nsubj<nmod>case> in,0.639,0.088,0.577,0.134,3,Accipitridae__family,location_topic
conj<appos<advmod> generally,0.638,0.089,0.63,0.094,2,Accipitridae__family,location_topic
nsubj<obl>det> the,0.637,0.09,0.577,0.134,7,Accipitridae__family,location_topic
conj>appos>compound> maillardi,0.637,0.09,0.577,0.134,2,Accipitridae__family,location_topic
conj<conj>cc> or,0.636,0.09,0.577,0.134,5,Accipitridae__family,location_topic
nmod> bird,0.635,0.091,0.577,0.134,2,Accipitridae__family,location_topic
nsubj<nmod>case> ...,0.633,0.092,0.577,0.134,4,Accipitridae__family,location_topic
nsubj<xcomp> ...,-0.629,0.095,-0.733,0.039,3,Accipitridae__family,location_topic
appos<conj>compound> marsh,0.627,0.096,0.436,0.28,3,Accipitridae__family,location_topic
conj<conj>compound> Réunion,0.622,0.099,0.577,0.134,4,Accipitridae__family,location_topic
appos>compound> c.,0.618,0.103,0.717,0.046,10,Accipitridae__family,location_topic
conj>compound> ...,0.614,0.105,0.546,0.162,9,Accipitridae__family,location_topic
case> of,-0.613,0.106,-0.655,0.078,8,Accipitridae__family,location_topic
conj<conj>appos> macroscele,0.612,0.107,0.577,0.134,4,Accipitridae__family,location_topic
conj<nmod>amod> ...,0.61,0.108,0.764,0.027,5,Accipitridae__family,location_topic
appos<conj>cc> and,0.608,0.11,0.655,0.078,5,Accipitridae__family,location_topic
conj<appos>compound> c.,0.584,0.128,0.733,0.039,8,Accipitridae__family,location_topic
appos<compound> ...,-0.583,0.13,-0.66,0.075,5,Accipitridae__family,location_topic
nsubj:pass< absent,0.579,0.132,0.577,0.134,2,Accipitridae__family,location_topic
