feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
appos<appos> spilonotus,0.962,0.0,0.577,0.134,2,Accipitridae__family,taxongroup_comment
appos<conj> Wallacea,0.95,0.0,0.577,0.134,2,Accipitridae__family,taxongroup_comment
appos<appos>compound> c.,0.947,0.0,0.577,0.134,4,Accipitridae__family,taxongroup_comment
appos<appos> harrier,0.943,0.0,0.577,0.134,2,Accipitridae__family,taxongroup_comment
amod> larger,0.925,0.001,0.577,0.134,3,Accipitridae__family,taxongroup_comment
appos<appos<advmod> generally,0.922,0.001,0.577,0.134,2,Accipitridae__family,taxongroup_comment
appos<conj>compound> marsh,0.922,0.001,0.764,0.027,3,Accipitridae__family,taxongroup_comment
amod> large,0.908,0.002,0.577,0.134,13,Accipitridae__family,taxongroup_comment
conj<conj> ...,0.903,0.002,0.571,0.14,68,Accipitridae__family,taxongroup_comment
appos<conj>det> the,0.894,0.003,0.577,0.134,4,Accipitridae__family,taxongroup_comment
conj<conj> cat,0.885,0.003,0.764,0.027,3,Accipitridae__family,taxongroup_comment
conj<appos> approximan,0.868,0.005,0.756,0.03,2,Accipitridae__family,taxongroup_comment
nmod<nmod<conj> ...,0.856,0.007,0.655,0.078,19,Accipitridae__family,taxongroup_comment
conj<conj> wolf,0.853,0.007,0.764,0.027,3,Accipitridae__family,taxongroup_comment
amod> raptorial,0.852,0.007,0.577,0.134,9,Accipitridae__family,taxongroup_comment
nsubj<obl> which,0.851,0.007,0.577,0.134,2,Accipitridae__family,taxongroup_comment
nsubj<obl>compound> ...,0.849,0.008,0.577,0.134,4,Accipitridae__family,taxongroup_comment
appos<conj>cc> and,0.847,0.008,0.546,0.162,5,Accipitridae__family,taxongroup_comment
obl<xcomp< ...,-0.843,0.009,-0.577,0.134,6,Accipitridae__family,taxongroup_comment
amod> ...,0.836,0.01,0.317,0.444,83,Accipitridae__family,taxongroup_comment
appos<conj> harrier,0.83,0.011,0.436,0.28,3,Accipitridae__family,taxongroup_comment
appos<appos> approximan,0.828,0.011,0.577,0.134,2,Accipitridae__family,taxongroup_comment
appos<nmod>amod> western,0.827,0.011,0.577,0.134,2,Accipitridae__family,taxongroup_comment
appos<nmod>amod> indian,0.824,0.012,0.577,0.134,2,Accipitridae__family,taxongroup_comment
appos<nmod>amod> eastern,0.823,0.012,0.577,0.134,2,Accipitridae__family,taxongroup_comment
nmod<det> a,0.818,0.013,0.577,0.134,12,Accipitridae__family,taxongroup_comment
compound<acl:relcl> ...,0.817,0.013,0.577,0.134,1,Accipitridae__family,taxongroup_comment
appos<nmod>amod> Ocean,0.813,0.014,0.577,0.134,2,Accipitridae__family,taxongroup_comment
nmod>appos>compound> Circus,0.803,0.016,0.756,0.03,2,Accipitridae__family,taxongroup_comment
compound<conj>cc> ...,0.802,0.017,0.577,0.134,1,Accipitridae__family,taxongroup_comment
appos<appos>compound> ...,0.8,0.017,0.756,0.03,4,Accipitridae__family,taxongroup_comment
compound<compound> aeruginosus,0.798,0.018,0.577,0.134,2,Accipitridae__family,taxongroup_comment
