feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
conj<conj> eagle,0.947,0.0,0.577,0.134,12,Accipitridae__family,taxongroup_topic
conj<conj> goshawk,0.943,0.0,0.436,0.28,6,Accipitridae__family,taxongroup_topic
conj<conj> migran,0.933,0.001,0.577,0.134,3,Accipitridae__family,taxongroup_topic
conj<conj> falcon,0.931,0.001,0.436,0.28,5,Accipitridae__family,taxongroup_topic
conj<conj> harrier,0.925,0.001,0.577,0.134,3,Accipitridae__family,taxongroup_topic
conj<conj> buzzard,0.922,0.001,0.436,0.28,10,Accipitridae__family,taxongroup_topic
conj<conj> nisus,0.918,0.001,0.577,0.134,2,Accipitridae__family,taxongroup_topic
nmod<conj<conj> ...,0.904,0.002,0.577,0.134,5,Accipitridae__family,taxongroup_topic
conj<appos>conj> ...,0.887,0.003,0.577,0.134,3,Accipitridae__family,taxongroup_topic
appos<appos>compound> c.,0.885,0.004,0.577,0.134,4,Accipitridae__family,taxongroup_topic
conj<conj> ...,0.88,0.004,0.3,0.47,27,Accipitridae__family,taxongroup_topic
nmod<amod> other,0.878,0.004,0.756,0.03,2,Accipitridae__family,taxongroup_topic
appos<conj> harrier,0.872,0.005,0.577,0.134,3,Accipitridae__family,taxongroup_topic
appos<appos> ...,0.871,0.005,0.63,0.094,12,Accipitridae__family,taxongroup_topic
appos<nmod> Australasia,0.859,0.006,0.577,0.134,2,Accipitridae__family,taxongroup_topic
conj>nmod:poss>amod> ...,-0.852,0.007,-0.764,0.027,3,Accipitridae__family,taxongroup_topic
conj> eagle,0.849,0.008,0.856,0.007,10,Accipitridae__family,taxongroup_topic
conj<appos> gentilis,0.845,0.008,0.756,0.03,4,Accipitridae__family,taxongroup_topic
conj<conj> bird,0.844,0.008,0.436,0.28,3,Accipitridae__family,taxongroup_topic
conj<conj> vulture,0.841,0.009,0.436,0.28,3,Accipitridae__family,taxongroup_topic
conj<appos> harrier,0.841,0.009,0.764,0.027,3,Accipitridae__family,taxongroup_topic
appos<appos>compound> A.,0.837,0.009,0.577,0.134,5,Accipitridae__family,taxongroup_topic
obl<acl<appos> ...,0.836,0.01,0.577,0.134,6,Accipitridae__family,taxongroup_topic
conj<obl<aux> ...,-0.834,0.01,-0.756,0.03,2,Accipitridae__family,taxongroup_topic
appos<nmod>amod> eastern,0.83,0.011,0.577,0.134,2,Accipitridae__family,taxongroup_topic
conj<appos> approximan,0.83,0.011,0.756,0.03,2,Accipitridae__family,taxongroup_topic
obl<obl>case> ...,0.829,0.011,0.866,0.005,7,Accipitridae__family,taxongroup_topic
appos<appos> harrier,0.825,0.012,0.546,0.162,3,Accipitridae__family,taxongroup_topic
appos<nmod> Asia,0.825,0.012,0.577,0.134,2,Accipitridae__family,taxongroup_topic
appos<appos> spilonotus,0.822,0.012,0.577,0.134,2,Accipitridae__family,taxongroup_topic
conj> buzzard,0.821,0.012,0.866,0.005,4,Accipitridae__family,taxongroup_topic
appos<nmod>amod> indian,0.82,0.013,0.577,0.134,2,Accipitridae__family,taxongroup_topic
appos<nmod>amod> western,0.818,0.013,0.577,0.134,2,Accipitridae__family,taxongroup_topic
appos<conj> hawk,0.815,0.014,0.577,0.134,4,Accipitridae__family,taxongroup_topic
compound<nmod<amod> ...,-0.812,0.014,-0.577,0.134,3,Accipitridae__family,taxongroup_topic
appos<nsubj>amod> ...,0.799,0.017,0.756,0.03,2,Accipitridae__family,taxongroup_topic
appos<appos> approximan,0.797,0.018,0.577,0.134,2,Accipitridae__family,taxongroup_topic
conj>appos> ...,0.794,0.019,0.77,0.025,7,Accipitridae__family,taxongroup_topic
conj<appos> ...,0.791,0.019,0.764,0.027,20,Accipitridae__family,taxongroup_topic
compound<appos< species,0.786,0.021,0.756,0.03,2,Accipitridae__family,taxongroup_topic
nsubj:pass<obl> bird,0.784,0.021,0.764,0.027,3,Accipitridae__family,taxongroup_topic
conj>amod> ...,0.783,0.021,0.709,0.049,14,Accipitridae__family,taxongroup_topic
appos<conj>det> the,0.777,0.023,0.577,0.134,4,Accipitridae__family,taxongroup_topic
obl<xcomp< ...,-0.775,0.024,-0.546,0.162,3,Accipitridae__family,taxongroup_topic
nsubj<nmod>case> in,0.772,0.025,0.577,0.134,5,Accipitridae__family,taxongroup_topic
appos<conj>compound> marsh,0.771,0.025,0.577,0.134,3,Accipitridae__family,taxongroup_topic
appos<appos>compound> ...,0.768,0.026,0.674,0.067,4,Accipitridae__family,taxongroup_topic
nmod<obl<obl> ...,0.766,0.027,0.577,0.134,8,Accipitridae__family,taxongroup_topic
conj<parataxis> ...,0.764,0.027,0.756,0.03,4,Accipitridae__family,taxongroup_topic
conj<conj>appos> ...,0.764,0.027,0.577,0.134,7,Accipitridae__family,taxongroup_topic
appos>det> the,0.76,0.029,0.577,0.134,5,Accipitridae__family,taxongroup_topic
conj<obl< ...,-0.758,0.029,-0.709,0.049,9,Accipitridae__family,taxongroup_topic
nmod<acl:relcl>advmod> ...,-0.756,0.03,-0.577,0.134,1,Accipitridae__family,taxongroup_topic
obl<obl> ...,0.752,0.031,0.825,0.012,7,Accipitridae__family,taxongroup_topic
appos> nisus,0.748,0.033,0.619,0.102,8,Accipitridae__family,taxongroup_topic
appos<conj> Wallacea,0.747,0.033,0.577,0.134,2,Accipitridae__family,taxongroup_topic
compound<case> for,-0.747,0.033,-0.577,0.134,2,Accipitridae__family,taxongroup_topic
appos<nmod>amod> Ocean,0.745,0.034,0.577,0.134,2,Accipitridae__family,taxongroup_topic
appos> gentilis,-0.742,0.035,-0.63,0.094,2,Accipitridae__family,taxongroup_topic
nmod<obj<nsubj> ...,-0.738,0.037,-0.764,0.027,4,Accipitridae__family,taxongroup_topic
appos<nmod> island,0.738,0.037,0.577,0.134,2,Accipitridae__family,taxongroup_topic
amod>obl>case> than,0.737,0.037,0.756,0.03,2,Accipitridae__family,taxongroup_topic
advmod> probably,-0.736,0.037,-0.577,0.134,2,Accipitridae__family,taxongroup_topic
obl<acl< ...,0.733,0.039,0.756,0.03,4,Accipitridae__family,taxongroup_topic
conj<appos>compound> Accipiter,0.729,0.04,0.764,0.027,5,Accipitridae__family,taxongroup_topic
conj>amod> common,0.729,0.04,0.62,0.101,3,Accipitridae__family,taxongroup_topic
nsubj<nmod>case> to,0.723,0.043,0.577,0.134,2,Accipitridae__family,taxongroup_topic
conj<conj>appos> heliaca,0.721,0.043,0.577,0.134,2,Accipitridae__family,taxongroup_topic
nmod< bird,0.719,0.044,0.77,0.025,8,Accipitridae__family,taxongroup_topic
nmod< species,0.719,0.045,0.764,0.027,5,Accipitridae__family,taxongroup_topic
nmod> Australasia,0.717,0.045,0.756,0.03,2,Accipitridae__family,taxongroup_topic
nmod< range,0.715,0.046,0.63,0.094,2,Accipitridae__family,taxongroup_topic
compound<nmod>case> ...,0.713,0.047,0.63,0.094,2,Accipitridae__family,taxongroup_topic
conj>advmod> ...,0.709,0.049,0.577,0.134,6,Accipitridae__family,taxongroup_topic
conj<appos> hobby,0.709,0.049,0.577,0.134,2,Accipitridae__family,taxongroup_topic
nsubj:pass<obl>case> by,0.708,0.049,0.756,0.03,4,Accipitridae__family,taxongroup_topic
nmod<acl:relcl>advmod> where,-0.707,0.05,-0.577,0.134,2,Accipitridae__family,taxongroup_topic
appos<appos< consider,0.707,0.05,0.577,0.134,2,Accipitridae__family,taxongroup_topic
appos>compound> Buteo,0.702,0.052,0.63,0.094,2,Accipitridae__family,taxongroup_topic
nmod>nmod> ...,0.696,0.055,0.733,0.039,5,Accipitridae__family,taxongroup_topic
conj>amod> breaste,0.689,0.059,0.577,0.134,2,Accipitridae__family,taxongroup_topic
appos<obj>amod> -shouldered,0.689,0.059,0.577,0.134,2,Accipitridae__family,taxongroup_topic
nmod<conj> ...,0.687,0.06,0.655,0.078,10,Accipitridae__family,taxongroup_topic
nmod>compound> Circus,-0.682,0.062,-0.577,0.134,2,Accipitridae__family,taxongroup_topic
compound< aeruginosus,0.682,0.062,0.436,0.28,3,Accipitridae__family,taxongroup_topic
conj> hawk,0.676,0.066,0.846,0.008,8,Accipitridae__family,taxongroup_topic
nsubj<appos>det> ...,0.676,0.066,0.63,0.094,2,Accipitridae__family,taxongroup_topic
nsubj<amod> small,0.673,0.068,0.577,0.134,2,Accipitridae__family,taxongroup_topic
conj>amod> tail,0.672,0.068,0.63,0.094,2,Accipitridae__family,taxongroup_topic
case> ...,0.671,0.068,0.764,0.027,13,Accipitridae__family,taxongroup_topic
appos<advcl> refer,-0.671,0.068,-0.577,0.134,2,Accipitridae__family,taxongroup_topic
conj<nsubj>amod> ...,-0.67,0.069,-0.546,0.162,3,Accipitridae__family,taxongroup_topic
obl<nsubj>det> the,0.67,0.069,0.733,0.039,3,Accipitridae__family,taxongroup_topic
nsubj<nmod>acl> place,-0.667,0.071,-0.577,0.134,2,Accipitridae__family,taxongroup_topic
nsubj<compound> ...,-0.667,0.071,-0.733,0.039,3,Accipitridae__family,taxongroup_topic
appos<conj>appos> ...,0.667,0.071,0.733,0.039,3,Accipitridae__family,taxongroup_topic
nmod<obl<nsubj> ...,0.661,0.074,0.546,0.162,5,Accipitridae__family,taxongroup_topic
conj<amod> ...,-0.661,0.075,-0.701,0.053,11,Accipitridae__family,taxongroup_topic
conj<conj> kites,0.66,0.075,0.378,0.356,4,Accipitridae__family,taxongroup_topic
appos<obl>case> ...,-0.658,0.076,-0.577,0.134,1,Accipitridae__family,taxongroup_topic
nmod<conj>amod> ...,0.658,0.076,0.63,0.094,10,Accipitridae__family,taxongroup_topic
nmod>nmod>case> of,0.657,0.076,0.756,0.03,4,Accipitridae__family,taxongroup_topic
nmod<nmod>case> of,0.657,0.076,0.655,0.078,4,Accipitridae__family,taxongroup_topic
nmod<obj< ...,0.655,0.078,0.655,0.078,6,Accipitridae__family,taxongroup_topic
obl<nsubj>flat> ...,0.655,0.078,0.63,0.094,4,Accipitridae__family,taxongroup_topic
nsubj< bird,0.653,0.079,0.655,0.078,14,Accipitridae__family,taxongroup_topic
nsubj<advcl>mark> to,-0.652,0.08,-0.63,0.094,4,Accipitridae__family,taxongroup_topic
nmod< ...,0.652,0.08,0.626,0.097,38,Accipitridae__family,taxongroup_topic
compound<conj>cc> ...,0.649,0.082,0.577,0.134,1,Accipitridae__family,taxongroup_topic
conj<appos>compound> Circus,0.649,0.082,0.577,0.134,2,Accipitridae__family,taxongroup_topic
appos< include,0.647,0.083,0.577,0.134,2,Accipitridae__family,taxongroup_topic
nmod< Scotland,0.646,0.083,0.577,0.134,2,Accipitridae__family,taxongroup_topic
det> this,-0.645,0.084,-0.577,0.134,3,Accipitridae__family,taxongroup_topic
nmod<obl<nsubj:pass> ...,-0.643,0.085,-0.577,0.134,3,Accipitridae__family,taxongroup_topic
nsubj<obl>nmod:poss> ...,-0.641,0.087,-0.577,0.134,1,Accipitridae__family,taxongroup_topic
compound<appos<det> the,-0.64,0.088,-0.577,0.134,3,Accipitridae__family,taxongroup_topic
nmod< name,0.64,0.088,0.577,0.134,2,Accipitridae__family,taxongroup_topic
nsubj:pass<advmod> ...,0.64,0.088,0.627,0.096,6,Accipitridae__family,taxongroup_topic
obj<acl< threat,-0.638,0.089,-0.577,0.134,2,Accipitridae__family,taxongroup_topic
compound<appos<appos> ...,0.638,0.089,0.577,0.134,3,Accipitridae__family,taxongroup_topic
nmod<nmod<det> the,-0.638,0.089,-0.577,0.134,3,Accipitridae__family,taxongroup_topic
conj<nmod< bird,0.638,0.089,0.536,0.171,4,Accipitridae__family,taxongroup_topic
appos<obj>amod> black,0.637,0.089,0.577,0.134,2,Accipitridae__family,taxongroup_topic
obl<obl> winter,0.637,0.09,0.756,0.03,2,Accipitridae__family,taxongroup_topic
nsubj<obl>nmod> buzzard,0.636,0.09,0.577,0.134,2,Accipitridae__family,taxongroup_topic
compound<nmod<amod> Marsh,0.635,0.09,0.577,0.134,2,Accipitridae__family,taxongroup_topic
