,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
14,Wes-9ef7_49_harriers-21,harriers,Hen_Harrier#species,case>,than,ADP,19,case> than,0.49147364659988085,-0.23593290006919718,Accipitridae__family,adaptation_topic,6,51
6,Gre-e890_125_eagles-15,eagles,Golden_Eagle#species,case>,by,ADP,11,case> by,0.42021516853049923,-0.4686306601231772,Accipitridae__family,adaptation_topic,6,51
6,Roc-fab6_55_eagles-20,eagles,Golden_Eagle#species,case>,as,ADP,18,case> as,0.4715205895311706,-0.4874539401215502,Accipitridae__family,adaptation_topic,6,51
1,Afr9d9d_8_eagles-6,eagles,African_Fish_Eagle#species,case>,from,ADP,2,case> ...,0.4898911580210173,-0.4445496751792946,Accipitridae__family,adaptation_topic,6,51
4,Com-f222_478_buzzards-18,buzzards,Common_Buzzard#species,case>,of,ADP,16,case> of,0.48487259091245527,-0.41934773881703186,Accipitridae__family,adaptation_topic,6,51
4,Com-f222_468_buzzards-7,buzzards,Common_Buzzard#species,case>,of,ADP,5,case> of,0.48487259091245527,-0.41934773881703186,Accipitridae__family,adaptation_topic,6,51
9,Whi-b4c3_503_eagles-27,eagles,Golden_Eagle#species,case>,with,ADP,22,case> with,0.5139216741911549,-0.38484273033256233,Accipitridae__family,adaptation_topic,6,51
8,Whi-b4c3_503_eagles-34,eagles,Golden_Eagle#species,case>,after,ADP,31,case> ...,0.379942652395099,-0.38992943746933995,Accipitridae__family,adaptation_topic,6,51
6,Gol29ff_7_eagles-18,eagles,Golden_Eagle#species,case>,of,ADP,14,case> of,0.48487259091245527,-0.41934773881703186,Accipitridae__family,adaptation_topic,6,51
9,Mer-5a4a_96_harriers-14,harriers,Hen_Harrier#species,case>,with,ADP,12,case> with,0.5139216741911549,-0.38484273033256233,Accipitridae__family,adaptation_topic,6,51
9,Mal-71cc_147_harriers-20,harriers,Hen_Harrier#species,case>,include,VERB,18,case> include,0.4388587334709519,-0.3760019079761903,Accipitridae__family,adaptation_topic,6,51
6,Eur-bc75_160_harrier-31,harrier,Harrier_bird#genus,case>,in,ADP,29,case> ...,0.49697420478951776,-0.4017735981805428,Accipitridae__family,adaptation_topic,6,51
3,Whi-b4c3_690_eagles-10,eagles,White-tailed_Eagle#species,case>,of,ADP,5,case> of,0.48487259091245527,-0.41934773881703186,Accipitridae__family,adaptation_topic,6,51
5,Cro-5646_357_eagles-27,eagles,Crowned_Eagle#species,case>,by,ADP,25,case> by,0.42021516853049923,-0.4686306601231772,Accipitridae__family,adaptation_topic,6,51
5,Cro-5646_353_eagle-12,eagle,Crowned_Eagle#species,case>,than,ADP,9,case> than,0.49147364659988085,-0.23593290006919718,Accipitridae__family,adaptation_topic,6,51
8,Gol-1dbf_295_eagles-23,eagles,Golden_Eagle#species,case>,of,ADP,21,case> of,0.48487259091245527,-0.41934773881703186,Accipitridae__family,adaptation_topic,6,51
4,Gol-1dbf_284_eagles-7,eagles,Golden_Eagle#species,case>,of,ADP,5,case> of,0.48487259091245527,-0.41934773881703186,Accipitridae__family,adaptation_topic,6,51
2,Gol-1dbf_286_eagles-5,eagles,Golden_Eagle#species,case>,of,ADP,3,case> of,0.48487259091245527,-0.41934773881703186,Accipitridae__family,adaptation_topic,6,51
4,Gol-1dbf_294_eagles-7,eagles,Golden_Eagle#species,case>,of,ADP,5,case> of,0.48487259091245527,-0.41934773881703186,Accipitridae__family,adaptation_topic,6,51
8,Red-4352_16_eagles-40,eagles,Golden_Eagle#species,case>,such,ADJ,37,case> such,0.4206323066972494,-0.45359511592948143,Accipitridae__family,adaptation_topic,6,51
15,Gol-1dbf_386_eagle-24,eagle,Golden_Eagle#species,case>,against,ADP,21,case> ...,0.35052133145617614,-0.43233704996177813,Accipitridae__family,adaptation_topic,6,51
5,Gol-1dbf_388_eagle-12,eagle,Golden_Eagle#species,case>,of,ADP,9,case> of,0.48487259091245527,-0.41934773881703186,Accipitridae__family,adaptation_topic,6,51
5,Com-9711_107_eagles-13,eagles,Golden_Eagle#species,case>,to,ADP,11,case> to,0.4894310508732707,-0.38861307255143385,Accipitridae__family,adaptation_topic,6,51
