,feat,cluster,pw_entr,feat_n,N,group,relrole
20,amod> ...,0,-0.006,1,29,Accipitridae__family,adaptation_comment
25,amod> mammalian,0,0.076,1,29,Accipitridae__family,adaptation_comment
84,conj> ...,0,0.138,2,29,Accipitridae__family,adaptation_comment
85,conj> eagle,0,0.257,2,29,Accipitridae__family,adaptation_comment
87,conj> prey,0,0.119,1,29,Accipitridae__family,adaptation_comment
91,conj>amod> ...,0,0.408,4,29,Accipitridae__family,adaptation_comment
92,conj>amod> Eurasian,0,0.119,1,29,Accipitridae__family,adaptation_comment
94,conj>cc> and,0,0.182,2,29,Accipitridae__family,adaptation_comment
97,conj>compound> ...,0,0.081,1,29,Accipitridae__family,adaptation_comment
131,nmod> ...,0,0.135,3,29,Accipitridae__family,adaptation_comment
144,nmod>amod> ...,0,0.027,1,29,Accipitridae__family,adaptation_comment
145,nmod>amod> Eurasian,0,0.105,1,29,Accipitridae__family,adaptation_comment
154,nmod>case> ...,0,0.071,1,29,Accipitridae__family,adaptation_comment
157,nmod>case> of,0,0.009,1,29,Accipitridae__family,adaptation_comment
158,nmod>case> on,0,0.105,1,29,Accipitridae__family,adaptation_comment
163,nmod>compound> ...,0,0.052,1,29,Accipitridae__family,adaptation_comment
166,nmod>conj> ...,0,0.134,2,29,Accipitridae__family,adaptation_comment
169,nmod>conj>amod> ...,0,0.081,1,29,Accipitridae__family,adaptation_comment
354,parataxis> ...,0,0.087,1,29,Accipitridae__family,adaptation_comment
355,parataxis>advmod> ...,0,0.105,1,29,Accipitridae__family,adaptation_comment
376,acl> ...,1,0.019,2,146,Accipitridae__family,adaptation_comment
385,amod> ...,1,0.026,9,146,Accipitridae__family,adaptation_comment
386,amod> avian,1,0.016,2,146,Accipitridae__family,adaptation_comment
390,amod> mammalian,1,0.017,2,146,Accipitridae__family,adaptation_comment
393,amod> other,1,0.02,3,146,Accipitridae__family,adaptation_comment
396,amod>advmod> ...,1,0.034,3,146,Accipitridae__family,adaptation_comment
397,amod>advmod> more,1,0.013,1,146,Accipitridae__family,adaptation_comment
401,amod>conj> avian,1,0.013,1,146,Accipitridae__family,adaptation_comment
402,amod>conj>cc> and,1,0.01,1,146,Accipitridae__family,adaptation_comment
408,case> ...,1,0.004,1,146,Accipitridae__family,adaptation_comment
413,case> like,1,0.035,2,146,Accipitridae__family,adaptation_comment
414,case> of,1,0.1,8,146,Accipitridae__family,adaptation_comment
416,case> with,1,0.029,2,146,Accipitridae__family,adaptation_comment
417,cc> ...,1,0.035,2,146,Accipitridae__family,adaptation_comment
423,conj< ...,1,0.035,4,146,Accipitridae__family,adaptation_comment
425,conj<aux:pass> be,1,0.01,1,146,Accipitridae__family,adaptation_comment
427,conj<compound> ...,1,0.025,2,146,Accipitridae__family,adaptation_comment
428,conj<conj> ...,1,0.177,11,146,Accipitridae__family,adaptation_comment
429,conj<conj> bear,1,0.035,2,146,Accipitridae__family,adaptation_comment
430,conj<conj>amod> ...,1,0.155,9,146,Accipitridae__family,adaptation_comment
431,conj<conj>appos> ...,1,0.052,3,146,Accipitridae__family,adaptation_comment
432,conj<conj>cc> and,1,0.052,3,146,Accipitridae__family,adaptation_comment
433,conj<cop> be,1,0.029,2,146,Accipitridae__family,adaptation_comment
435,conj<det> the,1,0.013,1,146,Accipitridae__family,adaptation_comment
440,conj<nsubj:pass> ...,1,0.01,1,146,Accipitridae__family,adaptation_comment
441,conj<nsubj> ...,1,0.022,2,146,Accipitridae__family,adaptation_comment
448,conj<xcomp>obl> ...,1,0.01,1,146,Accipitridae__family,adaptation_comment
469,cop> be,1,-0.006,1,146,Accipitridae__family,adaptation_comment
470,det> ...,1,0.008,1,146,Accipitridae__family,adaptation_comment
472,det> the,1,-0.002,2,146,Accipitridae__family,adaptation_comment
475,nmod:poss> ...,1,0.01,1,146,Accipitridae__family,adaptation_comment
477,nmod< ...,1,0.088,7,146,Accipitridae__family,adaptation_comment
478,nmod< effect,1,0.01,1,146,Accipitridae__family,adaptation_comment
479,nmod< range,1,0.013,1,146,Accipitridae__family,adaptation_comment
480,nmod<amod> ...,1,0.038,3,146,Accipitridae__family,adaptation_comment
481,nmod<amod> early,1,0.013,1,146,Accipitridae__family,adaptation_comment
482,nmod<amod>advmod> ...,1,0.052,3,146,Accipitridae__family,adaptation_comment
483,nmod<case> ...,1,0.052,3,146,Accipitridae__family,adaptation_comment
484,nmod<case> with,1,0.013,1,146,Accipitridae__family,adaptation_comment
485,nmod<conj< ...,1,0.029,2,146,Accipitridae__family,adaptation_comment
487,nmod<det> a,1,0.069,4,146,Accipitridae__family,adaptation_comment
488,nmod<det> the,1,0.022,2,146,Accipitridae__family,adaptation_comment
489,nmod<nsubj< ...,1,0.008,1,146,Accipitridae__family,adaptation_comment
491,nmod<nsubj<obl> ...,1,0.01,1,146,Accipitridae__family,adaptation_comment
492,nmod<obj< ...,1,0.01,1,146,Accipitridae__family,adaptation_comment
493,nmod<obj< have,1,0.013,1,146,Accipitridae__family,adaptation_comment
494,nmod<obj<mark> ...,1,0.01,1,146,Accipitridae__family,adaptation_comment
495,nmod<obl< ...,1,0.029,2,146,Accipitridae__family,adaptation_comment
496,nmod> ...,1,-0.01,1,146,Accipitridae__family,adaptation_comment
522,nmod>case> of,1,-0.009,1,146,Accipitridae__family,adaptation_comment
540,nmod>det> the,1,-0.003,1,146,Accipitridae__family,adaptation_comment
627,nsubj> eagle,1,0.006,1,146,Accipitridae__family,adaptation_comment
636,nsubj>amod> golden,1,0.013,1,146,Accipitridae__family,adaptation_comment
675,obl< ...,1,0.01,2,146,Accipitridae__family,adaptation_comment
677,obl< compete,1,0.013,1,146,Accipitridae__family,adaptation_comment
687,obl<advcl> ...,1,0.01,1,146,Accipitridae__family,adaptation_comment
688,obl<advmod> ...,1,0.001,1,146,Accipitridae__family,adaptation_comment
708,obl<nsubj> ...,1,0.01,1,146,Accipitridae__family,adaptation_comment
709,obl<nsubj> goshawk,1,0.029,2,146,Accipitridae__family,adaptation_comment
710,obl<nsubj>det> the,1,0.029,2,146,Accipitridae__family,adaptation_comment
711,obl<obj> ...,1,0.008,1,146,Accipitridae__family,adaptation_comment
712,obl<obl> ...,1,0.032,3,146,Accipitridae__family,adaptation_comment
713,obl<obl>amod> ...,1,0.01,1,146,Accipitridae__family,adaptation_comment
714,obl<obl>case> ...,1,0.032,3,146,Accipitridae__family,adaptation_comment
716,obl<obl>nmod> ...,1,0.029,2,146,Accipitridae__family,adaptation_comment
730,acl:relcl> ...,2,0.009,2,170,Accipitridae__family,adaptation_comment
734,acl:relcl>nsubj> that,2,0.004,1,170,Accipitridae__family,adaptation_comment
735,acl:relcl>nsubj> which,2,0.007,1,170,Accipitridae__family,adaptation_comment
736,acl:relcl>obj> ...,2,0.003,1,170,Accipitridae__family,adaptation_comment
737,acl:relcl>obl> ...,2,0.002,1,170,Accipitridae__family,adaptation_comment
739,acl:relcl>obl>case> ...,2,0.003,1,170,Accipitridae__family,adaptation_comment
742,advcl> ...,2,0.007,1,170,Accipitridae__family,adaptation_comment
743,advmod> ...,2,0.002,1,170,Accipitridae__family,adaptation_comment
744,amod< ...,2,0.06,5,170,Accipitridae__family,adaptation_comment
745,amod<nmod> ...,2,0.007,1,170,Accipitridae__family,adaptation_comment
746,amod<nmod>case> ...,2,0.007,1,170,Accipitridae__family,adaptation_comment
747,amod<nmod>compound> ...,2,0.007,1,170,Accipitridae__family,adaptation_comment
748,amod<nmod>det> the,2,0.007,1,170,Accipitridae__family,adaptation_comment
749,amod<nsubj:pass<obl> ...,2,0.042,3,170,Accipitridae__family,adaptation_comment
750,amod> ...,2,-0.01,5,170,Accipitridae__family,adaptation_comment
751,amod> avian,2,0.002,1,170,Accipitridae__family,adaptation_comment
753,amod> main,2,0.003,1,170,Accipitridae__family,adaptation_comment
759,amod> potential,2,0.002,1,170,Accipitridae__family,adaptation_comment
760,amod> sexual,2,0.02,2,170,Accipitridae__family,adaptation_comment
763,amod>advmod> most,2,0.001,1,170,Accipitridae__family,adaptation_comment
768,appos< ...,2,0.02,2,170,Accipitridae__family,adaptation_comment
773,case> ...,2,0.002,1,170,Accipitridae__family,adaptation_comment
775,case> as,2,0.007,1,170,Accipitridae__family,adaptation_comment
779,case> of,2,-0.002,1,170,Accipitridae__family,adaptation_comment
780,case> to,2,0.023,2,170,Accipitridae__family,adaptation_comment
783,cc> and,2,0.015,2,170,Accipitridae__family,adaptation_comment
784,compound< ...,2,0.056,4,170,Accipitridae__family,adaptation_comment
785,compound> ...,2,0.039,4,170,Accipitridae__family,adaptation_comment
787,compound>compound> ...,2,0.007,1,170,Accipitridae__family,adaptation_comment
788,conj< ...,2,0.015,3,170,Accipitridae__family,adaptation_comment
791,conj<case> ...,2,0.037,3,170,Accipitridae__family,adaptation_comment
792,conj<compound> ...,2,0.006,1,170,Accipitridae__family,adaptation_comment
799,conj<det> ...,2,0.014,1,170,Accipitridae__family,adaptation_comment
801,conj<nmod< ...,2,0.042,3,170,Accipitridae__family,adaptation_comment
802,conj<nmod> ...,2,0.007,1,170,Accipitridae__family,adaptation_comment
804,conj<nmod>case> of,2,0.01,1,170,Accipitridae__family,adaptation_comment
814,conj> ...,2,0.047,6,170,Accipitridae__family,adaptation_comment
816,conj> predator,2,0.01,1,170,Accipitridae__family,adaptation_comment
817,conj> prey,2,0.01,1,170,Accipitridae__family,adaptation_comment
818,conj>acl:relcl> ...,2,0.007,1,170,Accipitridae__family,adaptation_comment
819,conj>acl:relcl>nsubj> ...,2,0.007,1,170,Accipitridae__family,adaptation_comment
820,conj>advmod> ...,2,0.046,4,170,Accipitridae__family,adaptation_comment
821,conj>amod> ...,2,0.006,2,170,Accipitridae__family,adaptation_comment
822,conj>amod> Eurasian,2,0.01,1,170,Accipitridae__family,adaptation_comment
823,conj>appos> ...,2,0.007,1,170,Accipitridae__family,adaptation_comment
824,conj>cc> and,2,0.01,2,170,Accipitridae__family,adaptation_comment
825,conj>cc> but,2,0.023,2,170,Accipitridae__family,adaptation_comment
826,conj>cc> or,2,0.017,2,170,Accipitridae__family,adaptation_comment
827,conj>compound> ...,2,0.015,2,170,Accipitridae__family,adaptation_comment
