,feat,cluster,pw_entr,feat_n,N,group,relrole
3,acl> ...,0,0.0,1,1038,Accipitridae__family,free_topic
5,acl>obl> ...,0,-0.001,1,1038,Accipitridae__family,free_topic
7,acl>obl>case> from,0,0.0,1,1038,Accipitridae__family,free_topic
11,amod> ...,0,0.004,24,1038,Accipitridae__family,free_topic
12,amod> Eurasian,0,0.002,5,1038,Accipitridae__family,free_topic
13,amod> Marsh,0,0.002,3,1038,Accipitridae__family,free_topic
15,amod> common,0,-0.0,2,1038,Accipitridae__family,free_topic
16,amod> crowned,0,0.004,4,1038,Accipitridae__family,free_topic
17,amod> golden,0,0.004,17,1038,Accipitridae__family,free_topic
18,amod> harpy,0,0.003,4,1038,Accipitridae__family,free_topic
19,amod> northern,0,0.002,6,1038,Accipitridae__family,free_topic
20,amod> red,0,0.003,5,1038,Accipitridae__family,free_topic
21,amod> tailed,0,0.0,3,1038,Accipitridae__family,free_topic
22,amod>obl:npmod> ...,0,0.0,1,1038,Accipitridae__family,free_topic
24,amod>obl:npmod> white,0,-0.0,2,1038,Accipitridae__family,free_topic
25,appos< ...,0,-0.001,1,1038,Accipitridae__family,free_topic
26,appos< buzzard,0,0.0,1,1038,Accipitridae__family,free_topic
32,appos<amod> ...,0,-0.001,1,1038,Accipitridae__family,free_topic
34,appos<amod> common,0,0.0,1,1038,Accipitridae__family,free_topic
37,appos<amod> smaller,0,0.0,1,1038,Accipitridae__family,free_topic
43,appos<case> ...,0,-0.0,2,1038,Accipitridae__family,free_topic
45,appos<case> to,0,0.0,1,1038,Accipitridae__family,free_topic
83,appos<det> the,0,-0.001,2,1038,Accipitridae__family,free_topic
104,appos<obl< ...,0,0.0,2,1038,Accipitridae__family,free_topic
105,appos<obl<advmod> ...,0,0.0,1,1038,Accipitridae__family,free_topic
106,appos<obl<aux:pass> be,0,-0.0,1,1038,Accipitridae__family,free_topic
107,appos<obl<nsubj:pass> ...,0,0.0,1,1038,Accipitridae__family,free_topic
109,appos> ...,0,-0.002,4,1038,Accipitridae__family,free_topic
110,appos> Accipiter,0,0.0,1,1038,Accipitridae__family,free_topic
111,appos> Aquila,0,0.0,1,1038,Accipitridae__family,free_topic
113,appos> chrysaeto,0,0.0,1,1038,Accipitridae__family,free_topic
116,appos> eagle,0,0.0,1,1038,Accipitridae__family,free_topic
117,appos> gentilis,0,0.0,1,1038,Accipitridae__family,free_topic
118,appos>amod> ...,0,-0.001,1,1038,Accipitridae__family,free_topic
122,appos>case> ...,0,0.001,1,1038,Accipitridae__family,free_topic
124,appos>compound> ...,0,-0.001,1,1038,Accipitridae__family,free_topic
125,appos>compound> Accipiter,0,0.001,2,1038,Accipitridae__family,free_topic
126,appos>compound> Aquila,0,0.0,1,1038,Accipitridae__family,free_topic
130,appos>det> the,0,0.0,1,1038,Accipitridae__family,free_topic
132,appos>flat> chrysaeto,0,0.0,1,1038,Accipitridae__family,free_topic
134,case> 's,0,0.003,4,1038,Accipitridae__family,free_topic
135,case> ...,0,0.011,12,1038,Accipitridae__family,free_topic
136,case> as,0,0.002,4,1038,Accipitridae__family,free_topic
137,case> by,0,0.005,8,1038,Accipitridae__family,free_topic
138,case> from,0,0.001,2,1038,Accipitridae__family,free_topic
139,case> in,0,0.01,9,1038,Accipitridae__family,free_topic
140,case> of,0,0.019,22,1038,Accipitridae__family,free_topic
141,case> such,0,0.003,4,1038,Accipitridae__family,free_topic
142,case> than,0,0.002,3,1038,Accipitridae__family,free_topic
143,case> to,0,0.002,5,1038,Accipitridae__family,free_topic
144,case> with,0,0.006,7,1038,Accipitridae__family,free_topic
145,case>fixed> as,0,0.003,4,1038,Accipitridae__family,free_topic
146,cc> ...,0,0.001,1,1038,Accipitridae__family,free_topic
147,cc> and,0,-0.003,3,1038,Accipitridae__family,free_topic
148,cc> or,0,0.0,1,1038,Accipitridae__family,free_topic
149,compound< ...,0,-0.004,9,1038,Accipitridae__family,free_topic
151,compound< chrysaeto,0,-0.001,1,1038,Accipitridae__family,free_topic
156,compound< hawk,0,0.0,1,1038,Accipitridae__family,free_topic
158,compound< leucocephalus,0,-0.0,1,1038,Accipitridae__family,free_topic
160,compound<amod> ...,0,0.002,5,1038,Accipitridae__family,free_topic
163,compound<appos< ...,0,-0.001,2,1038,Accipitridae__family,free_topic
174,compound<appos<appos> ...,0,-0.001,1,1038,Accipitridae__family,free_topic
181,compound<appos<cc> ...,0,0.001,1,1038,Accipitridae__family,free_topic
185,compound<appos<conj< ...,0,-0.001,1,1038,Accipitridae__family,free_topic
195,compound<appos<det> the,0,-0.001,1,1038,Accipitridae__family,free_topic
199,compound<appos<nmod> ...,0,0.0,1,1038,Accipitridae__family,free_topic
