,feat,cluster,pw_entr,feat_n,N,group,relrole
0,acl:relcl> ...,0,-0.001,1,340,Accipitridae__family,taxongroup_comment
12,acl:relcl>nsubj> which,0,0.001,1,340,Accipitridae__family,taxongroup_comment
58,advmod> he,0,0.004,1,340,Accipitridae__family,taxongroup_comment
60,amod> ...,0,-0.004,5,340,Accipitridae__family,taxongroup_comment
66,amod> other,0,0.0,2,340,Accipitridae__family,taxongroup_comment
70,amod> western,0,0.009,3,340,Accipitridae__family,taxongroup_comment
163,appos> Circus,0,0.003,1,340,Accipitridae__family,taxongroup_comment
183,appos>flat> aeruginosus,0,0.005,1,340,Accipitridae__family,taxongroup_comment
201,cc> and,0,0.04,9,340,Accipitridae__family,taxongroup_comment
202,compound< ...,0,-0.003,1,340,Accipitridae__family,taxongroup_comment
208,compound< hawk,0,0.003,1,340,Accipitridae__family,taxongroup_comment
222,compound<appos< ...,0,0.003,1,340,Accipitridae__family,taxongroup_comment
263,compound<appos> ...,0,0.027,4,340,Accipitridae__family,taxongroup_comment
264,compound<appos> radiatus,0,0.005,1,340,Accipitridae__family,taxongroup_comment
265,compound<appos>compound> ...,0,0.022,3,340,Accipitridae__family,taxongroup_comment
266,compound<appos>compound> Polyboroide,0,0.012,2,340,Accipitridae__family,taxongroup_comment
274,compound<compound> Madagascar,0,0.005,1,340,Accipitridae__family,taxongroup_comment
279,compound<conj> ...,0,0.007,2,340,Accipitridae__family,taxongroup_comment
281,compound<conj>cc> and,0,0.008,2,340,Accipitridae__family,taxongroup_comment
282,compound<conj>compound> ...,0,0.022,3,340,Accipitridae__family,taxongroup_comment
284,compound<det> the,0,0.002,1,340,Accipitridae__family,taxongroup_comment
306,compound> ...,0,-0.001,3,340,Accipitridae__family,taxongroup_comment
313,compound> marsh,0,0.002,3,340,Accipitridae__family,taxongroup_comment
324,conj< ...,0,0.081,14,340,Accipitridae__family,taxongroup_comment
325,conj< eagle,0,0.009,2,340,Accipitridae__family,taxongroup_comment
