	i	j	irad	group	g_N
0	adaptation_comment	adaptation_comment	0.0	Accipitridae__family	1874
1	adaptation_comment	adaptation_topic	0.48367158773353836	Accipitridae__family	1874
2	adaptation_comment	free_topic	0.42987058940303885	Accipitridae__family	1874
3	adaptation_comment	location_comment	0.5152075914979761	Accipitridae__family	1874
4	adaptation_comment	location_topic	0.4614446442258745	Accipitridae__family	1874
5	adaptation_comment	taxongroup_comment	0.39924926750798984	Accipitridae__family	1874
6	adaptation_comment	taxongroup_topic	0.41646276939660526	Accipitridae__family	1874
7	adaptation_topic	adaptation_comment	0.48367158773353836	Accipitridae__family	1874
8	adaptation_topic	adaptation_topic	0.0	Accipitridae__family	1874
9	adaptation_topic	free_topic	0.3802605590417759	Accipitridae__family	1874
10	adaptation_topic	location_comment	0.48387630675666327	Accipitridae__family	1874
11	adaptation_topic	location_topic	0.36861869569585487	Accipitridae__family	1874
12	adaptation_topic	taxongroup_comment	0.37690550309595133	Accipitridae__family	1874
13	adaptation_topic	taxongroup_topic	0.29147535456423734	Accipitridae__family	1874
14	free_topic	adaptation_comment	0.42987058940303885	Accipitridae__family	1874
15	free_topic	adaptation_topic	0.3802605590417759	Accipitridae__family	1874
16	free_topic	free_topic	0.0	Accipitridae__family	1874
17	free_topic	location_comment	0.4262369432078384	Accipitridae__family	1874
18	free_topic	location_topic	0.39752681563630377	Accipitridae__family	1874
19	free_topic	taxongroup_comment	0.2988692230887375	Accipitridae__family	1874
20	free_topic	taxongroup_topic	0.29652605113393044	Accipitridae__family	1874
21	location_comment	adaptation_comment	0.5152075914979761	Accipitridae__family	1874
22	location_comment	adaptation_topic	0.48387630675666327	Accipitridae__family	1874
23	location_comment	free_topic	0.4262369432078384	Accipitridae__family	1874
24	location_comment	location_comment	0.0	Accipitridae__family	1874
25	location_comment	location_topic	0.48526610424583216	Accipitridae__family	1874
26	location_comment	taxongroup_comment	0.39536951319912894	Accipitridae__family	1874
27	location_comment	taxongroup_topic	0.438916156382258	Accipitridae__family	1874
28	location_topic	adaptation_comment	0.4614446442258745	Accipitridae__family	1874
29	location_topic	adaptation_topic	0.36861869569585487	Accipitridae__family	1874
30	location_topic	free_topic	0.39752681563630377	Accipitridae__family	1874
31	location_topic	location_comment	0.48526610424583216	Accipitridae__family	1874
32	location_topic	location_topic	0.0	Accipitridae__family	1874
33	location_topic	taxongroup_comment	0.3206913139253628	Accipitridae__family	1874
34	location_topic	taxongroup_topic	0.2875712998708595	Accipitridae__family	1874
35	taxongroup_comment	adaptation_comment	0.39924926750798984	Accipitridae__family	1874
36	taxongroup_comment	adaptation_topic	0.37690550309595133	Accipitridae__family	1874
37	taxongroup_comment	free_topic	0.2988692230887375	Accipitridae__family	1874
38	taxongroup_comment	location_comment	0.39536951319912894	Accipitridae__family	1874
39	taxongroup_comment	location_topic	0.3206913139253628	Accipitridae__family	1874
40	taxongroup_comment	taxongroup_comment	0.0	Accipitridae__family	1874
41	taxongroup_comment	taxongroup_topic	0.19330960611576187	Accipitridae__family	1874
42	taxongroup_topic	adaptation_comment	0.41646276939660526	Accipitridae__family	1874
43	taxongroup_topic	adaptation_topic	0.29147535456423734	Accipitridae__family	1874
44	taxongroup_topic	free_topic	0.29652605113393044	Accipitridae__family	1874
45	taxongroup_topic	location_comment	0.438916156382258	Accipitridae__family	1874
46	taxongroup_topic	location_topic	0.2875712998708595	Accipitridae__family	1874
47	taxongroup_topic	taxongroup_comment	0.19330960611576187	Accipitridae__family	1874
48	taxongroup_topic	taxongroup_topic	0.0	Accipitridae__family	1874
