token	relrole	arcpath	lemma	upos	widx	token
Bar-78df_197_predators-16	adaptation_comment	nsubj<parataxis<obl>	Europe	PROPN	2	Bar-78df_197_predators-16
Bar-78df_197_predators-16	adaptation_comment	nsubj<parataxis<mark>	although	SCONJ	4	Bar-78df_197_predators-16
Bar-78df_197_predators-16	adaptation_comment	nsubj<parataxis<advmod>	less	ADV	5	Bar-78df_197_predators-16
Bar-78df_197_predators-16	adaptation_comment	nsubj<parataxis<	dangerous	ADJ	6	Bar-78df_197_predators-16
Bar-78df_197_predators-16	adaptation_comment	nsubj<parataxis<obl>	owl	NOUN	11	Bar-78df_197_predators-16
Bar-78df_197_predators-16	adaptation_comment	det>	the	DET	13	Bar-78df_197_predators-16
Bar-78df_197_predators-16	adaptation_comment	amod>	chief	ADJ	14	Bar-78df_197_predators-16
Bar-78df_197_predators-16	adaptation_comment	amod>	diurnal	ADJ	15	Bar-78df_197_predators-16
Bar-78df_197_predators-16	adaptation_comment	nsubj<cop>	be	AUX	17	Bar-78df_197_predators-16
Bar-78df_197_predators-16	adaptation_comment	nsubj<det>	the	DET	18	Bar-78df_197_predators-16
Bar-78df_197_predators-16	adaptation_comment	nsubj<amod>	northern	ADJ	19	Bar-78df_197_predators-16
Bar-78df_197_predators-16	adaptation_comment	nsubj<	goshawk	NOUN	20	Bar-78df_197_predators-16
Bar-78df_197_predators-16	adaptation_comment	nsubj<appos>compound>	Accipiter	NOUN	22	Bar-78df_197_predators-16
Bar-78df_197_predators-16	adaptation_comment	nsubj<appos>	gentilis	NOUN	23	Bar-78df_197_predators-16
Bar-78df_197_predators-16	adaptation_comment	nsubj<conj>cc>	and	CCONJ	25	Bar-78df_197_predators-16
Bar-78df_197_predators-16	adaptation_comment	nsubj<conj>det>	the	DET	26	Bar-78df_197_predators-16
Bar-78df_197_predators-16	adaptation_comment	nsubj<conj>amod>	common	ADJ	27	Bar-78df_197_predators-16
Bar-78df_197_predators-16	adaptation_comment	nsubj<conj>	buzzard	NOUN	28	Bar-78df_197_predators-16
Bar-78df_197_predators-16	adaptation_comment	nsubj<conj>appos>	Buteo	PROPN	30	Bar-78df_197_predators-16
Gol-cfeb_86_predator-7	adaptation_comment	nmod<obl<mark>	when	ADV	1	Gol-cfeb_86_predator-7
Gol-cfeb_86_predator-7	adaptation_comment	nmod<obl<	face	VERB	2	Gol-cfeb_86_predator-7
Gol-cfeb_86_predator-7	adaptation_comment	nmod<case>	with	ADP	3	Gol-cfeb_86_predator-7
Gol-cfeb_86_predator-7	adaptation_comment	nmod<	danger	NOUN	4	Gol-cfeb_86_predator-7
Gol-cfeb_86_predator-7	adaptation_comment	case>	from	ADP	5	Gol-cfeb_86_predator-7
Gol-cfeb_86_predator-7	adaptation_comment	det>	a	DET	6	Gol-cfeb_86_predator-7
Gol-cfeb_86_predator-7	adaptation_comment	nmod>case>	such	ADJ	8	Gol-cfeb_86_predator-7
Gol-cfeb_86_predator-7	adaptation_comment	nmod>case>fixed>	as	ADP	9	Gol-cfeb_86_predator-7
Gol-cfeb_86_predator-7	adaptation_comment	nmod>det>	the	DET	10	Gol-cfeb_86_predator-7
Gol-cfeb_86_predator-7	adaptation_comment	nmod>amod>	northern	ADJ	11	Gol-cfeb_86_predator-7
Gol-cfeb_86_predator-7	adaptation_comment	nmod>	goshawk	NOUN	12	Gol-cfeb_86_predator-7
Gol-cfeb_86_predator-7	adaptation_comment	nmod>appos>compound>	Accipiter	NOUN	14	Gol-cfeb_86_predator-7
Gol-cfeb_86_predator-7	adaptation_comment	nmod>appos>	gentilis	NOUN	15	Gol-cfeb_86_predator-7
Gol-cfeb_86_predator-7	adaptation_comment	nmod<obl<advcl<	place	VERB	21	Gol-cfeb_86_predator-7
Lon-b0af_523_predators-7	adaptation_comment	nsubj<obl>case>	in	ADP	1	Lon-b0af_523_predators-7
Lon-b0af_523_predators-7	adaptation_comment	nsubj<obl>	Europe	PROPN	2	Lon-b0af_523_predators-7
Lon-b0af_523_predators-7	adaptation_comment	nmod:poss>	they	PRON	4	Lon-b0af_523_predators-7
Lon-b0af_523_predators-7	adaptation_comment	amod>	most	ADJ	5	Lon-b0af_523_predators-7
Lon-b0af_523_predators-7	adaptation_comment	amod>	serious	ADJ	6	Lon-b0af_523_predators-7
Lon-b0af_523_predators-7	adaptation_comment	nsubj<	tend	VERB	8	Lon-b0af_523_predators-7
Lon-b0af_523_predators-7	adaptation_comment	nsubj<xcomp>mark>	to	PART	9	Lon-b0af_523_predators-7
Lon-b0af_523_predators-7	adaptation_comment	nsubj<xcomp>cop>	be	AUX	10	Lon-b0af_523_predators-7
Lon-b0af_523_predators-7	adaptation_comment	nsubj<xcomp>det>	the	DET	11	Lon-b0af_523_predators-7
Lon-b0af_523_predators-7	adaptation_comment	nsubj<xcomp>amod>	Eurasian	ADJ	12	Lon-b0af_523_predators-7
Lon-b0af_523_predators-7	adaptation_comment	nsubj<xcomp>compound>	eagle	NOUN	13	Lon-b0af_523_predators-7
Lon-b0af_523_predators-7	adaptation_comment	nsubj<xcomp>	owl	NOUN	15	Lon-b0af_523_predators-7
Lon-b0af_523_predators-7	adaptation_comment	nsubj<conj>cc>	and	CCONJ	16	Lon-b0af_523_predators-7
Lon-b0af_523_predators-7	adaptation_comment	nsubj<conj>det>	the	DET	17	Lon-b0af_523_predators-7
Lon-b0af_523_predators-7	adaptation_comment	nsubj<conj>amod>	northern	ADJ	18	Lon-b0af_523_predators-7
Lon-b0af_523_predators-7	adaptation_comment	nsubj<conj>	goshawk	NOUN	19	Lon-b0af_523_predators-7
Lon-b0af_523_predators-7	adaptation_comment	nsubj<conj>appos>	gentilis	NOUN	22	Lon-b0af_523_predators-7
Gol-cfeb_121_predators-18	adaptation_comment	obj<advcl>advmod>	even	ADV	1	Gol-cfeb_121_predators-18
Gol-cfeb_121_predators-18	adaptation_comment	obj<advcl>mark>	though	SCONJ	2	Gol-cfeb_121_predators-18
Gol-cfeb_121_predators-18	adaptation_comment	obj<advcl>nsubj>	they	PRON	3	Gol-cfeb_121_predators-18
Gol-cfeb_121_predators-18	adaptation_comment	obj<advcl>advmod>	primarily	ADV	4	Gol-cfeb_121_predators-18
Gol-cfeb_121_predators-18	adaptation_comment	obj<advcl>	forage	VERB	5	Gol-cfeb_121_predators-18
Gol-cfeb_121_predators-18	adaptation_comment	obj<advcl>obl>	tree	NOUN	8	Gol-cfeb_121_predators-18
Gol-cfeb_121_predators-18	adaptation_comment	obj<advcl>conj>	ground	NOUN	13	Gol-cfeb_121_predators-18
Gol-cfeb_121_predators-18	adaptation_comment	obj<nsubj>	they	PRON	15	Gol-cfeb_121_predators-18
Gol-cfeb_121_predators-18	adaptation_comment	obj<	have	VERB	16	Gol-cfeb_121_predators-18
Gol-cfeb_121_predators-18	adaptation_comment	amod>	several	ADJ	17	Gol-cfeb_121_predators-18
Gol-cfeb_121_predators-18	adaptation_comment	obj<nmod>case>	include	VERB	20	Gol-cfeb_121_predators-18
Gol-cfeb_121_predators-18	adaptation_comment	obj<nmod>det>	both	DET	21	Gol-cfeb_121_predators-18
Gol-cfeb_121_predators-18	adaptation_comment	obj<nmod>	mammal	NOUN	22	Gol-cfeb_121_predators-18
Gol-cfeb_121_predators-18	adaptation_comment	obj<nmod>case>	such	ADJ	24	Gol-cfeb_121_predators-18
Gol-cfeb_121_predators-18	adaptation_comment	obj<nmod>	dhole	NOUN	26	Gol-cfeb_121_predators-18
Gol-cfeb_121_predators-18	adaptation_comment	obj<nmod>appos>	alpinus	NOUN	29	Gol-cfeb_121_predators-18
Gol-cfeb_121_predators-18	adaptation_comment	obj<nmod>conj>	wolf	NOUN	32	Gol-cfeb_121_predators-18
Gol-cfeb_121_predators-18	adaptation_comment	obj<nmod>conj>	Canis	PROPN	34	Gol-cfeb_121_predators-18
Gol-cfeb_121_predators-18	adaptation_comment	obj<nmod>conj>	cat	NOUN	40	Gol-cfeb_121_predators-18
Gol-cfeb_121_predators-18	adaptation_comment	obj<nmod>conj>	temmincki	NOUN	43	Gol-cfeb_121_predators-18
Gol-cfeb_121_predators-18	adaptation_comment	obj<nmod>conj>	leopard	NOUN	47	Gol-cfeb_121_predators-18
Gol-cfeb_121_predators-18	adaptation_comment	obj<nmod>conj>	bird	NOUN	54	Gol-cfeb_121_predators-18
Gol-cfeb_121_predators-18	adaptation_comment	obj<nmod>case>	like	ADP	56	Gol-cfeb_121_predators-18
Gol-cfeb_121_predators-18	adaptation_comment	obj<nmod>amod>	golden	ADJ	57	Gol-cfeb_121_predators-18
Gol-cfeb_121_predators-18	adaptation_comment	obj<nmod>	eagle	NOUN	58	Gol-cfeb_121_predators-18
Gol-cfeb_121_predators-18	adaptation_comment	obj<nmod>appos>	chrysaeto	NOUN	61	Gol-cfeb_121_predators-18
Gol-cfeb_121_predators-18	adaptation_comment	obj<nmod>conj>	goshawk	NOUN	65	Gol-cfeb_121_predators-18
Wil-3cbf_108_Predators-1	adaptation_comment	nmod>case>	of	ADP	2	Wil-3cbf_108_Predators-1
Wil-3cbf_108_Predators-1	adaptation_comment	nmod>det>	both	DET	3	Wil-3cbf_108_Predators-1
Wil-3cbf_108_Predators-1	adaptation_comment	nmod>	adult	NOUN	4	Wil-3cbf_108_Predators-1
Wil-3cbf_108_Predators-1	adaptation_comment	nmod>conj>cc>	and	CCONJ	5	Wil-3cbf_108_Predators-1
Wil-3cbf_108_Predators-1	adaptation_comment	nmod>conj>	poult	NOUN	6	Wil-3cbf_108_Predators-1
Wil-3cbf_108_Predators-1	adaptation_comment	nsubj<	include	VERB	7	Wil-3cbf_108_Predators-1
Wil-3cbf_108_Predators-1	adaptation_comment	nsubj<obj>	coyote	NOUN	8	Wil-3cbf_108_Predators-1
Wil-3cbf_108_Predators-1	adaptation_comment	nsubj<obj>appos>	latran	NOUN	11	Wil-3cbf_108_Predators-1
Wil-3cbf_108_Predators-1	adaptation_comment	nsubj<obj>conj>	wolf	NOUN	15	Wil-3cbf_108_Predators-1
Wil-3cbf_108_Predators-1	adaptation_comment	nsubj<obj>conj>	bobcat	NOUN	21	Wil-3cbf_108_Predators-1
Wil-3cbf_108_Predators-1	adaptation_comment	nsubj<obj>appos>	rufus	NOUN	24	Wil-3cbf_108_Predators-1
Wil-3cbf_108_Predators-1	adaptation_comment	nsubj<obj>conj>	cougar	NOUN	27	Wil-3cbf_108_Predators-1
Wil-3cbf_108_Predators-1	adaptation_comment	nsubj<obj>conj>	concolor	NOUN	30	Wil-3cbf_108_Predators-1
Wil-3cbf_108_Predators-1	adaptation_comment	nsubj<obj>conj>	lynx	NOUN	34	Wil-3cbf_108_Predators-1
Wil-3cbf_108_Predators-1	adaptation_comment	nsubj<obj>conj>	eagle	NOUN	41	Wil-3cbf_108_Predators-1
Wil-3cbf_108_Predators-1	adaptation_comment	nsubj<obj>conj>	chrysaeto	NOUN	44	Wil-3cbf_108_Predators-1
Wil-3cbf_108_Predators-1	adaptation_comment	nsubj<obj>conj>	bear	NOUN	51	Wil-3cbf_108_Predators-1
Wil-3cbf_108_Predators-1	adaptation_comment	nsubj<obj>acl:relcl>	eat	VERB	60	Wil-3cbf_108_Predators-1
Bar-78df_196_predators-6	adaptation_comment	nsubj<obl>case>	in	ADP	1	Bar-78df_196_predators-6
Bar-78df_196_predators-6	adaptation_comment	nsubj<obl>	Africa	PROPN	2	Bar-78df_196_predators-6
Bar-78df_196_predators-6	adaptation_comment	det>	the	DET	4	Bar-78df_196_predators-6
Bar-78df_196_predators-6	adaptation_comment	amod>	principal	ADJ	5	Bar-78df_196_predators-6
Bar-78df_196_predators-6	adaptation_comment	nmod>case>	of	ADP	7	Bar-78df_196_predators-6
