feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
conj< ...,0.888,0.003,0.77,0.025,5,Actinopterygii__class,location_comment
conj> ...,0.883,0.004,0.845,0.008,9,Actinopterygii__class,location_comment
conj<case> ...,0.878,0.004,0.764,0.027,5,Actinopterygii__class,location_comment
conj<nmod< ...,0.844,0.008,0.577,0.134,3,Actinopterygii__class,location_comment
acl:relcl>advmod> ...,0.838,0.009,0.764,0.027,3,Actinopterygii__class,location_comment
obl<nsubj> it,0.821,0.013,0.756,0.03,2,Actinopterygii__class,location_comment
det> a,0.768,0.026,0.577,0.134,2,Actinopterygii__class,location_comment
case> ...,0.764,0.027,0.825,0.012,5,Actinopterygii__class,location_comment
nmod>conj> ...,0.751,0.032,0.66,0.075,5,Actinopterygii__class,location_comment
nmod>case> ...,0.724,0.042,0.577,0.134,4,Actinopterygii__class,location_comment
nmod<amod> ...,0.716,0.046,0.655,0.078,9,Actinopterygii__class,location_comment
compound<det> ...,0.71,0.049,0.577,0.134,3,Actinopterygii__class,location_comment
obl<conj>cc> ...,0.697,0.055,0.577,0.134,1,Actinopterygii__class,location_comment
obl<nsubj> ...,0.683,0.062,0.733,0.039,4,Actinopterygii__class,location_comment
obj<conj<nsubj> ...,0.66,0.075,0.577,0.134,3,Actinopterygii__class,location_comment
acl:relcl>advmod> seasonally,0.658,0.076,0.577,0.134,2,Actinopterygii__class,location_comment
obl<aux:pass> be,0.656,0.077,0.456,0.256,5,Actinopterygii__class,location_comment
obj<conj< ...,0.656,0.077,0.866,0.005,5,Actinopterygii__class,location_comment
nmod< ...,0.641,0.087,0.677,0.065,17,Actinopterygii__class,location_comment
nmod>case> such,0.632,0.093,0.577,0.134,2,Actinopterygii__class,location_comment
nmod>case> in,0.621,0.1,0.507,0.2,3,Actinopterygii__class,location_comment
obj<nsubj> species,0.618,0.103,0.577,0.134,2,Actinopterygii__class,location_comment
compound> ...,-0.616,0.104,-0.694,0.056,8,Actinopterygii__class,location_comment
obl<conj> ...,0.611,0.108,0.632,0.093,5,Actinopterygii__class,location_comment
nmod>conj>cc> ...,0.605,0.112,0.577,0.134,1,Actinopterygii__class,location_comment
obl< live,-0.602,0.114,-0.733,0.039,3,Actinopterygii__class,location_comment
obl<conj>cc> and,0.585,0.128,0.289,0.488,4,Actinopterygii__class,location_comment
amod> ...,0.559,0.149,0.466,0.244,17,Actinopterygii__class,location_comment
case> in,0.556,0.153,0.545,0.162,16,Actinopterygii__class,location_comment
nmod>case> of,0.545,0.162,0.378,0.356,2,Actinopterygii__class,location_comment
case> of,0.537,0.17,0.327,0.429,9,Actinopterygii__class,location_comment
obj< mangrove,0.536,0.171,0.378,0.356,2,Actinopterygii__class,location_comment
nmod>compound> ...,0.534,0.173,0.577,0.134,4,Actinopterygii__class,location_comment
amod> Brackish,-0.514,0.192,-0.577,0.134,2,Actinopterygii__class,location_comment
obl<advcl> ...,0.502,0.204,0.507,0.2,3,Actinopterygii__class,location_comment
nmod<det> ...,0.502,0.205,0.577,0.134,1,Actinopterygii__class,location_comment
obj<nsubj> ...,0.475,0.234,0.577,0.134,1,Actinopterygii__class,location_comment
nmod<compound> ...,0.474,0.235,0.483,0.225,5,Actinopterygii__class,location_comment
advmod> ...,0.474,0.236,0.507,0.2,3,Actinopterygii__class,location_comment
det> the,0.474,0.236,0.737,0.037,18,Actinopterygii__class,location_comment
acl:relcl>nsubj> which,0.472,0.238,0.577,0.134,2,Actinopterygii__class,location_comment
nmod> ...,0.463,0.248,0.396,0.332,10,Actinopterygii__class,location_comment
nmod<conj> ...,0.432,0.285,0.405,0.319,3,Actinopterygii__class,location_comment
conj> stream,0.42,0.301,0.334,0.418,6,Actinopterygii__class,location_comment
acl:relcl>nsubj> ...,0.415,0.307,0.412,0.31,1,Actinopterygii__class,location_comment
obj< ...,0.412,0.311,0.355,0.389,6,Actinopterygii__class,location_comment
obl<advmod> ...,0.412,0.311,0.504,0.203,2,Actinopterygii__class,location_comment
obl<nsubj:pass>amod> ...,0.411,0.312,0.394,0.334,3,Actinopterygii__class,location_comment
nmod<det> the,0.408,0.316,0.109,0.797,7,Actinopterygii__class,location_comment
nmod<obl<advmod> ...,0.399,0.327,0.412,0.31,3,Actinopterygii__class,location_comment
obl< find,0.371,0.366,0.289,0.488,4,Actinopterygii__class,location_comment
conj<det> ...,0.354,0.39,0.577,0.134,1,Actinopterygii__class,location_comment
obl<advmod> typically,0.352,0.393,0.378,0.356,2,Actinopterygii__class,location_comment
nmod>conj>cc> and,0.349,0.397,0.282,0.499,3,Actinopterygii__class,location_comment
amod> freshwater,0.345,0.403,0.412,0.31,2,Actinopterygii__class,location_comment
nmod<obl< ...,0.333,0.421,0.412,0.31,6,Actinopterygii__class,location_comment
amod> deep,-0.323,0.435,-0.218,0.604,4,Actinopterygii__class,location_comment
nmod<case> of,0.317,0.445,0.412,0.31,2,Actinopterygii__class,location_comment
case> to,0.316,0.446,0.218,0.604,3,Actinopterygii__class,location_comment
nmod<case> ...,0.31,0.454,0.412,0.31,5,Actinopterygii__class,location_comment
nmod<conj>amod> ...,0.293,0.481,0.203,0.63,3,Actinopterygii__class,location_comment
amod> brackish,0.289,0.487,0.13,0.758,5,Actinopterygii__class,location_comment
case> on,-0.272,0.515,-0.252,0.547,2,Actinopterygii__class,location_comment
cc> ...,0.269,0.52,0.252,0.547,2,Actinopterygii__class,location_comment
nsubj<obj> ...,-0.255,0.542,-0.394,0.334,3,Actinopterygii__class,location_comment
acl:relcl> ...,0.244,0.56,0.247,0.555,1,Actinopterygii__class,location_comment
amod>advmod> ...,0.235,0.575,0.312,0.452,3,Actinopterygii__class,location_comment
nmod>det> the,0.234,0.577,0.378,0.356,4,Actinopterygii__class,location_comment
obj<advcl<conj> ...,0.233,0.579,0.247,0.555,3,Actinopterygii__class,location_comment
nmod<case> in,0.223,0.595,0.412,0.31,2,Actinopterygii__class,location_comment
nsubj< ...,-0.196,0.642,-0.218,0.604,6,Actinopterygii__class,location_comment
compound< ...,0.19,0.652,0.027,0.949,8,Actinopterygii__class,location_comment
compound> mangrove,-0.181,0.667,-0.126,0.766,2,Actinopterygii__class,location_comment
conj< estuary,0.176,0.677,0.0,1.0,2,Actinopterygii__class,location_comment
compound> coral,0.157,0.711,0.126,0.766,2,Actinopterygii__class,location_comment
obl<nsubj:pass> ...,0.146,0.73,0.109,0.797,4,Actinopterygii__class,location_comment
nsubj<aux> ...,-0.136,0.747,-0.082,0.846,1,Actinopterygii__class,location_comment
obl<advcl>obl> ...,-0.132,0.756,-0.187,0.657,3,Actinopterygii__class,location_comment
conj>cc> and,0.128,0.763,0.135,0.75,11,Actinopterygii__class,location_comment
cc> and,-0.119,0.78,-0.252,0.547,2,Actinopterygii__class,location_comment
nmod<obl<mark> to,-0.117,0.783,-0.247,0.555,2,Actinopterygii__class,location_comment
nsubj:pass<mark> ...,0.115,0.787,0.082,0.846,3,Actinopterygii__class,location_comment
nsubj:pass<aux:pass> be,-0.114,0.787,-0.247,0.555,4,Actinopterygii__class,location_comment
nsubj<aux> can,-0.096,0.821,-0.126,0.766,2,Actinopterygii__class,location_comment
amod> open,-0.093,0.827,-0.204,0.627,10,Actinopterygii__class,location_comment
conj<det> the,0.087,0.837,-0.247,0.555,2,Actinopterygii__class,location_comment
det> ...,0.067,0.875,0.247,0.555,1,Actinopterygii__class,location_comment
acl:relcl> flood,0.054,0.9,-0.082,0.846,2,Actinopterygii__class,location_comment
obl<conj>obj> ...,0.052,0.903,-0.169,0.689,3,Actinopterygii__class,location_comment
nmod<nmod< ...,0.029,0.945,-0.247,0.555,3,Actinopterygii__class,location_comment
nsubj:pass< ...,0.024,0.955,-0.247,0.555,4,Actinopterygii__class,location_comment
obl< ...,0.017,0.967,-0.191,0.651,9,Actinopterygii__class,location_comment
nmod<obl<mark> ...,-0.013,0.975,-0.082,0.846,1,Actinopterygii__class,location_comment
