feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
conj<appos> eremius,0.939,0.001,0.577,0.134,2,Actinopterygii__class,location_topic
conj< cichlid,0.919,0.001,0.577,0.134,2,Actinopterygii__class,location_topic
conj<conj> ...,0.911,0.002,0.546,0.162,7,Actinopterygii__class,location_topic
conj<conj> fish,0.894,0.003,0.577,0.134,6,Actinopterygii__class,location_topic
appos<conj>cc> and,0.889,0.003,0.577,0.134,3,Actinopterygii__class,location_topic
appos<nsubj<cop> be,-0.885,0.004,-0.764,0.027,3,Actinopterygii__class,location_topic
conj<conj>appos> ...,0.867,0.005,0.577,0.134,1,Actinopterygii__class,location_topic
appos<case> in,0.858,0.006,0.577,0.134,2,Actinopterygii__class,location_topic
appos<conj>cc> ...,0.858,0.006,0.577,0.134,1,Actinopterygii__class,location_topic
appos>compound> ...,0.857,0.007,0.845,0.008,3,Actinopterygii__class,location_topic
conj<conj> goby,0.852,0.007,0.756,0.03,4,Actinopterygii__class,location_topic
nsubj< family,0.85,0.008,0.577,0.134,2,Actinopterygii__class,location_topic
nsubj<nmod>case> of,0.843,0.009,0.733,0.039,5,Actinopterygii__class,location_topic
conj<appos> piranha,0.837,0.01,0.577,0.134,2,Actinopterygii__class,location_topic
det> the,0.828,0.011,0.735,0.038,39,Actinopterygii__class,location_topic
nsubj<nmod>case> in,0.814,0.014,0.733,0.039,3,Actinopterygii__class,location_topic
obj< include,0.813,0.014,0.732,0.039,3,Actinopterygii__class,location_topic
conj<nmod<advmod> ...,-0.812,0.014,-0.577,0.134,1,Actinopterygii__class,location_topic
nsubj< have,0.808,0.015,0.764,0.027,3,Actinopterygii__class,location_topic
appos<case> ...,0.8,0.017,0.577,0.134,2,Actinopterygii__class,location_topic
nmod>case> in,0.791,0.019,0.655,0.078,6,Actinopterygii__class,location_topic
nsubj<advcl>obj> ...,0.79,0.02,0.764,0.027,3,Actinopterygii__class,location_topic
conj<conj> perch,0.778,0.023,0.577,0.134,2,Actinopterygii__class,location_topic
conj<conj>appos> forage,0.775,0.024,0.577,0.134,2,Actinopterygii__class,location_topic
nsubj<nmod> ...,0.766,0.027,0.764,0.027,8,Actinopterygii__class,location_topic
conj> ...,0.76,0.029,0.27,0.518,16,Actinopterygii__class,location_topic
nmod< Commons,0.76,0.029,0.577,0.134,2,Actinopterygii__class,location_topic
obl<aux:pass> be,0.758,0.029,0.546,0.162,5,Actinopterygii__class,location_topic
nsubj<nmod>amod> ...,0.758,0.029,0.764,0.027,3,Actinopterygii__class,location_topic
case> with,0.756,0.03,0.732,0.039,3,Actinopterygii__class,location_topic
appos<conj> ...,0.752,0.031,0.577,0.134,5,Actinopterygii__class,location_topic
nmod<amod> related,0.749,0.032,0.577,0.134,4,Actinopterygii__class,location_topic
case> to,0.743,0.035,0.764,0.027,4,Actinopterygii__class,location_topic
nmod<case> ...,0.742,0.035,0.577,0.134,3,Actinopterygii__class,location_topic
nsubj<advmod> also,0.739,0.036,0.63,0.094,2,Actinopterygii__class,location_topic
conj>amod> ...,0.738,0.037,0.617,0.103,6,Actinopterygii__class,location_topic
conj<nmod< feed,0.737,0.037,0.577,0.134,2,Actinopterygii__class,location_topic
cop> be,-0.728,0.041,-0.733,0.039,3,Actinopterygii__class,location_topic
nmod<det> the,0.721,0.044,0.436,0.28,8,Actinopterygii__class,location_topic
case> such,0.719,0.045,0.733,0.039,3,Actinopterygii__class,location_topic
conj>cc> and,0.707,0.05,0.685,0.061,13,Actinopterygii__class,location_topic
nmod<amod> ...,0.702,0.052,0.327,0.429,4,Actinopterygii__class,location_topic
amod> finn,-0.699,0.054,-0.548,0.16,8,Actinopterygii__class,location_topic
nmod<obl< ...,0.686,0.06,0.577,0.134,3,Actinopterygii__class,location_topic
nmod<case> within,0.686,0.06,0.577,0.134,2,Actinopterygii__class,location_topic
amod> common,-0.678,0.065,-0.601,0.115,8,Actinopterygii__class,location_topic
acl>obl>case> in,-0.663,0.073,-0.732,0.039,3,Actinopterygii__class,location_topic
case> by,0.658,0.076,0.63,0.094,2,Actinopterygii__class,location_topic
compound<conj<conj> ...,0.657,0.076,0.577,0.134,3,Actinopterygii__class,location_topic
case>fixed> as,0.657,0.077,0.733,0.039,3,Actinopterygii__class,location_topic
case> of,0.656,0.077,0.655,0.078,9,Actinopterygii__class,location_topic
nsubj<cop> be,0.648,0.083,0.791,0.019,13,Actinopterygii__class,location_topic
nmod<nsubj<obl> ...,-0.64,0.087,-0.733,0.039,4,Actinopterygii__class,location_topic
appos<amod> ...,-0.639,0.088,-0.655,0.078,3,Actinopterygii__class,location_topic
conj<appos> melanostomus,0.637,0.089,0.577,0.134,2,Actinopterygii__class,location_topic
appos< seadragon,0.632,0.093,0.577,0.134,2,Actinopterygii__class,location_topic
conj<nsubj:pass<obl> ...,0.611,0.107,0.733,0.039,3,Actinopterygii__class,location_topic
det> some,0.602,0.114,0.577,0.134,4,Actinopterygii__class,location_topic
compound< salar,-0.6,0.116,-0.756,0.03,2,Actinopterygii__class,location_topic
det> ...,0.6,0.116,0.577,0.134,1,Actinopterygii__class,location_topic
nsubj< ...,0.599,0.117,0.846,0.008,19,Actinopterygii__class,location_topic
