,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
5,Fro-21e4_23_Antennariidae-15,Antennariidae,Frogfish#family,case>,within,ADP,13,case> ...,0.21969548118184234,-0.27660740199502165,Actinopterygii__class,location_topic,0,19
2,Cro-9102_313_gigas-33,gigas,Arapaima#species,appos<det>,the,DET,20,appos<det> the,-0.3632908779460583,0.1827571317800325,Actinopterygii__class,location_topic,0,19
9,Sal-702e_25_salmon-11,salmon,Salmo#genus,conj>,trout,NOUN,14,conj> trout,0.4161464137252071,0.32484842628586863,Actinopterygii__class,location_topic,0,19
7,Sal-702e_52_salmon-17,salmon,Salmo#genus,conj>,trout,NOUN,19,conj> trout,0.4161464137252071,0.32484842628586863,Actinopterygii__class,location_topic,0,19
5,Com-264e_39_seadragon-63,seadragon,Phyllopteryx#species,case>,'s,PART,64,case> ...,0.22817061679090042,-0.1384418413990866,Actinopterygii__class,location_topic,0,19
8,Com-264e_48_eques-29,eques,Leafy_sea_dragon#species,appos<det>,the,DET,24,appos<det> the,-0.3632908779460583,0.1827571317800325,Actinopterygii__class,location_topic,0,19
0,Com-264e_2_taeniolatus-9,taeniolatus,Phyllopteryx#species,appos<det>,the,DET,1,appos<det> the,-0.3632908779460583,0.1827571317800325,Actinopterygii__class,location_topic,0,19
2,Sar-0f18_12_fishes-7,fishes,Sarcopterygii#class,case>,of,ADP,3,case> of,0.27823853709599233,-0.2797979034415794,Actinopterygii__class,location_topic,0,19
4,Sal-702e_4_Salmo-17,Salmo,Salmo#genus,case>,of,ADP,14,case> of,0.27823853709599233,-0.2797979034415794,Actinopterygii__class,location_topic,0,19
0,Atl-f357_2_salar-6,salar,Atlantic_salmon#species,appos<det>,the,DET,1,appos<det> the,-0.3632908779460583,0.1827571317800325,Actinopterygii__class,location_topic,0,19
4,Sald767_12_family-9,family,Salmonidae#family,case>,of,ADP,5,case> of,0.27823853709599233,-0.2797979034415794,Actinopterygii__class,location_topic,0,19
8,Bro-dfd8_4_trout-43,trout,Brown_trout#species,case>,with,ADP,40,case> with,0.2156281881585762,-0.15818212407224175,Actinopterygii__class,location_topic,0,19
3,Spa-e46a_83_anglerfishes-8,anglerfishes,Anglerfish#order,case>,in,ADP,4,case> in,0.27805385542824607,-0.31230680077541123,Actinopterygii__class,location_topic,0,19
7,Bil-e183_47_billfish-12,billfish,Atlantic_sailfish#species,case>,by,ADP,10,case> by,0.3167516296024544,-0.21740698295438735,Actinopterygii__class,location_topic,0,19
4,Gia-ae2f_20_characins-14,characins,Characidae#family,appos<det>,a,DET,8,appos<det> ...,-0.3437145269354402,0.13917034922660876,Actinopterygii__class,location_topic,0,19
10,Gia-ae2f_20_characins-14,characins,Characidae#family,conj>,catfish,NOUN,16,conj> ...,0.37158297265920126,0.37833353728395985,Actinopterygii__class,location_topic,0,19
7,Gia-ae2f_156_characins-25,characins,Characidae#family,case>,as,ADP,24,case> as,0.2605894469653257,-0.21404099304723545,Actinopterygii__class,location_topic,0,19
6,Fro-21e4_26_frogfishes-23,frogfishes,Frogfish#family,case>,from,ADP,20,case> from,0.264247138328669,-0.33836980842738906,Actinopterygii__class,location_topic,0,19
12,Gob-6481_106_goby-28,goby,Goby#family,case>,into,ADP,25,case> ...,0.2748194664842303,-0.31110865854972514,Actinopterygii__class,location_topic,0,19
