,feat,cluster,pw_entr,feat_n,N,group,relrole
6,amod> Paternal,0,0.013,1,85,Actinopterygii__class,adaptation_comment
7,amod> aggressive,0,0.033,2,85,Actinopterygii__class,adaptation_comment
13,appos< ...,0,0.033,2,85,Actinopterygii__class,adaptation_comment
15,appos> principles,0,0.043,2,85,Actinopterygii__class,adaptation_comment
19,case> as,0,0.054,3,85,Actinopterygii__class,adaptation_comment
20,case> at,0,0.013,1,85,Actinopterygii__class,adaptation_comment
23,case> during,0,0.046,3,85,Actinopterygii__class,adaptation_comment
24,case> for,0,0.013,1,85,Actinopterygii__class,adaptation_comment
25,case> from,0,0.008,1,85,Actinopterygii__class,adaptation_comment
26,case> in,0,0.013,1,85,Actinopterygii__class,adaptation_comment
27,case> of,0,0.017,2,85,Actinopterygii__class,adaptation_comment
28,cc> and,0,0.075,4,85,Actinopterygii__class,adaptation_comment
29,compound< ...,0,0.007,2,85,Actinopterygii__class,adaptation_comment
30,compound<amod> ...,0,-0.002,1,85,Actinopterygii__class,adaptation_comment
31,compound<case> ...,0,0.008,1,85,Actinopterygii__class,adaptation_comment
32,compound<case> to,0,0.013,1,85,Actinopterygii__class,adaptation_comment
39,compound> Ambush,0,0.033,2,85,Actinopterygii__class,adaptation_comment
41,compound> motion,0,0.008,1,85,Actinopterygii__class,adaptation_comment
42,conj< ...,0,0.053,4,85,Actinopterygii__class,adaptation_comment
50,conj<nsubj> ...,0,0.008,1,85,Actinopterygii__class,adaptation_comment
52,conj> camouflage,0,0.013,1,85,Actinopterygii__class,adaptation_comment
53,conj>cc> and,0,0.013,1,85,Actinopterygii__class,adaptation_comment
55,cop> be,0,-0.005,1,85,Actinopterygii__class,adaptation_comment
60,nmod:poss> they,0,0.008,1,85,Actinopterygii__class,adaptation_comment
61,nmod< ...,0,0.005,2,85,Actinopterygii__class,adaptation_comment
63,nmod<amod> ...,0,-0.005,1,85,Actinopterygii__class,adaptation_comment
79,nsubj:pass< ...,0,0.026,2,85,Actinopterygii__class,adaptation_comment
80,nsubj:pass<aux:pass> be,0,0.026,2,85,Actinopterygii__class,adaptation_comment
81,nsubj:pass<obl> ...,0,0.033,2,85,Actinopterygii__class,adaptation_comment
82,nsubj:pass<obl>case> ...,0,0.033,2,85,Actinopterygii__class,adaptation_comment
101,nsubj> salmon,0,0.013,1,85,Actinopterygii__class,adaptation_comment
102,obj< ...,0,0.007,2,85,Actinopterygii__class,adaptation_comment
116,obl< ...,0,0.054,6,85,Actinopterygii__class,adaptation_comment
117,obl< serve,0,0.043,2,85,Actinopterygii__class,adaptation_comment
118,obl< use,0,0.013,1,85,Actinopterygii__class,adaptation_comment
119,obl<acl< ...,0,0.054,3,85,Actinopterygii__class,adaptation_comment
120,obl<advcl< ...,0,0.008,1,85,Actinopterygii__class,adaptation_comment
121,obl<advmod> ...,0,0.021,2,85,Actinopterygii__class,adaptation_comment
122,obl<aux:pass> be,0,0.034,3,85,Actinopterygii__class,adaptation_comment
123,obl<conj> ...,0,0.008,1,85,Actinopterygii__class,adaptation_comment
124,obl<conj>cc> and,0,0.008,1,85,Actinopterygii__class,adaptation_comment
125,obl<mark> ...,0,0.005,1,85,Actinopterygii__class,adaptation_comment
126,obl<mark> to,0,0.013,1,85,Actinopterygii__class,adaptation_comment
127,obl<nsubj:pass> ...,0,0.039,3,85,Actinopterygii__class,adaptation_comment
128,obl<nsubj> ...,0,0.005,1,85,Actinopterygii__class,adaptation_comment
129,obl<nsubj> they,0,0.013,1,85,Actinopterygii__class,adaptation_comment
131,obl<obl> ...,0,0.017,2,85,Actinopterygii__class,adaptation_comment
133,obl<obl>case> in,0,0.033,2,85,Actinopterygii__class,adaptation_comment
134,acl:relcl> ...,1,0.071,3,66,Actinopterygii__class,adaptation_comment
135,acl:relcl>nsubj> ...,1,0.031,1,66,Actinopterygii__class,adaptation_comment
136,acl:relcl>nsubj> which,1,0.063,2,66,Actinopterygii__class,adaptation_comment
139,amod> ...,1,0.088,7,66,Actinopterygii__class,adaptation_comment
143,amod> paternal,1,0.05,2,66,Actinopterygii__class,adaptation_comment
144,amod> potential,1,0.021,1,66,Actinopterygii__class,adaptation_comment
146,amod>advmod> often,1,0.063,2,66,Actinopterygii__class,adaptation_comment
163,compound< ...,1,0.017,2,66,Actinopterygii__class,adaptation_comment
164,compound<amod> ...,1,0.025,2,66,Actinopterygii__class,adaptation_comment
166,compound<case> to,1,0.021,1,66,Actinopterygii__class,adaptation_comment
168,compound<det> a,1,0.05,2,66,Actinopterygii__class,adaptation_comment
172,compound> ...,1,0.035,2,66,Actinopterygii__class,adaptation_comment
189,cop> be,1,0.044,3,66,Actinopterygii__class,adaptation_comment
203,nmod> ...,1,0.014,2,66,Actinopterygii__class,adaptation_comment
206,nmod>case> of,1,0.021,1,66,Actinopterygii__class,adaptation_comment
207,nmod>case> such,1,0.015,1,66,Actinopterygii__class,adaptation_comment
208,nmod>case>fixed> as,1,0.015,1,66,Actinopterygii__class,adaptation_comment
209,nmod>conj> ...,1,0.015,1,66,Actinopterygii__class,adaptation_comment
210,nmod>conj>cc> and,1,0.015,1,66,Actinopterygii__class,adaptation_comment
212,nmod>det> the,1,0.015,1,66,Actinopterygii__class,adaptation_comment
217,nsubj< ...,1,-0.005,1,66,Actinopterygii__class,adaptation_comment
222,nsubj<conj> ...,1,0.01,1,66,Actinopterygii__class,adaptation_comment
224,nsubj<conj>cc> and,1,0.015,1,66,Actinopterygii__class,adaptation_comment
225,nsubj<cop> be,1,0.004,1,66,Actinopterygii__class,adaptation_comment
234,nsubj> ...,1,0.071,3,66,Actinopterygii__class,adaptation_comment
235,nsubj> salmon,1,0.021,1,66,Actinopterygii__class,adaptation_comment
236,obj< ...,1,0.076,4,66,Actinopterygii__class,adaptation_comment
238,obj< use,1,0.021,1,66,Actinopterygii__class,adaptation_comment
239,obj<acl< ...,1,0.094,3,66,Actinopterygii__class,adaptation_comment
240,obj<acl<case> ...,1,0.094,3,66,Actinopterygii__class,adaptation_comment
241,obj<acl<det> ...,1,0.031,1,66,Actinopterygii__class,adaptation_comment
242,obj<acl<det> the,1,0.063,2,66,Actinopterygii__class,adaptation_comment
243,obj<advmod> ...,1,0.01,1,66,Actinopterygii__class,adaptation_comment
246,obj<conj> ...,1,0.015,1,66,Actinopterygii__class,adaptation_comment
247,obj<mark> of,1,0.063,2,66,Actinopterygii__class,adaptation_comment
248,obj<mark> to,1,0.015,1,66,Actinopterygii__class,adaptation_comment
249,obj<nsubj> ...,1,0.015,1,66,Actinopterygii__class,adaptation_comment
268,acl:relcl> ...,2,0.063,2,47,Actinopterygii__class,adaptation_comment
271,acl:relcl>nsubj> who,2,0.102,2,47,Actinopterygii__class,adaptation_comment
272,advmod> ...,2,0.022,1,47,Actinopterygii__class,adaptation_comment
273,amod> ...,2,-0.003,2,47,Actinopterygii__class,adaptation_comment
276,amod> ambush,2,0.028,1,47,Actinopterygii__class,adaptation_comment
278,amod> potential,2,0.036,1,47,Actinopterygii__class,adaptation_comment
286,case> ...,2,0.013,1,47,Actinopterygii__class,adaptation_comment
297,compound< ...,2,0.193,5,47,Actinopterygii__class,adaptation_comment
298,compound<amod> ...,2,0.157,4,47,Actinopterygii__class,adaptation_comment
299,compound<case> ...,2,0.085,2,47,Actinopterygii__class,adaptation_comment
301,compound<det> ...,2,0.051,1,47,Actinopterygii__class,adaptation_comment
302,compound<det> a,2,0.028,1,47,Actinopterygii__class,adaptation_comment
303,compound<nmod> ...,2,0.153,3,47,Actinopterygii__class,adaptation_comment
304,compound<nmod>case> ...,2,0.051,1,47,Actinopterygii__class,adaptation_comment
305,compound<nmod>case> in,2,0.102,2,47,Actinopterygii__class,adaptation_comment
306,compound> ...,2,0.063,2,47,Actinopterygii__class,adaptation_comment
307,compound> Ambush,2,0.028,1,47,Actinopterygii__class,adaptation_comment
