,feat,cluster,pw_entr,feat_n,N,group,relrole
5,amod> ...,0,0.018,4,113,Actinopterygii__class,adaptation_topic
6,amod> belly,0,0.006,1,113,Actinopterygii__class,adaptation_topic
9,amod> many,0,0.029,2,113,Actinopterygii__class,adaptation_topic
23,appos> ...,0,-0.002,1,113,Actinopterygii__class,adaptation_topic
28,case> 's,0,0.012,1,113,Actinopterygii__class,adaptation_topic
33,case> of,0,-0.009,1,113,Actinopterygii__class,adaptation_topic
51,compound> Atlantic,0,-0.005,1,113,Actinopterygii__class,adaptation_topic
54,compound> sea,0,0.011,2,113,Actinopterygii__class,adaptation_topic
55,compound> sockeye,0,0.025,3,113,Actinopterygii__class,adaptation_topic
66,conj> ...,0,0.008,1,113,Actinopterygii__class,adaptation_topic
68,conj>cc> and,0,0.008,1,113,Actinopterygii__class,adaptation_topic
69,det> ...,0,0.029,2,113,Actinopterygii__class,adaptation_topic
70,det> a,0,0.008,1,113,Actinopterygii__class,adaptation_topic
71,det> the,0,0.02,7,113,Actinopterygii__class,adaptation_topic
101,nsubj:pass< ...,0,0.057,4,113,Actinopterygii__class,adaptation_topic
102,nsubj:pass<aux:pass> be,0,0.057,4,113,Actinopterygii__class,adaptation_topic
103,nsubj:pass<obl> ...,0,0.057,4,113,Actinopterygii__class,adaptation_topic
104,nsubj:pass<obl>case> ...,0,0.054,3,113,Actinopterygii__class,adaptation_topic
105,nsubj:pass<obl>case> in,0,0.012,1,113,Actinopterygii__class,adaptation_topic
106,nsubj:pass<obl>case> with,0,0.012,1,113,Actinopterygii__class,adaptation_topic
107,nsubj< ...,0,0.099,11,113,Actinopterygii__class,adaptation_topic
110,nsubj<advcl> ...,0,-0.004,1,113,Actinopterygii__class,adaptation_topic
121,nsubj<amod> ...,0,0.052,4,113,Actinopterygii__class,adaptation_topic
122,nsubj<appos> ...,0,0.008,1,113,Actinopterygii__class,adaptation_topic
124,nsubj<aux> can,0,0.012,1,113,Actinopterygii__class,adaptation_topic
125,nsubj<aux> have,0,0.012,1,113,Actinopterygii__class,adaptation_topic
126,nsubj<compound> ...,0,0.029,2,113,Actinopterygii__class,adaptation_topic
127,nsubj<conj> ...,0,-0.002,1,113,Actinopterygii__class,adaptation_topic
128,nsubj<conj>advmod> ...,0,0.006,1,113,Actinopterygii__class,adaptation_topic
130,nsubj<conj>cc> and,0,0.008,1,113,Actinopterygii__class,adaptation_topic
132,nsubj<cop> be,0,0.063,7,113,Actinopterygii__class,adaptation_topic
134,nsubj<det> the,0,0.012,1,113,Actinopterygii__class,adaptation_topic
136,nsubj<mark> that,0,0.008,1,113,Actinopterygii__class,adaptation_topic
137,nsubj<nmod> ...,0,0.006,2,113,Actinopterygii__class,adaptation_topic
138,nsubj<nmod>amod> ...,0,0.002,1,113,Actinopterygii__class,adaptation_topic
139,nsubj<nmod>case> ...,0,0.012,1,113,Actinopterygii__class,adaptation_topic
141,nsubj<nmod>case> of,0,0.004,1,113,Actinopterygii__class,adaptation_topic
146,nsubj<obj> ...,0,0.025,3,113,Actinopterygii__class,adaptation_topic
147,nsubj<obj>amod> ...,0,0.002,1,113,Actinopterygii__class,adaptation_topic
148,nsubj<obj>conj> ...,0,0.012,1,113,Actinopterygii__class,adaptation_topic
150,nsubj<obj>nmod:poss> they,0,0.008,1,113,Actinopterygii__class,adaptation_topic
151,nsubj<obl> ...,0,0.055,6,113,Actinopterygii__class,adaptation_topic
152,nsubj<obl>amod> ...,0,0.025,3,113,Actinopterygii__class,adaptation_topic
153,nsubj<obl>case> ...,0,0.028,3,113,Actinopterygii__class,adaptation_topic
154,nsubj<obl>case> in,0,0.008,1,113,Actinopterygii__class,adaptation_topic
156,nsubj<obl>case> to,0,0.036,2,113,Actinopterygii__class,adaptation_topic
158,nsubj<obl>compound> ...,0,0.029,2,113,Actinopterygii__class,adaptation_topic
159,nsubj<obl>compound> Pacific,0,0.008,1,113,Actinopterygii__class,adaptation_topic
160,nsubj<obl>det> the,0,0.031,3,113,Actinopterygii__class,adaptation_topic
161,nsubj<obl>nmod> ...,0,0.004,1,113,Actinopterygii__class,adaptation_topic
165,obj< ...,0,0.001,1,113,Actinopterygii__class,adaptation_topic
173,obl< ...,0,-0.004,1,113,Actinopterygii__class,adaptation_topic
184,acl:relcl> ...,1,0.046,2,75,Actinopterygii__class,adaptation_topic
185,acl:relcl>nsubj> ...,1,0.018,1,75,Actinopterygii__class,adaptation_topic
186,acl> ...,1,0.014,1,75,Actinopterygii__class,adaptation_topic
188,advmod> ...,1,0.018,1,75,Actinopterygii__class,adaptation_topic
189,amod> ...,1,-0.006,1,75,Actinopterygii__class,adaptation_topic
191,amod> brown,1,0.0,1,75,Actinopterygii__class,adaptation_topic
213,case> ...,1,0.046,2,75,Actinopterygii__class,adaptation_topic
217,case> of,1,0.066,5,75,Actinopterygii__class,adaptation_topic
218,case> with,1,0.018,1,75,Actinopterygii__class,adaptation_topic
234,compound> ...,1,-0.002,1,75,Actinopterygii__class,adaptation_topic
250,conj> ...,1,0.054,2,75,Actinopterygii__class,adaptation_topic
252,conj>cc> and,1,0.054,2,75,Actinopterygii__class,adaptation_topic
255,det> the,1,0.027,5,75,Actinopterygii__class,adaptation_topic
256,nmod< ...,1,0.107,6,75,Actinopterygii__class,adaptation_topic
257,nmod< form,1,0.023,1,75,Actinopterygii__class,adaptation_topic
258,nmod< species,1,0.014,1,75,Actinopterygii__class,adaptation_topic
259,nmod<advcl> ...,1,0.018,1,75,Actinopterygii__class,adaptation_topic
260,nmod<amod> ...,1,0.098,5,75,Actinopterygii__class,adaptation_topic
261,nmod<case> ...,1,0.046,2,75,Actinopterygii__class,adaptation_topic
262,nmod<case> for,1,0.023,1,75,Actinopterygii__class,adaptation_topic
265,nmod<case> with,1,0.023,1,75,Actinopterygii__class,adaptation_topic
266,nmod<compound> ...,1,0.028,2,75,Actinopterygii__class,adaptation_topic
267,nmod<cop> be,1,0.046,2,75,Actinopterygii__class,adaptation_topic
269,nmod<det> a,1,0.065,2,75,Actinopterygii__class,adaptation_topic
270,nmod<det> the,1,0.076,4,75,Actinopterygii__class,adaptation_topic
271,nmod<nmod< ...,1,0.014,1,75,Actinopterygii__class,adaptation_topic
272,nmod<nmod<amod> ...,1,0.018,1,75,Actinopterygii__class,adaptation_topic
274,nmod<nsubj:pass<advmod> ...,1,0.097,3,75,Actinopterygii__class,adaptation_topic
275,nmod<nsubj< ...,1,0.009,1,75,Actinopterygii__class,adaptation_topic
276,nmod<nsubj<advcl> ...,1,0.018,1,75,Actinopterygii__class,adaptation_topic
277,nmod<nsubj> ...,1,0.018,1,75,Actinopterygii__class,adaptation_topic
278,nmod<obl< ...,1,0.058,3,75,Actinopterygii__class,adaptation_topic
279,nmod<obl<advcl> ...,1,0.054,2,75,Actinopterygii__class,adaptation_topic
280,nmod<obl<advmod> ...,1,0.054,2,75,Actinopterygii__class,adaptation_topic
281,nmod<obl<nsubj> ...,1,0.054,2,75,Actinopterygii__class,adaptation_topic
282,nmod> ...,1,0.036,2,75,Actinopterygii__class,adaptation_topic
284,nmod>case> ...,1,0.036,2,75,Actinopterygii__class,adaptation_topic
357,obl< ...,1,-0.001,1,75,Actinopterygii__class,adaptation_topic
368,acl:relcl> ...,2,0.005,1,117,Actinopterygii__class,adaptation_topic
369,acl:relcl>nsubj> ...,2,0.008,1,117,Actinopterygii__class,adaptation_topic
372,advmod> ...,2,0.008,1,117,Actinopterygii__class,adaptation_topic
373,amod> ...,2,-0.004,2,117,Actinopterygii__class,adaptation_topic
374,amod> belly,2,0.005,1,117,Actinopterygii__class,adaptation_topic
375,amod> brown,2,-0.004,1,117,Actinopterygii__class,adaptation_topic
378,amod> most,2,0.011,1,117,Actinopterygii__class,adaptation_topic
379,amod> red,2,0.034,2,117,Actinopterygii__class,adaptation_topic
380,amod>conj> ...,2,0.022,2,117,Actinopterygii__class,adaptation_topic
381,amod>conj>cc> ...,2,0.017,1,117,Actinopterygii__class,adaptation_topic
396,case> 's,2,0.011,1,117,Actinopterygii__class,adaptation_topic
400,case> in,2,0.005,1,117,Actinopterygii__class,adaptation_topic
401,case> of,2,-0.009,1,117,Actinopterygii__class,adaptation_topic
404,compound< ...,2,0.029,3,117,Actinopterygii__class,adaptation_topic
405,compound< species,2,0.06,4,117,Actinopterygii__class,adaptation_topic
406,compound<advcl>mark> ...,2,0.051,3,117,Actinopterygii__class,adaptation_topic
407,compound<amod> ...,2,0.077,5,117,Actinopterygii__class,adaptation_topic
408,compound<amod> belly,2,0.011,1,117,Actinopterygii__class,adaptation_topic
409,compound<case> ...,2,0.011,1,117,Actinopterygii__class,adaptation_topic
411,compound<conj> ...,2,0.085,5,117,Actinopterygii__class,adaptation_topic
412,compound<conj>amod> ...,2,0.051,3,117,Actinopterygii__class,adaptation_topic
413,compound<det> ...,2,0.017,1,117,Actinopterygii__class,adaptation_topic
414,compound<det> the,2,0.065,5,117,Actinopterygii__class,adaptation_topic
