,feat,cluster,pw_entr,feat_n,N,group,relrole
8,acl> ...,0,0.0,1,629,Actinopterygii__class,free_topic
10,advmod> ...,0,0.006,3,629,Actinopterygii__class,free_topic
11,amod> ...,0,0.029,28,629,Actinopterygii__class,free_topic
12,amod> Peruvian,0,0.001,2,629,Actinopterygii__class,free_topic
14,amod> brown,0,-0.001,1,629,Actinopterygii__class,free_topic
15,amod> common,0,0.001,3,629,Actinopterygii__class,free_topic
17,amod> fly,0,-0.001,3,629,Actinopterygii__class,free_topic
21,amod> spine,0,-0.0,1,629,Actinopterygii__class,free_topic
22,amod>advmod> ...,0,0.0,2,629,Actinopterygii__class,free_topic
34,appos< ...,0,0.006,7,629,Actinopterygii__class,free_topic
35,appos< Sciaenida,0,0.004,2,629,Actinopterygii__class,free_topic
37,appos<amod> ...,0,0.006,4,629,Actinopterygii__class,free_topic
38,appos<appos> ...,0,0.01,6,629,Actinopterygii__class,free_topic
39,appos<appos> Cichlidae,0,0.004,2,629,Actinopterygii__class,free_topic
40,appos<appos> croaker,0,0.004,2,629,Actinopterygii__class,free_topic
41,appos<appos> pacus,0,0.004,2,629,Actinopterygii__class,free_topic
42,appos<appos>appos> ...,0,0.002,1,629,Actinopterygii__class,free_topic
43,appos<appos>appos> cichlid,0,0.004,2,629,Actinopterygii__class,free_topic
44,appos<appos>conj> ...,0,0.001,1,629,Actinopterygii__class,free_topic
45,appos<appos>conj> dollar,0,0.004,2,629,Actinopterygii__class,free_topic
46,appos<appos>conj> piranha,0,0.004,2,629,Actinopterygii__class,free_topic
47,appos<case> ...,0,0.004,2,629,Actinopterygii__class,free_topic
48,appos<case> to,0,0.004,2,629,Actinopterygii__class,free_topic
49,appos<compound> ...,0,0.004,3,629,Actinopterygii__class,free_topic
50,appos<compound> family,0,0.004,2,629,Actinopterygii__class,free_topic
52,appos<conj> ...,0,-0.002,3,629,Actinopterygii__class,free_topic
53,appos<conj> Serrasalmidae,0,0.004,2,629,Actinopterygii__class,free_topic
55,appos<conj>amod> ...,0,0.0,1,629,Actinopterygii__class,free_topic
56,appos<conj>cc> and,0,0.005,4,629,Actinopterygii__class,free_topic
57,appos<det> ...,0,0.001,1,629,Actinopterygii__class,free_topic
58,appos<det> the,0,0.004,3,629,Actinopterygii__class,free_topic
59,appos<flat> ...,0,0.003,2,629,Actinopterygii__class,free_topic
60,appos<nsubj< ...,0,0.004,3,629,Actinopterygii__class,free_topic
61,appos<nsubj<cop> be,0,0.006,3,629,Actinopterygii__class,free_topic
62,appos<nsubj> ...,0,0.0,1,629,Actinopterygii__class,free_topic
63,appos<nsubj>amod> ...,0,0.006,3,629,Actinopterygii__class,free_topic
64,appos> ...,0,0.005,13,629,Actinopterygii__class,free_topic
70,appos> trout,0,0.006,3,629,Actinopterygii__class,free_topic
71,appos>amod> ...,0,0.0,2,629,Actinopterygii__class,free_topic
72,appos>appos> ...,0,-0.001,1,629,Actinopterygii__class,free_topic
73,appos>compound> ...,0,-0.001,1,629,Actinopterygii__class,free_topic
75,appos>compound> Lake,0,0.004,2,629,Actinopterygii__class,free_topic
76,appos>compound> summer,0,0.004,2,629,Actinopterygii__class,free_topic
77,appos>conj> ...,0,0.0,2,629,Actinopterygii__class,free_topic
78,appos>conj>cc> ...,0,0.002,1,629,Actinopterygii__class,free_topic
79,appos>conj>cc> and,0,-0.0,1,629,Actinopterygii__class,free_topic
81,appos>det> the,0,0.001,1,629,Actinopterygii__class,free_topic
82,appos>flat> ...,0,0.005,4,629,Actinopterygii__class,free_topic
85,case> ...,0,-0.001,1,629,Actinopterygii__class,free_topic
86,case> as,0,0.001,2,629,Actinopterygii__class,free_topic
91,case> in,0,-0.001,1,629,Actinopterygii__class,free_topic
95,case> to,0,-0.001,1,629,Actinopterygii__class,free_topic
98,cc> and,0,-0.002,1,629,Actinopterygii__class,free_topic
99,cc> or,0,0.0,1,629,Actinopterygii__class,free_topic
100,compound< ...,0,-0.005,4,629,Actinopterygii__class,free_topic
107,compound<amod> ...,0,-0.002,2,629,Actinopterygii__class,free_topic
108,compound<appos> ...,0,-0.001,1,629,Actinopterygii__class,free_topic
112,compound<case> of,0,-0.002,1,629,Actinopterygii__class,free_topic
118,compound<det> the,0,-0.003,1,629,Actinopterygii__class,free_topic
119,compound<nmod< ...,0,-0.002,1,629,Actinopterygii__class,free_topic
125,compound<nmod<det> a,0,0.001,1,629,Actinopterygii__class,free_topic
130,compound<nmod> ...,0,0.003,2,629,Actinopterygii__class,free_topic
131,compound<nmod>case> ...,0,0.003,2,629,Actinopterygii__class,free_topic
135,compound> ...,0,-0.004,5,629,Actinopterygii__class,free_topic
139,compound> cichlid,0,0.0,1,629,Actinopterygii__class,free_topic
143,compound> sea,0,-0.001,2,629,Actinopterygii__class,free_topic
145,compound> spiny,0,0.001,1,629,Actinopterygii__class,free_topic
147,conj< ...,0,-0.004,2,629,Actinopterygii__class,free_topic
151,conj<amod> ...,0,-0.001,1,629,Actinopterygii__class,free_topic
157,conj<case> as,0,0.001,1,629,Actinopterygii__class,free_topic
173,conj<cop> be,0,0.0,1,629,Actinopterygii__class,free_topic
178,conj<nsubj> ...,0,-0.0,1,629,Actinopterygii__class,free_topic
183,conj<obl< ...,0,-0.001,1,629,Actinopterygii__class,free_topic
185,conj<obl<advmod> ...,0,0.002,2,629,Actinopterygii__class,free_topic
187,conj<obl<aux:pass> be,0,0.0,1,629,Actinopterygii__class,free_topic
188,conj<obl<nsubj:pass> ...,0,0.0,1,629,Actinopterygii__class,free_topic
192,conj> ...,0,0.026,16,629,Actinopterygii__class,free_topic
193,conj> anchovie,0,0.003,2,629,Actinopterygii__class,free_topic
194,conj> pipefish,0,0.003,2,629,Actinopterygii__class,free_topic
195,conj> trout,0,0.001,2,629,Actinopterygii__class,free_topic
196,conj>amod> ...,0,0.006,3,629,Actinopterygii__class,free_topic
198,conj>cc> and,0,0.011,9,629,Actinopterygii__class,free_topic
199,conj>cc> or,0,0.008,4,629,Actinopterygii__class,free_topic
200,conj>compound> ...,0,0.008,4,629,Actinopterygii__class,free_topic
201,cop> be,0,-0.0,1,629,Actinopterygii__class,free_topic
202,det> a,0,-0.001,1,629,Actinopterygii__class,free_topic
203,det> some,0,0.001,2,629,Actinopterygii__class,free_topic
204,det> the,0,0.0,17,629,Actinopterygii__class,free_topic
205,det> these,0,0.001,1,629,Actinopterygii__class,free_topic
210,flat> ...,0,-0.005,5,629,Actinopterygii__class,free_topic
214,list< ...,0,0.001,1,629,Actinopterygii__class,free_topic
216,list<appos> ...,0,0.006,4,629,Actinopterygii__class,free_topic
217,list<flat> ...,0,0.002,1,629,Actinopterygii__class,free_topic
219,list<list> ...,0,0.002,2,629,Actinopterygii__class,free_topic
226,list<list>nummod> ...,0,0.001,1,629,Actinopterygii__class,free_topic
293,nmod> ...,0,0.001,5,629,Actinopterygii__class,free_topic
294,nmod>amod> ...,0,-0.0,1,629,Actinopterygii__class,free_topic
295,nmod>case> ...,0,0.001,3,629,Actinopterygii__class,free_topic
296,nmod>case> in,0,0.0,1,629,Actinopterygii__class,free_topic
297,nmod>case> of,0,0.0,1,629,Actinopterygii__class,free_topic
299,nmod>conj> ...,0,0.002,2,629,Actinopterygii__class,free_topic
300,nmod>conj>cc> ...,0,0.0,1,629,Actinopterygii__class,free_topic
301,nmod>det> ...,0,0.002,1,629,Actinopterygii__class,free_topic
303,nsubj:pass< ...,0,-0.001,1,629,Actinopterygii__class,free_topic
304,nsubj:pass< find,0,0.004,2,629,Actinopterygii__class,free_topic
305,nsubj:pass<advcl< ...,0,0.0,1,629,Actinopterygii__class,free_topic
306,nsubj:pass<advcl<nsubj> ...,0,0.0,1,629,Actinopterygii__class,free_topic
307,nsubj:pass<aux:pass> be,0,0.002,3,629,Actinopterygii__class,free_topic
309,nsubj:pass<aux> can,0,0.001,1,629,Actinopterygii__class,free_topic
310,nsubj:pass<mark> ...,0,0.0,1,629,Actinopterygii__class,free_topic
311,nsubj:pass<obl> ...,0,0.005,4,629,Actinopterygii__class,free_topic
312,nsubj:pass<obl>case> ...,0,0.004,2,629,Actinopterygii__class,free_topic
314,nsubj:pass<obl>case> in,0,0.004,2,629,Actinopterygii__class,free_topic
315,nsubj:pass<obl>conj> ...,0,0.006,3,629,Actinopterygii__class,free_topic
316,nsubj:pass<obl>det> ...,0,0.006,3,629,Actinopterygii__class,free_topic
317,nsubj< ...,0,0.041,25,629,Actinopterygii__class,free_topic
318,nsubj< family,0,0.006,3,629,Actinopterygii__class,free_topic
319,nsubj< have,0,0.004,3,629,Actinopterygii__class,free_topic
320,nsubj< hermaphrodite,0,0.004,2,629,Actinopterygii__class,free_topic
321,nsubj< live,0,0.004,2,629,Actinopterygii__class,free_topic
322,nsubj<advcl< ...,0,0.008,4,629,Actinopterygii__class,free_topic
323,nsubj<advcl<nsubj> ...,0,0.004,2,629,Actinopterygii__class,free_topic
324,nsubj<advcl<nsubj> they,0,0.004,2,629,Actinopterygii__class,free_topic
325,nsubj<advcl<obj> ...,0,0.006,3,629,Actinopterygii__class,free_topic
326,nsubj<advcl> ...,0,0.008,5,629,Actinopterygii__class,free_topic
327,nsubj<advcl>advmod> ...,0,0.008,4,629,Actinopterygii__class,free_topic
328,nsubj<advcl>mark> ...,0,0.003,2,629,Actinopterygii__class,free_topic
329,nsubj<advcl>mark> while,0,0.004,2,629,Actinopterygii__class,free_topic
330,nsubj<advcl>obl> ...,0,0.006,3,629,Actinopterygii__class,free_topic
331,nsubj<advmod> ...,0,0.015,8,629,Actinopterygii__class,free_topic
332,nsubj<advmod> also,0,0.006,3,629,Actinopterygii__class,free_topic
333,nsubj<amod> ...,0,0.004,3,629,Actinopterygii__class,free_topic
334,nsubj<aux> ...,0,0.008,4,629,Actinopterygii__class,free_topic
335,nsubj<ccomp< ...,0,0.006,3,629,Actinopterygii__class,free_topic
336,nsubj<ccomp<nsubj> ...,0,0.006,3,629,Actinopterygii__class,free_topic
337,nsubj<conj<obl> ...,0,0.006,3,629,Actinopterygii__class,free_topic
338,nsubj<conj> ...,0,0.016,10,629,Actinopterygii__class,free_topic
339,nsubj<conj>advmod> ...,0,0.01,5,629,Actinopterygii__class,free_topic
340,nsubj<conj>cc> ...,0,0.002,1,629,Actinopterygii__class,free_topic
341,nsubj<conj>cc> and,0,0.004,3,629,Actinopterygii__class,free_topic
342,nsubj<conj>cc> but,0,0.01,5,629,Actinopterygii__class,free_topic
343,nsubj<conj>obl> ...,0,0.004,3,629,Actinopterygii__class,free_topic
344,nsubj<cop> be,0,0.033,18,629,Actinopterygii__class,free_topic
345,nsubj<det> ...,0,0.002,1,629,Actinopterygii__class,free_topic
346,nsubj<det> a,0,0.01,5,629,Actinopterygii__class,free_topic
347,nsubj<mark> ...,0,0.004,2,629,Actinopterygii__class,free_topic
348,nsubj<mark> because,0,0.004,2,629,Actinopterygii__class,free_topic
349,nsubj<mark> that,0,0.006,3,629,Actinopterygii__class,free_topic
350,nsubj<nmod> ...,0,0.003,2,629,Actinopterygii__class,free_topic
351,nsubj<nmod> fish,0,0.01,5,629,Actinopterygii__class,free_topic
352,nsubj<nmod>amod> ...,0,0.008,4,629,Actinopterygii__class,free_topic
353,nsubj<nmod>case> ...,0,0.004,2,629,Actinopterygii__class,free_topic
354,nsubj<nmod>case> as,0,0.001,1,629,Actinopterygii__class,free_topic
355,nsubj<nmod>case> of,0,0.01,5,629,Actinopterygii__class,free_topic
356,nsubj<nmod>det> the,0,0.003,2,629,Actinopterygii__class,free_topic
357,nsubj<obj> ...,0,0.009,8,629,Actinopterygii__class,free_topic
358,nsubj<obj>amod> ...,0,0.01,6,629,Actinopterygii__class,free_topic
359,nsubj<obj>det> ...,0,0.001,1,629,Actinopterygii__class,free_topic
360,nsubj<obj>det> the,0,0.006,3,629,Actinopterygii__class,free_topic
361,nsubj<obj>nmod> ...,0,0.003,2,629,Actinopterygii__class,free_topic
362,nsubj<obl> ...,0,0.029,16,629,Actinopterygii__class,free_topic
363,nsubj<obl>amod> ...,0,0.013,7,629,Actinopterygii__class,free_topic
364,nsubj<obl>case> ...,0,0.008,5,629,Actinopterygii__class,free_topic
365,nsubj<obl>case> from,0,0.004,2,629,Actinopterygii__class,free_topic
366,nsubj<obl>case> in,0,0.013,7,629,Actinopterygii__class,free_topic
367,nsubj<obl>case> to,0,0.004,2,629,Actinopterygii__class,free_topic
368,nsubj<obl>compound> ...,0,0.003,2,629,Actinopterygii__class,free_topic
369,nsubj<obl>det> ...,0,0.002,1,629,Actinopterygii__class,free_topic
370,nsubj<obl>det> the,0,0.004,3,629,Actinopterygii__class,free_topic
371,nsubj<obl>nmod> ...,0,0.012,6,629,Actinopterygii__class,free_topic
372,nsubj<parataxis> ...,0,0.0,1,629,Actinopterygii__class,free_topic
373,nsubj> ...,0,0.003,2,629,Actinopterygii__class,free_topic
376,obj< ...,0,0.009,9,629,Actinopterygii__class,free_topic
378,obj< have,0,0.001,1,629,Actinopterygii__class,free_topic
379,obj< include,0,0.001,1,629,Actinopterygii__class,free_topic
380,obj<acl:relcl< ...,0,0.006,3,629,Actinopterygii__class,free_topic
381,obj<acl< ...,0,0.006,4,629,Actinopterygii__class,free_topic
382,obj<acl<case> ...,0,0.003,2,629,Actinopterygii__class,free_topic
383,obj<acl<det> ...,0,0.002,1,629,Actinopterygii__class,free_topic
384,obj<acl<det> the,0,0.004,2,629,Actinopterygii__class,free_topic
385,obj<advcl< ...,0,0.002,2,629,Actinopterygii__class,free_topic
386,obj<advcl> ...,0,0.0,1,629,Actinopterygii__class,free_topic
387,obj<advcl>obj> ...,0,0.0,1,629,Actinopterygii__class,free_topic
393,obj<mark> ...,0,0.004,2,629,Actinopterygii__class,free_topic
394,obj<mark> of,0,0.004,2,629,Actinopterygii__class,free_topic
395,obj<mark> to,0,0.0,1,629,Actinopterygii__class,free_topic
396,obj<nsubj> ...,0,0.001,2,629,Actinopterygii__class,free_topic
397,obj<nsubj> which,0,0.004,2,629,Actinopterygii__class,free_topic
398,obj<obl> ...,0,0.008,4,629,Actinopterygii__class,free_topic
399,obj<obl>amod> ...,0,0.006,3,629,Actinopterygii__class,free_topic
400,obj<obl>case> ...,0,0.006,3,629,Actinopterygii__class,free_topic
401,obj<obl>case> on,0,0.004,2,629,Actinopterygii__class,free_topic
402,obj<obl>det> ...,0,0.002,1,629,Actinopterygii__class,free_topic
403,obj<obl>det> a,0,0.004,2,629,Actinopterygii__class,free_topic
404,obl< ...,0,-0.002,4,629,Actinopterygii__class,free_topic
406,obl< know,0,0.001,1,629,Actinopterygii__class,free_topic
414,obl<advmod> ...,0,0.002,2,629,Actinopterygii__class,free_topic
415,obl<advmod> often,0,0.001,1,629,Actinopterygii__class,free_topic
416,obl<aux:pass> be,0,0.001,3,629,Actinopterygii__class,free_topic
417,obl<conj<obl> ...,0,-0.0,1,629,Actinopterygii__class,free_topic
420,obl<nsubj:pass> ...,0,0.003,3,629,Actinopterygii__class,free_topic
421,obl<nsubj:pass>amod> ...,0,0.0,1,629,Actinopterygii__class,free_topic
422,obl<nsubj:pass>det> ...,0,0.003,2,629,Actinopterygii__class,free_topic
423,obl<nsubj> ...,0,0.002,2,629,Actinopterygii__class,free_topic
424,obl<obj> ...,0,0.001,1,629,Actinopterygii__class,free_topic
426,obl<obl> ...,0,0.0,1,629,Actinopterygii__class,free_topic
428,obl<obl>case> to,0,0.001,1,629,Actinopterygii__class,free_topic
431,parataxis<conj<conj> ...,0,0.015,8,629,Actinopterygii__class,free_topic
432,parataxis> ...,0,0.0,1,629,Actinopterygii__class,free_topic
573,compound> family,1,0.075,1,32,Actinopterygii__class,free_topic
643,flat> ...,1,1.637,15,32,Actinopterygii__class,free_topic
644,flat> Genus,1,1.831,14,32,Actinopterygii__class,free_topic
646,flat> Subfamily,1,0.262,2,32,Actinopterygii__class,free_topic
1072,flat< ...,2,0.175,2,36,Actinopterygii__class,free_topic
1073,flat<flat> ...,2,1.668,15,36,Actinopterygii__class,free_topic
1074,flat<flat> Genus,2,1.894,17,36,Actinopterygii__class,free_topic
1075,flat<flat> Subfamily,2,0.226,2,36,Actinopterygii__class,free_topic
1333,appos< ...,3,0.076,1,24,Actinopterygii__class,free_topic
1351,appos<conj> ...,3,2.31,13,24,Actinopterygii__class,free_topic
1353,appos<conj> velvetfish,3,0.373,2,24,Actinopterygii__class,free_topic
1354,appos<conj>amod> ...,3,0.339,2,24,Actinopterygii__class,free_topic
1355,appos<conj>cc> and,3,0.281,2,24,Actinopterygii__class,free_topic
1503,det> the,3,0.019,1,24,Actinopterygii__class,free_topic
1592,nmod> ...,3,0.076,1,24,Actinopterygii__class,free_topic
1593,nmod>amod> ...,3,0.129,1,24,Actinopterygii__class,free_topic
1594,nmod>case> ...,3,0.1,1,24,Actinopterygii__class,free_topic
1743,amod> ...,4,-0.008,1,84,Actinopterygii__class,free_topic
1749,amod> fly,4,0.032,2,84,Actinopterygii__class,free_topic
1754,amod>advmod> ...,4,0.017,1,84,Actinopterygii__class,free_topic
1758,amod>conj> ...,4,0.105,3,84,Actinopterygii__class,free_topic
1759,amod>conj> species,4,0.077,2,84,Actinopterygii__class,free_topic
1760,amod>conj> sucker,4,0.077,2,84,Actinopterygii__class,free_topic
1761,amod>conj> whitefish,4,0.115,3,84,Actinopterygii__class,free_topic
1762,amod>conj>amod> ...,4,0.115,3,84,Actinopterygii__class,free_topic
1763,amod>conj>amod> various,4,0.077,2,84,Actinopterygii__class,free_topic
1796,appos> ...,4,-0.004,1,84,Actinopterygii__class,free_topic
1805,appos>compound> ...,4,0.019,1,84,Actinopterygii__class,free_topic
1867,compound> ...,4,0.016,2,84,Actinopterygii__class,free_topic
1870,compound> brook,4,0.03,1,84,Actinopterygii__class,free_topic
1872,compound> family,4,0.051,2,84,Actinopterygii__class,free_topic
1878,compound>compound> ...,4,0.025,1,84,Actinopterygii__class,free_topic
1935,det> some,4,0.019,1,84,Actinopterygii__class,free_topic
1938,flat< ...,4,0.019,1,84,Actinopterygii__class,free_topic
1939,flat<flat> ...,4,0.005,1,84,Actinopterygii__class,free_topic
1940,flat<flat> Genus,4,0.004,1,84,Actinopterygii__class,free_topic
2025,nmod> ...,4,0.06,3,84,Actinopterygii__class,free_topic
2026,nmod>amod> ...,4,0.022,1,84,Actinopterygii__class,free_topic
2027,nmod>case> ...,4,0.044,2,84,Actinopterygii__class,free_topic
2029,nmod>case> of,4,0.025,1,84,Actinopterygii__class,free_topic
2030,nmod>compound> ...,4,0.055,2,84,Actinopterygii__class,free_topic
2034,nmod>det> the,4,0.055,2,84,Actinopterygii__class,free_topic
2051,nsubj< have,4,0.022,1,84,Actinopterygii__class,free_topic
2070,nsubj<conj> ...,4,0.009,1,84,Actinopterygii__class,free_topic
2082,nsubj<nmod> ...,4,0.025,1,84,Actinopterygii__class,free_topic
2086,nsubj<nmod>case> as,4,0.03,1,84,Actinopterygii__class,free_topic
2088,nsubj<nmod>det> the,4,0.025,1,84,Actinopterygii__class,free_topic
2089,nsubj<obj> ...,4,0.032,2,84,Actinopterygii__class,free_topic
2091,nsubj<obj>det> ...,4,0.03,1,84,Actinopterygii__class,free_topic
2093,nsubj<obj>nmod> ...,4,0.025,1,84,Actinopterygii__class,free_topic
2104,nsubj<parataxis> ...,4,0.025,1,84,Actinopterygii__class,free_topic
2108,obj< ...,4,0.005,1,84,Actinopterygii__class,free_topic
2111,obj< include,4,0.03,1,84,Actinopterygii__class,free_topic
2120,obj<conj<conj> ...,4,0.307,8,84,Actinopterygii__class,free_topic
2121,obj<conj> ...,4,0.334,9,84,Actinopterygii__class,free_topic
2122,obj<conj>amod> ...,4,0.23,6,84,Actinopterygii__class,free_topic
2123,obj<conj>cc> ...,4,0.115,3,84,Actinopterygii__class,free_topic
2124,obj<conj>compound> ...,4,0.115,3,84,Actinopterygii__class,free_topic
2128,obj<nsubj> ...,4,0.019,1,84,Actinopterygii__class,free_topic
2165,acl:relcl> ...,5,0.006,1,157,Actinopterygii__class,free_topic
2166,acl:relcl>nsubj> ...,5,0.017,1,157,Actinopterygii__class,free_topic
2176,amod> ...,5,-0.008,2,157,Actinopterygii__class,free_topic
2181,amod> finn,5,0.006,1,157,Actinopterygii__class,free_topic
2182,amod> fly,5,0.0,1,157,Actinopterygii__class,free_topic
2190,amod>compound> ray,5,0.012,1,157,Actinopterygii__class,free_topic
2257,case> include,5,0.012,1,157,Actinopterygii__class,free_topic
2258,case> of,5,-0.007,1,157,Actinopterygii__class,free_topic
2300,compound> ...,5,-0.004,1,157,Actinopterygii__class,free_topic
2303,compound> brook,5,0.012,1,157,Actinopterygii__class,free_topic
2308,compound> sea,5,0.013,2,157,Actinopterygii__class,free_topic
2311,compound>compound> ...,5,0.01,1,157,Actinopterygii__class,free_topic
2312,conj< ...,5,0.076,8,157,Actinopterygii__class,free_topic
2314,conj< species,5,0.012,1,157,Actinopterygii__class,free_topic
2315,conj<advmod> ...,5,0.008,1,157,Actinopterygii__class,free_topic
2316,conj<amod> ...,5,0.017,2,157,Actinopterygii__class,free_topic
2317,conj<appos< ...,5,0.008,1,157,Actinopterygii__class,free_topic
2321,conj<case> ...,5,0.024,2,157,Actinopterygii__class,free_topic
2323,conj<case> of,5,0.024,2,157,Actinopterygii__class,free_topic
2324,conj<compound> ...,5,0.06,4,157,Actinopterygii__class,free_topic
2326,conj<conj> ...,5,0.466,30,157,Actinopterygii__class,free_topic
2327,conj<conj> bass,5,0.033,2,157,Actinopterygii__class,free_topic
2328,conj<conj> crocodile,5,0.033,2,157,Actinopterygii__class,free_topic
