,feat,cluster,pw_entr,feat_n,N,group,relrole
0,acl> ...,0,-0.0,2,341,Actinopterygii__class,location_topic
1,acl>obl> ...,0,-0.001,1,341,Actinopterygii__class,location_topic
3,acl>obl>case> in,0,-0.0,1,341,Actinopterygii__class,location_topic
4,amod> ...,0,-0.006,5,341,Actinopterygii__class,location_topic
5,amod> belly,0,0.002,2,341,Actinopterygii__class,location_topic
6,amod> brown,0,0.004,2,341,Actinopterygii__class,location_topic
7,amod> common,0,0.0,3,341,Actinopterygii__class,location_topic
8,amod> finn,0,0.008,5,341,Actinopterygii__class,location_topic
9,amod> other,0,0.002,2,341,Actinopterygii__class,location_topic
10,amod>compound> ...,0,0.006,2,341,Actinopterygii__class,location_topic
11,amod>compound> red,0,0.004,2,341,Actinopterygii__class,location_topic
12,amod>obl:npmod> ...,0,0.001,1,341,Actinopterygii__class,location_topic
13,amod>obl:npmod> lobe,0,0.006,2,341,Actinopterygii__class,location_topic
14,amod>obl:npmod> ray,0,0.001,2,341,Actinopterygii__class,location_topic
15,appos< ...,0,0.025,10,341,Actinopterygii__class,location_topic
16,appos< seadragon,0,0.006,2,341,Actinopterygii__class,location_topic
17,appos<advmod> ...,0,0.001,1,341,Actinopterygii__class,location_topic
18,appos<advmod> also,0,0.006,2,341,Actinopterygii__class,location_topic
19,appos<amod> ...,0,0.004,2,341,Actinopterygii__class,location_topic
20,appos<case> ...,0,0.006,2,341,Actinopterygii__class,location_topic
21,appos<case> in,0,0.006,2,341,Actinopterygii__class,location_topic
22,appos<conj> ...,0,0.015,5,341,Actinopterygii__class,location_topic
23,appos<conj>cc> ...,0,0.003,1,341,Actinopterygii__class,location_topic
24,appos<conj>cc> and,0,0.009,3,341,Actinopterygii__class,location_topic
25,appos<det> ...,0,0.003,1,341,Actinopterygii__class,location_topic
26,appos<det> the,0,0.01,4,341,Actinopterygii__class,location_topic
27,appos<nmod> ...,0,0.003,1,341,Actinopterygii__class,location_topic
28,appos<nmod> fish,0,0.006,2,341,Actinopterygii__class,location_topic
29,appos<nmod>case> ...,0,0.003,1,341,Actinopterygii__class,location_topic
30,appos<nmod>case> of,0,0.006,2,341,Actinopterygii__class,location_topic
31,appos<nsubj< ...,0,0.006,2,341,Actinopterygii__class,location_topic
32,appos<nsubj< species,0,0.001,1,341,Actinopterygii__class,location_topic
33,appos<nsubj<cop> be,0,0.004,2,341,Actinopterygii__class,location_topic
34,appos<nsubj<det> a,0,0.004,2,341,Actinopterygii__class,location_topic
35,appos<obl>case> ...,0,0.004,2,341,Actinopterygii__class,location_topic
36,appos> ...,0,-0.005,1,341,Actinopterygii__class,location_topic
37,appos> Colossoma,0,0.001,1,341,Actinopterygii__class,location_topic
39,appos>compound> ...,0,-0.0,1,341,Actinopterygii__class,location_topic
40,case> ...,0,0.005,3,341,Actinopterygii__class,location_topic
41,case> as,0,-0.001,1,341,Actinopterygii__class,location_topic
42,case> by,0,0.001,1,341,Actinopterygii__class,location_topic
43,case> from,0,0.006,2,341,Actinopterygii__class,location_topic
44,case> in,0,-0.0,1,341,Actinopterygii__class,location_topic
45,case> of,0,-0.001,3,341,Actinopterygii__class,location_topic
49,case> with,0,-0.0,1,341,Actinopterygii__class,location_topic
51,cc> ...,0,0.003,1,341,Actinopterygii__class,location_topic
52,cc> and,0,0.016,9,341,Actinopterygii__class,location_topic
53,compound< ...,0,-0.004,1,341,Actinopterygii__class,location_topic
54,compound< salar,0,0.001,1,341,Actinopterygii__class,location_topic
59,compound<conj<conj> ...,0,0.009,3,341,Actinopterygii__class,location_topic
71,compound> ...,0,0.016,13,341,Actinopterygii__class,location_topic
72,compound> Atlantic,0,-0.004,2,341,Actinopterygii__class,location_topic
73,compound> Salmo,0,-0.0,1,341,Actinopterygii__class,location_topic
74,compound> lake,0,0.006,2,341,Actinopterygii__class,location_topic
76,compound> salmon,0,0.004,2,341,Actinopterygii__class,location_topic
77,compound> sea,0,-0.002,1,341,Actinopterygii__class,location_topic
78,compound>compound> ...,0,0.001,2,341,Actinopterygii__class,location_topic
79,conj< ...,0,0.016,9,341,Actinopterygii__class,location_topic
81,conj< goby,0,0.002,2,341,Actinopterygii__class,location_topic
83,conj<amod> ...,0,0.004,2,341,Actinopterygii__class,location_topic
85,conj<appos> ...,0,0.007,3,341,Actinopterygii__class,location_topic
89,conj<appos>compound> ...,0,0.001,1,341,Actinopterygii__class,location_topic
91,conj<case> ...,0,0.003,1,341,Actinopterygii__class,location_topic
92,conj<case> between,0,0.006,2,341,Actinopterygii__class,location_topic
93,conj<case> in,0,0.004,2,341,Actinopterygii__class,location_topic
95,conj<compound> ...,0,0.003,1,341,Actinopterygii__class,location_topic
96,conj<compound> tadpole,0,0.006,2,341,Actinopterygii__class,location_topic
99,conj<conj> goby,0,0.002,2,341,Actinopterygii__class,location_topic
101,conj<conj>amod> ...,0,-0.001,1,341,Actinopterygii__class,location_topic
106,conj<conj>cc> and,0,-0.002,1,341,Actinopterygii__class,location_topic
107,conj<conj>compound> ...,0,-0.001,1,341,Actinopterygii__class,location_topic
112,conj<det> the,0,-0.0,2,341,Actinopterygii__class,location_topic
113,conj<nmod< ...,0,0.009,3,341,Actinopterygii__class,location_topic
115,conj<nmod<advmod> ...,0,0.003,1,341,Actinopterygii__class,location_topic
117,conj<nsubj:pass<obl> ...,0,0.004,2,341,Actinopterygii__class,location_topic
118,conj<nsubj< ...,0,-0.0,1,341,Actinopterygii__class,location_topic
119,conj<nsubj<obl> ...,0,-0.0,1,341,Actinopterygii__class,location_topic
125,conj<obj< ...,0,0.001,1,341,Actinopterygii__class,location_topic
126,conj<obj< include,0,0.002,2,341,Actinopterygii__class,location_topic
129,conj> ...,0,-0.005,1,341,Actinopterygii__class,location_topic
131,conj> trout,0,0.004,2,341,Actinopterygii__class,location_topic
133,conj>amod> european,0,0.001,1,341,Actinopterygii__class,location_topic
134,conj>cc> and,0,-0.004,3,341,Actinopterygii__class,location_topic
138,cop> be,0,0.004,2,341,Actinopterygii__class,location_topic
139,det> ...,0,0.003,1,341,Actinopterygii__class,location_topic
140,det> a,0,-0.0,2,341,Actinopterygii__class,location_topic
141,det> some,0,0.012,4,341,Actinopterygii__class,location_topic
142,det> the,0,0.026,21,341,Actinopterygii__class,location_topic
143,nmod< ...,0,0.001,6,341,Actinopterygii__class,location_topic
145,nmod< that,0,0.001,1,341,Actinopterygii__class,location_topic
146,nmod<amod> ...,0,-0.001,1,341,Actinopterygii__class,location_topic
153,nmod<conj<conj> ...,0,0.009,3,341,Actinopterygii__class,location_topic
154,nmod<det> ...,0,0.003,1,341,Actinopterygii__class,location_topic
155,nmod<det> a,0,0.001,1,341,Actinopterygii__class,location_topic
