,feat,cluster,pw_entr,feat_n,N,group,relrole
34,appos< ...,0,0.001,1,144,Actinopterygii__class,taxongroup_comment
38,appos< name,0,0.015,1,144,Actinopterygii__class,taxongroup_comment
39,appos< trout,0,0.034,2,144,Actinopterygii__class,taxongroup_comment
41,appos<amod> brown,0,0.034,2,144,Actinopterygii__class,taxongroup_comment
55,appos<case> of,0,0.015,1,144,Actinopterygii__class,taxongroup_comment
75,appos<det> the,0,0.03,2,144,Actinopterygii__class,taxongroup_comment
81,appos<nmod< ...,0,0.01,1,144,Actinopterygii__class,taxongroup_comment
82,appos<nmod<case> ...,0,0.012,1,144,Actinopterygii__class,taxongroup_comment
89,appos<parataxis> species,0,0.015,1,144,Actinopterygii__class,taxongroup_comment
90,appos> ...,0,0.042,4,144,Actinopterygii__class,taxongroup_comment
93,appos> Legislation,0,0.099,5,144,Actinopterygii__class,taxongroup_comment
94,appos> conservation,0,0.059,3,144,Actinopterygii__class,taxongroup_comment
95,appos> ecology,0,0.099,5,144,Actinopterygii__class,taxongroup_comment
96,appos> salmon,0,0.015,1,144,Actinopterygii__class,taxongroup_comment
97,appos> species,0,0.012,1,144,Actinopterygii__class,taxongroup_comment
100,appos>appos> ...,0,0.152,8,144,Actinopterygii__class,taxongroup_comment
101,appos>appos> Breeding,0,0.04,2,144,Actinopterygii__class,taxongroup_comment
102,appos>compound> ...,0,0.017,2,144,Actinopterygii__class,taxongroup_comment
103,appos>compound> Atlantic,0,0.015,1,144,Actinopterygii__class,taxongroup_comment
115,compound< ...,0,0.044,5,144,Actinopterygii__class,taxongroup_comment
119,compound< salar,0,0.049,3,144,Actinopterygii__class,taxongroup_comment
125,compound<amod> wild,0,0.015,1,144,Actinopterygii__class,taxongroup_comment
126,compound<appos< ...,0,0.007,1,144,Actinopterygii__class,taxongroup_comment
127,compound<appos< salmon,0,0.04,2,144,Actinopterygii__class,taxongroup_comment
131,compound<appos<compound> Atlantic,0,0.04,2,144,Actinopterygii__class,taxongroup_comment
134,compound<appos<det> the,0,0.012,1,144,Actinopterygii__class,taxongroup_comment
142,compound<case> ...,0,0.005,1,144,Actinopterygii__class,taxongroup_comment
