feat	count	weight	rel_role	group_name
case> ...	38.0	0.732	adaptation_comment	Actinopterygii__class
amod> ...	37.0	0.737	adaptation_comment	Actinopterygii__class
obl< ...	21.0	0.278	adaptation_comment	Actinopterygii__class
det> ...	18.0	0.913	adaptation_comment	Actinopterygii__class
compound> ...	16.0	0.258	adaptation_comment	Actinopterygii__class
nsubj< ...	14.0	0.648	adaptation_comment	Actinopterygii__class
conj<conj> ...	13.0	0.663	adaptation_comment	Actinopterygii__class
obj< ...	13.0	0.341	adaptation_comment	Actinopterygii__class
nmod< ...	12.0	0.438	adaptation_comment	Actinopterygii__class
nmod<amod> ...	11.0	0.444	adaptation_comment	Actinopterygii__class
nmod>case> ...	10.0	0.691	adaptation_comment	Actinopterygii__class
nmod> ...	10.0	0.27	adaptation_comment	Actinopterygii__class
nsubj<obj> ...	9.0	0.369	adaptation_comment	Actinopterygii__class
cop> ...	9.0	0.322	adaptation_comment	Actinopterygii__class
cop> be	9.0	0.322	adaptation_comment	Actinopterygii__class
compound< ...	9.0	0.37	adaptation_comment	Actinopterygii__class
conj< ...	8.0	0.244	adaptation_comment	Actinopterygii__class
nmod<det> ...	8.0	0.476	adaptation_comment	Actinopterygii__class
det> the	8.0	1.03	adaptation_comment	Actinopterygii__class
compound<amod> ...	7.0	0.346	adaptation_comment	Actinopterygii__class
obl<aux:pass> ...	7.0	0.374	adaptation_comment	Actinopterygii__class
nsubj> ...	7.0	0.201	adaptation_comment	Actinopterygii__class
conj> ...	7.0	0.975	adaptation_comment	Actinopterygii__class
obl<aux:pass> be	7.0	0.374	adaptation_comment	Actinopterygii__class
obl<obl> ...	6.0	0.355	adaptation_comment	Actinopterygii__class
obl<obl>case> ...	6.0	0.261	adaptation_comment	Actinopterygii__class
obl<mark> ...	6.0	0.575	adaptation_comment	Actinopterygii__class
nsubj<cop> ...	6.0	0.523	adaptation_comment	Actinopterygii__class
nsubj<cop> be	6.0	0.523	adaptation_comment	Actinopterygii__class
case> of	6.0	0.763	adaptation_comment	Actinopterygii__class
case> by	6.0	0.779	adaptation_comment	Actinopterygii__class
obl<nsubj:pass> ...	6.0	0.382	adaptation_comment	Actinopterygii__class
obl<nsubj> ...	6.0	0.594	adaptation_comment	Actinopterygii__class
acl:relcl>nsubj> ...	5.0	0.324	adaptation_comment	Actinopterygii__class
acl:relcl> ...	5.0	0.485	adaptation_comment	Actinopterygii__class
cc> and	5.0	0.283	adaptation_comment	Actinopterygii__class
obj<mark> ...	5.0	0.422	adaptation_comment	Actinopterygii__class
nsubj<obj>amod> ...	5.0	0.322	adaptation_comment	Actinopterygii__class
nsubj<obl>case> ...	5.0	0.608	adaptation_comment	Actinopterygii__class
conj<conj>compound> ...	5.0	0.371	adaptation_comment	Actinopterygii__class
obl<advmod> ...	5.0	0.236	adaptation_comment	Actinopterygii__class
cc> ...	5.0	0.274	adaptation_comment	Actinopterygii__class
compound<case> ...	5.0	0.339	adaptation_comment	Actinopterygii__class
nmod<det> the	5.0	0.529	adaptation_comment	Actinopterygii__class
nsubj<obl> ...	5.0	0.259	adaptation_comment	Actinopterygii__class
appos> ...	5.0	0.382	adaptation_comment	Actinopterygii__class
det> a	5.0	0.937	adaptation_comment	Actinopterygii__class
compound> ambush	5.0	0.189	adaptation_comment	Actinopterygii__class
nsubj:pass< ...	4.0	0.236	adaptation_comment	Actinopterygii__class
case> as	4.0	0.828	adaptation_comment	Actinopterygii__class
conj>cc> ...	4.0	0.642	adaptation_comment	Actinopterygii__class
obl<acl< ...	4.0	0.208	adaptation_comment	Actinopterygii__class
nmod<nmod> ...	4.0	0.371	adaptation_comment	Actinopterygii__class
nmod<nmod>case> ...	4.0	0.352	adaptation_comment	Actinopterygii__class
amod>advmod> ...	4.0	0.286	adaptation_comment	Actinopterygii__class
nsubj<conj> ...	4.0	0.522	adaptation_comment	Actinopterygii__class
nsubj<conj>cc> ...	4.0	0.586	adaptation_comment	Actinopterygii__class
obj<advmod> ...	4.0	0.451	adaptation_comment	Actinopterygii__class
nmod>det> ...	4.0	0.236	adaptation_comment	Actinopterygii__class
advmod> ...	4.0	0.283	adaptation_comment	Actinopterygii__class
compound<det> ...	4.0	0.658	adaptation_comment	Actinopterygii__class
nsubj:pass<aux:pass> be	4.0	0.304	adaptation_comment	Actinopterygii__class
nsubj:pass<aux:pass> ...	4.0	0.304	adaptation_comment	Actinopterygii__class
obj<acl< ...	3.0	0.356	adaptation_comment	Actinopterygii__class
compound<det> a	3.0	0.715	adaptation_comment	Actinopterygii__class
conj<conj>cc> and	3.0	0.368	adaptation_comment	Actinopterygii__class
nmod>conj> ...	3.0	0.345	adaptation_comment	Actinopterygii__class
nmod>case> in	3.0	0.749	adaptation_comment	Actinopterygii__class
nsubj<conj>cc> and	3.0	0.527	adaptation_comment	Actinopterygii__class
case> from	3.0	0.852	adaptation_comment	Actinopterygii__class
det> this	3.0	0.775	adaptation_comment	Actinopterygii__class
