feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
appos<conj>compound> european,0.983,0.0,0.577,0.134,2,Amphibian__class,taxongroup_topic
conj<conj> ...,0.975,0.0,0.537,0.17,117,Amphibian__class,taxongroup_topic
conj<obl<conj> find,0.971,0.0,0.577,0.134,2,Amphibian__class,taxongroup_topic
appos<conj>compound> american,0.955,0.0,0.577,0.134,2,Amphibian__class,taxongroup_topic
conj<conj>appos> A.,0.947,0.0,0.577,0.134,2,Amphibian__class,taxongroup_topic
obl<nsubj> frog,0.94,0.001,0.577,0.134,2,Amphibian__class,taxongroup_topic
appos<conj>compound> ...,0.936,0.001,0.577,0.134,1,Amphibian__class,taxongroup_topic
appos<conj>compound> Holarctic,0.935,0.001,0.577,0.134,2,Amphibian__class,taxongroup_topic
conj> reptiles,0.933,0.001,0.577,0.134,4,Amphibian__class,taxongroup_topic
conj<obl<conj> ...,0.933,0.001,0.577,0.134,2,Amphibian__class,taxongroup_topic
conj<conj> insect,0.931,0.001,0.385,0.346,7,Amphibian__class,taxongroup_topic
conj>amod> other,0.92,0.001,0.577,0.134,6,Amphibian__class,taxongroup_topic
appos<conj>compound> giant,0.917,0.001,0.577,0.134,4,Amphibian__class,taxongroup_topic
appos<conj>compound> China,0.914,0.001,0.577,0.134,2,Amphibian__class,taxongroup_topic
conj> amphibian,0.911,0.002,0.577,0.134,4,Amphibian__class,taxongroup_topic
cc> and,0.91,0.002,0.507,0.199,38,Amphibian__class,taxongroup_topic
conj<case> ...,0.91,0.002,0.655,0.078,7,Amphibian__class,taxongroup_topic
appos<conj>compound> Jiangxi,0.909,0.002,0.577,0.134,2,Amphibian__class,taxongroup_topic
conj>nmod>conj> ...,0.908,0.002,0.577,0.134,7,Amphibian__class,taxongroup_topic
appos<appos> frog,0.908,0.002,0.577,0.134,4,Amphibian__class,taxongroup_topic
conj<case> as,0.905,0.002,0.577,0.134,5,Amphibian__class,taxongroup_topic
conj<conj> fish,0.904,0.002,0.627,0.096,7,Amphibian__class,taxongroup_topic
conj<conj> lizard,0.904,0.002,0.327,0.429,5,Amphibian__class,taxongroup_topic
conj<conj>compound> China,0.904,0.002,0.577,0.134,2,Amphibian__class,taxongroup_topic
nmod>conj>amod> ...,0.903,0.002,0.577,0.134,4,Amphibian__class,taxongroup_topic
