,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
7,Aes-3859_43_toad-7,toad,True_toad#family,conj>,siren,NOUN,10,conj> ...,-0.49863736920555424,0.3246667396809399,Amphibian__class,free_topic,3,33
10,Afr1d9f_33_amphibians-12,amphibians,Amphibian#class,conj>,reptiles,NOUN,14,conj> reptiles,-0.5222649010963604,0.14373226609314338,Amphibian__class,free_topic,3,33
10,Andfc97_1_salamanders-7,salamanders,Salamander#order,conj>,species,NOUN,13,conj> ...,-0.4717227706114477,0.15536609238132063,Amphibian__class,free_topic,3,33
3,Aro-0c0e_21_Rana-4,Rana,Rana_genus#genus,conj>,Paliwal,PROPN,6,conj> ...,-0.3217016555269804,0.00420419642119646,Amphibian__class,free_topic,3,33
4,Ase-acb4_134_amphibians-5,amphibians,Amphibian#class,conj>,reptiles,NOUN,7,conj> reptiles,-0.5222649010963604,0.14373226609314338,Amphibian__class,free_topic,3,33
7,Ase-acb4_134_amphibians-5,amphibians,Amphibian#class,conj>,have,VERB,11,conj> ...,-0.4583522681166652,0.2605887664998972,Amphibian__class,free_topic,3,33
10,Broe6e5_4_toads-25,toads,True_toad#family,conj>,snake,NOUN,27,conj> ...,-0.45923504103319324,0.21276108471686955,Amphibian__class,free_topic,3,33
8,Bur-98f9_92_amphibians-14,amphibians,Amphibian#class,conj>,reptiles,NOUN,16,conj> reptiles,-0.5222649010963604,0.14373226609314338,Amphibian__class,free_topic,3,33
4,Chi-0753_106_salamanders-5,salamanders,Salamander#order,conj>,herb,NOUN,7,conj> ...,-0.24652119394737315,0.31636525571694285,Amphibian__class,free_topic,3,33
6,Chi-0753_106_salamanders-5,salamanders,Salamander#order,conj>,mushroom,NOUN,10,conj> ...,-0.3515076671061398,0.2914224541388214,Amphibian__class,free_topic,3,33
15,Chi-6d74_2_frogs-18,frogs,Leptodactylus#genus,conj>,frog,NOUN,24,conj> frog,-0.45838869145233463,0.2750743177487789,Amphibian__class,free_topic,3,33
12,Chia895_4_salamanders-11,salamanders,Salamander#order,conj>,reach,VERB,14,conj> ...,-0.326461548940354,0.39708751373852713,Amphibian__class,free_topic,3,33
7,Com-f222_405_frogs-16,frogs,Frog#order,conj>,toad,NOUN,18,conj> toad,-0.41412283788551857,0.24904132573946652,Amphibian__class,free_topic,3,33
11,Cro-9102_104_salamanders-27,salamanders,Salamander#order,conj>,lizard,NOUN,29,conj> lizard,-0.4758968065064815,0.21494773384843047,Amphibian__class,free_topic,3,33
4,Cro-9102_581_Amphibia-5,Amphibia,Amphibian#class,conj>,Reptilia,PROPN,7,conj> ...,-0.48333169434426887,-0.05087706246169486,Amphibian__class,free_topic,3,33
7,Eur-0e00_129_amphibians-15,amphibians,Amphibian#class,conj>,bird,NOUN,17,conj> bird,-0.4041750139942275,0.18317147830075237,Amphibian__class,free_topic,3,33
10,Eur-0e00_142_frogs-13,frogs,Frog#order,conj>,toad,NOUN,15,conj> toad,-0.41412283788551857,0.24904132573946652,Amphibian__class,free_topic,3,33
8,Fro8fc3_36_frog-7,frog,Frog#order,conj>,toad,NOUN,10,conj> toad,-0.41412283788551857,0.24904132573946652,Amphibian__class,free_topic,3,33
11,Gre-75d0_17_amphibians-58,amphibians,Amphibian#class,conj>,reptiles,NOUN,60,conj> reptiles,-0.5222649010963604,0.14373226609314338,Amphibian__class,free_topic,3,33
9,Jag-fac8_264_amphibian-12,amphibian,Amphibian#class,conj>,reptile,NOUN,14,conj> ...,-0.5461400051586837,0.12024418169421926,Amphibian__class,free_topic,3,33
9,Lat-c298_4_amphibians-31,amphibians,Amphibian#class,conj>,reptiles,NOUN,33,conj> reptiles,-0.5222649010963604,0.14373226609314338,Amphibian__class,free_topic,3,33
11,Lat-c298_4_amphibians-31,amphibians,Amphibian#class,conj>,mammal,NOUN,35,conj> mammal,-0.5069330715467051,0.26154949510340925,Amphibian__class,free_topic,3,33
4,Nor-4c81_106_salamanders-4,salamanders,Salamander#order,conj>,newt,NOUN,6,conj> newt,-0.4444242944668238,0.306971894887377,Amphibian__class,free_topic,3,33
8,Nor-d13e_182_Rana-11,Rana,Rana_genus#genus,conj>,Hyla,PROPN,13,conj> ...,-0.4686246603394645,-0.1643955510730396,Amphibian__class,free_topic,3,33
6,Rai-7e47_72_amphibians-21,amphibians,Amphibian#class,conj>,reptiles,NOUN,23,conj> reptiles,-0.5222649010963604,0.14373226609314338,Amphibian__class,free_topic,3,33
10,Rep66e7_17_amphibians-12,amphibians,Amphibian#class,conj>,reptiles,NOUN,14,conj> reptiles,-0.5222649010963604,0.14373226609314338,Amphibian__class,free_topic,3,33
1,Sal5bb9_1_Salamanders-1,Salamanders,Salamander#order,conj>,newt,NOUN,3,conj> newt,-0.4444242944668238,0.306971894887377,Amphibian__class,free_topic,3,33
6,Sca-502f_54_salamander-51,salamander,Salamander#order,nmod<conj<conj>,range,NOUN,37,nmod<conj<conj> ...,-0.5318216291011786,-0.14079507543609918,Amphibian__class,free_topic,3,33
2,Sex-811c_145_amphibians-2,amphibians,Amphibian#class,conj>,reptiles,NOUN,4,conj> reptiles,-0.5222649010963604,0.14373226609314338,Amphibian__class,free_topic,3,33
4,Sex-811c_145_amphibians-2,amphibians,Amphibian#class,conj>,degree,NOUN,7,conj> ...,-0.4433795125803645,0.26305046264816884,Amphibian__class,free_topic,3,33
5,Sex-811c_146_amphibians-5,amphibians,Amphibian#class,conj>,reptiles,NOUN,7,conj> reptiles,-0.5222649010963604,0.14373226609314338,Amphibian__class,free_topic,3,33
8,Smo-748b_92_Amphibians-8,Amphibians,Amphibian#class,conj>,reptiles,PROPN,10,conj> reptiles,-0.5222649010963604,0.14373226609314338,Amphibian__class,free_topic,3,33
11,Sto-1ff0_122_amphibians-19,amphibians,Amphibian#class,conj>,lizard,NOUN,21,conj> lizard,-0.4758968065064815,0.21494773384843047,Amphibian__class,free_topic,3,33
13,Sto-1ff0_122_amphibians-19,amphibians,Amphibian#class,conj>,insect,NOUN,24,conj> insect,-0.40022950571104454,0.34888527179709306,Amphibian__class,free_topic,3,33
6,Tri-5b33_10_newts-5,newts,Great_Crested_Newt#species,conj>,species,NOUN,8,conj> ...,-0.4717227706114477,0.15536609238132063,Amphibian__class,free_topic,3,33
2,Vip0f15_7_toads-11,toads,True_toad#family,conj>,lizard,NOUN,13,conj> lizard,-0.4758968065064815,0.21494773384843047,Amphibian__class,free_topic,3,33
4,Vip0f15_7_toads-11,toads,True_toad#family,conj>,grass,NOUN,15,conj> ...,-0.2893208000923304,0.44421484925844407,Amphibian__class,free_topic,3,33
5,Wes-8d71_350_toad-28,toad,True_toad#family,nmod<conj<conj>,anole,NOUN,15,nmod<conj<conj> ...,-0.3312702172421887,-0.05218365025747981,Amphibian__class,free_topic,3,33
6,Wes-8d71_350_toad-28,toad,True_toad#family,nmod<conj<conj>,lizard,NOUN,19,nmod<conj<conj> lizard,-0.5226905633065011,-0.1422346832894772,Amphibian__class,free_topic,3,33
4,Nor-d13e_182_amphibians-4,amphibians,Amphibian#class,conj>,reptiles,NOUN,6,conj> reptiles,-0.5222649010963604,0.14373226609314338,Amphibian__class,free_topic,3,33
5,Add-f0f0_10_amphibians-12,amphibians,Amphibian#class,conj<conj>,bird,NOUN,7,conj<conj> bird,0.2520644789231362,0.12416752489284368,Amphibian__class,free_topic,1,85
6,Add-f0f0_10_amphibians-12,amphibians,Amphibian#class,conj<conj>,lizard,NOUN,9,conj<conj> lizard,0.4198187146262928,-0.1497510890673771,Amphibian__class,free_topic,1,85
2,Aga-5c3b_47_Amphibians-3,Amphibians,Amphibian#class,conj<nmod>case>,of,ADP,4,conj<nmod>case> of,0.2538947088484484,-0.1253350288401363,Amphibian__class,free_topic,1,85
9,Ame-86f0_123_amphibians-29,amphibians,Amphibian#class,conj<conj>,reptiles,NOUN,27,conj<conj> reptiles,0.3497757609109312,-0.07375463743153471,Amphibian__class,free_topic,1,85
11,Ame-86f0_123_amphibians-29,amphibians,Amphibian#class,conj<conj>,fish,NOUN,32,conj<conj> fish,0.3072369438554186,-0.22015084438808546,Amphibian__class,free_topic,1,85
4,Boa-7d46_71_amphibians-15,amphibians,Amphibian#class,conj<conj>,bird,NOUN,8,conj<conj> bird,0.2520644789231362,0.12416752489284368,Amphibian__class,free_topic,1,85
5,Boa-7d46_71_amphibians-15,amphibians,Amphibian#class,conj<conj>,bat,NOUN,10,conj<conj> ...,0.3140170954801584,-0.018467010622430176,Amphibian__class,free_topic,1,85
