,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
4,Chi-0753_46_salamanders-4,salamanders,Chinese_giant_salamander#species,conj>,matur,VERB,6,conj> ...,0.5698062933996061,-0.451654719969312,Amphibian__class,taxongroup_comment,7,19
7,Fro-2392_30_frog-7,frog,Common_frog#species,conj>,toad,NOUN,9,conj> toad,0.5995853094637053,-0.4734833951614246,Amphibian__class,taxongroup_comment,7,19
7,Com-43a2_60_toad-23,toad,Common_Toad#species,cc>,and,CCONJ,19,cc> and,0.40198483983635697,0.451445787754255,Amphibian__class,taxongroup_comment,7,19
2,Com-43a2_62_toad-15,toad,Common_Toad#species,obl<nsubj>,glands,NOUN,3,obl<nsubj> ...,0.5207697681607875,-0.20058627485284614,Amphibian__class,taxongroup_comment,7,19
4,Com-9abd_2_toad-4,toad,Common_Toad#species,conj>,star-fingered,VERB,6,conj> ...,0.714152806917544,-0.3829837426547938,Amphibian__class,taxongroup_comment,7,19
12,Sal-5617_229_salamanders-14,salamanders,Salamander#order,nmod<conj<conj>,develop,VERB,18,nmod<conj<conj> ...,0.4661130683492594,0.22013212101898716,Amphibian__class,taxongroup_comment,7,19
1,Ver-1720_11_vertebrates-4,vertebrates,Chordate#phylum,cc>,or,CCONJ,2,cc> or,0.3896254856300732,0.4397810925294927,Amphibian__class,taxongroup_comment,7,19
11,Amp-436a_501_vertebrates-12,vertebrates,Chordate#phylum,conj>,variation,NOUN,15,conj> ...,0.6334883901454951,-0.19612504871835812,Amphibian__class,taxongroup_comment,7,19
10,Tru-b16e_2_frogs-17,frogs,Frog#order,conj>,toad,NOUN,19,conj> toad,0.5995853094637053,-0.4734833951614246,Amphibian__class,taxongroup_comment,7,19
5,Chi-0753_166_amphibians-3,amphibians,Amphibian#class,obl<nsubj>,salamander,NOUN,8,obl<nsubj> ...,0.43366009827753765,-0.4365468039156731,Amphibian__class,taxongroup_comment,7,19
10,Cam-4bd8_107_animal-21,animal,Animal#kingdom,conj>,vehicle,NOUN,24,conj> ...,0.5090042775154477,-0.3816996861427159,Amphibian__class,taxongroup_comment,7,19
2,Fro-2392_485_frogs-2,frogs,Frog#order,conj>,toad,NOUN,4,conj> toad,0.5995853094637053,-0.4734833951614246,Amphibian__class,taxongroup_comment,7,19
9,Pan-2813_2_toad-16,toad,True_toad#family,conj>,name,NOUN,19,conj> ...,0.3585398914098049,-0.21861310706008336,Amphibian__class,taxongroup_comment,7,19
7,Com-f597_132_Rana-10,Rana,Rana_genus#genus,cc>,and,CCONJ,9,cc> and,0.40198483983635697,0.451445787754255,Amphibian__class,taxongroup_comment,7,19
0,Sal-5617_181_amphibians-7,amphibians,Amphibian#class,obl<nsubj>,Salamander,NOUN,1,obl<nsubj> ...,0.21311378065055725,-0.47271081626141137,Amphibian__class,taxongroup_comment,7,19
2,Ovi-8c33_10_vertebrates-3,vertebrates,Chordate#phylum,obl<nsubj>,ovuliparity,NOUN,5,obl<nsubj> ...,0.4344679331748122,-0.3795241637583684,Amphibian__class,taxongroup_comment,7,19
6,Ver-1720_136_vertebrates-36,vertebrates,Chordate#phylum,obl<nsubj>,fish,NOUN,29,obl<nsubj> ...,0.5043774069102583,-0.3887350968262552,Amphibian__class,taxongroup_comment,7,19
4,Ver-1720_136_vertebrates-25,vertebrates,Chordate#phylum,obl<nsubj>,agnathan,NOUN,18,obl<nsubj> ...,0.2531220601304572,-0.15373170909072856,Amphibian__class,taxongroup_comment,7,19
0,Add-f0f0_105_amphibians-5,amphibians,Amphibian#class,obl<nsubj>,Adder,NOUN,1,obl<nsubj> ...,0.18619914302799873,-0.30084912737729735,Amphibian__class,taxongroup_comment,7,19
7,Com-f597_2_frog-27,frog,Common_frog#species,conj<,frog,NOUN,18,conj< frog,0.43016622444461583,0.1083256055952312,Amphibian__class,taxongroup_comment,0,49
12,Com-f597_2_frog-27,frog,Common_frog#species,compound>,european,PROPN,25,compound> european,0.2750106156623568,0.2692469554402289,Amphibian__class,taxongroup_comment,0,49
