,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
3,Com-f597_2_frog-3,frog,Common_frog#species,conj>,grass,NOUN,5,conj> ...,0.3918022989027687,-0.13704401967794974,Amphibian__class,taxongroup_topic,4,13
0,Fro-2392_485_toads-4,toads,Common_Toad#species,conj<amod>,captive,ADJ,1,conj<amod> ...,0.5437199430974691,0.14041783538809668,Amphibian__class,taxongroup_topic,4,13
10,Chi-0753_173_salamander-10,salamander,Chinese_giant_salamander#species,conj>,davidianus,NOUN,13,conj> ...,0.35949397655740667,-0.01917429374299881,Amphibian__class,taxongroup_topic,4,13
4,Chi-0753_46_salamanders-4,salamanders,Chinese_giant_salamander#species,conj>,matur,VERB,6,conj> ...,0.3718100100853255,-0.14481557168290743,Amphibian__class,taxongroup_topic,4,13
3,Com-43a2_30_toad-22,toad,Common_Toad#species,conj<amod>,spiny,ADJ,4,conj<amod> ...,0.4826743124915043,-0.21526248186858649,Amphibian__class,taxongroup_topic,4,13
4,Com-9abd_2_toad-4,toad,Common_Toad#species,conj>,star-fingered,VERB,6,conj> ...,0.5342004456175748,-0.09268557407787296,Amphibian__class,taxongroup_topic,4,13
8,Sal-5617_98_Plethodontidae-7,Plethodontidae,Lungless_salamander#family,conj>,salamander,NOUN,11,conj> salamander,0.5486503355164112,-0.07939581638381372,Amphibian__class,taxongroup_topic,4,13
3,Amp-436a_124_amphibian-3,amphibian,Amphibian#class,conj>,vertebrate,NOUN,6,conj> vertebrate,0.5453395736570629,-0.0981133729848006,Amphibian__class,taxongroup_topic,4,13
3,Amp-436a_18_amphibian-3,amphibian,Amphibian#class,conj>,vertebrate,NOUN,6,conj> vertebrate,0.5453395736570629,-0.0981133729848006,Amphibian__class,taxongroup_topic,4,13
7,Cae-3f0c_99_caecilians-26,caecilians,Caecilian#order,conj>,member,NOUN,29,conj> ...,0.45008275864748865,-0.06018936834528128,Amphibian__class,taxongroup_topic,4,13
9,Sna-dfa9_96_caecilians-10,caecilians,Caecilian#order,conj>,aistopod,NOUN,18,conj> ...,0.43465761709724804,-0.156802100365669,Amphibian__class,taxongroup_topic,4,13
6,Fro8fc3_66_frogs-7,frogs,Frog#order,conj>,toad,NOUN,9,conj> toad,0.5264923555170115,-0.05047737290333422,Amphibian__class,taxongroup_topic,4,13
6,Aqu-83c9_216_frogs-7,frogs,Frog#order,conj>,toad,NOUN,9,conj> toad,0.5264923555170115,-0.05047737290333422,Amphibian__class,taxongroup_topic,4,13
6,Com-f597_25_toad-13,toad,Common_Toad#species,case>,compare,VERB,9,case> ...,0.40925807416275106,-0.1714642064838678,Amphibian__class,taxongroup_topic,1,58
7,Com-f597_25_toad-13,toad,Common_Toad#species,case>,to,ADP,10,case> to,0.6027123890826243,-0.1875920244373867,Amphibian__class,taxongroup_topic,1,58
5,Com-43a2_169_toads-14,toads,Common_Toad#species,case>,in,ADP,12,case> in,0.6101879737866128,-0.186936324575296,Amphibian__class,taxongroup_topic,1,58
5,Fro-2392_282_frog-20,frog,Marsh_Frog#species,case>,of,ADP,17,case> of,0.6194234110334583,-0.2541645971421045,Amphibian__class,taxongroup_topic,1,58
4,Fro-2392_34_frog-25,frog,Panamanian_golden_frog#species,case>,whereas,SCONJ,21,case> ...,0.5272396956720394,-0.1564079376421715,Amphibian__class,taxongroup_topic,1,58
3,Sal-7dcf_39_salamander-7,salamander,Salamander#order,case>,of,ADP,5,case> of,0.6194234110334583,-0.2541645971421045,Amphibian__class,taxongroup_topic,1,58
2,Sal-5617_113_salamander-8,salamander,Salamander#order,case>,such,ADJ,3,case> such,0.6028951812430167,-0.35843855412000825,Amphibian__class,taxongroup_topic,1,58
11,Amp-436a_126_salamander-17,salamander,Chinese_giant_salamander#species,case>,in,ADP,13,case> in,0.6101879737866128,-0.186936324575296,Amphibian__class,taxongroup_topic,1,58
4,Amp-436a_165_salamander-9,salamander,Chinese_giant_salamander#species,case>,from,ADP,5,case> from,0.6739294733596762,-0.15329499504809535,Amphibian__class,taxongroup_topic,1,58
4,Com-43a2_228_toad-18,toad,Common_Toad#species,case>,of,ADP,15,case> of,0.6194234110334583,-0.2541645971421045,Amphibian__class,taxongroup_topic,1,58
6,Com-43a2_109_toad-10,toad,Common_Toad#species,case>,of,ADP,7,case> of,0.6194234110334583,-0.2541645971421045,Amphibian__class,taxongroup_topic,1,58
6,Com-43a2_2_toad-26,toad,Common_Toad#species,case>,from,ADP,22,case> from,0.6739294733596762,-0.15329499504809535,Amphibian__class,taxongroup_topic,1,58
4,Sal-1f76_2_salamanders-10,salamanders,Salamandridae#family,case>,of,ADP,8,case> of,0.6194234110334583,-0.2541645971421045,Amphibian__class,taxongroup_topic,1,58
4,Sal-1f76_2_salamanders-6,salamanders,Salamandridae#family,case>,of,ADP,5,case> of,0.6194234110334583,-0.2541645971421045,Amphibian__class,taxongroup_topic,1,58
5,Jap-6cb7_121_Andrias-9,Andrias,Andrias#genus,case>,at,ADP,6,case> ...,0.39940030987402947,-0.09259136850097509,Amphibian__class,taxongroup_topic,1,58
5,Chi-0753_10_Andrias-11,Andrias,Andrias#genus,case>,of,ADP,10,case> of,0.6194234110334583,-0.2541645971421045,Amphibian__class,taxongroup_topic,1,58
2,Amp-436a_613_Andrias-6,Andrias,Andrias#genus,case>,of,ADP,3,case> of,0.6194234110334583,-0.2541645971421045,Amphibian__class,taxongroup_topic,1,58
2,Fro-2392_682_Anura-5,Anura,Frog#order,case>,of,ADP,4,case> of,0.6194234110334583,-0.2541645971421045,Amphibian__class,taxongroup_topic,1,58
8,Aqu-83c9_216_Anura-13,Anura,Frog#order,case>,of,ADP,10,case> of,0.6194234110334583,-0.2541645971421045,Amphibian__class,taxongroup_topic,1,58
6,Tru-b16e_2_Bufonidae-10,Bufonidae,True_toad#family,case>,of,ADP,7,case> of,0.6194234110334583,-0.2541645971421045,Amphibian__class,taxongroup_topic,1,58
7,Chi-0753_161_salamander-16,salamander,Chinese_giant_salamander#species,case>,for,ADP,12,case> for,0.5911449636314411,-0.2726480636272607,Amphibian__class,taxongroup_topic,1,58
1,Chi-0753_108_salamanders-8,salamanders,Chinese_giant_salamander#species,case>,of,ADP,2,case> of,0.6194234110334583,-0.2541645971421045,Amphibian__class,taxongroup_topic,1,58
6,Chi-0753_84_salamander-23,salamander,Chinese_giant_salamander#species,case>,to,ADP,18,case> to,0.6027123890826243,-0.1875920244373867,Amphibian__class,taxongroup_topic,1,58
4,Chi-0753_39_salamanders-29,salamanders,Salamander#order,case>,of,ADP,25,case> of,0.6194234110334583,-0.2541645971421045,Amphibian__class,taxongroup_topic,1,58
3,Chi-0753_55_salamander-9,salamander,Chinese_giant_salamander#species,case>,of,ADP,4,case> of,0.6194234110334583,-0.2541645971421045,Amphibian__class,taxongroup_topic,1,58
3,Chi-0753_109_salamanders-9,salamanders,Chinese_giant_salamander#species,case>,of,ADP,4,case> of,0.6194234110334583,-0.2541645971421045,Amphibian__class,taxongroup_topic,1,58
8,Chi-0753_55_salamander-22,salamander,Salamander#order,case>,of,ADP,17,case> of,0.6194234110334583,-0.2541645971421045,Amphibian__class,taxongroup_topic,1,58
3,Com-f597_60_frogs-6,frogs,Common_frog#species,case>,on,ADP,4,case> ...,0.6394550161850404,-0.2538039202329934,Amphibian__class,taxongroup_topic,1,58
8,Com-f597_127_frog-10,frog,Common_frog#species,case>,'s,PART,11,case> ...,0.5541618440959895,-0.38660941760015827,Amphibian__class,taxongroup_topic,1,58
2,Fro-2392_30_frog-7,frog,Common_frog#species,case>,of,ADP,3,case> of,0.6194234110334583,-0.2541645971421045,Amphibian__class,taxongroup_topic,1,58
0,Jap-6cb7_83_salamander-7,salamander,Japanese_giant_salamander#species,case>,as,ADP,1,case> as,0.6714747734025609,-0.3215726365854336,Amphibian__class,taxongroup_topic,1,58
9,Lun8dad_1_salamanders-13,salamanders,Salamander#order,case>,of,ADP,12,case> of,0.6194234110334583,-0.2541645971421045,Amphibian__class,taxongroup_topic,1,58
3,Pan-2813_105_frog-9,frog,Panamanian_golden_frog#species,case>,include,VERB,5,case> ...,0.5197171789355817,-0.3187322941128057,Amphibian__class,taxongroup_topic,1,58
2,Amp-436a_433_Plethodontidae-6,Plethodontidae,Lungless_salamander#family,case>,in,ADP,3,case> in,0.6101879737866128,-0.186936324575296,Amphibian__class,taxongroup_topic,1,58
6,Sal-7dcf_2_salamander-12,salamander,Siberian_salamander#species,case>,of,ADP,11,case> of,0.6194234110334583,-0.2541645971421045,Amphibian__class,taxongroup_topic,1,58
1,Tex-0ac3_39_salamander-5,salamander,Texas_blind_salamander#species,case>,of,ADP,2,case> of,0.6194234110334583,-0.2541645971421045,Amphibian__class,taxongroup_topic,1,58
4,Tex-0ac3_43_salamander-12,salamander,Texas_blind_salamander#species,case>,of,ADP,8,case> of,0.6194234110334583,-0.2541645971421045,Amphibian__class,taxongroup_topic,1,58
5,Tru-a487_12_frogs-8,frogs,True_frog#family,case>,of,ADP,6,case> of,0.6194234110334583,-0.2541645971421045,Amphibian__class,taxongroup_topic,1,58
6,Pte-5908_23_amphibians-31,amphibians,Amphibian#class,case>,on,ADP,29,case> ...,0.6394550161850404,-0.2538039202329934,Amphibian__class,taxongroup_topic,1,58
7,Ver-1720_125_amphibians-19,amphibians,Amphibian#class,case>,of,ADP,17,case> of,0.6194234110334583,-0.2541645971421045,Amphibian__class,taxongroup_topic,1,58
3,Ampacea_37_caecilians-5,caecilians,Caecilian#order,case>,of,ADP,4,case> of,0.6194234110334583,-0.2541645971421045,Amphibian__class,taxongroup_topic,1,58
4,Cae-3f0c_149_caecilians-11,caecilians,Caecilian#order,case>,of,ADP,10,case> of,0.6194234110334583,-0.2541645971421045,Amphibian__class,taxongroup_topic,1,58
