,feat,cluster,pw_entr,feat_n,N,group,relrole
6,advmod> ...,0,0.025,2,134,Amphibian__class,adaptation_topic
7,amod> ...,0,0.006,5,134,Amphibian__class,adaptation_topic
11,amod> chinese,0,-0.002,1,134,Amphibian__class,adaptation_topic
12,amod> common,0,-0.01,1,134,Amphibian__class,adaptation_topic
13,amod> crest,0,0.001,1,134,Amphibian__class,adaptation_topic
14,amod> crested,0,0.006,2,134,Amphibian__class,adaptation_topic
15,amod> giant,0,0.017,2,134,Amphibian__class,adaptation_topic
17,amod> northern,0,-0.0,1,134,Amphibian__class,adaptation_topic
54,appos> Bufo,0,0.012,1,134,Amphibian__class,adaptation_topic
75,appos>flat> bufo,0,0.012,1,134,Amphibian__class,adaptation_topic
77,appos>nmod> ...,0,0.009,1,134,Amphibian__class,adaptation_topic
78,appos>nmod>case> ...,0,0.009,1,134,Amphibian__class,adaptation_topic
80,case> ...,0,0.009,1,134,Amphibian__class,adaptation_topic
84,case> in,0,0.007,1,134,Amphibian__class,adaptation_topic
90,cc> ...,0,0.018,1,134,Amphibian__class,adaptation_topic
91,cc> and,0,0.064,4,134,Amphibian__class,adaptation_topic
92,cc> or,0,0.035,2,134,Amphibian__class,adaptation_topic
100,compound> ...,0,-0.0,1,134,Amphibian__class,adaptation_topic
101,compound> China,0,0.012,1,134,Amphibian__class,adaptation_topic
102,compound> Pipa,0,0.012,1,134,Amphibian__class,adaptation_topic
103,compound> South,0,0.012,1,134,Amphibian__class,adaptation_topic
114,conj< ...,0,0.058,4,134,Amphibian__class,adaptation_topic
115,conj< frog,0,0.046,3,134,Amphibian__class,adaptation_topic
116,conj< salamander,0,0.029,2,134,Amphibian__class,adaptation_topic
117,conj< toad,0,0.035,2,134,Amphibian__class,adaptation_topic
118,conj<amod> ...,0,0.088,6,134,Amphibian__class,adaptation_topic
119,conj<amod> common,0,0.053,3,134,Amphibian__class,adaptation_topic
129,conj<case> ...,0,0.071,4,134,Amphibian__class,adaptation_topic
130,conj<compound> ...,0,0.064,4,134,Amphibian__class,adaptation_topic
131,conj<conj> ...,0,0.105,7,134,Amphibian__class,adaptation_topic
133,conj<conj> part,0,0.035,2,134,Amphibian__class,adaptation_topic
134,conj<conj> toad,0,0.025,2,134,Amphibian__class,adaptation_topic
135,conj<conj>advmod> ...,0,0.009,1,134,Amphibian__class,adaptation_topic
136,conj<conj>amod> ...,0,0.031,3,134,Amphibian__class,adaptation_topic
137,conj<conj>amod> Anglophone,0,0.035,2,134,Amphibian__class,adaptation_topic
138,conj<conj>cc> and,0,0.025,2,134,Amphibian__class,adaptation_topic
139,conj<conj>cc> or,0,0.035,2,134,Amphibian__class,adaptation_topic
140,conj<conj>compound> ...,0,0.019,2,134,Amphibian__class,adaptation_topic
142,conj<det> the,0,0.088,5,134,Amphibian__class,adaptation_topic
143,conj<nsubj< ...,0,0.018,1,134,Amphibian__class,adaptation_topic
144,conj<nsubj< frog,0,0.035,2,134,Amphibian__class,adaptation_topic
145,conj<nsubj<conj> island,0,0.035,2,134,Amphibian__class,adaptation_topic
146,conj<nsubj<conj> portion,0,0.035,2,134,Amphibian__class,adaptation_topic
147,conj<nsubj<cop> be,0,0.053,3,134,Amphibian__class,adaptation_topic
148,conj<nsubj<nmod> exception,0,0.035,2,134,Amphibian__class,adaptation_topic
149,conj<nsubj<nmod> part,0,0.035,2,134,Amphibian__class,adaptation_topic
150,conj<parataxis<conj> ...,0,0.071,4,134,Amphibian__class,adaptation_topic
151,conj> ...,0,0.003,1,134,Amphibian__class,adaptation_topic
153,conj> newt,0,0.012,1,134,Amphibian__class,adaptation_topic
156,conj>amod> ...,0,-0.002,1,134,Amphibian__class,adaptation_topic
158,conj>cc> and,0,0.01,2,134,Amphibian__class,adaptation_topic
161,conj>compound> newt,0,0.012,1,134,Amphibian__class,adaptation_topic
163,conj>det> the,0,0.003,1,134,Amphibian__class,adaptation_topic
164,det> ...,0,0.018,1,134,Amphibian__class,adaptation_topic
167,det> the,0,-0.008,6,134,Amphibian__class,adaptation_topic
242,nsubj< ...,0,-0.006,1,134,Amphibian__class,adaptation_topic
247,nsubj< produce,0,0.012,1,134,Amphibian__class,adaptation_topic
249,nsubj<advcl> ...,0,0.013,2,134,Amphibian__class,adaptation_topic
252,nsubj<advcl>mark> ...,0,0.003,1,134,Amphibian__class,adaptation_topic
253,nsubj<advcl>mark> although,0,0.012,1,134,Amphibian__class,adaptation_topic
254,nsubj<advcl>nsubj> ...,0,0.029,2,134,Amphibian__class,adaptation_topic
257,nsubj<advmod> ...,0,0.0,1,134,Amphibian__class,adaptation_topic
281,nsubj<obj> ...,0,0.004,2,134,Amphibian__class,adaptation_topic
282,nsubj<obj>amod> ...,0,0.001,1,134,Amphibian__class,adaptation_topic
285,nsubj<obj>det> a,0,0.003,1,134,Amphibian__class,adaptation_topic
286,nsubj<obj>nmod> ...,0,0.007,1,134,Amphibian__class,adaptation_topic
306,acl> ...,1,-0.0,1,320,Amphibian__class,adaptation_topic
307,acl>obl> ...,1,-0.0,1,320,Amphibian__class,adaptation_topic
308,acl>obl>amod> ...,1,0.005,1,320,Amphibian__class,adaptation_topic
310,acl>obl>case> ...,1,0.001,1,320,Amphibian__class,adaptation_topic
313,amod> ...,1,0.023,16,320,Amphibian__class,adaptation_topic
317,amod> chinese,1,0.003,4,320,Amphibian__class,adaptation_topic
318,amod> common,1,-0.005,7,320,Amphibian__class,adaptation_topic
319,amod> crest,1,0.009,4,320,Amphibian__class,adaptation_topic
320,amod> crested,1,-0.004,1,320,Amphibian__class,adaptation_topic
322,amod> japanese,1,-0.002,1,320,Amphibian__class,adaptation_topic
323,amod> northern,1,0.011,5,320,Amphibian__class,adaptation_topic
324,amod>advmod> ...,1,0.006,3,320,Amphibian__class,adaptation_topic
325,appos< ...,1,-0.002,1,320,Amphibian__class,adaptation_topic
338,appos<compound> ...,1,0.001,1,320,Amphibian__class,adaptation_topic
346,appos<det> the,1,0.001,1,320,Amphibian__class,adaptation_topic
353,appos<nsubj< ...,1,0.005,1,320,Amphibian__class,adaptation_topic
359,appos> ...,1,-0.004,3,320,Amphibian__class,adaptation_topic
362,appos> davidianus,1,0.007,2,320,Amphibian__class,adaptation_topic
371,appos>compound> ...,1,0.002,2,320,Amphibian__class,adaptation_topic
380,appos>flat> ...,1,0.005,1,320,Amphibian__class,adaptation_topic
385,case> 's,1,0.002,1,320,Amphibian__class,adaptation_topic
386,case> ...,1,0.007,2,320,Amphibian__class,adaptation_topic
387,case> by,1,0.007,2,320,Amphibian__class,adaptation_topic
388,case> for,1,0.014,3,320,Amphibian__class,adaptation_topic
389,case> from,1,0.005,2,320,Amphibian__class,adaptation_topic
390,case> in,1,0.011,3,320,Amphibian__class,adaptation_topic
391,case> of,1,0.075,18,320,Amphibian__class,adaptation_topic
393,case> such,1,0.019,4,320,Amphibian__class,adaptation_topic
394,case> to,1,0.007,2,320,Amphibian__class,adaptation_topic
395,case>fixed> as,1,0.019,4,320,Amphibian__class,adaptation_topic
399,compound< ...,1,0.001,1,320,Amphibian__class,adaptation_topic
400,compound< species,1,0.009,2,320,Amphibian__class,adaptation_topic
401,compound<amod> ...,1,0.016,4,320,Amphibian__class,adaptation_topic
402,compound<conj<amod> ...,1,0.002,1,320,Amphibian__class,adaptation_topic
403,compound<conj<amod> northern,1,0.002,1,320,Amphibian__class,adaptation_topic
405,compound<det> the,1,0.001,1,320,Amphibian__class,adaptation_topic
406,compound> ...,1,0.006,4,320,Amphibian__class,adaptation_topic
411,compound> dart,1,0.022,8,320,Amphibian__class,adaptation_topic
412,compound> giant,1,0.0,5,320,Amphibian__class,adaptation_topic
413,compound> jungle,1,-0.004,1,320,Amphibian__class,adaptation_topic
414,compound> palmate,1,0.001,1,320,Amphibian__class,adaptation_topic
415,compound> poison,1,0.013,6,320,Amphibian__class,adaptation_topic
457,conj> ...,1,-0.001,1,320,Amphibian__class,adaptation_topic
459,conj> newt,1,0.002,1,320,Amphibian__class,adaptation_topic
460,conj> salamander,1,0.001,1,320,Amphibian__class,adaptation_topic
461,conj> toad,1,-0.0,1,320,Amphibian__class,adaptation_topic
462,conj>amod> ...,1,-0.0,3,320,Amphibian__class,adaptation_topic
463,conj>amod> giant,1,0.002,1,320,Amphibian__class,adaptation_topic
464,conj>cc> and,1,0.002,3,320,Amphibian__class,adaptation_topic
465,conj>cc> or,1,0.002,1,320,Amphibian__class,adaptation_topic
466,conj>compound> ...,1,0.005,2,320,Amphibian__class,adaptation_topic
469,conj>det> the,1,-0.001,1,320,Amphibian__class,adaptation_topic
471,det> a,1,0.02,5,320,Amphibian__class,adaptation_topic
473,det> the,1,0.016,22,320,Amphibian__class,adaptation_topic
474,nmod< ...,1,0.095,21,320,Amphibian__class,adaptation_topic
475,nmod< range,1,0.001,1,320,Amphibian__class,adaptation_topic
476,nmod< search,1,0.019,4,320,Amphibian__class,adaptation_topic
477,nmod< species,1,0.005,2,320,Amphibian__class,adaptation_topic
478,nmod<advmod> ...,1,0.009,2,320,Amphibian__class,adaptation_topic
