,feat,cluster,pw_entr,feat_n,N,group,relrole
0,acl:relcl> ...,0,-0.001,1,791,Amphibian__class,taxongroup_comment
2,acl:relcl> live,0,0.001,1,791,Amphibian__class,taxongroup_comment
7,acl:relcl>aux> ...,0,0.001,1,791,Amphibian__class,taxongroup_comment
8,acl:relcl>cop> be,0,-0.0,1,791,Amphibian__class,taxongroup_comment
9,acl:relcl>nsubj> ...,0,0.002,1,791,Amphibian__class,taxongroup_comment
11,acl:relcl>nsubj> which,0,0.0,1,791,Amphibian__class,taxongroup_comment
12,acl:relcl>obj> ...,0,0.0,1,791,Amphibian__class,taxongroup_comment
22,acl> ...,0,-0.001,1,791,Amphibian__class,taxongroup_comment
23,acl> contain,0,0.001,1,791,Amphibian__class,taxongroup_comment
24,acl>obj> ...,0,0.0,1,791,Amphibian__class,taxongroup_comment
25,acl>obl> ...,0,-0.001,1,791,Amphibian__class,taxongroup_comment
26,acl>obl>case> ...,0,-0.001,1,791,Amphibian__class,taxongroup_comment
32,advmod> ...,0,0.001,1,791,Amphibian__class,taxongroup_comment
33,amod> ...,0,-0.002,18,791,Amphibian__class,taxongroup_comment
35,amod> aquatic,0,0.002,2,791,Amphibian__class,taxongroup_comment
37,amod> chinese,0,-0.002,5,791,Amphibian__class,taxongroup_comment
38,amod> common,0,-0.004,2,791,Amphibian__class,taxongroup_comment
39,amod> giant,0,-0.001,1,791,Amphibian__class,taxongroup_comment
40,amod> japanese,0,-0.0,1,791,Amphibian__class,taxongroup_comment
41,amod> largest,0,-0.001,1,791,Amphibian__class,taxongroup_comment
42,amod> lungless,0,-0.0,2,791,Amphibian__class,taxongroup_comment
43,amod> other,0,0.007,10,791,Amphibian__class,taxongroup_comment
44,amod>advmod> ...,0,0.005,5,791,Amphibian__class,taxongroup_comment
49,appos< ...,0,-0.001,2,791,Amphibian__class,taxongroup_comment
52,appos< caecilian,0,0.001,1,791,Amphibian__class,taxongroup_comment
53,appos< frog,0,-0.001,1,791,Amphibian__class,taxongroup_comment
54,appos< salamander,0,0.002,2,791,Amphibian__class,taxongroup_comment
56,appos<advmod> ...,0,0.002,1,791,Amphibian__class,taxongroup_comment
59,appos<amod> ...,0,0.002,2,791,Amphibian__class,taxongroup_comment
60,appos<amod> common,0,-0.0,1,791,Amphibian__class,taxongroup_comment
76,appos<case> of,0,0.0,1,791,Amphibian__class,taxongroup_comment
