feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
nsubj<advmod> not,0.954,0.0,0.764,0.027,5,Animal__kingdom,free_topic
conj<conj> worm,0.946,0.0,0.764,0.027,3,Animal__kingdom,free_topic
nsubj<obl>case> at,0.939,0.001,0.577,0.134,3,Animal__kingdom,free_topic
conj<conj> fish,0.939,0.001,0.577,0.134,4,Animal__kingdom,free_topic
nsubj<obl>case> in,0.937,0.001,0.577,0.134,15,Animal__kingdom,free_topic
conj<conj> fruit,0.926,0.001,0.764,0.027,3,Animal__kingdom,free_topic
nsubj<advmod> so,0.926,0.001,0.577,0.134,2,Animal__kingdom,free_topic
nsubj<obl>case> to,0.926,0.001,0.577,0.134,9,Animal__kingdom,free_topic
nsubj<obl>case> ...,0.923,0.001,0.436,0.28,18,Animal__kingdom,free_topic
nsubj<advmod> where,0.92,0.001,0.577,0.134,3,Animal__kingdom,free_topic
nsubj<advmod> usually,0.919,0.001,0.577,0.134,2,Animal__kingdom,free_topic
conj<conj> ...,0.918,0.001,0.417,0.304,94,Animal__kingdom,free_topic
nsubj<advmod> also,0.914,0.001,0.577,0.134,5,Animal__kingdom,free_topic
nsubj<obl>case> from,0.914,0.002,0.577,0.134,3,Animal__kingdom,free_topic
nsubj<obl>case> with,0.906,0.002,0.577,0.134,2,Animal__kingdom,free_topic
conj> fungi,0.906,0.002,0.764,0.027,4,Animal__kingdom,free_topic
nsubj<advmod> somewhat,0.902,0.002,0.577,0.134,2,Animal__kingdom,free_topic
nmod>case> such,0.899,0.002,0.627,0.096,20,Animal__kingdom,free_topic
nsubj<obl>case> by,0.899,0.002,0.577,0.134,4,Animal__kingdom,free_topic
nsubj<advmod> why,0.898,0.002,0.577,0.134,3,Animal__kingdom,free_topic
conj<conj> invertebrate,0.898,0.002,0.577,0.134,3,Animal__kingdom,free_topic
nsubj<advmod> ...,0.896,0.003,0.109,0.797,29,Animal__kingdom,free_topic
nsubj<advmod> how,0.896,0.003,0.577,0.134,3,Animal__kingdom,free_topic
nsubj<obl>case> than,0.895,0.003,0.577,0.134,2,Animal__kingdom,free_topic
nmod>amod> square,0.893,0.003,0.577,0.134,3,Animal__kingdom,free_topic
conj<conj>aux> will,0.885,0.003,0.756,0.03,2,Animal__kingdom,free_topic
nmod<obl<acl< ...,-0.883,0.004,-0.866,0.005,4,Animal__kingdom,free_topic
conj<nmod>case> of,0.879,0.004,0.873,0.005,4,Animal__kingdom,free_topic
xcomp<nsubj:pass> ...,0.878,0.004,0.577,0.134,1,Animal__kingdom,free_topic
nsubj<obl>case> for,0.874,0.005,0.577,0.134,2,Animal__kingdom,free_topic
acl:relcl>advcl>mark> to,0.868,0.005,0.756,0.03,2,Animal__kingdom,free_topic
nmod< trait,0.855,0.007,0.756,0.03,2,Animal__kingdom,free_topic
nmod>case> include,0.855,0.007,0.577,0.134,5,Animal__kingdom,free_topic
amod>obl>case> than,0.854,0.007,0.791,0.019,6,Animal__kingdom,free_topic
nsubj>nmod>case> ...,0.846,0.008,0.577,0.134,2,Animal__kingdom,free_topic
conj<nsubj>det> the,0.844,0.008,0.845,0.008,3,Animal__kingdom,free_topic
xcomp<nsubj:pass> sauropod,0.842,0.009,0.577,0.134,2,Animal__kingdom,free_topic
conj<nmod>case> in,0.842,0.009,0.756,0.03,2,Animal__kingdom,free_topic
conj<obl>case> ...,0.841,0.009,0.822,0.012,6,Animal__kingdom,free_topic
nmod<nmod:poss> he,0.84,0.009,0.764,0.027,3,Animal__kingdom,free_topic
conj<obj<advmod> ...,0.839,0.009,0.674,0.067,5,Animal__kingdom,free_topic
nmod>case> ...,0.835,0.01,0.674,0.067,22,Animal__kingdom,free_topic
nmod<obl<advcl< ...,0.831,0.011,0.756,0.03,4,Animal__kingdom,free_topic
nmod>case> in,0.831,0.011,0.548,0.16,24,Animal__kingdom,free_topic
nmod>case> as,0.83,0.011,0.577,0.134,5,Animal__kingdom,free_topic
acl>obl>case> in,-0.823,0.012,-0.778,0.023,10,Animal__kingdom,free_topic
acl:relcl>obl>conj> fish,0.819,0.013,0.577,0.134,2,Animal__kingdom,free_topic
conj<obl<advmod> ...,0.819,0.013,0.764,0.027,7,Animal__kingdom,free_topic
nsubj<obl>det> ...,0.818,0.013,0.577,0.134,3,Animal__kingdom,free_topic
nsubj<obl> rock,0.818,0.013,0.756,0.03,2,Animal__kingdom,free_topic
acl:relcl>obl>conj> ...,0.815,0.014,0.327,0.429,8,Animal__kingdom,free_topic
nmod<det> a,0.815,0.014,0.792,0.019,33,Animal__kingdom,free_topic
nmod>amod> ...,0.814,0.014,0.365,0.374,29,Animal__kingdom,free_topic
