feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
conj<conj> alga,0.986,0.0,0.756,0.03,2,Animal__kingdom,location_topic
conj<conj> mussel,0.974,0.0,0.756,0.03,2,Animal__kingdom,location_topic
conj<conj> ...,0.967,0.0,0.873,0.005,29,Animal__kingdom,location_topic
conj<conj> anemone,0.964,0.0,0.756,0.03,2,Animal__kingdom,location_topic
nmod<det> the,0.948,0.0,0.866,0.005,4,Animal__kingdom,location_topic
conj<conj> chiton,0.933,0.001,0.756,0.03,2,Animal__kingdom,location_topic
nsubj<obl>case> ...,0.932,0.001,0.655,0.078,6,Animal__kingdom,location_topic
nsubj<obl>case> in,0.913,0.002,0.577,0.134,6,Animal__kingdom,location_topic
conj<conj> crab,0.904,0.002,0.733,0.039,3,Animal__kingdom,location_topic
conj> ...,0.896,0.003,0.436,0.28,13,Animal__kingdom,location_topic
obl<conj>nmod> ...,0.894,0.003,0.577,0.134,3,Animal__kingdom,location_topic
nsubj<advmod> not,0.888,0.003,0.577,0.134,2,Animal__kingdom,location_topic
nsubj<obl>case> like,0.886,0.003,0.577,0.134,3,Animal__kingdom,location_topic
appos>compound> ...,0.86,0.006,0.756,0.03,2,Animal__kingdom,location_topic
appos> planci,0.848,0.008,0.756,0.03,2,Animal__kingdom,location_topic
nsubj<aux> do,0.838,0.009,0.756,0.03,2,Animal__kingdom,location_topic
conj<compound> sea,0.832,0.01,0.764,0.027,3,Animal__kingdom,location_topic
nsubj<cop> be,0.825,0.012,0.866,0.005,7,Animal__kingdom,location_topic
nsubj:pass<aux:pass> be,0.819,0.013,0.756,0.03,4,Animal__kingdom,location_topic
nsubj<obj>amod> ...,0.809,0.015,0.655,0.078,3,Animal__kingdom,location_topic
conj<conj> cucumber,0.804,0.016,0.845,0.008,3,Animal__kingdom,location_topic
appos< ...,0.778,0.023,0.764,0.027,5,Animal__kingdom,location_topic
conj> star,0.778,0.023,0.756,0.03,2,Animal__kingdom,location_topic
nsubj<obl> ...,0.772,0.025,0.655,0.078,14,Animal__kingdom,location_topic
nsubj<obl>det> ...,0.771,0.025,0.577,0.134,1,Animal__kingdom,location_topic
nmod<nmod<nmod> ...,0.771,0.025,0.577,0.134,3,Animal__kingdom,location_topic
nmod<det> some,0.769,0.026,0.577,0.134,2,Animal__kingdom,location_topic
nmod<det> ...,0.766,0.027,0.577,0.134,1,Animal__kingdom,location_topic
nsubj<nmod>case> in,0.762,0.028,0.577,0.134,2,Animal__kingdom,location_topic
nsubj<advcl> ...,0.758,0.029,0.756,0.03,4,Animal__kingdom,location_topic
appos>compound> Acanthaster,0.754,0.031,0.756,0.03,2,Animal__kingdom,location_topic
nmod<nsubj> ...,0.753,0.031,0.764,0.027,3,Animal__kingdom,location_topic
compound> sea,0.75,0.032,0.638,0.089,22,Animal__kingdom,location_topic
obj<advmod> also,0.743,0.035,0.577,0.134,2,Animal__kingdom,location_topic
conj< ...,0.737,0.037,0.709,0.049,8,Animal__kingdom,location_topic
cc> and,0.736,0.037,0.577,0.134,3,Animal__kingdom,location_topic
nsubj<advmod> ...,0.731,0.039,0.536,0.171,5,Animal__kingdom,location_topic
amod> giant,0.72,0.044,0.756,0.03,2,Animal__kingdom,location_topic
nsubj< move,0.711,0.048,0.756,0.03,2,Animal__kingdom,location_topic
nsubj< ...,0.689,0.059,0.805,0.016,14,Animal__kingdom,location_topic
obj<advmod> ...,0.685,0.061,0.577,0.134,3,Animal__kingdom,location_topic
case> of,0.684,0.061,0.764,0.027,3,Animal__kingdom,location_topic
conj< star,0.679,0.064,0.577,0.134,2,Animal__kingdom,location_topic
nsubj<compound> ...,0.673,0.067,0.764,0.027,3,Animal__kingdom,location_topic
nmod< ...,0.67,0.069,0.536,0.171,11,Animal__kingdom,location_topic
conj<case> ...,0.667,0.071,0.63,0.094,2,Animal__kingdom,location_topic
conj<det> the,0.658,0.076,0.577,0.134,3,Animal__kingdom,location_topic
conj<nsubj> these,0.657,0.077,0.577,0.134,2,Animal__kingdom,location_topic
conj< originate,0.656,0.078,0.577,0.134,2,Animal__kingdom,location_topic
conj<obj<advmod> ...,0.64,0.088,0.577,0.134,1,Animal__kingdom,location_topic
conj<case> such,0.637,0.09,0.63,0.094,4,Animal__kingdom,location_topic
nsubj:pass< find,0.633,0.092,0.756,0.03,2,Animal__kingdom,location_topic
compound<nmod<appos> ...,-0.627,0.096,-0.577,0.134,4,Animal__kingdom,location_topic
conj<obj<advmod> also,0.627,0.096,0.412,0.31,2,Animal__kingdom,location_topic
nmod<nsubj<obl> ...,-0.626,0.097,-0.577,0.134,3,Animal__kingdom,location_topic
conj>amod> ...,0.623,0.099,0.546,0.162,3,Animal__kingdom,location_topic
nsubj:pass< ...,0.615,0.105,0.756,0.03,2,Animal__kingdom,location_topic
nmod<cop> be,0.611,0.107,0.733,0.039,3,Animal__kingdom,location_topic
conj>compound> sea,0.609,0.109,0.63,0.094,2,Animal__kingdom,location_topic
conj<conj>cc> and,0.594,0.12,0.655,0.078,9,Animal__kingdom,location_topic
obj< ...,0.59,0.124,0.327,0.429,7,Animal__kingdom,location_topic
case> with,0.58,0.132,0.577,0.134,2,Animal__kingdom,location_topic
case> such,0.57,0.14,0.63,0.094,2,Animal__kingdom,location_topic
compound>nmod> thorn,0.567,0.143,0.206,0.624,7,Animal__kingdom,location_topic
compound> Pompeii,-0.557,0.151,-0.577,0.134,5,Animal__kingdom,location_topic
nsubj<obl>det> the,0.554,0.155,0.504,0.203,2,Animal__kingdom,location_topic
appos<nsubj<obl> ...,-0.544,0.164,-0.733,0.039,3,Animal__kingdom,location_topic
appos<nsubj<cop> be,-0.541,0.166,-0.218,0.604,3,Animal__kingdom,location_topic
amod> ...,0.53,0.176,0.393,0.335,15,Animal__kingdom,location_topic
compound< colony,0.522,0.184,0.577,0.134,2,Animal__kingdom,location_topic
compound>amod> ...,0.519,0.187,0.274,0.512,5,Animal__kingdom,location_topic
nsubj< have,0.518,0.189,0.504,0.203,2,Animal__kingdom,location_topic
conj<conj>cc> ...,0.515,0.191,0.504,0.203,2,Animal__kingdom,location_topic
compound>det> ...,0.506,0.201,0.412,0.31,1,Animal__kingdom,location_topic
conj<nmod< ...,0.504,0.203,0.733,0.039,3,Animal__kingdom,location_topic
appos> history,0.502,0.205,0.412,0.31,2,Animal__kingdom,location_topic
compound> Acanthaster,-0.501,0.206,-0.592,0.122,5,Animal__kingdom,location_topic
conj<conj> dollar,0.501,0.206,0.504,0.203,2,Animal__kingdom,location_topic
nsubj<conj>cc> and,0.5,0.207,0.507,0.2,3,Animal__kingdom,location_topic
case> ...,0.49,0.218,0.327,0.429,7,Animal__kingdom,location_topic
conj<advmod> ...,0.487,0.221,0.405,0.319,3,Animal__kingdom,location_topic
compound> Riftia,-0.485,0.223,-0.592,0.122,3,Animal__kingdom,location_topic
case> in,0.463,0.248,0.327,0.429,3,Animal__kingdom,location_topic
conj<amod> ...,0.462,0.249,0.412,0.31,3,Animal__kingdom,location_topic
compound>amod> female,0.455,0.257,0.577,0.134,2,Animal__kingdom,location_topic
nsubj<conj> ...,0.45,0.263,0.574,0.137,5,Animal__kingdom,location_topic
