feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
conj> have,0.979,0.0,0.577,0.134,3,Animal__kingdom,taxongroup_comment
nmod>case> such,0.96,0.0,0.756,0.03,6,Animal__kingdom,taxongroup_comment
obl<obj>amod> common,0.943,0.0,0.577,0.134,2,Animal__kingdom,taxongroup_comment
parataxis>obj> jellyfish,0.943,0.0,0.756,0.03,2,Animal__kingdom,taxongroup_comment
conj> ...,0.941,0.0,0.381,0.352,43,Animal__kingdom,taxongroup_comment
nmod> urchin,0.941,0.0,0.756,0.03,2,Animal__kingdom,taxongroup_comment
conj> jellyfish,0.94,0.001,0.577,0.134,2,Animal__kingdom,taxongroup_comment
obl<obj>amod> visual,0.938,0.001,0.577,0.134,2,Animal__kingdom,taxongroup_comment
obl<mark> ...,0.934,0.001,0.764,0.027,3,Animal__kingdom,taxongroup_comment
nmod>nmod> ...,0.931,0.001,0.764,0.027,6,Animal__kingdom,taxongroup_comment
compound<nmod>case> of,0.931,0.001,0.577,0.134,2,Animal__kingdom,taxongroup_comment
conj> shellfish,0.93,0.001,0.577,0.134,2,Animal__kingdom,taxongroup_comment
conj> mollusc,0.928,0.001,0.577,0.134,2,Animal__kingdom,taxongroup_comment
appos<compound> ...,0.923,0.001,0.764,0.027,3,Animal__kingdom,taxongroup_comment
compound<nmod>case> ...,0.92,0.001,0.577,0.134,4,Animal__kingdom,taxongroup_comment
obl<nsubj> habitat,0.919,0.001,0.577,0.134,2,Animal__kingdom,taxongroup_comment
conj> coral,0.913,0.002,0.577,0.134,4,Animal__kingdom,taxongroup_comment
nsubj<advmod> not,0.912,0.002,0.764,0.027,3,Animal__kingdom,taxongroup_comment
nsubj<obl>case> with,0.908,0.002,0.577,0.134,3,Animal__kingdom,taxongroup_comment
nmod< ...,0.906,0.002,0.708,0.05,83,Animal__kingdom,taxongroup_comment
conj> squirt,0.902,0.002,0.577,0.134,2,Animal__kingdom,taxongroup_comment
nsubj<obl>case> ...,0.901,0.002,0.577,0.134,4,Animal__kingdom,taxongroup_comment
conj<conj> ...,0.897,0.003,0.685,0.061,50,Animal__kingdom,taxongroup_comment
