feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
conj<conj> barnacle,0.978,0.0,0.577,0.134,3,Animal__kingdom,taxongroup_topic
nmod> ...,0.977,0.0,0.873,0.005,18,Animal__kingdom,taxongroup_topic
conj<conj> squid,0.973,0.0,0.577,0.134,4,Animal__kingdom,taxongroup_topic
nmod>nmod> ...,0.967,0.0,0.577,0.134,6,Animal__kingdom,taxongroup_topic
conj<conj> fish,0.964,0.0,0.577,0.134,5,Animal__kingdom,taxongroup_topic
conj<conj> crab,0.963,0.0,0.577,0.134,8,Animal__kingdom,taxongroup_topic
nmod>case> include,0.956,0.0,0.764,0.027,4,Animal__kingdom,taxongroup_topic
conj<conj> ...,0.949,0.0,0.436,0.28,88,Animal__kingdom,taxongroup_topic
conj<conj> urchin,0.948,0.0,0.577,0.134,3,Animal__kingdom,taxongroup_topic
conj<conj> snail,0.947,0.0,0.577,0.134,3,Animal__kingdom,taxongroup_topic
conj>nmod>conj> ...,0.945,0.0,0.733,0.039,7,Animal__kingdom,taxongroup_topic
conj<conj> sponge,0.94,0.001,0.577,0.134,3,Animal__kingdom,taxongroup_topic
nmod>case> in,0.935,0.001,0.764,0.027,7,Animal__kingdom,taxongroup_topic
nsubj<nmod>amod> few,0.929,0.001,0.756,0.03,2,Animal__kingdom,taxongroup_topic
conj<conj> cucumber,0.928,0.001,0.436,0.28,7,Animal__kingdom,taxongroup_topic
nmod> term,0.915,0.001,0.577,0.134,2,Animal__kingdom,taxongroup_topic
conj<conj> mollusk,0.911,0.002,0.577,0.134,5,Animal__kingdom,taxongroup_topic
nmod>nmod>conj> ...,0.911,0.002,0.577,0.134,3,Animal__kingdom,taxongroup_topic
conj<conj> crustacean,0.901,0.002,0.577,0.134,5,Animal__kingdom,taxongroup_topic
nmod<det> ...,0.888,0.003,0.764,0.027,3,Animal__kingdom,taxongroup_topic
nmod< ...,0.877,0.004,0.97,0.0,72,Animal__kingdom,taxongroup_topic
nsubj<nmod>amod> ...,0.873,0.005,0.873,0.005,9,Animal__kingdom,taxongroup_topic
case> to,0.864,0.006,0.873,0.005,9,Animal__kingdom,taxongroup_topic
nmod<obl< related,0.861,0.006,0.577,0.134,2,Animal__kingdom,taxongroup_topic
conj<appos<conj> ...,0.86,0.006,0.577,0.134,11,Animal__kingdom,taxongroup_topic
conj<conj>cc> or,0.858,0.006,0.756,0.03,2,Animal__kingdom,taxongroup_topic
nsubj<obl>case> for,0.855,0.007,0.764,0.027,3,Animal__kingdom,taxongroup_topic
obl<advcl>obj> ...,0.844,0.008,0.764,0.027,3,Animal__kingdom,taxongroup_topic
conj< coral,0.841,0.009,0.845,0.008,3,Animal__kingdom,taxongroup_topic
nsubj:pass<advcl>obl> ...,0.84,0.009,0.866,0.005,4,Animal__kingdom,taxongroup_topic
nmod< sting,0.836,0.01,0.764,0.027,3,Animal__kingdom,taxongroup_topic
nsubj<nmod>nmod> ...,0.836,0.01,0.764,0.027,5,Animal__kingdom,taxongroup_topic
case> as,0.832,0.01,0.77,0.025,16,Animal__kingdom,taxongroup_topic
acl>obl>amod> ...,0.832,0.01,0.674,0.067,4,Animal__kingdom,taxongroup_topic
conj<appos< ...,0.829,0.011,0.764,0.027,3,Animal__kingdom,taxongroup_topic
nmod< system,0.829,0.011,0.577,0.134,2,Animal__kingdom,taxongroup_topic
nmod>case> ...,0.828,0.011,0.655,0.078,5,Animal__kingdom,taxongroup_topic
nsubj:pass<aux:pass> be,0.827,0.011,0.723,0.043,12,Animal__kingdom,taxongroup_topic
nsubj<nmod> species,0.826,0.011,0.655,0.078,3,Animal__kingdom,taxongroup_topic
nsubj:pass<obl>case> in,0.826,0.012,0.655,0.078,4,Animal__kingdom,taxongroup_topic
flat> ...,0.825,0.012,0.183,0.665,8,Animal__kingdom,taxongroup_topic
nsubj:pass<obl>case> ...,0.825,0.012,0.546,0.162,4,Animal__kingdom,taxongroup_topic
nmod>case> from,0.823,0.012,0.577,0.134,2,Animal__kingdom,taxongroup_topic
case> of,0.821,0.012,0.84,0.009,65,Animal__kingdom,taxongroup_topic
obj<obl>amod> ...,0.82,0.013,0.577,0.134,1,Animal__kingdom,taxongroup_topic
case> in,0.818,0.013,0.764,0.027,11,Animal__kingdom,taxongroup_topic
obj<obl>amod> first,0.81,0.015,0.577,0.134,2,Animal__kingdom,taxongroup_topic
nmod< species,0.808,0.015,0.577,0.134,10,Animal__kingdom,taxongroup_topic
case> by,0.804,0.016,0.577,0.134,6,Animal__kingdom,taxongroup_topic
case> ...,0.803,0.017,0.866,0.005,22,Animal__kingdom,taxongroup_topic
conj<obj<advmod> ...,0.801,0.017,0.577,0.134,1,Animal__kingdom,taxongroup_topic
nmod<obj<advmod> ...,-0.799,0.017,-0.577,0.134,2,Animal__kingdom,taxongroup_topic
conj< jellyfish,0.796,0.018,0.756,0.03,4,Animal__kingdom,taxongroup_topic
nsubj< detect,0.796,0.018,0.577,0.134,2,Animal__kingdom,taxongroup_topic
nmod>case> among,0.795,0.018,0.577,0.134,2,Animal__kingdom,taxongroup_topic
nmod< family,0.789,0.02,0.77,0.025,4,Animal__kingdom,taxongroup_topic
nsubj< animal,0.786,0.021,0.577,0.134,6,Animal__kingdom,taxongroup_topic
conj<compound> sea,0.786,0.021,0.845,0.008,3,Animal__kingdom,taxongroup_topic
nmod>amod> ...,0.785,0.021,0.481,0.227,4,Animal__kingdom,taxongroup_topic
nmod<nsubj>amod> ...,0.783,0.022,0.436,0.28,3,Animal__kingdom,taxongroup_topic
nsubj:pass< ...,0.782,0.022,0.849,0.008,10,Animal__kingdom,taxongroup_topic
nsubj<obl>case> with,0.781,0.022,0.764,0.027,4,Animal__kingdom,taxongroup_topic
nsubj:pass<conj> ...,0.779,0.023,0.577,0.134,4,Animal__kingdom,taxongroup_topic
nmod< that,0.779,0.023,0.577,0.134,3,Animal__kingdom,taxongroup_topic
