,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
7,Alv-7b43_79_pachyptila-29,pachyptila,Giant_tube_worm#species,compound<det>,a,DET,27,compound<det> a,-0.17462809765275622,-0.05482262827281724,Animal__kingdom,adaptation_topic,3,4
0,Jelfd0e_20_sea-2,sea,Aurelia_aurita#species,amod>,deep,ADJ,1,amod> ...,0.9787808741485112,-0.36809589805492404,Animal__kingdom,adaptation_topic,3,4
3,Bur-d18a_116_Earthworms-1,Earthworms,Lumbricidae#family,nsubj:pass<obl>,upon,ADP,5,nsubj:pass<obl> ...,0.2913181535162439,-0.172572973076246,Animal__kingdom,adaptation_topic,3,4
0,Rif-1458_188_worms-3,worms,Giant_tube_worm#species,amod>,weird,ADJ,1,amod> ...,0.8793435492055807,-0.1261613957149731,Animal__kingdom,adaptation_topic,3,4
2,Rif-1458_188_worms-3,worms,Giant_tube_worm#species,nmod>case>,of,ADP,4,nmod>case> of,-0.17791216564707119,-0.6468631656127264,Animal__kingdom,adaptation_topic,3,4
11,Aur-441a_20_jellyfish-23,jellyfish,Jellyfish#class,det>,the,DET,21,det> the,-0.7806537167368987,0.23654416382355758,Animal__kingdom,adaptation_topic,7,12
4,Rif-1458_6_worm-8,worm,Giant_tube_worm#species,compound>compound>,giant,NOUN,6,compound>compound> ...,0.4937496780688094,-0.563264296162991,Animal__kingdom,adaptation_topic,7,12
5,Rif-1458_2_worm-10,worm,Giant_tube_worm#species,det>,the,DET,7,det> the,-0.7806537167368987,0.23654416382355758,Animal__kingdom,adaptation_topic,7,12
7,Rif-1458_39_worm-34,worm,Giant_tube_worm#species,det>,the,DET,32,det> the,-0.7806537167368987,0.23654416382355758,Animal__kingdom,adaptation_topic,7,12
6,Rif-1458_45_worm-32,worm,Giant_tube_worm#species,det>,the,DET,28,det> the,-0.7806537167368987,0.23654416382355758,Animal__kingdom,adaptation_topic,7,12
8,Rif-1458_45_worm-32,worm,Giant_tube_worm#species,compound>compound>,vent,NOUN,30,compound>compound> ...,0.23703312616478062,-0.392832246657822,Animal__kingdom,adaptation_topic,7,12
6,Aur-441a_25_jellyfish-9,jellyfish,Jellyfish#class,det>,the,DET,7,det> the,-0.7806537167368987,0.23654416382355758,Animal__kingdom,adaptation_topic,7,12
