,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
0,Cro-4b5e_329_planci-2,planci,Crown-of-thorns_starfish#species,compound>,Acanthaster,NOUN,1,compound> Acanthaster,0.42523719876289173,-0.009682241810184906,Animal__kingdom,location_topic,6,24
6,Sta-6168_18_planci-11,planci,Crown-of-thorns_starfish#species,compound>,Acanthaster,NOUN,10,compound> Acanthaster,0.42523719876289173,-0.009682241810184906,Animal__kingdom,location_topic,6,24
6,Ant-85c0_116_planci-14,planci,Crown-of-thorns_starfish#species,compound>,Acanthaster,NOUN,13,compound> Acanthaster,0.42523719876289173,-0.009682241810184906,Animal__kingdom,location_topic,6,24
0,Alv-7b43_85_pompejana-2,pompejana,Pompeii_worm#species,compound>,Alvinella,PROPN,1,compound> Alvinella,0.23013777570622693,-0.03727647153113195,Animal__kingdom,location_topic,6,24
0,Alv-7b43_4_pompejana-2,pompejana,Pompeii_worm#species,compound>,Alvinella,PROPN,1,compound> Alvinella,0.23013777570622693,-0.03727647153113195,Animal__kingdom,location_topic,6,24
0,Alv-7b43_98_pompejana-2,pompejana,Pompeii_worm#species,compound>,Alvinella,PROPN,1,compound> Alvinella,0.23013777570622693,-0.03727647153113195,Animal__kingdom,location_topic,6,24
0,Alv-7b43_1_pompejana-2,pompejana,Pompeii_worm#species,compound>,Alvinella,PROPN,1,compound> Alvinella,0.23013777570622693,-0.03727647153113195,Animal__kingdom,location_topic,6,24
0,Alv-7b43_93_pompejana-2,pompejana,Pompeii_worm#species,compound>,Alvinella,PROPN,1,compound> Alvinella,0.23013777570622693,-0.03727647153113195,Animal__kingdom,location_topic,6,24
0,Aur-441a_10_aurita-2,aurita,Aurelia_aurita#species,compound>,Aurelia,PROPN,1,compound> Aurelia,0.26284544135966176,-0.009490106708673934,Animal__kingdom,location_topic,6,24
0,Aur-441a_1_aurita-2,aurita,Aurelia_aurita#species,compound>,Aurelia,PROPN,1,compound> Aurelia,0.26284544135966176,-0.009490106708673934,Animal__kingdom,location_topic,6,24
0,Aur-441a_27_aurita-2,aurita,Aurelia_aurita#species,compound>,Aurelia,PROPN,1,compound> Aurelia,0.26284544135966176,-0.009490106708673934,Animal__kingdom,location_topic,6,24
0,Aur-441a_35_aurita-2,aurita,Aurelia_aurita#species,compound>,Aurelia,PROPN,1,compound> Aurelia,0.26284544135966176,-0.009490106708673934,Animal__kingdom,location_topic,6,24
0,Aur-441a_54_aurita-2,aurita,Aurelia_aurita#species,compound>,Aurelia,PROPN,1,compound> Aurelia,0.26284544135966176,-0.009490106708673934,Animal__kingdom,location_topic,6,24
0,Aur-441a_68_aurita-2,aurita,Aurelia_aurita#species,compound>,Aurelia,PROPN,1,compound> Aurelia,0.26284544135966176,-0.009490106708673934,Animal__kingdom,location_topic,6,24
0,Aur-441a_70_aurita-2,aurita,Aurelia_aurita#species,compound>,Aurelia,PROPN,1,compound> Aurelia,0.26284544135966176,-0.009490106708673934,Animal__kingdom,location_topic,6,24
0,Aur-441a_77_aurita-2,aurita,Aurelia_aurita#species,compound>,Aurelia,PROPN,1,compound> Aurelia,0.26284544135966176,-0.009490106708673934,Animal__kingdom,location_topic,6,24
0,Aur-441a_83_aurita-2,aurita,Aurelia_aurita#species,compound>,Aurelia,PROPN,1,compound> Aurelia,0.26284544135966176,-0.009490106708673934,Animal__kingdom,location_topic,6,24
5,Aur-441a_16_jellyfish-8,jellyfish,Jellyfish#class,compound>,moon,NOUN,7,compound> moon,0.40567556407389815,-0.0636327136242394,Animal__kingdom,location_topic,6,24
5,Aur-441a_17_jellyfish-17,jellyfish,Jellyfish#class,compound>,moon,NOUN,16,compound> moon,0.40567556407389815,-0.0636327136242394,Animal__kingdom,location_topic,6,24
5,Aur-441a_21_jellyfish-10,jellyfish,Jellyfish#class,compound>,moon,NOUN,9,compound> moon,0.40567556407389815,-0.0636327136242394,Animal__kingdom,location_topic,6,24
3,Sea-a026_8_urchins-5,urchins,Sea_urchin#class,compound>,sea,NOUN,4,compound> sea,0.38444323638784994,-0.08456094521877104,Animal__kingdom,location_topic,6,24
4,Alv-7b43_83_pachyptila-6,pachyptila,Giant_tube_worm#species,compound>,Riftia,PROPN,5,compound> Riftia,0.42364259228304957,-0.0033342399103183846,Animal__kingdom,location_topic,6,24
8,Alv-7b43_79_pachyptila-29,pachyptila,Giant_tube_worm#species,compound>,Riftia,PROPN,28,compound> Riftia,0.42364259228304957,-0.0033342399103183846,Animal__kingdom,location_topic,6,24
5,Sca-88f4_138_star-30,star,Sunflower_starfish#species,compound>,sea,NOUN,28,compound> sea,0.38444323638784994,-0.08456094521877104,Animal__kingdom,location_topic,6,24
7,Ech-1003_298_planci-22,planci,Crown-of-thorns_starfish#species,appos<,starfish,NOUN,19,appos< starfish,0.3844539778597059,0.15996551290289157,Animal__kingdom,location_topic,0,12
3,Aca-e4eb_9_planci-8,planci,Crown-of-thorns_starfish#species,det>,that,DET,6,det> ...,-0.32373028081343586,0.705672795943887,Animal__kingdom,location_topic,0,12
8,Aca-e4eb_9_planci-8,planci,Crown-of-thorns_starfish#species,nsubj<,complex,NOUN,12,nsubj< ...,0.7041861287109072,0.12977107289831483,Animal__kingdom,location_topic,0,12
10,Bra-cd5f_212_Brachiopoda-13,Brachiopoda,Brachiopod#phylum,det>,the,DET,12,det> the,-0.3660995723285324,0.7264595151153119,Animal__kingdom,location_topic,0,12
11,Aur-441a_20_jellyfish-23,jellyfish,Jellyfish#class,det>,the,DET,21,det> the,-0.3660995723285324,0.7264595151153119,Animal__kingdom,location_topic,0,12
2,Pol-28e5_64_worm-7,worm,Pompeii_worm#species,appos<,polychaete,NOUN,3,appos< ...,0.3019203496062448,0.1928233939735897,Animal__kingdom,location_topic,0,12
3,Pol-28e5_64_worm-7,worm,Pompeii_worm#species,det>,the,DET,5,det> the,-0.3660995723285324,0.7264595151153119,Animal__kingdom,location_topic,0,12
0,Alv-7b43_2_worm-6,worm,Pompeii_worm#species,appos<,Alvinella,PROPN,1,appos< ...,0.4219181670266968,0.02845767297054589,Animal__kingdom,location_topic,0,12
2,Alv-7b43_2_worm-6,worm,Pompeii_worm#species,det>,the,DET,4,det> the,-0.3660995723285324,0.7264595151153119,Animal__kingdom,location_topic,0,12
6,Alv-7b43_5_worm-39,worm,Pompeii_worm#species,appos<,Earth,PROPN,32,appos< ...,0.17314097676132326,0.042941696770695405,Animal__kingdom,location_topic,0,12
9,Alv-7b43_5_worm-39,worm,Pompeii_worm#species,det>,the,DET,37,det> the,-0.3660995723285324,0.7264595151153119,Animal__kingdom,location_topic,0,12
0,Alv-7b43_86_worm-3,worm,Pompeii_worm#species,det>,the,DET,1,det> the,-0.3660995723285324,0.7264595151153119,Animal__kingdom,location_topic,0,12
