,feat,cluster,pw_entr,feat_n,N,group,relrole
7,amod< species,0,0.05,1,29,Animal__kingdom,adaptation_comment
9,amod<case> ...,0,0.036,1,29,Animal__kingdom,adaptation_comment
10,amod<nmod> ...,0,0.036,1,29,Animal__kingdom,adaptation_comment
11,amod<nmod>case> ...,0,0.036,1,29,Animal__kingdom,adaptation_comment
12,amod> ...,0,0.051,2,29,Animal__kingdom,adaptation_comment
13,amod> broadcast,0,0.119,2,29,Animal__kingdom,adaptation_comment
16,case> ...,0,0.05,1,29,Animal__kingdom,adaptation_comment
20,case> through,0,0.05,1,29,Animal__kingdom,adaptation_comment
21,case> to,0,0.036,1,29,Animal__kingdom,adaptation_comment
36,conj> ...,0,0.043,2,29,Animal__kingdom,adaptation_comment
37,conj>cc> and,0,0.084,2,29,Animal__kingdom,adaptation_comment
40,det> ...,0,0.05,1,29,Animal__kingdom,adaptation_comment
64,obl< ...,0,0.006,1,29,Animal__kingdom,adaptation_comment
65,obl< reproduce,0,0.119,2,29,Animal__kingdom,adaptation_comment
66,obl<advmod> ...,0,0.22,3,29,Animal__kingdom,adaptation_comment
69,obl<nsubj> ...,0,0.191,3,29,Animal__kingdom,adaptation_comment
71,obl<nsubj>compound> ...,0,0.294,4,29,Animal__kingdom,adaptation_comment
72,acl:relcl> ...,1,0.113,2,30,Animal__kingdom,adaptation_comment
73,acl:relcl>nsubj> that,1,0.113,2,30,Animal__kingdom,adaptation_comment
74,acl:relcl>obl>case> ...,1,0.21,3,30,Animal__kingdom,adaptation_comment
77,amod< ...,1,0.07,1,30,Animal__kingdom,adaptation_comment
78,amod< mammal,1,0.047,1,30,Animal__kingdom,adaptation_comment
80,amod<amod> ...,1,0.113,2,30,Animal__kingdom,adaptation_comment
81,amod<case> ...,1,0.033,1,30,Animal__kingdom,adaptation_comment
82,amod<nmod> ...,1,0.033,1,30,Animal__kingdom,adaptation_comment
83,amod<nmod>case> ...,1,0.033,1,30,Animal__kingdom,adaptation_comment
84,amod> ...,1,0.112,3,30,Animal__kingdom,adaptation_comment
86,amod> other,1,0.047,1,30,Animal__kingdom,adaptation_comment
87,amod> voracious,1,0.047,1,30,Animal__kingdom,adaptation_comment
96,compound< animal,1,0.047,1,30,Animal__kingdom,adaptation_comment
97,compound< organism,1,0.047,1,30,Animal__kingdom,adaptation_comment
99,compound> fish,1,0.033,1,30,Animal__kingdom,adaptation_comment
111,cop> be,1,0.032,2,30,Animal__kingdom,adaptation_comment
122,nsubj< ...,1,0.005,1,30,Animal__kingdom,adaptation_comment
125,nsubj<advmod> not,1,0.047,1,30,Animal__kingdom,adaptation_comment
131,nsubj> ...,1,0.056,2,30,Animal__kingdom,adaptation_comment
132,nsubj>amod> ...,1,0.024,1,30,Animal__kingdom,adaptation_comment
135,obj< ...,1,0.033,1,30,Animal__kingdom,adaptation_comment
159,amod> voracious,2,0.25,1,10,Animal__kingdom,adaptation_comment
180,conj> ...,2,0.1,1,10,Animal__kingdom,adaptation_comment
181,conj>cc> and,2,0.159,1,10,Animal__kingdom,adaptation_comment
183,cop> be,2,0.089,1,10,Animal__kingdom,adaptation_comment
185,det> a,2,0.25,1,10,Animal__kingdom,adaptation_comment
191,nmod> ...,2,0.14,1,10,Animal__kingdom,adaptation_comment
193,nmod>case> of,2,0.21,1,10,Animal__kingdom,adaptation_comment
203,nsubj> ...,2,0.125,1,10,Animal__kingdom,adaptation_comment
204,nsubj>amod> ...,2,0.181,1,10,Animal__kingdom,adaptation_comment
206,nsubj>det> the,2,0.25,1,10,Animal__kingdom,adaptation_comment
252,conj> ...,3,0.87,3,8,Animal__kingdom,adaptation_comment
253,conj>cc> and,3,0.226,1,8,Animal__kingdom,adaptation_comment
254,conj>cc> or,3,0.341,1,8,Animal__kingdom,adaptation_comment
255,cop> be,3,0.139,1,8,Animal__kingdom,adaptation_comment
275,nsubj> ...,3,0.184,1,8,Animal__kingdom,adaptation_comment
276,nsubj>amod> ...,3,0.254,1,8,Animal__kingdom,adaptation_comment
288,acl:relcl> ...,4,0.027,1,33,Animal__kingdom,adaptation_comment
289,acl:relcl>nsubj> that,4,0.027,1,33,Animal__kingdom,adaptation_comment
291,advmod> ...,4,0.061,1,33,Animal__kingdom,adaptation_comment
294,amod< mammal,4,0.04,1,33,Animal__kingdom,adaptation_comment
295,amod< species,4,0.04,1,33,Animal__kingdom,adaptation_comment
296,amod<amod> ...,4,0.027,1,33,Animal__kingdom,adaptation_comment
297,amod<case> ...,4,0.027,1,33,Animal__kingdom,adaptation_comment
298,amod<nmod> ...,4,0.027,1,33,Animal__kingdom,adaptation_comment
299,amod<nmod>case> ...,4,0.027,1,33,Animal__kingdom,adaptation_comment
306,case> from,4,0.027,1,33,Animal__kingdom,adaptation_comment
308,case> through,4,0.04,1,33,Animal__kingdom,adaptation_comment
309,case> to,4,0.027,1,33,Animal__kingdom,adaptation_comment
311,compound< ...,4,0.121,2,33,Animal__kingdom,adaptation_comment
312,compound< animal,4,0.04,1,33,Animal__kingdom,adaptation_comment
313,compound< organism,4,0.04,1,33,Animal__kingdom,adaptation_comment
314,compound<det> a,4,0.182,3,33,Animal__kingdom,adaptation_comment
324,conj> ...,4,-0.006,1,33,Animal__kingdom,adaptation_comment
326,conj>cc> or,4,0.04,1,33,Animal__kingdom,adaptation_comment
327,cop> be,4,0.024,2,33,Animal__kingdom,adaptation_comment
347,nsubj> ...,4,0.045,2,33,Animal__kingdom,adaptation_comment
348,nsubj>amod> ...,4,0.019,1,33,Animal__kingdom,adaptation_comment
350,nsubj>det> the,4,0.04,1,33,Animal__kingdom,adaptation_comment
352,obl< ...,4,0.045,2,33,Animal__kingdom,adaptation_comment
353,obl< reproduce,4,0.027,1,33,Animal__kingdom,adaptation_comment
355,obl<advmod> not,4,0.04,1,33,Animal__kingdom,adaptation_comment
358,obl<nsubj> which,4,0.121,2,33,Animal__kingdom,adaptation_comment
376,case> ...,5,0.073,1,23,Animal__kingdom,adaptation_comment
402,det> the,5,0.17,2,23,Animal__kingdom,adaptation_comment
407,nmod> ...,5,0.025,1,23,Animal__kingdom,adaptation_comment
409,nmod>case> of,5,0.055,1,23,Animal__kingdom,adaptation_comment
410,nsubj< ...,5,0.198,3,23,Animal__kingdom,adaptation_comment
412,nsubj<advmod> ...,5,0.17,2,23,Animal__kingdom,adaptation_comment
413,nsubj<advmod> not,5,0.073,1,23,Animal__kingdom,adaptation_comment
414,nsubj<conj> ...,5,0.055,1,23,Animal__kingdom,adaptation_comment
415,nsubj<conj>cc> ...,5,0.055,1,23,Animal__kingdom,adaptation_comment
416,nsubj<obj> ...,5,0.17,2,23,Animal__kingdom,adaptation_comment
417,nsubj<obl> ...,5,0.17,2,23,Animal__kingdom,adaptation_comment
418,nsubj<obl>case> ...,5,0.17,2,23,Animal__kingdom,adaptation_comment
423,obj< ...,5,0.17,2,23,Animal__kingdom,adaptation_comment
424,obl< ...,5,0.018,1,23,Animal__kingdom,adaptation_comment
429,obl<nsubj> ...,5,0.042,1,23,Animal__kingdom,adaptation_comment
444,amod> ...,6,0.062,3,40,Animal__kingdom,adaptation_comment
445,amod> broadcast,6,0.018,1,40,Animal__kingdom,adaptation_comment
449,case> during,6,0.09,2,40,Animal__kingdom,adaptation_comment
450,case> from,6,0.07,2,40,Animal__kingdom,adaptation_comment
451,case> of,6,0.226,5,40,Animal__kingdom,adaptation_comment
453,case> to,6,0.018,1,40,Animal__kingdom,adaptation_comment
473,det> a,6,0.028,1,40,Animal__kingdom,adaptation_comment
475,nmod< ...,6,0.316,7,40,Animal__kingdom,adaptation_comment
476,nmod<case> ...,6,0.226,5,40,Animal__kingdom,adaptation_comment
477,nmod<det> ...,6,0.045,1,40,Animal__kingdom,adaptation_comment
478,nmod<det> the,6,0.136,3,40,Animal__kingdom,adaptation_comment
479,nmod> ...,6,0.0,1,40,Animal__kingdom,adaptation_comment
481,nmod>case> of,6,0.018,1,40,Animal__kingdom,adaptation_comment
496,obl< ...,6,0.072,3,40,Animal__kingdom,adaptation_comment
499,obl<advmod> not,6,0.028,1,40,Animal__kingdom,adaptation_comment
500,obl<conj> ...,6,0.136,3,40,Animal__kingdom,adaptation_comment
508,advmod> mostly,7,0.035,2,71,Animal__kingdom,adaptation_comment
518,amod> other,7,0.008,1,71,Animal__kingdom,adaptation_comment
526,cc> and,7,0.104,6,71,Animal__kingdom,adaptation_comment
531,compound> fish,7,0.023,2,71,Animal__kingdom,adaptation_comment
532,conj< ...,7,0.139,8,71,Animal__kingdom,adaptation_comment
533,conj<advmod> ...,7,0.052,3,71,Animal__kingdom,adaptation_comment
534,conj<case> ...,7,0.017,1,71,Animal__kingdom,adaptation_comment
535,conj<case> for,7,0.035,2,71,Animal__kingdom,adaptation_comment
536,conj<conj> ...,7,0.07,4,71,Animal__kingdom,adaptation_comment
537,conj<conj>cc> and,7,0.07,4,71,Animal__kingdom,adaptation_comment
538,conj<cop> be,7,0.052,3,71,Animal__kingdom,adaptation_comment
539,conj<nsubj> ...,7,0.07,4,71,Animal__kingdom,adaptation_comment
540,conj> ...,7,-0.008,2,71,Animal__kingdom,adaptation_comment
541,conj>cc> and,7,-0.005,1,71,Animal__kingdom,adaptation_comment
543,cop> be,7,0.018,4,71,Animal__kingdom,adaptation_comment
