,feat,cluster,pw_entr,feat_n,N,group,relrole
1,amod> Hydrothermal,0,0.123,4,45,Animal__kingdom,location_comment
2,amod> coral,0,0.019,1,45,Animal__kingdom,location_comment
3,amod> hydrothermal,0,0.075,4,45,Animal__kingdom,location_comment
4,amod> intertidal,0,0.007,2,45,Animal__kingdom,location_comment
9,case> around,0,0.019,1,45,Animal__kingdom,location_comment
10,case> at,0,0.028,1,45,Animal__kingdom,location_comment
12,case> in,0,0.003,1,45,Animal__kingdom,location_comment
14,case> of,0,0.007,1,45,Animal__kingdom,location_comment
16,case> to,0,0.019,1,45,Animal__kingdom,location_comment
32,det> the,0,-0.009,2,45,Animal__kingdom,location_comment
33,nmod< ...,0,-0.003,1,45,Animal__kingdom,location_comment
54,nmod> ...,0,0.012,1,45,Animal__kingdom,location_comment
55,nmod> Ocean,0,0.028,1,45,Animal__kingdom,location_comment
57,nmod>case> in,0,0.068,2,45,Animal__kingdom,location_comment
59,nmod>compound> Pacific,0,0.028,1,45,Animal__kingdom,location_comment
61,nmod>det> the,0,0.045,2,45,Animal__kingdom,location_comment
62,nsubj:pass< ...,0,0.012,1,45,Animal__kingdom,location_comment
63,nsubj:pass<aux:pass> be,0,0.012,1,45,Animal__kingdom,location_comment
64,nsubj:pass<obl> ...,0,0.012,1,45,Animal__kingdom,location_comment
66,nsubj:pass<obl>case> by,0,0.028,1,45,Animal__kingdom,location_comment
67,nsubj< ...,0,0.095,3,45,Animal__kingdom,location_comment
69,nsubj<cop> be,0,0.019,1,45,Animal__kingdom,location_comment
70,nsubj<nmod> ...,0,0.028,1,45,Animal__kingdom,location_comment
72,nsubj<nmod>case> ...,0,0.028,1,45,Animal__kingdom,location_comment
74,nsubj<obl> ...,0,0.019,1,45,Animal__kingdom,location_comment
75,nsubj<obl>amod> ...,0,0.019,1,45,Animal__kingdom,location_comment
76,nsubj<obl>case> ...,0,0.019,1,45,Animal__kingdom,location_comment
78,obj< ...,0,0.068,2,45,Animal__kingdom,location_comment
79,obl< ...,0,-0.0,1,45,Animal__kingdom,location_comment
80,obl< find,0,0.012,1,45,Animal__kingdom,location_comment
81,obl< live,0,0.028,1,45,Animal__kingdom,location_comment
85,obl<nsubj> ...,0,0.012,1,45,Animal__kingdom,location_comment
93,amod> coral,1,0.006,1,69,Animal__kingdom,location_comment
94,amod> hydrothermal,1,-0.008,2,69,Animal__kingdom,location_comment
95,amod> intertidal,1,0.046,5,69,Animal__kingdom,location_comment
98,appos> ...,1,0.006,1,69,Animal__kingdom,location_comment
100,case> around,1,0.006,1,69,Animal__kingdom,location_comment
102,case> from,1,0.012,1,69,Animal__kingdom,location_comment
103,case> in,1,0.036,3,69,Animal__kingdom,location_comment
106,case> on,1,0.012,1,69,Animal__kingdom,location_comment
107,case> to,1,0.006,1,69,Animal__kingdom,location_comment
119,conj> ...,1,-0.006,1,69,Animal__kingdom,location_comment
121,conj>cc> and,1,0.002,1,69,Animal__kingdom,location_comment
123,det> the,1,0.063,7,69,Animal__kingdom,location_comment
145,nmod> ...,1,0.024,2,69,Animal__kingdom,location_comment
146,nmod> Ocean,1,0.012,1,69,Animal__kingdom,location_comment
147,nmod>case> ...,1,0.032,2,69,Animal__kingdom,location_comment
148,nmod>case> in,1,0.006,1,69,Animal__kingdom,location_comment
149,nmod>compound> ...,1,0.022,1,69,Animal__kingdom,location_comment
150,nmod>compound> Pacific,1,0.012,1,69,Animal__kingdom,location_comment
152,nmod>det> the,1,0.044,3,69,Animal__kingdom,location_comment
153,nsubj:pass< ...,1,0.024,2,69,Animal__kingdom,location_comment
154,nsubj:pass<aux:pass> be,1,0.024,2,69,Animal__kingdom,location_comment
155,nsubj:pass<obl> ...,1,0.053,3,69,Animal__kingdom,location_comment
156,nsubj:pass<obl>case> ...,1,0.044,2,69,Animal__kingdom,location_comment
157,nsubj:pass<obl>case> by,1,0.012,1,69,Animal__kingdom,location_comment
170,obl< ...,1,0.055,4,69,Animal__kingdom,location_comment
171,obl< find,1,0.053,3,69,Animal__kingdom,location_comment
173,obl<acl:relcl< ...,1,0.006,1,69,Animal__kingdom,location_comment
174,obl<aux:pass> be,1,0.088,4,69,Animal__kingdom,location_comment
175,obl<nsubj:pass> ...,1,0.088,4,69,Animal__kingdom,location_comment
176,obl<nsubj> ...,1,0.024,2,69,Animal__kingdom,location_comment
178,obl<obl> ...,1,0.017,2,69,Animal__kingdom,location_comment
179,obl<obl>case> ...,1,0.017,2,69,Animal__kingdom,location_comment
180,obl<obl>det> ...,1,0.022,1,69,Animal__kingdom,location_comment
182,amod> ...,2,0.062,4,65,Animal__kingdom,location_comment
185,amod> hydrothermal,2,0.029,4,65,Animal__kingdom,location_comment
187,appos< ...,2,0.036,2,65,Animal__kingdom,location_comment
188,appos<compound> ...,2,0.073,3,65,Animal__kingdom,location_comment
190,case> ...,2,0.027,2,65,Animal__kingdom,location_comment
194,case> in,2,-0.003,1,65,Animal__kingdom,location_comment
195,case> near,2,0.048,2,65,Animal__kingdom,location_comment
196,case> of,2,0.02,2,65,Animal__kingdom,location_comment
197,case> on,2,0.014,1,65,Animal__kingdom,location_comment
208,compound> ...,2,0.014,1,65,Animal__kingdom,location_comment
210,conj> ...,2,0.033,3,65,Animal__kingdom,location_comment
212,conj>cc> and,2,0.003,1,65,Animal__kingdom,location_comment
214,det> the,2,-0.019,1,65,Animal__kingdom,location_comment
215,nmod< ...,2,0.054,4,65,Animal__kingdom,location_comment
217,nmod< part,2,0.014,1,65,Animal__kingdom,location_comment
218,nmod<amod> ...,2,0.007,1,65,Animal__kingdom,location_comment
220,nmod<appos<nmod> ...,2,0.024,1,65,Animal__kingdom,location_comment
221,nmod<appos<nmod> tide,2,0.048,2,65,Animal__kingdom,location_comment
222,nmod<case> ...,2,0.048,2,65,Animal__kingdom,location_comment
224,nmod<case> of,2,0.014,1,65,Animal__kingdom,location_comment
225,nmod<det> a,2,0.007,1,65,Animal__kingdom,location_comment
227,nmod<det> the,2,0.059,3,65,Animal__kingdom,location_comment
228,nmod<nmod> ...,2,0.036,2,65,Animal__kingdom,location_comment
230,nmod<nmod>amod> ...,2,0.027,2,65,Animal__kingdom,location_comment
231,nmod<nmod>case> ...,2,0.02,2,65,Animal__kingdom,location_comment
232,nmod<nmod>det> the,2,0.003,1,65,Animal__kingdom,location_comment
233,nmod<obl< ...,2,0.014,1,65,Animal__kingdom,location_comment
235,nmod<obl<aux:pass> be,2,0.007,1,65,Animal__kingdom,location_comment
261,obl< ...,2,0.01,2,65,Animal__kingdom,location_comment
264,obl<acl:relcl< ...,2,0.007,1,65,Animal__kingdom,location_comment
267,obl<nsubj> ...,2,0.003,1,65,Animal__kingdom,location_comment
268,obl<nsubj> that,2,0.014,1,65,Animal__kingdom,location_comment
269,obl<obl> ...,2,0.049,3,65,Animal__kingdom,location_comment
270,obl<obl>case> ...,2,0.049,3,65,Animal__kingdom,location_comment
272,obl<obl>det> the,2,0.048,2,65,Animal__kingdom,location_comment
277,amod> intertidal,3,0.037,1,15,Animal__kingdom,location_comment
305,det> the,3,0.014,1,15,Animal__kingdom,location_comment
340,nsubj< ...,3,0.095,1,15,Animal__kingdom,location_comment
342,nsubj<cop> be,3,0.129,1,15,Animal__kingdom,location_comment
347,nsubj<obl> ...,3,0.351,2,15,Animal__kingdom,location_comment
348,nsubj<obl>amod> ...,3,0.351,2,15,Animal__kingdom,location_comment
349,nsubj<obl>case> ...,3,0.351,2,15,Animal__kingdom,location_comment
350,nsubj<parataxis>conj> ...,3,1.013,5,15,Animal__kingdom,location_comment
364,amod> ...,4,0.001,1,42,Animal__kingdom,location_comment
365,amod> Hydrothermal,4,0.083,3,42,Animal__kingdom,location_comment
