,feat,cluster,pw_entr,feat_n,N,group,relrole
0,acl:relcl> ...,0,-0.001,1,1034,Animal__kingdom,taxongroup_comment
1,acl:relcl> feed,0,0.001,1,1034,Animal__kingdom,taxongroup_comment
2,acl:relcl> include,0,0.002,3,1034,Animal__kingdom,taxongroup_comment
3,acl:relcl> live,0,0.001,1,1034,Animal__kingdom,taxongroup_comment
5,acl:relcl>advmod> also,0,0.003,2,1034,Animal__kingdom,taxongroup_comment
6,acl:relcl>conj> ...,0,0.0,1,1034,Animal__kingdom,taxongroup_comment
7,acl:relcl>conj>cc> ...,0,0.0,1,1034,Animal__kingdom,taxongroup_comment
9,acl:relcl>nsubj> that,0,-0.001,2,1034,Animal__kingdom,taxongroup_comment
10,acl:relcl>nsubj> which,0,0.004,4,1034,Animal__kingdom,taxongroup_comment
11,acl:relcl>obj> ...,0,0.0,1,1034,Animal__kingdom,taxongroup_comment
13,acl:relcl>obj> jellyfish,0,0.001,1,1034,Animal__kingdom,taxongroup_comment
14,acl:relcl>obj> starfish,0,0.0,1,1034,Animal__kingdom,taxongroup_comment
16,acl:relcl>obj>conj> ...,0,0.003,3,1034,Animal__kingdom,taxongroup_comment
17,acl:relcl>obj>conj> cucumber,0,0.001,1,1034,Animal__kingdom,taxongroup_comment
18,acl:relcl>obj>conj> urchin,0,0.0,1,1034,Animal__kingdom,taxongroup_comment
19,acl:relcl>obj>det> the,0,0.002,2,1034,Animal__kingdom,taxongroup_comment
20,acl:relcl>obl> ...,0,0.0,2,1034,Animal__kingdom,taxongroup_comment
22,acl:relcl>obl>case> ...,0,-0.0,1,1034,Animal__kingdom,taxongroup_comment
23,acl:relcl>obl>case> in,0,0.0,1,1034,Animal__kingdom,taxongroup_comment
24,acl> ...,0,0.004,6,1034,Animal__kingdom,taxongroup_comment
25,acl> feed,0,0.001,1,1034,Animal__kingdom,taxongroup_comment
26,acl>obj> ...,0,0.004,4,1034,Animal__kingdom,taxongroup_comment
27,acl>obj>det> ...,0,0.001,1,1034,Animal__kingdom,taxongroup_comment
29,acl>obl> ...,0,0.002,4,1034,Animal__kingdom,taxongroup_comment
30,acl>obl>case> ...,0,-0.0,1,1034,Animal__kingdom,taxongroup_comment
31,acl>obl>case> in,0,0.003,2,1034,Animal__kingdom,taxongroup_comment
32,acl>obl>case> to,0,0.001,1,1034,Animal__kingdom,taxongroup_comment
34,acl>obl>det> the,0,0.0,1,1034,Animal__kingdom,taxongroup_comment
35,advmod> ...,0,0.002,3,1034,Animal__kingdom,taxongroup_comment
36,amod> ...,0,0.019,36,1034,Animal__kingdom,taxongroup_comment
38,amod> complex,0,0.002,3,1034,Animal__kingdom,taxongroup_comment
39,amod> giant,0,0.002,2,1034,Animal__kingdom,taxongroup_comment
40,amod> large,0,0.002,3,1034,Animal__kingdom,taxongroup_comment
42,amod> marine,0,0.0,1,1034,Animal__kingdom,taxongroup_comment
43,amod> most,0,0.001,2,1034,Animal__kingdom,taxongroup_comment
44,amod> other,0,0.006,8,1034,Animal__kingdom,taxongroup_comment
45,amod> small,0,0.003,3,1034,Animal__kingdom,taxongroup_comment
46,amod> true,0,0.002,4,1034,Animal__kingdom,taxongroup_comment
47,amod>advmod> ...,0,0.008,7,1034,Animal__kingdom,taxongroup_comment
48,amod>advmod> more,0,0.0,1,1034,Animal__kingdom,taxongroup_comment
49,amod>obl:npmod> ...,0,0.001,2,1034,Animal__kingdom,taxongroup_comment
50,appos< ...,0,0.003,8,1034,Animal__kingdom,taxongroup_comment
51,appos< annelid,0,0.001,1,1034,Animal__kingdom,taxongroup_comment
53,appos<amod> ...,0,0.0,1,1034,Animal__kingdom,taxongroup_comment
55,appos<appos< ...,0,0.0,1,1034,Animal__kingdom,taxongroup_comment
56,appos<appos> ...,0,-0.0,1,1034,Animal__kingdom,taxongroup_comment
59,appos<appos> jelly,0,0.001,1,1034,Animal__kingdom,taxongroup_comment
63,appos<appos>compound> comb,0,0.001,1,1034,Animal__kingdom,taxongroup_comment
67,appos<case> ...,0,0.002,2,1034,Animal__kingdom,taxongroup_comment
68,appos<case> to,0,0.003,2,1034,Animal__kingdom,taxongroup_comment
71,appos<conj<appos> ...,0,0.001,1,1034,Animal__kingdom,taxongroup_comment
72,appos<conj<appos> jellyfish,0,0.003,2,1034,Animal__kingdom,taxongroup_comment
74,appos<conj> Bilateria,0,0.001,1,1034,Animal__kingdom,taxongroup_comment
77,appos<conj>cc> and,0,-0.0,1,1034,Animal__kingdom,taxongroup_comment
78,appos<det> the,0,0.0,2,1034,Animal__kingdom,taxongroup_comment
79,appos<flat> ...,0,0.001,2,1034,Animal__kingdom,taxongroup_comment
86,appos<nsubj< ...,0,-0.0,2,1034,Animal__kingdom,taxongroup_comment
87,appos<nsubj<advmod> ...,0,0.0,1,1034,Animal__kingdom,taxongroup_comment
88,appos<nsubj<conj> ...,0,0.001,1,1034,Animal__kingdom,taxongroup_comment
90,appos<nsubj<cop> be,0,0.0,2,1034,Animal__kingdom,taxongroup_comment
91,appos<nsubj<det> a,0,0.0,1,1034,Animal__kingdom,taxongroup_comment
92,appos<nsubj<nmod> ...,0,0.0,1,1034,Animal__kingdom,taxongroup_comment
93,appos<obl< ...,0,0.004,3,1034,Animal__kingdom,taxongroup_comment
94,appos> ...,0,-0.001,4,1034,Animal__kingdom,taxongroup_comment
98,appos>compound> ...,0,0.0,2,1034,Animal__kingdom,taxongroup_comment
103,appos>det> ...,0,0.001,1,1034,Animal__kingdom,taxongroup_comment
107,case> 's,0,-0.0,1,1034,Animal__kingdom,taxongroup_comment
108,case> ...,0,0.0,7,1034,Animal__kingdom,taxongroup_comment
109,case> as,0,0.001,4,1034,Animal__kingdom,taxongroup_comment
110,case> by,0,0.0,2,1034,Animal__kingdom,taxongroup_comment
111,case> for,0,0.0,2,1034,Animal__kingdom,taxongroup_comment
112,case> in,0,-0.001,1,1034,Animal__kingdom,taxongroup_comment
113,case> include,0,0.0,1,1034,Animal__kingdom,taxongroup_comment
