feat	count	weight	rel_role	group_name
case> ...	17.0	0.909	adaptation_comment	Animal__kingdom
amod> ...	15.0	1.252	adaptation_comment	Animal__kingdom
obl< ...	10.0	0.365	adaptation_comment	Animal__kingdom
cop> be	10.0	0.745	adaptation_comment	Animal__kingdom
cop> ...	10.0	0.745	adaptation_comment	Animal__kingdom
conj> ...	9.0	1.014	adaptation_comment	Animal__kingdom
conj< ...	8.0	0.502	adaptation_comment	Animal__kingdom
conj>cc> ...	7.0	0.783	adaptation_comment	Animal__kingdom
nmod< ...	7.0	0.428	adaptation_comment	Animal__kingdom
det> ...	7.0	1.25	adaptation_comment	Animal__kingdom
nsubj> ...	7.0	0.298	adaptation_comment	Animal__kingdom
nsubj< ...	7.0	0.766	adaptation_comment	Animal__kingdom
nmod>case> ...	6.0	0.916	adaptation_comment	Animal__kingdom
obl<nsubj> ...	6.0	0.735	adaptation_comment	Animal__kingdom
cc> ...	6.0	0.943	adaptation_comment	Animal__kingdom
compound< ...	6.0	0.347	adaptation_comment	Animal__kingdom
cc> and	6.0	0.965	adaptation_comment	Animal__kingdom
nmod> ...	6.0	0.597	adaptation_comment	Animal__kingdom
case> of	5.0	0.941	adaptation_comment	Animal__kingdom
nmod<case> ...	5.0	0.897	adaptation_comment	Animal__kingdom
conj>cc> and	5.0	0.785	adaptation_comment	Animal__kingdom
obl<advmod> ...	5.0	0.276	adaptation_comment	Animal__kingdom
nsubj<advmod> ...	5.0	0.886	adaptation_comment	Animal__kingdom
amod< ...	5.0	0.566	adaptation_comment	Animal__kingdom
nmod<det> ...	4.0	0.58	adaptation_comment	Animal__kingdom
obl<nsubj>compound> ...	4.0	0.234	adaptation_comment	Animal__kingdom
conj<conj>cc> and	4.0	0.576	adaptation_comment	Animal__kingdom
conj<conj>cc> ...	4.0	0.527	adaptation_comment	Animal__kingdom
conj<conj> ...	4.0	0.906	adaptation_comment	Animal__kingdom
nsubj>amod> ...	4.0	0.2	adaptation_comment	Animal__kingdom
conj<nsubj> ...	4.0	0.552	adaptation_comment	Animal__kingdom
acl:relcl> ...	3.0	0.41	adaptation_comment	Animal__kingdom
det> the	3.0	1.274	adaptation_comment	Animal__kingdom
acl:relcl>nsubj> ...	3.0	0.558	adaptation_comment	Animal__kingdom
acl:relcl>obl>case> ...	3.0	0.592	adaptation_comment	Animal__kingdom
compound> ...	3.0	0.581	adaptation_comment	Animal__kingdom
nsubj<obj> ...	3.0	0.444	adaptation_comment	Animal__kingdom
nsubj<advcl> ...	3.0	0.788	adaptation_comment	Animal__kingdom
nsubj<conj>cc> ...	3.0	0.592	adaptation_comment	Animal__kingdom
nsubj<conj> ...	3.0	0.302	adaptation_comment	Animal__kingdom
amod<case> ...	3.0	0.627	adaptation_comment	Animal__kingdom
conj<case> ...	3.0	0.392	adaptation_comment	Animal__kingdom
amod<nmod>case> ...	3.0	0.161	adaptation_comment	Animal__kingdom
amod<nmod> ...	3.0	0.496	adaptation_comment	Animal__kingdom
amod<amod> ...	3.0	0.485	adaptation_comment	Animal__kingdom
nsubj<obl> ...	3.0	0.296	adaptation_comment	Animal__kingdom
conj<advmod> ...	3.0	0.447	adaptation_comment	Animal__kingdom
