feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
conj<conj> mountain,0.846,0.008,0.577,0.134,2,Arthropod__phylum,location_comment
obl< ...,0.77,0.025,0.873,0.005,4,Arthropod__phylum,location_comment
conj<conj> forest,0.75,0.032,0.577,0.134,2,Arthropod__phylum,location_comment
det> the,0.747,0.033,0.764,0.027,9,Arthropod__phylum,location_comment
conj<conj> scrubland,0.742,0.035,0.577,0.134,2,Arthropod__phylum,location_comment
nmod>case> in,0.72,0.044,0.756,0.03,2,Arthropod__phylum,location_comment
conj<amod> ...,0.71,0.049,0.577,0.134,3,Arthropod__phylum,location_comment
conj< pampa,0.709,0.049,0.577,0.134,2,Arthropod__phylum,location_comment
obl<advmod> ...,0.708,0.049,0.825,0.012,4,Arthropod__phylum,location_comment
nmod<amod> ...,0.694,0.056,0.764,0.027,6,Arthropod__phylum,location_comment
nmod< ...,0.686,0.06,0.655,0.078,8,Arthropod__phylum,location_comment
conj<case> such,0.68,0.064,0.577,0.134,2,Arthropod__phylum,location_comment
nmod> ...,0.662,0.074,0.764,0.027,4,Arthropod__phylum,location_comment
nmod>case> ...,0.649,0.082,0.577,0.134,2,Arthropod__phylum,location_comment
conj<case> ...,0.613,0.106,0.577,0.134,1,Arthropod__phylum,location_comment
nmod<case> ...,0.6,0.116,0.577,0.134,3,Arthropod__phylum,location_comment
conj< ...,0.592,0.122,0.62,0.101,3,Arthropod__phylum,location_comment
nmod<obj< ...,0.588,0.125,0.592,0.122,3,Arthropod__phylum,location_comment
amod> intertidal,0.579,0.133,0.733,0.039,5,Arthropod__phylum,location_comment
obl<nsubj> ...,0.574,0.137,0.536,0.171,4,Arthropod__phylum,location_comment
case> in,0.548,0.16,0.494,0.213,9,Arthropod__phylum,location_comment
case> to,0.546,0.161,0.504,0.203,2,Arthropod__phylum,location_comment
case> such,0.539,0.168,0.577,0.134,2,Arthropod__phylum,location_comment
nmod< live,0.536,0.171,0.504,0.203,2,Arthropod__phylum,location_comment
case> of,0.527,0.18,0.577,0.134,3,Arthropod__phylum,location_comment
obl< find,0.505,0.202,0.577,0.134,2,Arthropod__phylum,location_comment
conj<case> in,0.431,0.286,0.218,0.604,3,Arthropod__phylum,location_comment
conj> ...,0.43,0.287,0.592,0.122,5,Arthropod__phylum,location_comment
nmod<det> the,0.428,0.29,0.412,0.31,4,Arthropod__phylum,location_comment
conj<conj>cc> and,0.419,0.301,0.452,0.261,3,Arthropod__phylum,location_comment
compound<case> ...,0.415,0.307,0.412,0.31,2,Arthropod__phylum,location_comment
amod> ...,0.414,0.308,0.434,0.282,11,Arthropod__phylum,location_comment
conj> stream,0.395,0.333,0.504,0.203,2,Arthropod__phylum,location_comment
compound<case> of,0.376,0.359,0.412,0.31,4,Arthropod__phylum,location_comment
conj<conj> ...,0.343,0.406,-0.096,0.821,4,Arthropod__phylum,location_comment
conj> ponds,0.341,0.408,0.483,0.225,4,Arthropod__phylum,location_comment
compound< ...,0.29,0.485,0.412,0.31,4,Arthropod__phylum,location_comment
conj<conj>amod> ...,-0.277,0.507,-0.412,0.31,1,Arthropod__phylum,location_comment
obl< live,0.264,0.527,0.252,0.547,2,Arthropod__phylum,location_comment
compound< fish,0.232,0.58,0.247,0.555,2,Arthropod__phylum,location_comment
compound< region,0.228,0.587,0.247,0.555,2,Arthropod__phylum,location_comment
nmod<det> ...,0.189,0.654,0.247,0.555,1,Arthropod__phylum,location_comment
det> ...,0.133,0.754,0.247,0.555,1,Arthropod__phylum,location_comment
conj<conj>amod> cloud,-0.086,0.839,-0.082,0.846,2,Arthropod__phylum,location_comment
case> ...,0.068,0.872,0.0,1.0,2,Arthropod__phylum,location_comment
conj>cc> and,0.026,0.952,0.136,0.747,7,Arthropod__phylum,location_comment
compound<nmod< ...,0.002,0.997,0.082,0.846,4,Arthropod__phylum,location_comment
