feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
conj> scorpion,0.967,0.0,0.577,0.134,2,Arthropod__phylum,location_topic
conj> spider,0.967,0.0,0.764,0.027,4,Arthropod__phylum,location_topic
nmod< ...,0.946,0.0,0.709,0.049,10,Arthropod__phylum,location_topic
conj> crab,0.943,0.0,0.577,0.134,3,Arthropod__phylum,location_topic
det> the,0.913,0.002,0.651,0.081,28,Arthropod__phylum,location_topic
nmod> ...,0.9,0.002,0.548,0.16,11,Arthropod__phylum,location_topic
amod> ...,0.88,0.004,0.791,0.019,14,Arthropod__phylum,location_topic
nmod>det> the,0.863,0.006,0.756,0.03,2,Arthropod__phylum,location_topic
nmod<case> of,0.848,0.008,0.764,0.027,4,Arthropod__phylum,location_topic
nmod>case> to,0.813,0.014,0.577,0.134,2,Arthropod__phylum,location_topic
nmod< species,0.806,0.016,0.577,0.134,5,Arthropod__phylum,location_topic
case> ...,0.804,0.016,0.733,0.039,3,Arthropod__phylum,location_topic
compound<conj<conj> scorpion,0.804,0.016,0.577,0.134,2,Arthropod__phylum,location_topic
compound<conj<conj> ...,0.793,0.019,0.577,0.134,1,Arthropod__phylum,location_topic
conj< ...,0.792,0.019,0.764,0.027,10,Arthropod__phylum,location_topic
conj<nsubj> ...,0.787,0.02,0.764,0.027,4,Arthropod__phylum,location_topic
obj<obl>case> in,0.776,0.024,0.577,0.134,2,Arthropod__phylum,location_topic
conj<compound> ...,0.771,0.025,0.756,0.03,2,Arthropod__phylum,location_topic
conj<conj>compound> wind,0.768,0.026,0.577,0.134,2,Arthropod__phylum,location_topic
case> of,0.76,0.029,0.464,0.247,12,Arthropod__phylum,location_topic
nmod>case> ...,0.755,0.03,0.655,0.078,4,Arthropod__phylum,location_topic
conj>cc> and,0.749,0.032,0.655,0.078,7,Arthropod__phylum,location_topic
compound> Austropotamobius,-0.743,0.035,-0.845,0.008,3,Arthropod__phylum,location_topic
nsubj<nmod> ...,0.743,0.035,0.577,0.134,3,Arthropod__phylum,location_topic
conj<conj>cc> and,0.736,0.037,0.732,0.039,3,Arthropod__phylum,location_topic
nmod<det> the,0.733,0.039,0.655,0.078,5,Arthropod__phylum,location_topic
nmod>det> ...,0.731,0.04,0.577,0.134,1,Arthropod__phylum,location_topic
conj<det> a,0.725,0.042,0.756,0.03,2,Arthropod__phylum,location_topic
conj<conj>compound> ...,0.713,0.047,0.577,0.134,2,Arthropod__phylum,location_topic
obl< ...,0.712,0.048,0.548,0.16,6,Arthropod__phylum,location_topic
conj<conj>compound> raft,0.712,0.048,0.577,0.134,2,Arthropod__phylum,location_topic
amod>advmod> less,0.707,0.05,0.756,0.03,2,Arthropod__phylum,location_topic
nmod<case> ...,0.707,0.05,0.577,0.134,2,Arthropod__phylum,location_topic
conj<conj>compound> dock,0.701,0.053,0.577,0.134,2,Arthropod__phylum,location_topic
compound> camel,-0.696,0.055,-0.732,0.039,3,Arthropod__phylum,location_topic
nmod:poss<conj> ...,0.674,0.067,0.577,0.134,3,Arthropod__phylum,location_topic
conj>compound> ...,0.663,0.073,0.77,0.025,7,Arthropod__phylum,location_topic
conj>compound> hermit,0.656,0.077,0.577,0.134,2,Arthropod__phylum,location_topic
conj<conj>det> ...,0.64,0.087,0.577,0.134,1,Arthropod__phylum,location_topic
compound>amod> ...,-0.634,0.091,-0.655,0.078,3,Arthropod__phylum,location_topic
obl< describe,0.633,0.092,0.504,0.203,2,Arthropod__phylum,location_topic
cc> and,0.632,0.092,0.764,0.027,8,Arthropod__phylum,location_topic
conj<conj>cc> or,0.631,0.093,0.655,0.078,4,Arthropod__phylum,location_topic
nmod>case> of,0.627,0.096,0.394,0.334,3,Arthropod__phylum,location_topic
obj<nsubj> ...,0.622,0.1,0.62,0.101,3,Arthropod__phylum,location_topic
obl<nsubj:pass> ...,0.62,0.101,0.504,0.203,2,Arthropod__phylum,location_topic
conj<obj<nsubj> ...,0.61,0.109,0.577,0.134,1,Arthropod__phylum,location_topic
nsubj<obl>case> ...,0.609,0.109,0.577,0.134,4,Arthropod__phylum,location_topic
conj<case> ...,0.606,0.111,0.577,0.134,1,Arthropod__phylum,location_topic
appos>compound> ...,0.599,0.117,0.507,0.2,3,Arthropod__phylum,location_topic
nsubj:pass<obl>det> the,0.595,0.12,0.577,0.134,3,Arthropod__phylum,location_topic
appos> Coenobita,0.593,0.121,0.63,0.094,2,Arthropod__phylum,location_topic
conj<conj>compound> scorpion,0.585,0.127,0.577,0.134,2,Arthropod__phylum,location_topic
compound> ...,0.585,0.128,0.776,0.024,10,Arthropod__phylum,location_topic
conj> crayfish,0.585,0.128,0.252,0.547,2,Arthropod__phylum,location_topic
