feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
conj> arthropod,0.961,0.0,0.756,0.03,2,Arthropod__phylum,taxongroup_topic
nmod< species,0.95,0.0,0.866,0.005,6,Arthropod__phylum,taxongroup_topic
conj> ...,0.933,0.001,0.293,0.482,49,Arthropod__phylum,taxongroup_topic
nsubj:pass<advcl>obl> ...,0.926,0.001,0.764,0.027,3,Arthropod__phylum,taxongroup_topic
conj< spider,0.921,0.001,0.846,0.008,29,Arthropod__phylum,taxongroup_topic
conj<appos>compound> ...,0.92,0.001,0.764,0.027,3,Arthropod__phylum,taxongroup_topic
conj> spider,0.92,0.001,0.6,0.116,28,Arthropod__phylum,taxongroup_topic
nmod< that,0.91,0.002,0.577,0.134,2,Arthropod__phylum,taxongroup_topic
nmod< ...,0.909,0.002,0.491,0.217,35,Arthropod__phylum,taxongroup_topic
nmod< order,0.904,0.002,0.577,0.134,2,Arthropod__phylum,taxongroup_topic
nmod< those,0.901,0.002,0.577,0.134,2,Arthropod__phylum,taxongroup_topic
conj<nmod>case> ...,0.899,0.002,0.873,0.005,7,Arthropod__phylum,taxongroup_topic
nmod<case> to,0.896,0.003,0.577,0.134,2,Arthropod__phylum,taxongroup_topic
nmod< eye,0.894,0.003,0.577,0.134,3,Arthropod__phylum,taxongroup_topic
conj< ...,0.889,0.003,0.723,0.043,46,Arthropod__phylum,taxongroup_topic
nmod< family,0.888,0.003,0.577,0.134,2,Arthropod__phylum,taxongroup_topic
nmod< arthropod,0.88,0.004,0.674,0.067,7,Arthropod__phylum,taxongroup_topic
nmod<nsubj<nmod> ...,0.878,0.004,0.577,0.134,3,Arthropod__phylum,taxongroup_topic
conj<case> include,0.877,0.004,0.655,0.078,6,Arthropod__phylum,taxongroup_topic
nmod<case> ...,0.869,0.005,0.577,0.134,6,Arthropod__phylum,taxongroup_topic
nsubj<mark> ...,0.867,0.005,0.764,0.027,3,Arthropod__phylum,taxongroup_topic
cc> and,0.866,0.005,0.764,0.027,32,Arthropod__phylum,taxongroup_topic
det> a,0.866,0.005,0.741,0.036,13,Arthropod__phylum,taxongroup_topic
nmod>case> to,0.865,0.006,0.655,0.078,3,Arthropod__phylum,taxongroup_topic
nmod<amod> free,0.863,0.006,0.577,0.134,2,Arthropod__phylum,taxongroup_topic
nmod>conj> ...,0.861,0.006,0.577,0.134,6,Arthropod__phylum,taxongroup_topic
conj< tarantula,0.856,0.007,0.577,0.134,3,Arthropod__phylum,taxongroup_topic
det> the,0.851,0.007,0.854,0.007,68,Arthropod__phylum,taxongroup_topic
conj<case> such,0.848,0.008,0.764,0.027,17,Arthropod__phylum,taxongroup_topic
conj< centipede,0.847,0.008,0.577,0.134,5,Arthropod__phylum,taxongroup_topic
conj<appos> ...,0.846,0.008,0.764,0.027,6,Arthropod__phylum,taxongroup_topic
cc> but,0.84,0.009,0.577,0.134,2,Arthropod__phylum,taxongroup_topic
nmod>amod> other,0.839,0.009,0.764,0.027,3,Arthropod__phylum,taxongroup_topic
nmod>case> with,0.838,0.009,0.577,0.134,2,Arthropod__phylum,taxongroup_topic
nmod<case> as,0.837,0.009,0.577,0.134,2,Arthropod__phylum,taxongroup_topic
case> by,0.835,0.01,0.655,0.078,4,Arthropod__phylum,taxongroup_topic
