,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
10,Aes-55d6_47_spiders-18,spiders,Spider#order,case>,on,ADP,17,case> on,-0.38536819984011916,-0.2016506237676151,Arthropod__phylum,free_topic,1,146
8,Amb-b5dc_25_spiders-14,spiders,Spider#order,case>,of,ADP,12,case> of,-0.34879510984050577,0.09406683151078471,Arthropod__phylum,free_topic,1,146
2,Ambee78_14_spider-4,spider,Spider#order,case>,'s,PART,5,case> 's,-0.2898163540360491,0.24241281167821258,Arthropod__phylum,free_topic,1,146
8,Ani-161e_180_arthropods-15,arthropods,Arthropod#phylum,case>,of,ADP,13,case> of,-0.34879510984050577,0.09406683151078471,Arthropod__phylum,free_topic,1,146
5,Ani-57f1_269_spiders-10,spiders,Spider#order,case>,to,ADP,6,case> to,-0.34429909634121175,-0.13858677321247279,Arthropod__phylum,free_topic,1,146
0,Ann-6efb_103_arthropods-3,arthropods,Arthropod#phylum,case>,as,ADP,1,case> ...,-0.3751219228368826,0.13724022368841637,Arthropod__phylum,free_topic,1,146
1,Ann-6efb_103_arthropods-3,arthropods,Arthropod#phylum,case>,in,ADP,2,case> in,-0.34340447117090045,-0.019645557957372377,Arthropod__phylum,free_topic,1,146
5,Ann-6efb_112_arthropods-8,arthropods,Arthropod#phylum,case>,'s,PART,9,case> 's,-0.2898163540360491,0.24241281167821258,Arthropod__phylum,free_topic,1,146
5,Ann-6efb_275_arthropods-11,arthropods,Arthropod#phylum,case>,with,ADP,10,case> with,-0.3793497050647831,-0.10133146856831382,Arthropod__phylum,free_topic,1,146
5,Ann-6efb_276_arthropods-9,arthropods,Arthropod#phylum,case>,in,ADP,8,case> in,-0.34340447117090045,-0.019645557957372377,Arthropod__phylum,free_topic,1,146
7,Ano-c42e_16_spider-16,spider,Spider#order,case>,on,ADP,11,case> on,-0.38536819984011916,-0.2016506237676151,Arthropod__phylum,free_topic,1,146
0,Ant-938d_70_arthropods-3,arthropods,Arthropod#phylum,case>,like,ADP,1,case> like,-0.39667365652089415,0.08467841454549165,Arthropod__phylum,free_topic,1,146
9,Ant-f3cd_99_arthropods-41,arthropods,Arthropod#phylum,case>,as,ADP,39,case> ...,-0.3751219228368826,0.13724022368841637,Arthropod__phylum,free_topic,1,146
10,Ant-f3cd_99_arthropods-41,arthropods,Arthropod#phylum,case>,in,ADP,40,case> in,-0.34340447117090045,-0.019645557957372377,Arthropod__phylum,free_topic,1,146
4,Aqu-83c9_9_arthropods-7,arthropods,Arthropod#phylum,case>,to,ADP,5,case> to,-0.34429909634121175,-0.13858677321247279,Arthropod__phylum,free_topic,1,146
2,Ara-18f0_15_spiders-7,spiders,Spider#order,case>,of,ADP,3,case> of,-0.34879510984050577,0.09406683151078471,Arthropod__phylum,free_topic,1,146
3,Ara-18f0_15_spiders-7,spiders,Spider#order,compound>nummod>,orb,NUM,4,compound>nummod> orb,-0.37595808320671237,0.014396700656349789,Arthropod__phylum,free_topic,1,146
5,Ara-18f0_18_spider-15,spider,Spider#order,case>,of,ADP,13,case> of,-0.34879510984050577,0.09406683151078471,Arthropod__phylum,free_topic,1,146
7,Ara-5ffe_14_Araneus-11,Araneus,Araneus#genus,case>,of,ADP,10,case> of,-0.34879510984050577,0.09406683151078471,Arthropod__phylum,free_topic,1,146
9,Ara-5ffe_15_spiders-16,spiders,Spider#order,case>,of,ADP,15,case> of,-0.34879510984050577,0.09406683151078471,Arthropod__phylum,free_topic,1,146
5,Ara-8421_106_Arachnida-8,Arachnida,Arachnid#class,case>,within,ADP,7,case> ...,-0.26725053125958953,0.17884789447080807,Arthropod__phylum,free_topic,1,146
2,Ara-8421_107_arachnids-5,arachnids,Arachnid#class,case>,within,ADP,3,case> ...,-0.26725053125958953,0.17884789447080807,Arthropod__phylum,free_topic,1,146
8,Arc-4c1c_123_wings-12,wings,Eurypterid#order,case>,with,ADP,10,case> with,-0.3793497050647831,-0.10133146856831382,Arthropod__phylum,free_topic,1,146
