,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
11,Pre-0725_86_spiders-9,spiders,Crab_spider#family,conj>,spider,NOUN,13,conj> spider,-0.6475826376298021,0.14066157094273796,Arthropod__phylum,taxongroup_comment,3,28
8,Amb-b5dc_24_spiders-6,spiders,Crab_spider#family,conj>,spider,NOUN,10,conj> spider,-0.6475826376298021,0.14066157094273796,Arthropod__phylum,taxongroup_comment,3,28
11,Spi-b4d6_247_spiders-12,spiders,Crab_spider#family,conj>,species,NOUN,17,conj> ...,-0.44227437757286114,0.07809945496046107,Arthropod__phylum,taxongroup_comment,3,28
11,Tho-4613_4_spiders-11,spiders,Crab_spider#family,conj>,spider,NOUN,15,conj> spider,-0.6475826376298021,0.14066157094273796,Arthropod__phylum,taxongroup_comment,3,28
5,Spi-b4d6_388_spiders-22,spiders,Jumping_spider#family,obl<nsubj>,Araneomorphae,PROPN,14,obl<nsubj> ...,-0.41836629513699103,-0.0522123640935072,Arthropod__phylum,taxongroup_comment,3,28
7,Ara-18f0_28_spider-8,spider,European_garden_spider#species,conj>,diadematus,NOUN,10,conj> ...,-0.28704828553917433,0.15842672474611333,Arthropod__phylum,taxongroup_comment,3,28
13,Ara-5ffe_3_spider-13,spider,European_garden_spider#species,conj>,spider,NOUN,17,conj> spider,-0.6475826376298021,0.14066157094273796,Arthropod__phylum,taxongroup_comment,3,28
7,Spi-7da6_42_spiders-45,spiders,Huntsman_spider#family,conj>,spider,NOUN,51,conj> spider,-0.6475826376298021,0.14066157094273796,Arthropod__phylum,taxongroup_comment,3,28
13,Nur-b8fd_9_spiders-24,spiders,Dolomedes#genus,conj>,spider,NOUN,27,conj> spider,-0.6475826376298021,0.14066157094273796,Arthropod__phylum,taxongroup_comment,3,28
13,Spi-b4d6_2_arthropods-10,arthropods,Arthropod#phylum,conj>,spinneret,NOUN,26,conj> ...,-0.5389784519419408,0.14057681018117152,Arthropod__phylum,taxongroup_comment,3,28
2,Ara-8421_29_arthropods-3,arthropods,Arthropod#phylum,obl<nsubj>,arachnid,NOUN,5,obl<nsubj> ...,-0.46136135223269326,0.0630938163655747,Arthropod__phylum,taxongroup_comment,3,28
1,Spi-b4d6_7_arthropods-13,arthropods,Arthropod#phylum,obl<nsubj>,spider,NOUN,3,obl<nsubj> spider,-0.5532683238592379,0.1586916134882101,Arthropod__phylum,taxongroup_comment,3,28
1,Eur-fdbd_68_arthropods-9,arthropods,Arthropod#phylum,obl<nsubj>,adaptations,NOUN,2,obl<nsubj> ...,-0.5624022518054842,0.11619911122761191,Arthropod__phylum,taxongroup_comment,3,28
4,Spi-b4d6_77_arachnids-3,arachnids,Arachnid#class,obl<nsubj>,spider,NOUN,8,obl<nsubj> spider,-0.5532683238592379,0.1586916134882101,Arthropod__phylum,taxongroup_comment,3,28
14,Eurb5f3_1_arthropods-10,arthropods,Arthropod#phylum,conj>,grow,VERB,18,conj> ...,-0.5906751422783902,0.07364126151850776,Arthropod__phylum,taxongroup_comment,3,28
1,Jum-50eb_66_animals-7,animals,Animal#kingdom,obl<nsubj>,spider,NOUN,2,obl<nsubj> spider,-0.5532683238592379,0.1586916134882101,Arthropod__phylum,taxongroup_comment,3,28
7,Spi-b4d6_439_animals-5,animals,Animal#kingdom,conj>,spider,NOUN,9,conj> spider,-0.6475826376298021,0.14066157094273796,Arthropod__phylum,taxongroup_comment,3,28
5,Spi-b4d6_89_arachnids-29,arachnids,Arachnid#class,obl<nsubj>,that,PRON,25,obl<nsubj> ...,-0.5007468046549595,0.07567340736852793,Arthropod__phylum,taxongroup_comment,3,28
4,Spi-b4d6_110_arthropods-4,arthropods,Arthropod#phylum,obl<nsubj>,cuticle,NOUN,8,obl<nsubj> ...,-0.39734447996472994,0.14425751541795898,Arthropod__phylum,taxongroup_comment,3,28
