,feat,cluster,pw_entr,feat_n,N,group,relrole
4,amod> ...,0,-0.003,1,50,Arthropod__phylum,location_topic
8,amod> spot,0,0.035,1,50,Arthropod__phylum,location_topic
11,appos< ...,0,0.017,1,50,Arthropod__phylum,location_topic
12,appos< six,0,0.099,2,50,Arthropod__phylum,location_topic
18,appos> ...,0,0.199,5,50,Arthropod__phylum,location_topic
20,appos> distribution,0,0.148,3,50,Arthropod__phylum,location_topic
21,appos> fimbriatus,0,0.027,1,50,Arthropod__phylum,location_topic
23,appos> reference,0,0.099,2,50,Arthropod__phylum,location_topic
24,appos>compound> ...,0,0.027,1,50,Arthropod__phylum,location_topic
29,case> of,0,-0.0,1,50,Arthropod__phylum,location_topic
34,compound< ...,0,0.071,2,50,Arthropod__phylum,location_topic
35,compound< species,0,0.099,2,50,Arthropod__phylum,location_topic
39,compound> Austropotamobius,0,0.027,1,50,Arthropod__phylum,location_topic
40,compound> Camel,0,0.082,2,50,Arthropod__phylum,location_topic
41,compound> Hermit,0,0.213,5,50,Arthropod__phylum,location_topic
42,compound> camel,0,0.027,1,50,Arthropod__phylum,location_topic
44,compound> fishing,0,0.117,3,50,Arthropod__phylum,location_topic
47,compound> raft,0,0.038,2,50,Arthropod__phylum,location_topic
49,compound>amod> ...,0,0.082,2,50,Arthropod__phylum,location_topic
110,det> the,0,-0.017,1,50,Arthropod__phylum,location_topic
112,nmod< ...,0,0.003,1,50,Arthropod__phylum,location_topic
119,nmod<nsubj< ...,0,0.013,1,50,Arthropod__phylum,location_topic
121,nmod> ...,0,0.001,1,50,Arthropod__phylum,location_topic
122,nmod>case> ...,0,0.022,1,50,Arthropod__phylum,location_topic
129,nsubj:pass< ...,0,0.013,1,50,Arthropod__phylum,location_topic
130,nsubj:pass<aux:pass> be,0,0.013,1,50,Arthropod__phylum,location_topic
134,nsubj< ...,0,0.008,1,50,Arthropod__phylum,location_topic
135,nsubj< have,0,0.035,1,50,Arthropod__phylum,location_topic
139,nsubj<obj> ...,0,0.022,1,50,Arthropod__phylum,location_topic
140,nsubj<obj>amod> ...,0,0.027,1,50,Arthropod__phylum,location_topic
142,nsubj<obj>det> a,0,0.035,1,50,Arthropod__phylum,location_topic
163,acl:relcl> ...,1,0.064,2,59,Arthropod__phylum,location_topic
164,acl:relcl>obl> ...,1,0.117,3,59,Arthropod__phylum,location_topic
165,acl:relcl>obl>case> ...,1,0.117,3,59,Arthropod__phylum,location_topic
166,advmod> ...,1,0.02,1,59,Arthropod__phylum,location_topic
167,amod> ...,1,-0.006,1,59,Arthropod__phylum,location_topic
191,case> as,1,0.054,2,59,Arthropod__phylum,location_topic
193,case> to,1,0.064,2,59,Arthropod__phylum,location_topic
197,compound< ...,1,0.015,1,59,Arthropod__phylum,location_topic
199,compound<conj<conj> ...,1,0.039,1,59,Arthropod__phylum,location_topic
200,compound<conj<conj> scorpion,1,0.078,2,59,Arthropod__phylum,location_topic
201,compound> ...,1,-0.0,1,59,Arthropod__phylum,location_topic
202,compound> Austropotamobius,1,0.02,1,59,Arthropod__phylum,location_topic
206,compound> dock,1,0.027,1,59,Arthropod__phylum,location_topic
209,compound> jumping,1,0.02,1,59,Arthropod__phylum,location_topic
260,conj> ...,1,0.012,1,59,Arthropod__phylum,location_topic
267,conj>cc> and,1,0.006,1,59,Arthropod__phylum,location_topic
270,cop> be,1,0.02,1,59,Arthropod__phylum,location_topic
272,det> a,1,0.015,1,59,Arthropod__phylum,location_topic
273,det> the,1,-0.012,2,59,Arthropod__phylum,location_topic
284,nmod> ...,1,0.219,7,59,Arthropod__phylum,location_topic
285,nmod>case> ...,1,0.102,3,59,Arthropod__phylum,location_topic
286,nmod>case> at,1,0.027,1,59,Arthropod__phylum,location_topic
287,nmod>case> of,1,0.02,1,59,Arthropod__phylum,location_topic
288,nmod>case> to,1,0.078,2,59,Arthropod__phylum,location_topic
289,nmod>compound> ...,1,0.091,3,59,Arthropod__phylum,location_topic
290,nmod>det> ...,1,0.039,1,59,Arthropod__phylum,location_topic
291,nmod>det> the,1,0.027,1,59,Arthropod__phylum,location_topic
292,nsubj:pass< ...,1,0.009,1,59,Arthropod__phylum,location_topic
293,nsubj:pass<aux:pass> be,1,0.009,1,59,Arthropod__phylum,location_topic
317,obl< ...,1,0.041,2,59,Arthropod__phylum,location_topic
318,obl< describe,1,0.027,1,59,Arthropod__phylum,location_topic
319,obl<advmod> ...,1,0.064,2,59,Arthropod__phylum,location_topic
320,obl<advmod> also,1,0.02,1,59,Arthropod__phylum,location_topic
322,obl<aux:pass> be,1,0.054,2,59,Arthropod__phylum,location_topic
